Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,97.08,97.25,97.05,97.25,1214,0.0,,,,,,
2020-04-02,97.33,97.575,97.33,97.51,1003,0.0,,,,,,
2020-04-03,97.7,97.74,97.51,97.565,2295,0.0,,,,,,
2020-04-04,97.58,97.78,97.58,97.73,2575,0.0,,,,,,
2020-04-05,97.805,97.895,97.75,97.835,1989,0.0,,,,,,
2020-04-06,97.835,98.07,97.83,98.005,1731,0.0,,,,,,
2020-04-07,97.935,97.935,97.875,97.9,1410,0.0,,,,,,
2020-04-08,97.9,97.9,97.64,97.64,1818,0.0,,,,,,
2020-04-09,97.73,97.76,97.6,97.6,1486,0.0,,,,,,
2020-04-10,97.57,97.665,97.5,97.53,1213,0.0,,,,,,
2020-04-11,97.48,97.6,97.48,97.57,1545,0.0,,,,,,
2020-04-12,97.69,97.82,97.67,97.805,744,0.0,,,,,,
2020-04-13,97.65,97.67,97.485,97.5,1741,0.0,,,,,,
2020-04-14,97.495,97.53,97.36,97.36,2161,0.0,,,,,,
2020-04-15,97.34,97.39,97.225,97.27,1124,0.0,50.49019607843126,,,,,
2020-04-16,97.27,97.31,96.76,96.76,1632,0.0,39.780154486036935,11.905866883242632,,,,
2020-04-17,96.73,96.86,96.67,96.7,2355,0.0,38.739039480126465,2.4894336432798987,,,,
2020-04-18,96.78,96.91,96.5,96.605,2828,0.0,37.084118582127545,2.9435850773431653,5.779628534621899,,,
2020-04-19,96.575,96.66,96.5,96.55,4874,0.0,36.12201004467324,4.005156202608503,3.1460583077438566,,,
2020-04-20,96.61,96.85,96.61,96.7,1282,0.0,40.644816585883326,7.936631231644534,4.961790837198735,,,
2020-04-21,96.705,96.83,96.56,96.75,2750,0.0,42.116039356671116,11.659712820968041,7.867166751740361,,,
2020-04-22,96.525,96.77,96.5,96.65,5744,0.0,39.98154953838023,14.386020483581655,11.327454845398078,,,
2020-04-23,96.65,96.76,96.315,96.67,14985,0.0,40.62963305663617,17.6029396959632,14.549557666837634,,,
2020-04-24,95.93,95.93,94.82,95.11,1679,0.0,21.305098777805156,14.872780965804566,15.620580381783142,,,
2020-04-25,95.115,95.18,94.795,94.85,2109,0.0,19.629362170367955,11.690962783986143,14.722227815251307,,,
2020-04-26,94.985,95.0,94.68,94.745,2778,0.0,18.980098212408663,4.552920509442214,10.372221419744312,-0.9011461736713215,,
2020-04-27,94.76,94.86,94.71,94.73,7232,0.0,18.884004307679362,1.9154936088573173,6.053125634095228,-0.9440818269877269,,
2020-04-28,94.645,94.645,94.31,94.41,2338,0.0,16.916355479770218,2.3916840850478125,2.9533660677824525,-0.9924891698767766,,
2020-04-29,94.4,94.73,94.23,94.73,3038,0.0,25.298714521969032,7.078301815143831,3.795159836349658,-0.9935776673553676,,
2020-04-30,94.66,94.66,94.55,94.62,812,0.0,24.387854369458765,11.344252762163174,6.938079554118278,-0.9918825851251398,,
2020-05-01,94.535,94.535,94.38,94.475,1481,0.0,23.201981000484523,13.309265361504082,10.577273312937033,-0.9908179755701099,,
2020-05-02,94.49,94.49,94.41,94.41,638,0.0,22.669820252818425,10.188086286126445,11.613868136597906,-0.9838776920091163,,
2020-05-03,94.62,94.63,94.55,94.55,401,0.0,26.57602519035953,9.408586836808057,10.968646161479533,-0.9560597753501128,,
2020-05-04,94.605,94.62,94.14,94.14,2427,0.0,22.92397718972275,6.361323155216129,8.652665426050214,-0.9560763959124188,-0.9677788068731211,0.011702410960702347
2020-05-05,94.18,94.21,94.105,94.17,1330,0.0,23.74965449479606,4.884254949419627,6.884721647147942,-0.9428007978240487,-0.9627832050633067,0.019982407239258038
2020-05-06,94.215,94.215,94.08,94.08,801,0.0,22.955184009934214,0.813008130081276,4.019528744905682,-0.928835006753971,-0.9559935654014395,0.027158558647468523
2020-05-07,94.145,94.18,94.065,94.14,1808,0.0,24.762151194305062,2.153490703807862,2.6169179277695926,-0.902521808545174,-0.9452992140301865,0.04277740548501241
2020-05-08,94.19,94.2,94.005,94.075,1140,0.0,24.102645800784046,3.326298176563657,2.097599003484269,-0.8768060913326536,-0.9316005894906799,0.054794498158026284
2020-05-09,93.95,94.23,93.91,94.23,1018,0.0,28.961425869599566,13.112230898276392,6.1973399262159745,-0.8343016850683398,-0.9121408086062119,0.07783912353787215
2020-05-10,94.305,94.305,94.16,94.29,1232,0.0,30.807975058459434,25.105081657883442,13.84787024424117,-0.7867064757721494,-0.8870539420393995,0.10034746626725011
2020-05-11,94.39,94.405,94.3,94.31,1401,0.0,31.447639906010508,39.379428656672474,25.86558040427744,-0.7388560243204694,-0.8574143584956135,0.11855833417514416
2020-05-12,94.25,94.46,94.25,94.46,828,0.0,36.21074252122045,51.951219512195195,38.811909942250374,-0.6809805307407117,-0.8221275929446332,0.14114706220392148
2020-05-13,94.42,94.72,94.415,94.72,1173,0.0,43.534254041062916,71.9512195121949,54.42728922702086,-0.6071352804347327,-0.7791291304426532,0.17199385000792045
2020-05-14,94.71,94.71,94.595,94.67,1183,0.0,42.523189240440125,86.96677707517797,70.28973869985602,-0.5463489985091456,-0.7325731040559518,0.18622410554680613
2020-05-15,94.6,94.63,94.52,94.615,1532,0.0,41.38460781059834,93.62139917695474,84.17979858810921,-0.4968856836271698,-0.6854356199701954,0.18854993634302564
2020-05-16,94.605,94.74,94.59,94.685,2256,0.0,43.45960327804188,91.41256383558955,90.6669133625741,-0.44688581374953174,-0.6377256587260627,0.19083984497653095
2020-05-17,94.66,94.67,94.505,94.59,1571,0.0,41.32167260434473,87.44608061877187,90.82668121043874,-0.4101977582756007,-0.5922200786359703,0.18202232036036958
2020-05-18,94.51,94.705,94.345,94.54,5391,0.0,40.200756348945,83.73493975903723,87.53119473779957,-0.3807675409296536,-0.549929571094707,0.16916203016505338
2020-05-19,94.61,94.83,94.55,94.82,10119,0.0,48.608164216115306,85.58145625982252,85.58749221254389,-0.3310342647648099,-0.5061505098287276,0.17511624506391765
2020-05-20,94.71,94.81,94.71,94.81,1000,0.0,48.346731343370074,90.88091496420509,86.73243699435496,-0.28909469780074915,-0.4627393474231319,0.17364464962238274
2020-05-21,94.82,94.82,94.7,94.7,1200,0.0,45.45091524985424,94.20289855072481,90.22175659158415,-0.2617164650192052,-0.4225347709423466,0.1608183059231414
2020-05-22,94.75,94.82,94.72,94.82,700,0.0,49.03708903010284,94.20289855072481,93.09557068855158,-0.22771110924996663,-0.3835700386038706,0.155858929353904
2020-05-23,94.77,94.89,94.7,94.89,800,0.0,51.05835695931171,94.92753623188408,94.44444444444457,-0.19288969251624621,-0.3454339693863458,0.15254427687009958
2020-05-24,94.82,94.86,94.72,94.78,900,0.0,47.8468952441878,93.90851449275351,94.3463164251208,-0.17218471139989333,-0.31078411778905535,0.13859940638916202
2020-05-25,94.78,94.865,94.73,94.73,700,0.0,46.41773201677419,85.93750000000027,91.59118357487931,-0.15798924515318902,-0.2802251432618821,0.12223589810869306
2020-05-26,94.8,94.85,94.72,94.72,700,0.0,46.12101557511204,75.53994648318063,85.12865365864484,-0.14586471467323747,-0.25335305754415316,0.10748834287091569
2020-05-27,94.87,94.87,94.8,94.85,600,0.0,50.546705284311386,78.82262996941874,80.10002548419992,-0.12433279233513872,-0.22754900450235027,0.10321621216721155
