Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,365.81,365.81,364.48699999999997,364.48699999999997,500,0.0,,,,,,
2020-04-02,363.8,363.8,363.8,363.8,100,0.0,,,,,,
2020-04-03,363.95,365.01,356.69,360.64,299846,0.0,,,,,,
2020-04-04,360.32,362.455,358.9,362.25,114992,0.0,,,,,,
2020-04-05,362.285,364.55,362.281,363.04,71802,0.0,,,,,,
2020-04-06,362.87,366.32,362.87,365.81,49381,0.0,,,,,,
2020-04-07,365.875,366.05,362.82,365.49,39580,0.0,,,,,,
2020-04-08,365.78,368.39,365.185,368.38,30603,0.0,,,,,,
2020-04-09,368.31,369.12,367.38,369.08,22059,0.0,,,,,,
2020-04-10,368.72,371.55,367.69,370.95,28984,0.0,,,,,,
2020-04-11,370.78,370.83,368.17,369.15,30773,0.0,,,,,,
2020-04-12,369.11,369.355,367.01,369.175,22290,0.0,,,,,,
2020-04-13,369.26,369.56,368.12,368.29,17430,0.0,,,,,,
2020-04-14,368.21,369.1,367.65,369.095,15548,0.0,,,,,,
2020-04-15,369.16,369.16,367.4,367.57,19931,0.0,57.770832283107374,,,,,
2020-04-16,367.5,368.37,367.22,367.73,19727,0.0,58.13448356726303,76.99641094661285,,,,
2020-04-17,367.76,368.8,365.83,365.83,18354,0.0,52.367451763771356,67.43090096943449,,,,
2020-04-18,365.76,367.75,365.615,367.75,213803,0.0,57.00866739193469,62.693047506217226,69.04011980742153,,,
2020-04-19,367.66,369.36,367.11,368.98,221578,0.0,59.716627827770644,61.44900677888921,63.85765175151365,,,
2020-04-20,369.02,370.29,369.02,369.67,70731,0.0,61.19334157644066,69.3431582140537,64.49507083305338,,,
2020-04-21,369.75,371.41,369.49,370.62,17256,0.0,63.19389239955074,78.13839706033652,69.64352068442646,,,
2020-04-22,370.37,370.94,369.88,370.87,12725,0.0,63.723879457009744,84.13215082591381,77.20456870010133,,,
2020-04-23,371.05,371.05,369.61,370.1,11319,0.0,60.8190515023624,83.16668332174096,81.81241040266376,,,
2020-04-24,370.035,370.3,368.63,369.96,19227,0.0,60.28100392741095,79.69654479951151,82.33179298238876,,,
2020-04-25,369.8,371.8,369.45,371.56,15165,0.0,64.18105630887503,82.22224482337099,81.69515764820783,,,
2020-04-26,371.52,371.58,369.3,369.53,18261,0.0,56.588914997475285,78.13212544195565,80.01697168827938,1.702078015085874,,
2020-04-27,369.35,370.8,369.05,369.89,124868,0.0,57.54797759309635,76.1789275127994,78.84443259270869,1.6161264992870201,,
2020-04-28,369.98,371.14,369.48,370.63,71262,0.0,59.527325427003575,71.16680140123914,75.1592847853314,1.5893995111335926,,
2020-04-29,370.39,370.46,370.39,370.42,300,0.0,58.69101480546594,75.96335219617335,74.43636037007062,1.533594611456408,,
2020-04-30,370.44,370.5,370.34,370.35,1000,0.0,58.396503807141706,78.44246833737537,75.19087397826259,1.4668119167069449,,
2020-05-01,370.43,370.54,370.43,370.52,500,0.0,58.935434227814554,77.84963621665312,77.4184855834006,1.4113347408581376,,
2020-05-02,370.38,370.51,370.38,370.38,1000,0.0,58.26603968410987,75.19458947323645,77.16223134242163,1.3406180390864506,,
2020-05-03,370.48,370.52,370.47,370.52,700,0.0,58.770352477783476,69.54967840230455,74.19796803073136,1.2811036084780767,,
2020-05-04,370.51,370.51,370.5,370.51,400,0.0,58.715773949025106,62.88341976462834,69.20922921338976,1.219078301209663,1.4622383603669076,-0.24316005915724448
2020-05-05,370.45,370.51,370.35,370.49,700,0.0,58.598563810255115,59.200841219768314,63.87797979556705,1.154994903193483,1.4007896689322226,-0.2457947657387396
2020-05-06,370.45,370.5,370.4,370.45,700,0.0,58.34769379024689,58.464773922186886,60.183011635527826,1.0884338944549654,1.3383185140367713,-0.24988461958180586
2020-05-07,370.45,370.47,370.39,370.39,600,0.0,57.94694861118815,57.20294426919,58.289519803715045,1.019094826133255,1.274473776456068,-0.255378950322813
2020-05-08,370.43,370.49,370.4,370.4,700,0.0,57.99872604328113,54.00822101137479,56.558646400917205,0.953953449799883,1.210369711124831,-0.2564162613249481
2020-05-09,370.47,370.47,370.38,370.44,400,0.0,58.22031739410157,53.184041761739685,54.7984023474348,0.8952363777461301,1.1473430444490909,-0.2521066667029608
2020-05-10,370.445,370.5,370.33,370.5,1500,0.0,58.5733752137492,57.803203661326904,54.998488811480435,0.8438171745388559,1.0866378704670439,-0.242820695928188
2020-05-11,370.36,370.42,370.33,370.41,500,0.0,57.78457223217709,60.11426609287218,57.03383717197957,0.786735836703599,1.0266574637143548,-0.2399216270107558
2020-05-12,370.38,370.44,370.35,370.35,300,0.0,57.2312287639542,44.97529877999739,54.297589511398805,0.728262015474229,0.9669783740663298,-0.23871635859210083
2020-05-13,370.39,370.47,370.39,370.44,1000,0.0,57.88273560852619,39.30961943010656,48.133061434325356,0.6813293975255874,0.9098485787581814,-0.22851918123259396
2020-05-14,370.37,370.42,370.37,370.42,400,0.0,57.67248703430718,34.92063492064219,39.735184376915356,0.6351989487337164,0.8549186527532884,-0.21971970401957197
2020-05-15,370.43,370.43,370.37,370.39,500,0.0,57.3360623779193,42.27234753550764,38.83420062875211,0.589424962372675,0.8018199146771657,-0.21239495230449068
2020-05-16,370.43,370.43,370.36,370.36,200,0.0,56.97812096858116,30.075187969933136,35.7560568086943,0.5444518965641691,0.7503463110545665,-0.20589441449039736
2020-05-17,374.52,374.52,374.52,374.52,300,0.0,77.73503671196735,49.122807017549604,40.4901141743301,0.8348638604286407,0.7672498209293814,0.06761403949925926
2020-05-18,374.69,374.74,374.69,374.74,350,0.0,78.33047515411,71.92982456140872,50.37593984963046,1.0704303408303417,0.8278859249095736,0.24254441592076814
2020-05-19,375.03,375.03,375.01,375.01,500,0.0,79.07025844627412,99.8581560283689,73.63692920244237,1.2643307987993921,0.9151748996875373,0.34915589911185485
2020-05-20,374.78,374.78,374.78,374.78,129,0.0,76.6690816032764,98.08510638297882,89.95769565758546,1.383491205484006,1.008838160846831,0.37465304463717497
2020-05-21,374.78,374.78,374.78,374.78,200,0.0,76.6690816032764,96.31205673758875,98.0851063829788,1.4610842169265652,1.0992873720627778,0.3617968448637874
2020-05-22,375.68,375.68,375.68,375.68,100,0.0,79.49497246498223,96.45390070921981,96.9503546099291,1.5770208017669347,1.1948340580036092,0.3821867437633255
2020-05-23,375.14,375.14,374.49,374.5,872,0.0,67.8852199712988,90.87492543249148,94.54696095976664,1.5557515072486012,1.2670175478526078,0.28873395939599344
2020-05-24,374.92,379.33099999999996,374.02,379.31,82562,0.0,80.43103547011965,92.57020594111913,93.29967736094342,1.9050618718595729,1.394626412654001,0.510435459205572
2020-05-25,379.455,379.455,377.41,377.71,64054,0.0,70.55702077669534,86.18177467624629,89.87563534995225,2.029392649012209,1.5215796599256426,0.5078129890865664
2020-05-26,377.715,379.02,376.14,376.34,40085,0.0,63.382027407164145,82.11727036985079,86.95641699573868,1.9943880710092117,1.6161413421423565,0.3782467288668552
2020-05-27,376.22,377.85,375.945,376.88,31302,0.0,64.89726287380276,72.75761967886905,80.35222157498866,1.9873116857246487,1.690375410858815,0.29693627486583374
2020-05-28,377.23,377.86,376.09,377.35,19707,0.0,66.20792129249506,71.43118929814916,75.43535978228961,1.9966129600946374,1.7516229207059797,0.2449900393886577
2020-05-29,377.33,378.13,376.96,377.31,20926,0.0,65.98212248806387,74.98625618471698,73.05835505391168,1.977955976081489,1.7968895317810816,0.18106644430040753
2020-05-30,377.251,377.791,376.29,376.29,57975,0.0,60.33168583926088,65.01245246140341,70.47663264808979,1.8594303507026666,1.8093976955653988,0.050032655137267845
2020-05-31,376.42,376.76,374.64,374.72,18208,0.0,52.83209265530845,43.68714238053212,61.22861700888412,1.6201361387881548,1.7715453842099502,-0.15140924542179546
2020-06-01,374.76,375.41,373.935,375.05,15907,0.0,54.12297442735033,24.948363176584564,44.549319339506646,1.4405166150512514,1.7053396303782107,-0.2648230153269593
2020-06-02,375.155,376.1,375.14,375.78,12890,0.0,56.93098296077073,22.167557742134903,30.267687766417144,1.3416065424362955,1.6325930127898278,-0.2909864703535323
2020-06-03,376.04,376.06,375.21,375.9,13042,0.0,57.39265199220318,29.74033816425096,25.618753027656755,1.2583965819267746,1.5577537266172174,-0.29935714469044283
2020-06-04,375.92,376.12,375.485,375.52,13734,0.0,55.36862384977264,32.57850241545852,28.162132773948077,1.1485495008217868,1.4759128814581315,-0.32736338063634474
2020-06-05,375.44,376.26,375.045,375.95,12323,0.0,57.20768259521181,33.6050724637678,31.97463768115904,1.083700083992369,1.3974703219649791,-0.31377023797261017
2020-06-06,375.83,376.94,375.34,376.9,8014,0.0,61.02838779724243,39.64371980676299,35.275764895329715,1.0963257536103583,1.3372414082940551,-0.2409156546836968
2020-06-07,377.0,377.24,376.74,377.13,5255,0.0,61.914973851502126,49.36594202898532,40.87157809983864,1.1120714975719466,1.2922074261496335,-0.1801359285776869
2020-06-08,377.175,377.51,376.95,377.475,6857,0.0,63.26495901178638,60.40357402419743,49.804411953315196,1.1392560947205084,1.2616171598638086,-0.12236106514330025
2020-06-09,377.51,377.69,377.41,377.43,13642,0.0,62.95151568395591,70.27014079047676,60.01321894788646,1.1439818492418112,1.2380900977394091,-0.09410824849759791
2020-06-10,377.62,378.23,377.48,378.08,9917,0.0,65.6025059269604,83.14585150904037,71.27318877457147,1.1864993851289682,1.227771955217321,-0.04127257008835272
2020-06-11,378.25,378.81,377.97,378.14,23026,0.0,65.84545140000344,88.69248186982969,80.70282472311555,1.2110758091416756,1.2244327260021919,-0.013356916860516321
2020-06-12,378.14,378.86,377.83,378.84,6095,0.0,68.62925335103188,94.1192952747167,88.65254288452887,1.2723698643180796,1.2340201536653694,0.0383497106527102
2020-06-13,378.87,378.97,377.97,378.0,14223,0.0,62.089329598317654,88.86172496459817,90.55783403638146,1.238883783737549,1.2349928796798053,0.003890904057743727
2020-06-14,378.035,378.035,377.25,377.43,120963,0.0,58.04707203533125,83.24762197611585,88.74288073847686,1.1530598313312908,1.2186062700101026,-0.06554643867881182
2020-06-15,377.32,378.85,377.32,378.14,75897,0.0,61.41664722551032,76.3341534945397,82.81450014508452,1.1293167366388843,1.2007483633358589,-0.07143162669697456
2020-06-16,378.38,379.11,378.22,378.81,30008,0.0,64.32828907407378,80.29584355831228,79.95920634298922,1.151292183969474,1.190857127462582,-0.03956494349310802
2020-06-17,378.78,379.62,378.56,378.85,38569,0.0,64.50052738668987,84.88094276369266,80.50364660551482,1.1585801591262452,1.1844017337953148,-0.025821574669069536
2020-06-18,378.83,379.49,378.57,379.35,57149,0.0,66.6671017278663,89.96256192070122,85.04644941423533,1.1909729583616127,1.1857159787085745,0.005256979653038174
2020-06-19,374.7,376.22,374.44,376.03,27598,0.0,46.41198987145682,69.32091341927405,81.38813936788925,0.9379362858723539,1.1361600401413305,-0.19822375426897665
2020-06-20,376.04900000000004,376.42,374.75,376.3,17550,0.0,47.80096948517725,53.566892419351355,70.95012258644215,0.7505379095816807,1.0590356140294006,-0.30849770444771996
2020-06-21,376.35,376.67,375.71,375.785,29135,0.0,45.38459176698625,30.855855855855808,51.24788723149368,0.5540800602418585,0.9580445032718923,-0.40396444303003376
2020-06-22,375.865,376.475,375.395,376.06,14864,0.0,46.92738854550565,31.04890604890619,38.49055144137106,0.4157831120668902,0.8495922250308919,-0.4338091129640017
2020-06-23,375.9,375.9,374.76,374.76,10173,0.0,41.02726093894249,21.13899613899616,27.68125268125266,0.19898882945614105,0.7194715459159418,-0.5204827164598007
2020-06-24,374.6,375.1,374.21,375.1,15838,0.0,43.04420199720528,17.967584695865757,23.385162294589307,0.05399058718893457,0.5863753541705403,-0.5323847669816058
2020-06-25,375.05,375.67,375.0,375.5,6811,0.0,45.40970292455788,15.491118263761692,18.199233032874474,-0.028318469712075967,0.4634365893940171,-0.4917550591060931
2020-06-26,375.28,375.72,374.93,374.93,13578,0.0,42.688884642243956,17.86814540973543,17.10894945645423,-0.13795299042129727,0.34315867343095424,-0.4811116638522515
2020-06-27,375.075,375.68,375.075,375.68,6595,0.0,47.173962655735096,21.441774491682327,18.26701272172642,-0.16244780874990283,0.24203737699478284,-0.40448518574468567
2020-06-28,375.73,376.02,375.32,375.43,9083,0.0,45.88492791131836,21.010474430068076,20.106798110495216,-0.19973066859427036,0.1536837678769722,-0.35341443647124254
2020-06-29,375.24,375.97,375.15,375.78,8769,0.0,48.0261412746049,26.247689463955705,22.899979461901975,-0.19874452552539879,0.083198109196498,-0.2819426347218968
2020-06-30,375.91,377.0,375.89,376.85,11847,0.0,54.01639400526259,33.45656192236612,26.904908605463238,-0.11035088607798116,0.04448831014160218,-0.15483919621958334
2020-07-01,376.86,377.5,376.86,377.3,26637,0.0,56.297671823284325,45.44719374894984,35.050481711757165,-0.003941614304892482,0.03480232525230324,-0.038743939557195725
2020-07-02,377.25,377.32,376.27,376.27,27423,0.0,50.16329308804165,56.64507676419233,45.182944145169365,-0.0026928502170449065,0.027303290158433614,-0.02999614037547852
2020-07-03,376.26,376.705,375.92,375.92,19683,0.0,48.2397551835858,57.7041309754077,53.265467162849895,-0.029604013963478337,0.015921829334051223,-0.04552584329752956
2020-07-04,376.01,376.38,375.78,375.81,8034,0.0,47.621697646085174,54.40729483282691,56.25216752414226,-0.05912582015832868,0.0009122994355752426,-0.06003811959390392
2020-07-05,375.99,376.755,375.909,376.105,9167,0.0,49.49069720997683,52.735562310030936,54.948996039421786,-0.058048878343413435,-0.010879936120222495,-0.04716894222319094
2020-07-06,376.125,376.125,374.64,374.79,11365,0.0,42.25295245984456,41.28672745694089,49.47652819993285,-0.16144387973230323,-0.04099272484263864,-0.1204511548896646
2020-07-07,374.73,375.27,374.21,374.73,16695,0.0,41.95148722689709,30.344478216819535,41.45558932793039,-0.24539786794605334,-0.08187375346332158,-0.16352411448273174
2020-07-08,374.635,375.21,374.23,374.37,25326,0.0,40.10268865582803,12.765957446809374,28.132387706856537,-0.3370951764560459,-0.13291803806186647,-0.20417713839417945
2020-07-09,374.25,374.68,372.99,373.0,69401,0.0,33.967731563340706,6.963474166380656,16.691303276669792,-0.5143840058988189,-0.20921123162925698,-0.30517277426956196
2020-07-10,373.62,373.73,373.62,373.73,400,0.0,39.296634221989315,7.164311212053955,8.964580941747931,-0.5891899662212836,-0.2852069785476623,-0.3039829876736213
2020-07-11,375.56,375.56,375.56,375.56,200,0.0,50.15605971971092,24.538063562453686,12.888616313629369,-0.4951013030411673,-0.3271858434463633,-0.16791545959480397
2020-07-12,375.88,375.88,375.61,375.61,573,0.0,50.417053410291544,43.828529194382874,25.17696798963011,-0.41175432985966154,-0.344099540729023,-0.06765478913063855
2020-07-13,375.749,375.749,375.749,375.749,100,0.0,51.182339958421515,58.750923872875184,42.37250554323718,-0.33067331862218907,-0.34141429630765624,0.010740977685467168
2020-07-14,375.7,375.79900000000004,375.7,375.779,300,0.0,51.356843655609254,60.36954915003701,54.31633407243162,-0.26098679051744966,-0.325328795149615,0.06434200463216533
2020-07-15,375.819,375.819,375.819,375.819,100,0.0,51.60524240949055,62.78346468117223,60.63464590136141,-0.20022399168306038,-0.30030783445630405,0.10008384277324367
2020-07-16,376.47,376.47,376.47,376.47,206,0.0,55.58085065902991,73.20183554362056,65.45161645827655,-0.09840443143741595,-0.25992715385252646,0.1615227224151105
2020-07-17,375.39,375.39,375.39,375.39,205,0.0,48.46736980504912,73.83672392799873,69.94067471759712,-0.10366369983262302,-0.2286744630485458,0.12501076321592278
2020-07-18,375.03,377.69,375.03,375.85,32372,0.0,51.32484879879403,72.34212087818953,73.12689344993622,-0.06990769985924317,-0.1969211104106853,0.12701341055144214
2020-07-19,376.045,377.3,375.46,377.05,77193,0.0,57.88541550032033,70.32635415783672,72.16839965467493,0.05306247333766123,-0.146924393661016,0.19998686699867724
2020-07-20,377.105,379.21,377.06,377.79,32384,0.0,61.345372457688335,74.80148685320775,72.48998729641126,0.20783326460775697,-0.07597286200726142,0.28380612661501836
2020-07-21,377.9,378.7,377.41,378.6,36918,0.0,64.75834255880638,84.58210759161743,76.5699828675539,0.39133934592069863,0.017489579578330597,0.37384976634236805
