Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,296.47,297.55,296.47,297.55,917,0.0,,,,,,
2020-04-02,297.54,298.465,297.25,297.3,4686,0.0,,,,,,
2020-04-03,298.52,299.265,298.52,299.265,403,0.0,,,,,,
2020-04-04,299.64,299.945,299.64,299.945,510,0.0,,,,,,
2020-04-05,299.55,300.48,299.455,299.675,719,0.0,,,,,,
2020-04-06,299.48,299.925,299.48,299.925,401,0.0,,,,,,
2020-04-07,299.735,300.395,299.735,299.765,1311,0.0,,,,,,
2020-04-08,299.935,299.955,299.68,299.68,308,0.0,,,,,,
2020-04-09,299.425,299.425,298.59,298.72,421,0.0,,,,,,
2020-04-10,299.82,299.82,299.02,299.02,406,0.0,,,,,,
2020-04-11,300.095,300.095,298.975,298.975,315,0.0,,,,,,
2020-04-12,298.825,298.825,297.82,298.145,945,0.0,,,,,,
2020-04-13,298.015,298.015,296.26,296.26,825,0.0,,,,,,
2020-04-14,297.3,297.3,296.695,296.695,400,0.0,,,,,,
2020-04-15,296.0,296.17,296.0,296.17,300,0.0,42.01388888888879,,,,,
2020-04-16,296.515,296.96,296.515,296.54,414,0.0,44.57021276595743,8.71875705258431,,,,
2020-04-17,297.115,297.115,297.035,297.035,233,0.0,47.88060473247487,12.983630952381354,,,,
2020-04-18,295.455,295.87,295.455,295.505,305,0.0,39.9405855651598,12.050424958540992,11.250937654502218,,,
2020-04-19,295.435,295.435,294.57,295.18,591,0.0,38.480820839745554,11.523268817114413,12.185774909345588,,,
2020-04-20,295.155,295.155,295.155,295.155,210,0.0,38.3646649654281,7.170015444949832,10.24790307353508,,,
2020-04-21,294.485,294.975,294.485,294.975,212,0.0,37.487264656907016,9.749808103759145,9.481030788607796,,,
2020-04-22,296.105,296.105,295.935,295.935,275,0.0,44.74529897785219,14.874674541425206,10.598166030044728,,,
2020-04-23,294.98,295.455,294.98,295.45,317,0.0,42.086712985905336,17.26084373143176,13.961775458872038,,,
2020-04-24,296.035,296.035,296.035,296.035,101,0.0,46.23617920676621,23.559120617943936,18.56487963026697,,,
2020-04-25,295.82,296.075,295.82,296.075,200,0.0,46.518347133943216,27.155534745667325,22.65849969834768,,,
2020-04-26,295.105,295.64,295.105,295.64,710,0.0,43.82464319753376,32.328241651418715,27.680965671676663,-1.241580818830471,,
2020-04-27,295.39,295.39,293.41,294.63,5627,0.0,38.28177610850849,33.5726531029976,31.018809833361217,-1.2660603860408628,,
2020-04-28,292.845,292.845,287.08,287.08,570,0.0,18.96842559390396,21.36067153617744,29.087188763531255,-1.8730906978320832,,
2020-04-29,289.475,289.475,289.475,289.475,112,0.0,30.881014342598974,18.409645076849582,24.447656572008214,-2.1362843529637985,,
2020-04-30,291.23,291.72,291.23,291.72,208,0.0,39.813036938214886,23.36821126058814,21.04617595787173,-2.1390567682041137,,
2020-05-01,291.455,292.47,291.455,292.44,603,0.0,42.38456992375113,43.165071833071956,28.3143093901699,-2.0594162756636365,,
2020-05-02,292.025,292.025,291.37,291.72,658,0.0,40.52014317941828,52.347163505754025,39.62681553313805,-2.0309866444633826,,
2020-05-03,291.59,292.035,291.59,292.035,309,0.0,41.72784947445948,55.23545706371204,50.249230800846014,-1.9604393648111227,,
2020-05-04,293.77,293.77,293.435,293.435,221,0.0,46.88934156799629,58.91043397968619,55.49768484971742,-1.771145178590018,-1.8308956097110543,0.059750431121036174
2020-05-05,292.755,292.755,292.195,292.195,220,0.0,43.236405010233455,60.66481994459834,58.270236995998864,-1.701571156011255,-1.8050307189710946,0.1034595629598396
2020-05-06,293.17,293.54,292.775,293.54,509,0.0,47.97115910849474,66.30302974310653,61.95942788913036,-1.5203770225833182,-1.7480999796935393,0.22772295711022106
2020-05-07,293.635,293.635,293.275,293.275,500,0.0,47.13690779689422,65.7883906982283,64.2520801286444,-1.382229174198585,-1.6749258185945484,0.2926966443959633
2020-05-08,293.25,293.25,293.25,293.25,105,0.0,47.053771640050506,69.76097832128973,67.28413292087485,-1.2602360830231305,-1.5919878714802649,0.3317517884571344
2020-05-09,293.96,293.96,293.96,293.96,200,0.0,49.76365094304379,72.61303008421082,69.38746636790961,-1.0936576089338814,-1.4923218189709881,0.3986642100371067
2020-05-10,293.55,293.55,293.55,293.55,100,0.0,48.228576112234755,75.60849910954414,72.66083583834823,-0.9833906265683936,-1.3905355804904693,0.4071449539220757
2020-05-11,293.09,293.19,292.68,292.91,901,0.0,45.8509349416951,80.99006875848796,76.40386598408098,-0.9368465164350823,-1.299797767679392,0.3629512512443096
2020-05-12,292.73,292.73,291.23,291.23,416,0.0,40.24250986537501,67.24226976079068,74.61361254294093,-1.023721113721706,-1.2445824368878549,0.22086132316614893
2020-05-13,291.43,292.16,291.43,292.03,406,0.0,43.76969728533988,51.05761205988697,66.42998352638854,-1.0163012555990463,-1.1989262006300931,0.18262494503104687
2020-05-14,292.015,292.015,292.015,292.015,103,0.0,43.71759240767736,32.396347613738335,50.23207647813867,-1.0001027769490634,-1.1591615158938873,0.15905873894482392
2020-05-15,292.395,292.605,292.395,292.605,300,0.0,46.41942030423472,36.14163614163571,39.86519860508701,-0.9289489514888487,-1.1131190030128795,0.18417005152403076
2020-05-16,293.15,293.645,293.15,293.645,472,0.0,50.89431480454598,55.86080586080582,41.4662632053933,-0.7796523765386496,-1.0464256777180336,0.266773301179384
2020-05-17,293.94,294.15,293.94,294.15,200,0.0,52.94918895594888,79.60927960927982,57.203907203907136,-0.6135122978564596,-0.9598430017457188,0.34633070388925924
2020-05-18,294.755,294.755,294.755,294.755,110,0.0,55.35927934411959,96.15384615384613,77.20797720797728,-0.42809186814412215,-0.8534927750253994,0.4254009068812773
2020-05-19,293.98,294.1,293.46,293.49,745,0.0,49.634370580908914,88.0378250591017,87.9336502740759,-0.3788525928065951,-0.7585647385816386,0.37971214577504353
2020-05-20,293.305,293.99,293.305,293.78,415,0.0,50.88824981204717,78.81796690307306,87.66987937200697,-0.3128235013847984,-0.6694164911422706,0.3565929897574722
2020-05-21,293.49,293.83,292.62,292.81,3631,0.0,46.700317124458294,60.42553191489333,75.76044129235605,-0.33490528444309575,-0.6025142498024356,0.26760896535933987
2020-05-22,292.84,292.86,292.81,292.86,400,0.0,46.94270463558048,54.468085106382695,64.57052797478305,-0.3444006382985094,-0.5508915275016504,0.20649088920314096
