Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,446.84,446.84,445.21,445.48,11997,0.0,,,,,,
2020-04-02,445.41,445.425,443.59,443.91,2876,0.0,,,,,,
2020-04-03,443.32,443.49,440.46,440.46,3064,0.0,,,,,,
2020-04-04,440.55,440.55,438.135,440.26,1627,0.0,,,,,,
2020-04-05,440.82,440.89,440.58,440.58,446,0.0,,,,,,
2020-04-06,440.41,440.41,438.345,438.89,748,0.0,,,,,,
2020-04-07,437.56,437.56,435.44,435.44,2224,0.0,,,,,,
2020-04-08,435.86,435.86,433.37,434.905,4686,0.0,,,,,,
2020-04-09,434.665,434.665,431.78,432.44,2797,0.0,,,,,,
2020-04-10,432.58,433.76,431.615,433.305,4070,0.0,,,,,,
2020-04-11,433.135,433.88,431.655,433.22,2616,0.0,,,,,,
2020-04-12,432.64,433.535,432.205,432.47,3005,0.0,,,,,,
2020-04-13,432.58,432.94,431.35,431.97,1534,0.0,,,,,,
2020-04-14,431.59,432.35,431.15,431.49,2408,0.0,,,,,,
2020-04-15,431.55,433.07,430.33,431.46,5586,0.0,7.230018303843806,,,,,
2020-04-16,431.57,432.39,430.41,431.72,13104,0.0,8.78824235152996,6.738405954089381,,,,
2020-04-17,426.02,426.02,426.02,426.02,100,0.0,6.292779386086622,6.016077507095474,,,,
2020-04-18,424.96,430.41,424.84,427.97,5074,0.0,15.167520702802634,10.021289220931505,7.591924227372121,,,
2020-04-19,425.96,429.41,425.75,429.31,4668,0.0,20.7237554403616,16.07020450302836,10.702523743685113,,,
2020-04-20,428.835,429.68,427.375,427.375,1916,0.0,18.808072746705975,22.713286264034704,16.26825999599819,,,
2020-04-21,427.465,431.16,427.465,430.64,1578,0.0,30.484815134905148,33.75662670235779,24.180039156473615,,,
2020-04-22,430.72,430.72,428.26,429.04,621,0.0,28.334298557451064,38.43630527781369,31.635406081402056,,,
2020-04-23,429.43,432.41,429.43,432.41,1209,0.0,38.2198870579428,59.70620286783992,43.96637828267046,,,
2020-04-24,433.135,433.135,431.98,431.98,2133,0.0,37.508920816681666,68.48977684703583,55.54409499756315,,,
2020-04-25,431.93,434.1,431.93,434.1,786,0.0,43.12617535331339,87.57374631268459,71.92324200918678,,,
2020-04-26,433.48,434.5,433.0,434.5,952,0.0,44.14633137346329,92.99410029498536,83.01920781823526,-1.7762821276502336,,
2020-04-27,434.99,434.99,432.71,433.4,1618,0.0,41.91949853030135,94.77832512315264,91.78205724360753,-1.542725245421309,,
2020-04-28,432.48,432.91,430.33,430.33,1121,0.0,36.400826142930654,79.47454844006559,89.08232461940118,-1.5870584545533575,,
2020-04-29,429.56,430.88,429.5,430.88,1479,0.0,37.976208024231305,65.97701149425279,80.07662835249033,-1.5598316702032662,,
2020-04-30,430.34,430.375,429.63,429.63,1059,0.0,35.805430677632685,53.59605911330052,66.34920634920628,-1.620439384228689,,
2020-05-01,429.7,429.82,429.215,429.7,779,0.0,36.02596699770542,51.52709359605916,57.03338806787082,-1.6438734691861328,,
2020-05-02,429.37,429.845,427.435,427.435,2234,0.0,32.174323300456194,37.769940787182215,47.63103116551395,-1.8241836671535339,,
2020-05-03,427.59,428.43,427.48,428.24,1893,0.0,34.84068655371908,25.825621229486174,38.37421853757584,-1.880447398698891,,
2020-05-04,428.57,430.03,428.32,430.03,1210,0.0,40.44692074838314,21.314401373780917,28.303321130149765,-1.7603070470754005,-1.6883498293523127,-0.07195721772308783
2020-05-05,430.5,431.58,430.5,431.58,743,0.0,44.870201372704415,33.52386721494752,26.887963272738205,-1.522472788144512,-1.6551744211107526,0.1327016329662407
2020-05-06,431.65,433.22,431.65,433.22,31606,0.0,49.17190912331622,55.261416280608756,36.69989495644573,-1.1879590777212456,-1.5617313524328513,0.3737722747116057
2020-05-07,432.48,432.805,432.33,432.35,1272,0.0,47.0734957996369,65.49746304875369,51.427582181436655,-0.9817394005779647,-1.445732962061874,0.46399356148390924
2020-05-08,432.05,433.6,432.05,433.0,911,0.0,48.830465290077136,71.76262960511818,64.17383631149353,-0.757131512211231,-1.3080126720917453,0.5508811598805143
2020-05-09,432.1,432.15,431.11,432.15,1670,0.0,46.649598337571305,67.04169424222364,68.10059563203183,-0.640334659363134,-1.1744770695460232,0.5341424101828891
2020-05-10,431.94,432.23,431.94,432.23,207,0.0,46.890018123888545,66.51224354731957,68.43885579822046,-0.5351481261132562,-1.0466112808594699,0.5114631547462136
2020-05-11,430.56,431.01,429.92,429.92,1544,0.0,41.12681103511095,55.39503137217221,62.982989720571815,-0.6309119746940723,-0.9634714196263904,0.33255944493231804
2020-05-12,430.16,430.7,428.88,430.04,3516,0.0,41.52886035600094,48.67691895908348,56.861397959525085,-0.6891781013633818,-0.9086127559737888,0.219434654610407
2020-05-13,430.32,430.73,429.23,430.52,145920,0.0,43.199783363302515,44.201135442011285,49.42436192442233,-0.6886837208181191,-0.8646269489426549,0.17594322812453578
2020-05-14,430.4,430.41,430.19,430.19,700,0.0,42.30470524603063,45.66098945660972,46.179681285901495,-0.7067729244271277,-0.8330561440395495,0.12628321961242184
2020-05-15,430.43,430.43,430.18,430.18,700,0.0,42.27611978282691,46.41795079751259,45.4266918987112,-0.7136887058937305,-0.8091826564103857,0.09549395051665521
2020-05-16,430.2,430.35,430.2,430.29,900,0.0,42.73450117273426,45.042777857290446,45.707239370470916,-0.7021989197962171,-0.787785909087552,0.0855869892913349
2020-05-17,430.33,430.36,430.26,430.26,600,0.0,42.635063345579276,42.39433478913934,44.61835448131413,-0.6875878461323737,-0.7677462964965164,0.08015845036414271
2020-05-18,430.32,430.32,430.32,430.32,200,0.0,42.92112724453663,37.721977166144534,41.71969660419145,-0.6635183400295546,-0.7469007052031241,0.08338236517356956
2020-05-19,430.32,430.4,430.32,430.32,700,0.0,42.92112724453663,32.586457798321995,37.567589917868624,-0.6370990023133345,-0.7249403646251662,0.0878413623118317
2020-05-20,430.32,430.42,430.27,430.27,600,0.0,42.715259783708056,30.155367231638138,33.48793406536822,-0.6131283074950034,-0.7025779531991336,0.08944964570413028
2020-05-21,430.29,430.32,430.29,430.32,300,0.0,43.00963598914741,30.155367231638138,30.965730753866087,-0.5833720274237066,-0.6787367680440484,0.09536474062034173
2020-05-22,430.32,430.335,430.29,430.33,700,0.0,43.07264453303826,34.41373640273168,31.57482362200265,-0.5526128675111863,-0.653511987937476,0.10089912042628968
2020-05-23,430.3,430.34,430.3,430.34,200,0.0,43.14034426070314,39.12471540602018,34.564606346796666,-0.5214185072662758,-0.627093291803236,0.10567478453696022
2020-05-24,430.32,430.34,430.29,430.32,600,0.0,43.03012608713993,51.49043514820216,41.676295652318004,-0.4926318317778282,-0.6002009997981546,0.10756916802032634
2020-05-25,430.3,430.35,430.3,430.35,500,0.0,43.26428037429167,63.549060938171614,51.388070497464646,-0.46207096828374006,-0.5725749934952717,0.11050402521153169
2020-05-26,430.28,430.35,430.23,430.28,1200,0.0,42.82201249591005,72.35503108742465,62.46484239126613,-0.43844555137769703,-0.5457491050717568,0.10730355369405975
2020-05-27,430.29,430.31,430.2,430.2,600,0.0,42.28994144808522,52.48648648648324,62.79685950402649,-0.4213208452391086,-0.5208634531052272,0.09954260786611857
2020-05-28,430.22,430.26,430.19,430.23,500,0.0,42.57807659733749,32.66666666666476,52.50272808019088,-0.4007095131334495,-0.4968326651108717,0.09612315197742222
2020-05-29,430.24,430.25,430.23,430.25,300,0.0,42.78317482436144,18.028985507245125,34.39404622013104,-0.3783991017899666,-0.4731459524466907,0.09474685065672411
2020-05-30,430.27,430.3,430.25,430.26,800,0.0,42.893006637673,25.50724637681098,25.400966183573615,-0.35580947350899805,-0.44967865665915224,0.09386918315015419
2020-05-31,430.26,430.32,430.22,430.32,300,0.0,43.59264890257305,37.681159420285574,27.07246376811389,-0.3292699131918084,-0.4255969079656835,0.09632699477387507
2020-06-01,432.42,435.825,431.33,434.84,4425,0.0,71.71055696019896,56.49216208222018,39.89352262643891,0.055845353873678505,-0.3293084555978111,0.3851538094714896
2020-06-02,435.345,436.93,435.345,435.62,1776,0.0,74.10903825143323,73.20183395251827,55.79171848500801,0.4191596473993968,-0.1796148349983695,0.5987744823977663
2020-06-03,436.4,437.655,435.41,435.41,4056,0.0,72.33098128727946,77.6700285223489,69.12134151902912,0.6822787132967392,-0.007236125339347754,0.689514838636087
2020-06-04,435.07,436.95,434.9,435.87,4771,0.0,73.81309616532843,75.5261778838672,75.46601345291147,0.9173460303012462,0.17768030578877103,0.7396657245124751
2020-06-05,436.21,437.25,436.165,436.77,4823,0.0,76.4689203689989,78.0531368609068,77.08311442237431,1.1628563666403124,0.3747155179590793,0.7881408486812331
2020-06-06,437.2,437.2,435.86,435.86,2631,0.0,68.86405816125608,80.0625139540079,77.88060956626065,1.26936325275625,0.5536450649185135,0.7157181878377364
2020-06-07,436.115,436.115,434.89,434.89,2157,0.0,61.80794232518822,75.68653717347644,77.93406266279705,1.2609642233285285,0.6951088966005166,0.565855326728012
2020-06-08,434.53,435.2,434.045,434.045,4641,0.0,56.38760407136888,63.51864255414187,73.08923122720874,1.1726064171007806,0.7906084007005694,0.38199801640021125
2020-06-09,434.405,434.97,433.62,433.98,2620,0.0,55.980914139658815,55.12391158740822,64.7763637716755,1.084831994362787,0.8494531194330129,0.23537887492977416
2020-06-10,434.79,434.9,434.755,434.9,801,0.0,60.34087021346335,55.16856441169932,57.9370395177498,1.0770904153587253,0.8949805786181554,0.1821098367405699
2020-06-11,434.72,435.71,433.91,435.71,1294,0.0,63.745607462035146,62.568216047600565,57.620230682236034,1.1233659256506598,0.9406576480246563,0.1827082776260035
2020-06-12,435.585,435.585,435.25,435.25,505,0.0,60.565629201340634,68.1957931754449,61.97752454491493,1.110124619746557,0.9745510423690366,0.13557357737752052
2020-06-13,435.92,436.28,435.92,436.28,226,0.0,64.79992812050256,74.33310916834787,68.36570613046445,1.1692646265767621,1.0134937592105817,0.1557708673661804
2020-06-14,435.81,435.81,435.635,435.79,337,0.0,61.421088004446425,73.22440509891193,71.91776914756822,1.1631861176650773,1.043432230901481,0.11975388676359633
2020-06-15,436.53,436.83,436.41,436.56,845,0.0,64.54930717624202,74.96089207525974,74.17280211417317,1.2065925723050555,1.0760642991821958,0.13052827312285964
2020-06-16,437.02,437.02,436.57,436.995,806,0.0,66.21594849146155,75.67313673342508,74.61947796919888,1.2615509903585576,1.1131616374174682,0.14838935294108935
2020-06-17,436.765,436.765,436.3,436.4,1204,0.0,61.92737848045408,77.6965327489155,76.11018718586676,1.242768543074419,1.1390830185488585,0.10368552452556057
2020-06-18,436.46,436.56,436.0,436.0,1034,0.0,59.153679219204214,75.26396100238615,76.21121016157558,1.1819815140846117,1.1476627176560092,0.03431879642860247
2020-06-19,436.44,436.86,436.44,436.745,944,0.0,62.52072357542556,76.47975437462478,76.48008270864214,1.180316673547452,1.1541935088342978,0.026123164713154123
2020-06-20,437.02,437.35,436.47,437.35,1660,0.0,65.04094859664563,84.28508036176915,78.67626524626003,1.2138235173026715,1.1661195105279727,0.04770400677469877
2020-06-21,437.14,437.81,437.14,437.21,917,0.0,63.96899740934752,90.99023124136117,83.91835532591837,1.2150744801616042,1.175910504454699,0.03916397570690533
2020-06-22,436.92,437.11,436.29,436.29,308,0.0,57.28724257218713,83.13444709626089,86.1365862331304,1.1288172632543478,1.1664918562146287,-0.03767459296028086
2020-06-23,437.8,437.8,437.49,437.68,422,0.0,63.4919497276897,82.02333598514981,85.38267144092396,1.159255999144591,1.165044684800621,-0.005788685656030079
2020-06-24,437.48,438.05,437.48,437.75,1619,0.0,63.77732225072212,84.38114673768932,83.17964327303334,1.175477162601112,1.1671311803607194,0.008345982240392624
2020-06-25,438.0,438.28,437.575,437.84,2465,0.0,64.16516712057208,91.63294590328591,86.01247620870835,1.1819697873879136,1.1700989017661583,0.011870885621755312
2020-06-26,437.88,437.91,437.02,437.07,4411,0.0,58.403486608153095,77.49515972391194,84.50308412162907,1.112162359088245,1.1585115932305756,-0.04634923414233061
2020-06-27,434.325,436.37,434.325,436.37,816,0.0,53.68408040105337,63.81285212086589,77.64698591602126,0.9889552587498542,1.1246003263344313,-0.13564506758457706
2020-06-28,434.55,434.72,433.91,434.72,917,0.0,44.54647296749011,41.49849253845467,60.935501461077514,0.7495314022596631,1.0495865415194776,-0.30005513925981453
2020-06-29,434.99,435.115,434.27,434.76,1650,0.0,44.79180331280379,29.8976568007168,45.0696671533458,0.5565978235022726,0.9509887979160367,-0.39439097441376414
2020-06-30,434.78,436.28,434.78,436.12,1475,0.0,52.4881959845054,29.519450800915294,33.638533380028925,0.5075860700769681,0.8623082523482231,-0.35472218227125496
2020-07-01,436.02,436.3,435.57,435.74,1746,0.0,50.37505459174784,37.29977116704797,32.238959589560025,0.4330887012101243,0.7764643421206033,-0.343375640910479
2020-07-02,434.68,434.7,434.015,434.7,606,0.0,45.03163748644597,36.8421052631578,34.55377574370702,0.2868233700328915,0.678536147703061,-0.39171277767016954
2020-07-03,434.72,435.29,434.72,435.29,226,0.0,48.37705031813532,30.51106025934396,34.884312229849904,0.21602490976539457,0.5860339001155277,-0.3700089903501331
2020-07-04,434.675,436.87,434.675,436.71,2726,0.0,55.41080988684544,37.90999237223475,35.0877192982455,0.2713705615813069,0.5231012324086836,-0.25173067082737666
2020-07-05,437.11,437.44,437.11,437.41,471,0.0,58.418539690585085,58.58123569794085,42.334096109839855,0.36748045332791435,0.49197707659252976,-0.12449662326461541
