Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,36.575,36.86,36.49,36.575,3322,0.0,,,,,,
2020-04-02,36.51,36.62,36.47,36.61,2990,0.0,,,,,,
2020-04-03,36.63,36.68,36.59,36.63,3424,0.0,,,,,,
2020-04-04,36.61,36.62,36.495,36.615,2551,0.0,,,,,,
2020-04-05,36.61,36.665,36.54,36.65,2563,0.0,,,,,,
2020-04-06,36.67,36.71,36.61,36.61,3257,0.0,,,,,,
2020-04-07,36.6,36.68,36.59,36.665,2593,0.0,,,,,,
2020-04-08,36.63,36.71,36.6,36.71,4073,0.0,,,,,,
2020-04-09,36.73,36.81,36.73,36.81,3430,0.0,,,,,,
2020-04-10,36.78,36.92,36.78,36.905,2575,0.0,,,,,,
2020-04-11,36.92,36.935,36.85,36.885,4479,0.0,,,,,,
2020-04-12,36.91,37.01,36.9,37.01,1727,0.0,,,,,,
2020-04-13,37.02,37.17,37.02,37.145,3793,0.0,,,,,,
2020-04-14,37.14,37.195,37.02,37.02,3902,0.0,,,,,,
2020-04-15,37.04,37.12,37.02,37.11,3641,0.0,78.60962566844894,,,,,
2020-04-16,37.085,37.1,37.05,37.07,2530,0.0,75.14746362563885,82.09359605911344,,,,
2020-04-17,37.08,37.09,36.925,36.93,5461,0.0,64.44859522141785,77.52052545155995,,,,
2020-04-18,36.925,36.96,36.86,36.88,3366,0.0,61.1027128886333,65.3980370774266,75.0040528627,,,
2020-04-19,36.87,36.9,36.79,36.795,7060,0.0,55.79925401054058,49.31185053669454,64.07680435522701,,,
2020-04-20,36.79,36.84,36.735,36.825,4747,0.0,57.21087822104552,41.54522322461269,52.0850369462446,,,
2020-04-21,36.83,36.9,36.77,36.865,5108,0.0,59.08705460623298,39.08836261777446,43.315145459693895,,,
2020-04-22,36.865,36.99,36.83,36.94,4141,0.0,62.41475088408828,42.84736021841427,41.160315353600474,,,
2020-04-23,36.97,37.02,36.92,36.995,6825,0.0,64.68330478005441,48.740281526355126,43.55866812084795,,,
2020-04-24,36.985,37.03,36.905,36.985,11486,0.0,63.92778933185952,52.0102851799904,47.865975641586594,,,
2020-04-25,36.95,37.03,36.86,37.015,16422,0.0,65.23951469933652,57.24637681159404,52.66564783931318,,,
2020-04-26,37.02,37.05,36.89,37.0,45295,0.0,63.986621571948405,57.608695652173935,55.621785881252784,0.08435604906613747,,
2020-04-27,37.255,37.255,37.0,37.0,5005,0.0,63.9866215719484,56.47993311036788,57.111668524711945,0.08288378379231887,,
2020-04-28,37.04,37.245,37.04,37.1,3902,0.0,68.64269800981518,59.58751393533995,57.89204756596058,0.08876296303599673,,
2020-04-29,37.24,37.24,37.05,37.18,4047,0.0,71.78541044542925,68.91025641025618,61.65923448532133,0.09873938024359319,,
2020-04-30,37.12,37.12,37.015,37.06,4236,0.0,61.78287672959321,72.75641025641015,67.08472686733542,0.09585777685646235,,
2020-05-01,37.07,37.13,37.02,37.13,4015,0.0,64.85890682926987,74.67948717948714,72.11538461538449,0.09809175965165196,,
2020-05-02,37.12,37.12,36.865,36.9,3622,0.0,50.48153205039042,56.730769230769226,68.05555555555549,0.08037659791396123,,
2020-05-03,36.92,36.94,36.88,36.89,3003,0.0,49.96295306220174,45.833333333333286,59.08119658119654,0.06478350426860402,,
2020-05-04,36.88,36.9,36.77,36.8,2973,0.0,45.438808091096966,22.574676182923103,41.712926249008525,0.044648932275585196,0.08205563856714566,-0.03740670629156047
2020-05-05,36.78,36.9,36.78,36.8,3562,0.0,45.43880809109697,14.059608776102829,27.489206097453053,0.028365162967375568,0.07131754344719164,-0.042952380479816074
2020-05-06,36.82,36.84,36.78,36.78,2848,0.0,44.402584405570536,4.810996563572943,13.815093840866274,0.013688532734818182,0.05979174130471695,-0.04610320856989877
2020-05-07,36.8,36.86,36.76,36.86,4164,0.0,49.37571810000003,9.483147627477026,9.451250989050914,0.008415520071302751,0.04951649705803411,-0.04110097698673136
2020-05-08,36.88,36.9,36.86,36.89,1694,0.0,51.14069398380263,16.175500711583187,10.1565483008777,0.006581501374007814,0.04092949792122885,-0.03434799654722104
2020-05-09,36.88,36.94,36.87,36.94,1756,0.0,54.018094376513716,27.609427609427613,17.75602531616259,0.009058193262177383,0.034555236989418564,-0.02549704372724118
2020-05-10,36.93,36.94,36.89,36.89,2390,0.0,50.796495684167255,29.62962962962969,24.471519316880148,0.006906790117440664,0.029025547615022986,-0.022118757497582322
2020-05-11,36.92,36.93,36.85,36.865,2209,0.0,49.216000464522494,28.09191572078195,28.44365765327974,0.003148205999856657,0.02385007929198972,-0.020701873292133063
2020-05-12,36.85,36.89,36.85,36.85,2542,0.0,48.246033415115065,22.220703599570147,26.647416316660582,-0.0010290118244569157,0.018874261068700396,-0.01990327289315731
2020-05-13,36.87,36.87,36.77,36.775,2016,0.0,43.61728111068146,14.817846196712688,21.710155172354916,-0.010272940184535173,0.013044820818053283,-0.023317761002588457
2020-05-14,36.79,36.8,36.74,36.76,2172,0.0,42.73421595732735,9.31075306075295,15.449767619011913,-0.018594844852010795,0.006716887684040468,-0.025311732536051262
2020-05-15,36.76,36.78,36.735,36.775,2071,0.0,43.95614735174457,6.523956523956173,10.217518593807254,-0.02370636737095566,0.0006322366730412421,-0.024338604043996903
2020-05-16,36.78,36.82,36.775,36.805,3058,0.0,46.41866754402559,16.55471899374314,10.796476192817407,-0.025047801055357866,-0.004503770872638579,-0.020544030182719285
2020-05-17,36.8,36.88,36.79,36.87,3031,0.0,51.401241754029336,36.796536796536756,19.958404104745338,-0.0206281516507687,-0.007728647028264604,-0.012899504622504096
2020-05-18,36.87,36.88,36.775,36.79,3114,0.0,45.76100731651491,42.27642276422768,31.87589285150251,-0.02331215110129392,-0.01084534784287047,-0.012466803258423451
2020-05-19,36.81,36.845,36.81,36.84,2938,0.0,49.49139220927251,47.96747967479744,42.346813078520604,-0.021160730145425077,-0.012908424303381391,-0.008252305842043686
2020-05-20,36.83,36.83,36.73,36.75,4615,0.0,43.66934296428947,29.190863337206114,39.81158859207706,-0.026413483184043685,-0.015609436079513851,-0.010804047104529833
2020-05-21,36.74,36.82,36.69,36.785,10266,0.0,46.31427922285646,32.91444057297829,36.69092786166059,-0.0274358568389772,-0.017974720231406522,-0.00946113660757068
2020-05-22,36.82,36.82,36.73,36.76,32757,0.0,44.69979942328028,25.17460317460356,29.09330236159597,-0.02991850449639344,-0.020363477084403905,-0.009555027411989533
2020-05-23,36.81,36.81,36.74,36.74,1200,0.0,43.39649161652795,28.66666666666714,28.91857013808298,-0.033118088792129186,-0.022914399425948962,-0.010203689366180223
2020-05-24,36.74,36.75,36.74,36.75,400,0.0,44.271423136709494,24.333333333334206,26.058201058201618,-0.034449750690015435,-0.025221469678762258,-0.009228281011253177
2020-05-25,36.74,36.8,36.71,36.71,500,0.0,41.507643187560944,18.33333333333464,23.777777777778642,-0.038291368978221385,-0.027835449538654085,-0.0104559194395673
2020-05-26,36.7,36.8,36.65,36.8,800,0.0,49.19310293568474,33.40579710144943,25.35748792270607,-0.033685327819654276,-0.029005425194854127,-0.004679902624800149
2020-05-27,36.77,36.79,36.69,36.75,900,0.0,45.607829261800504,39.56521739130421,30.434782608696068,-0.033681331723109054,-0.029940606500505115,-0.003740725222603939
