Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,87.79,87.79,87.61,87.69,7048,0.0,,,,,,
2020-04-02,87.41,88.08,87.41,87.8,1950,0.0,,,,,,
2020-04-03,87.84,88.25,87.84,87.98,1693,0.0,,,,,,
2020-04-04,88.165,88.21,87.63,87.63,2107,0.0,,,,,,
2020-04-05,87.53,87.99,87.44,87.95,2839,0.0,,,,,,
2020-04-06,87.92,88.33,87.85,88.33,2318,0.0,,,,,,
2020-04-07,88.3,88.3,87.88,87.89,2134,0.0,,,,,,
2020-04-08,87.925,87.96,87.68,87.94,1123,0.0,,,,,,
2020-04-09,88.26,88.67,88.26,88.67,1432,0.0,,,,,,
2020-04-10,88.895,89.385,88.895,89.385,2397,0.0,,,,,,
2020-04-11,89.29,89.34,89.13,89.18,2337,0.0,,,,,,
2020-04-12,89.255,89.255,88.855,88.87,4014,0.0,,,,,,
2020-04-13,88.845,88.95,88.8,88.95,2961,0.0,,,,,,
2020-04-14,88.96,88.96,88.8,88.9,2304,0.0,,,,,,
2020-04-15,88.81,88.81,88.575,88.68,2895,0.0,61.95652173913051,,,,,
2020-04-16,88.58,88.76,88.58,88.755,1768,0.0,62.684527063969334,69.11869664725087,,,,
2020-04-17,88.73,88.73,88.42,88.47,3308,0.0,58.13214243925272,61.62311672252765,,,,
2020-04-18,88.47,88.47,88.2,88.3,3353,0.0,55.541058449084574,54.92716366752333,61.88965901243395,,,
2020-04-19,88.1,88.1,87.62,87.71,3824,0.0,47.609687435204,34.09046221516605,50.21358086840568,,,
2020-04-20,87.85,87.85,87.35,87.35,2346,0.0,43.52543646180476,16.43836281499472,35.15199623256137,,,
2020-04-21,87.3,87.55,86.98,87.54,3805,0.0,46.15104602757335,9.461324475488608,19.99671650188313,,,
2020-04-22,87.66,87.66,87.45,87.55,1100,0.0,46.29257412970273,15.661815661815593,13.853834317432982,,,
2020-04-23,87.58,87.92,87.5,87.855,910,0.0,50.56056455979771,27.789327789327714,17.63748930887731,,,
2020-04-24,87.95,87.95,87.615,87.78,802,0.0,49.518481055595636,31.327155055968472,24.9260995023706,,,
2020-04-25,87.89,87.9,87.7,87.74,707,0.0,48.93914521430897,34.56247829129171,31.22632037886264,,,
2020-04-26,87.645,87.925,87.53,87.925,1620,0.0,51.75072428491997,38.34405707287047,34.744563473376886,-0.256591704154161,,
2020-04-27,87.93,88.06,87.64,87.97,5855,0.0,52.436779301674704,43.71128871128858,38.87260802515026,-0.23429773608134496,,
2020-04-28,87.1,87.1,86.33,86.42,1098,0.0,34.329874190886244,33.785434995112425,38.61359359309049,-0.33780761595500053,,
2020-04-29,87.08,87.33,87.08,87.33,716,0.0,46.098003804551894,31.59376521085004,36.36349630575035,-0.34246284815280603,,
2020-04-30,87.475,87.61,87.475,87.61,204,0.0,49.11930453703107,32.70487632196113,32.694692175974545,-0.31987121698981014,,
2020-05-01,87.48,87.67,87.38,87.5,1525,0.0,47.981462625577585,49.71949796802682,38.00604650027934,-0.30730089380524817,,
