Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,67.465,68.01,67.11,68.0,136349,0.0,,,,,,
2020-04-02,67.97,68.94,67.97,68.88,215776,0.0,,,,,,
2020-04-03,68.9,69.24,68.27,69.21,144419,0.0,,,,,,
2020-04-04,69.25,69.45,68.86,68.9,232956,0.0,,,,,,
2020-04-05,68.88,69.37,68.78,69.15,123784,0.0,,,,,,
2020-04-06,69.14,69.2,68.21,68.475,147630,0.0,,,,,,
2020-04-07,68.465,68.57,67.71,68.1,235956,0.0,,,,,,
2020-04-08,68.095,68.93,67.67,67.67,211328,0.0,,,,,,
2020-04-09,67.8,68.1,67.66,68.07,85999,0.0,,,,,,
2020-04-10,68.07,68.63,67.92,68.45,108950,0.0,,,,,,
2020-04-11,68.495,68.88,68.32,68.84,110035,0.0,,,,,,
2020-04-12,68.85,68.85,68.38,68.54,94321,0.0,,,,,,
2020-04-13,68.54,69.11,68.38,69.11,149471,0.0,,,,,,
2020-04-14,69.11,69.65,69.05,69.335,204580,0.0,,,,,,
2020-04-15,69.35,69.52,69.16,69.5,108899,0.0,63.20422535211272,,,,,
2020-04-16,69.49,69.92,69.32,69.83,134520,0.0,65.37088962528682,92.02614528989425,,,,
2020-04-17,69.82,69.87,69.39,69.44,146301,0.0,60.81337443680343,89.08035753991176,,,,
2020-04-18,69.41,69.68,69.1,69.435,159501,0.0,60.754893398695536,84.43952802359874,88.51534361780159,,,
2020-04-19,69.435,69.57,69.28,69.42,372997,0.0,60.56672097835433,78.39233038348081,83.97073864899711,,,
2020-04-20,69.27,69.42,69.27,69.355,600,0.0,59.703775643257146,77.13864306784667,79.99016715830875,,,
2020-04-21,69.39,69.44,69.39,69.44,400,0.0,60.49641563252385,77.21238938053098,77.58112094395283,,,
2020-04-22,69.47,69.47,69.28,69.28,200,0.0,58.1766399169202,75.14749262536874,76.49950835791547,,,
2020-04-23,69.38,69.43,69.38,69.43,300,0.0,59.73545676289418,75.31415929203543,75.89134709931174,,,
2020-04-24,69.39,69.44,69.37,69.41,800,0.0,59.41746657451191,71.76880530973453,74.07681907571293,,,
