Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,3011.27,3011.27,3001.845,3002.52,3766,0.0,,,,,,
2020-04-02,3005.46,3009.89,2994.78,3005.45,3581,0.0,,,,,,
2020-04-03,3000.0,3000.0,2977.8,2980.43,56132,0.0,,,,,,
2020-04-04,2980.645,3006.05,2972.405,3006.05,6481,0.0,,,,,,
2020-04-05,3005.29,3005.29,2989.065,3001.15,5537,0.0,,,,,,
2020-04-06,2999.955,3008.735,2994.25,3000.0,6972,0.0,,,,,,
2020-04-07,3000.33,3002.5,2987.02,2996.0,6158,0.0,,,,,,
2020-04-08,2996.24,2998.68,2985.78,2992.04,4595,0.0,,,,,,
2020-04-09,2989.6,3001.515,2981.75,2989.77,15467,0.0,,,,,,
2020-04-10,2991.82,2993.26,2978.52,2985.595,32564,0.0,,,,,,
2020-04-11,2942.3,2942.3,2933.0,2933.0,200,0.0,,,,,,
2020-04-12,2927.14,2957.78,2891.77,2927.13,33516,0.0,,,,,,
2020-04-13,2923.3,2948.26,2909.02,2948.26,10715,0.0,,,,,,
2020-04-14,2949.575,2962.77,2935.0,2950.2,10464,0.0,,,,,,
2020-04-15,2956.04,2980.82,2956.04,2973.01,9049,0.0,41.727869036273,,,,,
2020-04-16,2961.52,2967.14,2953.63,2967.14,2155,0.0,40.29962640410831,60.70366388304503,,,,
2020-04-17,2974.03,3001.05,2969.265,3000.99,7128,0.0,50.765004899931164,75.53131840259066,,,,
2020-04-18,2997.0,3004.98,2989.28,3003.72,4408,0.0,51.5033816359742,84.50961113723453,73.58153114095673,,,
2020-04-19,3003.585,3031.58,2993.11,3025.21,9065,0.0,56.97352071424228,94.84485675083538,84.96192876355352,,,
2020-04-20,3020.26,3023.15,2999.88,3005.3,6356,0.0,51.21031780061745,90.78642350060163,90.04696379622384,,,
2020-04-21,3016.32,3016.32,3001.42,3011.35,3087,0.0,52.77362477106815,87.392413513578,91.00789792167166,,,
2020-04-22,3009.92,3009.92,2978.33,2978.33,5155,0.0,44.409855998783875,76.21533986600865,84.79805896006275,,,
