Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,51.15,51.3,51.15,51.3,2473,0.0,,,,,,
2020-04-02,51.27,51.43,51.27,51.43,1262,0.0,,,,,,
2020-04-03,51.5,51.5,51.36,51.385,973,0.0,,,,,,
2020-04-04,51.41,51.41,51.33,51.35,1127,0.0,,,,,,
2020-04-05,51.335,51.48,51.335,51.48,1204,0.0,,,,,,
2020-04-06,51.45,51.59,51.45,51.45,2431,0.0,,,,,,
2020-04-07,51.48,51.76,51.48,51.76,1857,0.0,,,,,,
2020-04-08,51.74,51.9,51.72,51.9,1552,0.0,,,,,,
2020-04-09,51.86,51.97,51.86,51.9,2201,0.0,,,,,,
2020-04-10,51.85,51.88,51.82,51.85,799,0.0,,,,,,
2020-04-11,51.86,51.88,51.71,51.71,1833,0.0,,,,,,
2020-04-12,51.66,51.68,51.58,51.615,1360,0.0,,,,,,
2020-04-13,51.59,51.82,51.57,51.82,978,0.0,,,,,,
2020-04-14,51.715,51.73,51.615,51.615,830,0.0,,,,,,
2020-04-15,51.655,51.67,51.63,51.67,837,0.0,61.78343949044616,,,,,
2020-04-16,51.67,51.67,51.59,51.615,1556,0.0,59.537299338999325,52.793808072009654,,,,
2020-04-17,51.475,51.495,51.385,51.385,1177,0.0,51.16097621871296,36.75595238095259,,,,
2020-04-18,51.39,51.4,51.3,51.38,1836,0.0,50.99301776903619,21.688432835821317,37.079397762927854,,,
2020-04-19,51.35,51.35,51.11,51.12,1854,0.0,43.074077817079264,7.232279735045864,21.89222165060659,,,
2020-04-20,51.095,51.155,51.04,51.155,1724,0.0,44.32744090441459,8.489560200995776,12.470090923954317,,,
2020-04-21,51.13,51.23,50.95,51.14,2856,0.0,43.88152146992473,10.718611025305291,8.813483653782308,,,
2020-04-22,51.115,51.28,51.11,51.26,2777,0.0,48.35728826747459,20.46173308032881,13.223301435543291,,,
2020-04-23,51.26,51.26,51.09,51.17,3094,0.0,45.43072968992803,24.22517394054375,18.468506015392617,,,
2020-04-24,51.2,51.23,51.185,51.225,2120,0.0,47.52092244685739,27.872654438119127,24.186520486330565,,,
2020-04-25,51.23,51.28,51.09,51.24,2823,0.0,48.10474264353978,28.853046594981993,26.983624991214956,,,
2020-04-26,51.24,51.24,51.06,51.24,6303,0.0,48.10474264353978,32.078853046594936,29.601518026565355,-0.16758281820346355,,
2020-04-27,50.96,51.08,50.92,50.92,966,0.0,37.721931953991835,22.22222222222223,27.718040621266386,-0.18550674141651768,,
2020-04-28,50.91,51.11,50.91,51.065,504,0.0,43.65630782294269,17.909356725146207,24.070143997987795,-0.1858687126926526,,
2020-04-29,51.23,51.26,51.185,51.205,1393,0.0,48.73557146413113,19.736842105263154,19.9561403508772,-0.1728660552857164,,
2020-04-30,51.22,51.28,51.165,51.275,4132,0.0,51.10880664896635,40.53456290298403,26.06025391113113,-0.15512475896649391,,
2020-05-01,51.265,51.415,51.265,51.415,2219,0.0,55.54174553721751,67.06965062228227,42.44701854350982,-0.12828898824383828,,
2020-05-02,51.485,51.565,51.46,51.52,4261,0.0,58.57539521079943,85.17431112850996,64.25950821792541,-0.09742576060364883,,
2020-05-03,51.57,51.61,51.5,51.55,1376,0.0,59.427247184147326,94.85278080697945,82.36558085259055,-0.06974174167638836,,
2020-05-04,51.47,51.5,51.425,51.425,2101,0.0,54.40690602095269,86.04325699745557,88.69011631098165,-0.057228715546187914,-0.1355149214038786,0.0782862058576907
2020-05-05,51.42,51.46,51.41,51.43,1410,0.0,54.57222160328317,79.76190476190465,86.88598085544656,-0.04637402310177663,-0.11768674174345821,0.07131271864168158
2020-05-06,51.405,51.46,51.4,51.46,1245,0.0,55.61217651543675,75.47619047619055,80.42711741185025,-0.034947993145586054,-0.1011389920238838,0.06619099887829774
2020-05-07,51.43,51.475,51.39,51.475,1562,0.0,56.1526704790361,77.85714285714313,77.69841269841277,-0.024401126448907462,-0.08579141890888853,0.061390292459981066
2020-05-08,51.45,51.455,51.44,51.45,926,0.0,54.95167501918495,78.80952380952421,77.38095238095262,-0.017854138279723486,-0.07220396278305552,0.054349824503332034
2020-05-09,51.45,51.52,51.45,51.5,3572,0.0,56.935507354247584,80.71428571428608,79.12698412698445,-0.008532661642561834,-0.05946970255495679,0.050937040912394954
2020-05-10,51.42,51.48,51.42,51.48,2129,0.0,55.87553943561698,80.95238095238109,80.15873015873045,-0.002727713717234792,-0.048121304787412396,0.045393591070177604
2020-05-11,51.485,51.5,51.47,51.47,1406,0.0,55.32097244033318,81.90476190476186,81.19047619047633,0.0010536866654788923,-0.03828630649683414,0.039339993162313035
2020-05-12,51.5,51.5,51.49,51.5,400,0.0,56.70911692935453,78.90315676832525,80.58676654182273,0.006397476860882989,-0.029349549825290717,0.0357470266861737
2020-05-13,51.5,51.5,51.32,51.32,1903,0.0,47.227873698950084,63.370786516854054,74.72623506331372,-0.0038476730072360965,-0.024249174461679797,0.0204015014544437
2020-05-14,51.365,51.38,51.27,51.28,1086,0.0,45.410915923963856,38.15339521250629,60.142446165895194,-0.015021534892426303,-0.022403646547829097,0.007382111655402795
2020-05-15,51.31,51.32,51.29,51.32,1250,0.0,47.58264779216968,17.961723038018246,39.82863492245953,-0.020413916313678726,-0.022005700500999023,0.001591784187320297
2020-05-16,51.335,51.39,51.335,51.39,5519,0.0,51.23859048709577,18.11594202898522,24.74368675983659,-0.018822033765495405,-0.0213689671538983,0.0025469333884028944
2020-05-17,51.41,51.41,51.36,51.4,975,0.0,51.75625920180139,33.99999999999904,23.359221689000833,-0.016562615429855043,-0.02040769680908965,0.0038450813792346057
2020-05-18,51.375,51.375,51.34,51.37,1229,0.0,50.03993875709777,42.431372549018114,31.515771526000787,-0.016996830518110073,-0.019725523550893735,0.002728693032783662
2020-05-19,51.36,51.425,51.36,51.415,2903,0.0,52.580159887708774,49.9999999999981,42.143790849671745,-0.013553587860556604,-0.01849113641282631,0.004937548552269706
2020-05-20,51.4,51.42,51.32,51.33,5357,0.0,47.651629753314225,40.66666666666473,44.36601307189364,-0.017482060560645607,-0.01828932124239017,0.0008072606817445642
2020-05-21,51.3,51.41,51.28,51.405,5963,0.0,51.93288020563489,45.33333333333189,45.333333333331574,-0.014377792042928661,-0.01750701540249787,0.003129223359569208
2020-05-22,51.41,51.42,51.31,51.33,18435,0.0,47.729140948289775,33.999999999998444,39.99999999999835,-0.017764729334828644,-0.017558558188964027,-0.00020617114586461704
2020-05-23,51.25,51.25,51.25,51.25,100,0.0,43.66866721499456,25.99999999999909,35.11111111110981,-0.02659763200699672,-0.019366372952570564,-0.007231259054426155
2020-05-24,51.21,51.3,51.2,51.26,600,0.0,44.30647888349223,14.666666666665549,24.888888888887692,-0.03241716963326269,-0.021976532288708987,-0.0104406373445537
2020-05-25,51.22,51.32,51.21,51.32,800,0.0,48.103283494601854,19.999999999999364,20.22222222222133,-0.031820885213576844,-0.023945402873682558,-0.007875482339894286
2020-05-26,51.33,51.35,51.21,51.33,1400,0.0,48.73062643640353,34.44444444444344,23.037037037036114,-0.03019335884243901,-0.025194994067433852,-0.004998364775005159
2020-05-27,51.33,51.34,51.2,51.26,900,0.0,44.66081315535011,36.66666666666564,30.370370370369482,-0.034158193066275544,-0.02698763386720219,-0.007170559199073355
2020-05-28,51.31,51.36,51.23,51.23,700,0.0,43.0032074324203,27.77777777777614,32.96296296296174,-0.03926843990186768,-0.02944379507413529,-0.00982464482773239
2020-05-29,51.36,51.36,51.21,51.33,900,0.0,49.70434465487783,32.59259259259113,32.345679012344306,-0.03484748297930196,-0.030524532655168624,-0.004322950324133334
2020-05-30,51.36,51.36,51.31,51.32,400,0.0,49.082885112980584,41.48148148148058,33.95061728394929,-0.031784368775248595,-0.03077649987918462,-0.001007868896063975
2020-05-31,51.24,51.36,51.21,51.36,1000,0.0,51.68510631731808,60.74074074074071,44.938271604937476,-0.025831394754682435,-0.029787478854284184,0.003956084099601749
2020-06-01,51.38,51.41,51.14,51.41,653,0.0,54.795107547821225,73.06042884990262,58.427550357374635,-0.01688440491231802,-0.02720686406589095,0.010322459153572931
2020-06-02,51.51,51.77,51.51,51.77,1353,0.0,69.845523567237,88.61598440545811,74.13905133203382,0.01903570855293424,-0.017958349542125912,0.03699405809506015
2020-06-03,51.685,51.89,51.675,51.89,2023,0.0,73.0647233753404,98.24561403508763,86.6406757634828,0.05653396601370275,-0.0030598864309601802,0.059593852444662934
2020-06-04,51.94,52.11,51.89,52.11,2705,0.0,77.75371766373667,100.0,95.62053281351525,0.10281853848566413,0.018115798552364684,0.08470273993329945
2020-06-05,52.11,52.11,51.99,52.09,1955,0.0,76.45075479550366,99.31271477663245,99.1861096039067,0.1363142173342311,0.04175548230873797,0.09455873502549314
2020-06-06,52.07,52.11,52.0,52.11,2435,0.0,76.86820520411268,99.31271477663245,99.54180985108832,0.16259927378442995,0.06592424060387636,0.0966750331805536
2020-06-07,52.185,52.355,52.185,52.335,3564,0.0,80.95781509495916,98.76401793163943,99.12981582830146,0.1992887137521393,0.09259713523352894,0.10669157851861036
