Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,131.01,131.01,130.71,130.71,1411,0.0,,,,,,
2020-04-02,130.89,130.89,130.75,130.75,284,0.0,,,,,,
2020-04-03,130.67,130.77,130.67,130.77,500,0.0,,,,,,
2020-04-04,130.67,130.67,130.64,130.64,300,0.0,,,,,,
2020-04-05,130.76,130.76,130.73,130.73,287,0.0,,,,,,
2020-04-06,130.68,130.8,130.66,130.78,900,0.0,,,,,,
2020-04-07,130.99,130.99,130.85,130.85,412,0.0,,,,,,
2020-04-08,131.03,131.16,130.935,131.16,1096,0.0,,,,,,
2020-04-09,131.38,131.7,131.25,131.42,3128,0.0,,,,,,
2020-04-10,132.46,132.63,132.46,132.57,300,0.0,,,,,,
2020-04-11,132.8,132.99,132.8,132.85,604,0.0,,,,,,
2020-04-12,132.91,132.91,132.91,132.91,260,0.0,,,,,,
2020-04-13,132.74,132.74,132.64,132.64,306,0.0,,,,,,
2020-04-14,132.68,132.68,132.63,132.635,437,0.0,,,,,,
2020-04-15,132.575,132.62,132.575,132.62,228,0.0,84.72727272727231,,,,,
2020-04-16,132.18,132.18,131.86,132.04,786,0.0,69.04490540232456,76.24113475177272,,,,
2020-04-17,132.06,132.06,131.93,131.93,310,0.0,66.52981228986084,66.24113475177303,,,,
2020-04-18,132.17,132.23,132.17,132.22,400,0.0,69.66691676275912,60.473624935317844,67.65196481295453,,,
2020-04-19,132.13,132.13,132.06,132.06,200,0.0,65.99182937974871,60.644081210239555,62.45294696577681,,,
2020-04-20,131.91,131.91,131.62,131.62,332,0.0,57.07510796392858,54.339978340218956,58.48589482859211,,,
2020-04-21,131.59,131.59,131.45,131.45,300,0.0,54.0371060631092,40.37599085723128,51.78668346922992,,,
2020-04-22,131.26,131.26,131.26,131.26,100,0.0,50.78358221260829,20.538949435166767,38.418306210872316,,,
2020-04-23,131.47,131.47,131.47,131.47,100,0.0,54.07484755069393,12.591422739328294,24.502121010575433,,,
2020-04-24,131.04,131.09,130.955,130.955,410,0.0,45.95801199442339,4.237813655792453,12.456061943429155,,,
2020-04-25,130.16,130.16,130.16,130.16,100,0.0,36.78001470298513,4.046242774566575,6.958493056562424,,,
2020-04-26,130.07,130.23,129.73,129.91,1180,0.0,34.4501265352079,1.9933554817276278,3.425803970695535,-0.3594012959712245,,
2020-04-27,129.67,130.01,129.67,130.01,200,0.0,36.19132227962229,5.758582502768616,3.932726919687589,-0.42330668501969626,,
2020-04-28,129.955,130.065,129.79,130.065,1311,0.0,37.17970038344814,10.221859338926897,5.991265774474363,-0.4641635375788269,,
2020-04-29,129.985,130.14,129.7,129.87,2992,0.0,35.10358517593241,10.832670523866147,8.93770412185387,-0.5064398347396377,,
2020-04-30,129.83,130.07,129.58,129.8,5413,0.0,34.36181432535713,9.834739100309447,10.296422987700813,-0.539374941236133,,
2020-05-01,129.81,129.81,129.33,129.75,8476,0.0,33.81221205171384,10.199048471047611,10.288819365074387,-0.5630206806138744,,
2020-05-02,128.805,129.235,128.805,129.235,500,0.0,28.71728749069706,11.905658746736698,10.646482106031236,-0.6162129757888692,,
2020-05-03,129.615,130.0,129.57,130.0,482,0.0,42.562473440845494,21.96713394903767,14.690613722273975,-0.589839839805876,,
2020-05-04,129.875,129.875,129.765,129.765,200,0.0,39.99274684108119,28.629673415390545,20.834155370388284,-0.5812017436390704,-0.5158846149325788,-0.06531712870649165
2020-05-05,130.065,130.27,130.04,130.23,3770,0.0,46.83299743134638,42.1425362478937,30.913114537440624,-0.5307166056891504,-0.5188510130838931,-0.011865592605257214
2020-05-06,130.045,130.23,130.045,130.23,661,0.0,46.83299743134638,47.13740522296757,39.303204962083925,-0.4851146701934681,-0.5121037445058082,0.0269890743123401
2020-05-07,130.23,130.27,130.23,130.27,465,0.0,47.43082485434874,57.01854140238063,48.76616095774728,-0.44066740255220793,-0.49781647611508817,0.05714907356288024
2020-05-08,130.61,130.61,130.61,130.61,200,0.0,52.33674999966289,72.52823496085483,58.894727195400996,-0.37369968684973287,-0.4729931182620172,0.0992934314122843
2020-05-09,130.15,130.15,130.15,130.15,111,0.0,46.07216922254039,79.54300700501683,69.69659445608409,-0.3536685741273118,-0.44912820943507614,0.09545963530776436
2020-05-10,130.125,130.7,130.1,130.7,1301,0.0,53.273863452170914,91.5050784856878,81.19210681718648,-0.29006962741738107,-0.4173164930315372,0.1272468656141561
2020-05-11,130.65,130.65,130.52,130.52,203,0.0,50.87913673355375,88.33885157275938,86.462312354488,-0.25129473039490335,-0.38411214050421044,0.1328174101093071
2020-05-12,130.3,130.46,130.3,130.46,473,0.0,50.07117099810786,92.61213720316687,90.81868908720469,-0.22283810474598909,-0.3518573333525662,0.1290192286065771
2020-05-13,130.485,130.485,130.245,130.245,202,0.0,47.17994191294414,84.60861917326382,88.5198693163967,-0.21515455924048865,-0.3245167785301507,0.10936221928966205
2020-05-14,130.21,130.21,130.15,130.15,313,0.0,45.91825963166641,78.10026385224344,85.10700674289137,-0.21426113117502155,-0.3024656490591249,0.08820451788410333
2020-05-15,130.1,130.16,130.1,130.14,554,0.0,45.77948038070344,72.47141600703632,78.39343301084786,-0.211917150426558,-0.2843559493326115,0.07243879890605348
2020-05-16,130.25,130.25,130.25,130.25,101,0.0,47.653625000015516,67.20059775375381,72.59075920434452,-0.19889075923703103,-0.26726291131349544,0.06837215207646441
2020-05-17,130.17,130.43,130.17,130.43,622,0.0,50.65908614233568,67.24951153850539,68.97384176643183,-0.1720593614761583,-0.24822220134602802,0.07616283986986971
2020-05-18,130.31,130.62,130.31,130.62,365,0.0,53.68209351310956,73.05959122721397,69.16990017315771,-0.1339201254928355,-0.22536178617538954,0.09144166068255405
2020-05-19,130.61,130.73,130.61,130.72,413,0.0,55.236577953680055,85.8473095055338,75.38547075708438,-0.09453559444614257,-0.19919654782954016,0.10466095338339759
2020-05-20,130.95,130.95,130.95,130.95,101,0.0,58.672104202003105,95.47297795473098,84.79329289582626,-0.04425386106831297,-0.16820801047729472,0.12395414940898175
2020-05-21,130.91,130.91,130.91,130.91,102,0.0,57.84068460934507,97.94475454415412,93.08834733480631,-0.007545906301430705,-0.13607558964212194,0.12852968334069123
2020-05-22,130.89,130.92,130.83,130.83,430,0.0,56.1275964453369,93.72549019607959,95.71440756498824,0.014918114171820207,-0.10587684887933352,0.12079496305115373
2020-05-23,130.89,130.96,130.8,130.8,741,0.0,55.46419720140584,87.52393980848292,93.06472818290554,0.029954960819850385,-0.07871048693949674,0.10866544775934713
2020-05-24,130.7,130.86,130.495,130.86,545,0.0,56.56981466308455,85.21659826721523,88.8220094239259,0.04618092373985405,-0.05373220480362658,0.09991312854348064
2020-05-25,130.74,130.98,130.51,130.83,1773,0.0,55.82359261896359,84.24066243833816,85.66040017134543,0.0559741320248861,-0.03179093743792404,0.08776506946281015
2020-05-26,130.89,131.28,130.81,131.28,5140,0.0,63.58351364636925,90.44221282593482,86.6331578438294,0.09890642760973378,-0.005651464428392476,0.10455789203812627
2020-05-27,131.19,131.3,131.15,131.15,1700,0.0,60.288789971914994,90.15151515151585,88.27813013859627,0.12104533238291992,0.019687894933870003,0.10135743744904992
2020-05-28,131.16,131.31,131.16,131.3,1300,0.0,62.69105038917472,95.55785123966955,92.05052640570672,0.1489770061239426,0.04554571717188452,0.10343128895205808
2020-05-29,131.32,131.33,131.25,131.32,1200,0.0,63.01233307590829,95.27049491782991,93.65995376967176,0.17075849402789345,0.0705882725430863,0.10017022148480714
2020-05-30,131.24,131.32,131.22,131.22,1000,0.0,60.219984521716675,96.27624204426645,95.70152940058863,0.17790058860759927,0.0920507357559889,0.08584985285161037
2020-05-31,131.32,131.32,131.21,131.3,1100,0.0,61.68287448418594,95.57133198106736,95.70602298105456,0.1878506560007338,0.1112107198049379,0.07663993619579591
2020-06-01,131.3,131.32,131.22,131.25,800,0.0,60.19297415713683,92.66507552845542,94.83754985126306,0.1895169406420507,0.12687196397236047,0.06264497666969024
2020-06-02,131.29,131.3,131.2,131.2,1300,0.0,58.66691781858346,90.63637431020169,92.95759393990814,0.18467409310301264,0.1384323897984909,0.046241703304521736
2020-06-03,131.28,131.3,131.22,131.28,1000,0.0,60.39696482037688,89.62075848303209,90.97406944056304,0.18515705764531276,0.1477773233678553,0.03737973427745747
2020-06-04,131.3,131.31,131.29,131.31,400,0.0,61.05526625381439,92.01596806387049,90.7577002857014,0.18581855912267997,0.15538557051882024,0.030432988603859734
2020-06-05,131.135,131.33,131.135,131.275,700,0.0,59.80623229670038,95.00998003991903,92.21556886227386,0.18142721630152892,0.16059389967536197,0.020833316626166942
2020-06-06,131.44,132.31,131.44,132.31,586,0.0,75.66212638926265,97.00598802395139,94.67731204258028,0.2584832614838035,0.1801717720370503,0.07831148944675323
2020-06-07,132.42,132.67,132.36,132.365,1195,0.0,76.19943803388396,93.09760109410809,95.03785638599281,0.32029659304848224,0.2081967362393367,0.11209985680914553
2020-06-08,132.34,132.6,132.34,132.34,1364,0.0,75.38475411014421,89.37923138192006,93.16094016665983,0.3630814358065777,0.23917367615278493,0.12390775965379278
2020-06-09,132.435,132.66,132.435,132.65,1028,0.0,78.46005947768084,88.94492084989004,90.47391777530605,0.4171939885565621,0.2747777386335404,0.1424162499230217
2020-06-10,132.6,132.945,132.565,132.91,893,0.0,80.64424950800006,93.0071437541937,90.44376532866791,0.4755762565110615,0.3149374422090446,0.16063881430201687
2020-06-11,132.71,132.71,132.47,132.64,733,0.0,72.43048217626709,93.30417933905642,91.75208131438002,0.4943592156604666,0.350821796899329,0.14353741876113757
2020-06-12,132.72,132.72,132.66,132.66,711,0.0,72.65267740072444,88.48987108655611,91.60039805993539,0.5050369276360698,0.38166482304667715,0.12337210458939263
2020-06-13,132.6,132.6,132.48,132.565,400,0.0,69.77600794672438,82.13627992633513,87.97677678398253,0.5000689022307938,0.4053456388835005,0.09472326334729331
2020-06-14,132.575,132.72,132.57,132.72,520,0.0,71.7419609658931,83.60957642725617,84.74524248004911,0.5028424560901215,0.42484500232482475,0.07799745376529671
2020-06-15,132.67,132.705,132.655,132.705,887,0.0,71.2588969931145,84.43830570902442,83.39472068753855,0.49808848881647805,0.43949369962315543,0.058594789193322616
2020-06-16,133.04,133.12,133.01,133.12,792,0.0,76.06143710854249,91.43646408839818,86.4947820748929,0.5217930615928026,0.4559535720170849,0.06583948957571767
2020-06-17,133.25,133.305,133.245,133.245,400,0.0,77.29223988527649,94.65845151106271,90.17774043616174,0.5443901706159409,0.47364089173685614,0.07074927887908472
2020-06-18,133.22,133.22,133.22,133.22,100,0.0,76.44567935521077,97.77265745007658,94.62252434984579,0.5538962797295994,0.4896919693354048,0.06420431039419461
2020-06-19,133.445,133.47,133.44,133.44,901,0.0,78.66066243075693,97.28004661263815,96.57038519125912,0.5725817352490594,0.5062699225181357,0.06631181273092368
2020-06-20,133.335,133.725,133.26,133.725,1338,0.0,81.13552665184244,98.20170559881329,97.75146988717599,0.6034312319067681,0.5257021843958622,0.07772904751090581
2020-06-21,133.64,133.72,133.52,133.7,1287,0.0,80.25624279487782,98.90570444535315,98.12915221893485,0.6187300542806895,0.5443077583728277,0.07442229590786176
2020-06-22,133.5,133.57,133.5,133.57,201,0.0,75.6642938507891,95.39314732413521,97.50018578943387,0.6132948860063436,0.558105183899531,0.05518970210681262
2020-06-23,133.71,133.73,133.71,133.73,200,0.0,77.37974015848792,95.39314732413521,96.56399969787451,0.6148109805377828,0.5694463432271814,0.045364637310601474
2020-06-24,133.61,133.69,133.61,133.64,332,0.0,74.21084575108867,93.61387966039105,94.80005810288714,0.6018129237685059,0.5759196593354463,0.025893264433059615
2020-06-25,133.66,133.93,133.645,133.93,786,0.0,77.41970251825705,97.61904761904744,95.54202486785788,0.6079048972539169,0.5823167069191404,0.02558819033477655
2020-06-26,133.77,133.79,133.6,133.6,601,0.0,67.17659268502788,90.03284072249551,93.75525600064464,0.5794253334917414,0.5817384322336606,-0.002313098741919206
2020-06-27,133.66,133.9,133.66,133.8,603,0.0,69.78570920823567,89.22751859364422,92.29313564506236,0.5664635632109309,0.5786834584291147,-0.012219895218183785
2020-06-28,133.74,133.795,133.71,133.78,857,0.0,69.19338555303459,85.30594996619311,88.18876976077759,0.5482574632677313,0.5725982593968381,-0.02434079612910678
2020-06-29,133.78,133.9,133.78,133.865,1406,0.0,70.34540086561293,90.53708439897703,88.35685098627143,0.5345261033319844,0.5649838281838674,-0.030457724851883028
2020-06-30,133.88,133.99,133.74,133.74,3485,0.0,66.41227019472812,82.90084808627013,86.24796081714673,0.5077049398115889,0.5535280505094117,-0.045823110697822744
2020-07-01,132.7,132.705,132.455,132.505,524,0.0,41.64038599880951,54.574859710463556,76.00426406523688,0.38238687791027814,0.519299815989585,-0.13691293807930682
2020-07-02,132.23,132.55,132.23,132.55,652,0.0,42.482251727486826,29.657204901504617,55.710970899412736,0.2834352695498694,0.4721269067016419,-0.1886916371517725
2020-07-03,132.6,132.615,132.6,132.615,500,0.0,43.74460276545464,14.438049057348914,32.89003788977233,0.20786423428685907,0.4192743722186854,-0.21141013793182634
2020-07-04,132.98,133.035,132.95,133.035,858,0.0,51.197735522063844,28.59848484848536,24.23124626911293,0.17979160854761744,0.37137781948447185,-0.1915862109368544
2020-07-05,132.96,133.13,132.96,133.13,1000,0.0,52.7234709936299,39.58333333333343,27.5399557463892,0.163326826460775,0.3297676208797325,-0.16644079441895748
2020-07-06,133.05,133.31,133.05,133.31,600,0.0,55.55852487964188,52.74621212121195,40.309343434343546,0.16292476839888081,0.2963990503835622,-0.13347428198468136
2020-07-07,133.29,133.34,133.29,133.34,428,0.0,56.03177216219334,58.52272727272716,50.284090909090814,0.1631462355196618,0.2697484874107821,-0.10660225189112033
2020-07-08,133.46,133.595,133.46,133.55,1000,0.0,59.29905602912892,66.47727272727282,59.24873737373728,0.17821267003856178,0.25144132393633806,-0.07322865389777627
2020-07-09,133.7,133.7,133.59,133.645,1186,0.0,60.72104688905092,72.82196969696987,65.94065656565658,0.19556429058710023,0.2402659172664905,-0.04470162667939026
2020-07-10,133.885,133.885,133.845,133.85,1258,0.0,63.67065821092134,82.4810606060605,73.9267676767677,0.22328348856004254,0.2368694315252009,-0.01358594296515836
2020-07-11,133.88,133.95,133.87,133.915,2290,0.0,64.57891963623581,89.39393939393885,81.56565656565637,0.24764145291422324,0.2390238358030054,0.008617617111217835
2020-07-12,133.855,133.855,133.56,133.56,418,0.0,56.300203614865616,87.78409090909024,86.55303030302984,0.2355841149818616,0.23833589163877666,-0.0027517766569150615
2020-07-13,133.17,133.17,133.17,133.17,200,0.0,48.885805181678705,74.90530303030236,84.02777777777713,0.19234165232853684,0.22913704377672872,-0.03679539144819188
2020-07-14,133.255,133.28,133.205,133.205,600,0.0,49.528201226579526,61.88777307963364,74.85905567300871,0.15906232515192187,0.21512210005176735,-0.05605977489984548
2020-07-15,133.04,133.05,133.04,133.05,400,0.0,46.72740608145812,52.58985200845723,63.12764270613104,0.11881142978390358,0.1958599659981946,-0.07704853621429103
2020-07-16,132.71,132.74,132.51,132.67,3192,0.0,40.6572072733667,38.49052540913079,50.989383499073845,0.05560846127863783,0.16780966505428327,-0.11220120377564544
2020-07-17,132.71,132.71,132.4,132.52,11164,0.0,38.529476401950085,22.17582173321149,37.75206638359979,-0.006509060613240081,0.13294591992077862,-0.1394549805340187
2020-07-18,133.26,133.41,132.67,132.99,1656,0.0,47.75543589208774,18.97252090800497,26.54628935011571,-0.017609579923259844,0.10283481995197093,-0.12044439987523077
2020-07-19,132.24,132.24,132.24,132.24,308,0.0,37.96367200967486,15.268817204301337,18.805719948505892,-0.08593494884223674,0.0650808661931294,-0.15101581503536615
2020-07-20,132.35,132.595,132.27,132.595,2204,0.0,43.83401248874375,19.608250015720326,17.94986270934217,-0.11016781681192356,0.030031129592118816,-0.14019894640404237
2020-07-21,133.07,133.1,133.07,133.1,1262,0.0,50.94526142166135,23.68421052631551,19.520425915445685,-0.0876133080495265,0.0065022420637897566,-0.09411555011331625
2020-07-22,133.35,133.81,133.35,133.65,1046,0.0,57.28802000553858,51.16959064327483,31.487350395103515,-0.025069310494387764,0.00018793155215425256,-0.025257242046542016
2020-07-23,133.69,133.73,133.6,133.73,924,0.0,58.13593170405773,73.29434697855757,49.382716049382594,0.0305998535216645,0.006270315946056302,0.0243295375756082
2020-07-24,133.84,133.91,133.53,133.62,4092,0.0,56.475769726403975,83.4307992202733,69.2982456140352,0.06509165036021614,0.01803458282888827,0.047057067531327865
2020-07-25,133.51,133.51,133.23,133.36,2914,0.0,52.648762026737984,78.30070852447191,78.34195157443423,0.07063261198175041,0.028554188659460703,0.04207842332228971
2020-07-26,133.43,133.58,133.43,133.58,600,0.0,55.40261403216419,76.00238120250795,79.24462964908436,0.09171874872816943,0.04118710067320245,0.05053164805496698
2020-07-27,133.605,133.61,133.54,133.61,602,0.0,55.78028056330487,76.44710578842391,76.9167318384679,0.1095871607234642,0.0548671126832548,0.05472004804020939
2020-07-28,133.685,133.685,133.685,133.685,412,0.0,56.76599086989539,82.93413173652753,78.46120624248643,0.12832067826141724,0.0695578257988873,0.05876285246252995
2020-07-29,133.415,133.415,133.415,133.415,200,0.0,52.25044275870012,79.6407185628744,79.67398536260858,0.11999713014145641,0.07964568666740113,0.04035144347405528
