Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,6.68,6.68,6.59,6.6,83956,0.0,,,,,,
2020-04-02,6.595,6.64,6.595,6.64,66286,0.0,,,,,,
2020-04-03,6.65,6.69,6.64,6.67,67996,0.0,,,,,,
2020-04-04,6.67,6.67,6.64,6.65,47870,0.0,,,,,,
2020-04-05,6.64,6.69,6.63,6.69,58472,0.0,,,,,,
2020-04-06,6.68,6.73,6.68,6.73,36968,0.0,,,,,,
2020-04-07,6.73,6.76,6.71,6.75,40456,0.0,,,,,,
2020-04-08,6.74,6.75,6.72,6.74,67654,0.0,,,,,,
2020-04-09,6.74,6.74,6.66,6.68,53080,0.0,,,,,,
2020-04-10,6.68,6.68,6.66,6.67,38822,0.0,,,,,,
2020-04-11,6.67,6.67,6.635,6.65,55822,0.0,,,,,,
2020-04-12,6.65,6.66,6.63,6.64,29130,0.0,,,,,,
2020-04-13,6.66,6.66,6.63,6.64,13682,0.0,,,,,,
2020-04-14,6.65,6.65,6.62,6.63,32404,0.0,,,,,,
2020-04-15,6.63,6.63,6.59,6.595,41634,0.0,49.27536231884059,,,,,
2020-04-16,6.59,6.6,6.5,6.54,107502,0.0,42.05518553758329,13.951734539969834,,,,
2020-04-17,6.535,6.55,6.375,6.375,141868,0.0,28.54304306790523,6.108597285067863,,,,
2020-04-18,6.37,6.52,6.36,6.5,174854,0.0,43.383802145302965,16.794871794871792,12.285067873303163,,,
2020-04-19,6.49,6.52,6.46,6.48,75210,0.0,41.88489844979424,21.666666666666675,14.856711915535442,,,
2020-04-20,6.49,6.53,6.46,6.5,65230,0.0,43.9696492262357,33.333333333333336,23.931623931623935,,,
2020-04-21,6.51,6.53,6.49,6.5,80544,0.0,43.9696492262357,33.63247863247863,29.544159544159545,,,
2020-04-22,6.5,6.51,6.46,6.47,87402,0.0,41.38686402566154,33.2816014394961,33.41580446843602,,,
2020-04-23,6.47,6.51,6.455,6.49,130188,0.0,43.75869691555927,35.15660143949612,34.02356050382361,,,
2020-04-24,6.5,6.52,6.46,6.47,246304,0.0,41.9313836546346,35.01874646293144,34.48564978064121,,,
2020-04-25,6.59,6.59,6.47,6.51,85764,0.0,46.72321286909222,42.03629032258056,37.40387940833603,,,
2020-04-26,6.51,6.57,6.51,6.53,74746,0.0,48.98979574528299,47.383512544802784,41.47951644343825,-0.07032449852848899,,
2020-04-27,6.54,6.57,6.5,6.53,63854,0.0,48.98979574528299,55.095785440612985,48.1718627693321,-0.06429166969504596,,
2020-04-28,6.53,6.59,6.53,6.58,55254,0.0,54.59103995417155,65.58961260110688,56.02297019550755,-0.054843821809072324,,
2020-04-29,6.6,6.6,6.53,6.58,49824,0.0,54.59103995417155,77.25627926777359,65.98055910316448,-0.04681666096611181,,
2020-04-30,6.57,6.6,6.55,6.58,61504,0.0,54.591039954171556,88.27160493827172,77.03916560238406,-0.03999405163369385,,
2020-05-01,6.57,6.57,6.53,6.54,49214,0.0,49.193686587675614,86.11111111111126,83.87966510571886,-0.037383812964321805,,
2020-05-02,6.55,6.55,6.52,6.52,42714,0.0,46.7071353954705,70.49808429118777,81.62693344685691,-0.036508169414651626,,
2020-05-03,6.52,6.53,6.45,6.5,105540,0.0,44.29591770198529,51.053639846743266,69.22094508301409,-0.03700151797927198,,
2020-05-04,6.5,6.51,6.48,6.5,35076,0.0,44.29591770198529,37.164750957854345,52.905491698595114,-0.0369663749119038,-0.04712561976695135,0.010159244855047551
2020-05-05,6.5,6.52,6.46,6.46,33342,0.0,39.558980351602536,24.444444444444414,37.55427841634734,-0.03970845513078025,-0.04564218683971713,0.005933731708936879
2020-05-06,6.46,6.505,6.46,6.505,46646,0.0,46.4915397181041,25.555555555555504,29.05491698595141,-0.037814546981687513,-0.04407665886811121,0.006262111886423699
2020-05-07,6.5,6.51,6.49,6.5,27780,0.0,45.86209459261297,25.555555555555504,25.185185185185134,-0.03629864120126758,-0.04252105533474249,0.006222414133474914
2020-05-08,6.505,6.52,6.495,6.5,29828,0.0,45.86209459261297,34.444444444444436,28.518518518518473,-0.03469730600348875,-0.040956305468491744,0.006258999465002996
2020-05-09,6.495,6.515,6.49,6.495,16486,0.0,45.15310327675656,32.22222222222226,30.740740740740723,-0.03344614815903402,-0.039454274006600204,0.006008125847566187
2020-05-10,6.475,6.49,6.47,6.485,28276,0.0,43.69809905382653,28.88888888888898,31.851851851851887,-0.03288246439874598,-0.03813991208502936,0.005257447686283376
2020-05-11,6.485,6.49,6.46,6.46,49444,0.0,40.209655542900045,20.00000000000005,27.037037037037095,-0.03406040487830708,-0.0373240106436849,0.0032636057653778194
2020-05-12,6.46,6.49,6.46,6.49,67032,0.0,45.80111793296179,18.88888888888896,22.592592592592663,-0.03220197756311105,-0.03629960402757013,0.004097626464459082
2020-05-13,6.495,6.53,6.49,6.51,55202,0.0,49.211133027157786,24.444444444444418,21.11111111111114,-0.02878352906757886,-0.034796389035571876,0.0060128599679930145
2020-05-14,6.51,6.52,6.5,6.5,45268,0.0,47.59857765759077,36.111111111111065,26.481481481481477,-0.026574960826721394,-0.03315210339380178,0.006577142567080384
2020-05-15,6.5,6.51,6.495,6.505,57332,0.0,48.50713638323278,45.55555555555545,35.37037037037031,-0.02414289213856513,-0.03135026114275445,0.007207369004189321
2020-05-16,6.51,6.51,6.49,6.5,74598,0.0,47.618005264480175,53.055555555555394,44.9074074074073,-0.0223611529425618,-0.029552439502715924,0.007191286560154123
2020-05-17,6.5,6.52,6.49,6.52,57352,0.0,51.451383776192,67.73809523809483,55.44973544973522,-0.01911493388082075,-0.02746493837833689,0.00835000449751614
2020-05-18,6.52,6.52,6.495,6.5,73412,0.0,47.6926961889328,68.45238095238052,63.08201058201025,-0.01794920744919004,-0.025561792192507524,0.007612584743317483
2020-05-19,6.5,6.52,6.495,6.5,62154,0.0,47.6926961889328,66.66666666666627,67.61904761904721,-0.01683133964721062,-0.023815701683448143,0.006984362036237524
2020-05-20,6.495,6.52,6.495,6.52,287866,0.0,51.77825493580595,66.66666666666627,67.26190476190435,-0.014168265561361082,-0.021886214459030735,0.007717948897669653
2020-05-21,6.49,6.55,6.46,6.5,2400,0.0,47.76084789466508,62.43386243386214,65.25573192239823,-0.01351579138513781,-0.02021212984425215,0.00669633845911434
2020-05-22,6.47,6.53,6.4,6.43,2000,0.0,36.95373872593504,50.05291005290969,59.71781305114602,-0.018434613140118294,-0.01985662650342538,0.0014220133633070856
2020-05-23,6.54,6.54,6.4,6.46,2000,0.0,42.91536362915693,34.81481481481472,49.10052910052883,-0.01968514741379046,-0.019822330685498397,0.00013718327170793645
2020-05-24,6.48,6.56,6.41,6.53,1000,0.0,53.8751429958878,47.08333333333329,43.983686067019214,-0.014856532985313642,-0.018829171145461447,0.003972638160147805
