Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,91.28,91.63,91.12,91.55,10774,0.0,,,,,,
2020-04-02,91.71,91.93,91.71,91.93,1222,0.0,,,,,,
2020-04-03,92.35,92.35,92.35,92.35,226,0.0,,,,,,
2020-04-04,92.69,92.69,92.465,92.465,620,0.0,,,,,,
2020-04-05,92.46,92.46,92.06,92.17,1202,0.0,,,,,,
2020-04-06,92.09,92.48,92.09,92.48,1034,0.0,,,,,,
2020-04-07,92.615,92.64,92.58,92.58,802,0.0,,,,,,
2020-04-08,92.6,92.71,92.235,92.24,1606,0.0,,,,,,
2020-04-09,92.315,92.315,91.85,91.9,1910,0.0,,,,,,
2020-04-10,91.945,91.945,91.945,91.945,200,0.0,,,,,,
2020-04-11,92.1,92.41,92.1,92.2,2304,0.0,,,,,,
2020-04-12,92.16,92.21,91.93,91.985,2402,0.0,,,,,,
2020-04-13,92.215,92.22,92.07,92.07,2800,0.0,,,,,,
2020-04-14,91.98,91.98,91.63,91.63,1070,0.0,,,,,,
2020-04-15,91.785,91.83,91.72,91.72,1402,0.0,52.47813411078721,,,,,
2020-04-16,91.74,91.745,91.28,91.28,2378,0.0,46.10837438423649,13.46960167714884,,,,
2020-04-17,91.24,91.29,90.8,90.93,3766,0.0,41.765634653669345,5.046538685282424,,,,
2020-04-18,90.9,91.06,90.61,91.02,2894,0.0,43.24590268549971,8.776697415441008,9.09761259262409,,,
2020-04-19,91.195,91.195,91.025,91.05,1384,0.0,43.75909101715114,15.760824399567975,9.861353500097136,,,
2020-04-20,91.01,91.27,91.01,91.2,2312,0.0,46.37028840096954,22.857142857142886,15.798221557383956,,,
2020-04-21,91.135,91.49,91.135,91.47,6400,0.0,50.7984488993337,30.00000000000009,22.872655752236984,,,
2020-04-22,91.23,91.335,90.94,90.97,3278,0.0,43.616254104510354,29.682539682539794,27.51322751322759,,,
2020-04-23,90.925,91.345,90.925,91.33,8190,0.0,49.18683117779693,33.65079365079368,31.11111111111119,,,
2020-04-24,91.3,91.3,90.62,91.03,19976,0.0,45.180890734665425,27.777777777777825,30.370370370370438,,,
2020-04-25,90.89,90.89,90.23,90.495,2464,0.0,39.06985705985358,25.549972082635467,28.992847837068993,,,
2020-04-26,90.315,90.79,90.305,90.41,3646,0.0,38.186135551574466,15.231714126186441,22.853154662199916,-0.5436890481437047,,
2020-04-27,90.505,90.505,90.0,90.02,4766,0.0,34.34732335356938,7.790636685108889,16.19077429797694,-0.5885389907698624,,
