Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,105.63,105.85,105.51,105.85,2762,0.0,,,,,,
2020-04-02,105.725,105.755,105.36,105.4,2400,0.0,,,,,,
2020-04-03,105.285,105.285,104.735,104.835,2612,0.0,,,,,,
2020-04-04,104.83,104.83,104.45,104.45,3423,0.0,,,,,,
2020-04-05,104.55,104.55,103.955,104.095,2438,0.0,,,,,,
2020-04-06,104.01,104.03,103.62,104.03,1130,0.0,,,,,,
2020-04-07,104.105,104.385,104.105,104.28,1163,0.0,,,,,,
2020-04-08,104.435,104.435,103.745,103.745,1519,0.0,,,,,,
2020-04-09,103.79,104.02,103.11,103.16,2038,0.0,,,,,,
2020-04-10,103.17,103.22,102.79,103.06,1795,0.0,,,,,,
2020-04-11,103.01,103.025,102.41,102.47,2553,0.0,,,,,,
2020-04-12,102.56,103.1,102.43,103.03,1935,0.0,,,,,,
2020-04-13,103.02,103.26,102.71,102.9,2601,0.0,,,,,,
2020-04-14,102.9,103.35,102.76,103.13,1371,0.0,,,,,,
2020-04-15,103.285,103.285,102.79,102.79,1949,0.0,20.233463035019412,,,,,
2020-04-16,103.06,103.19,102.78,102.985,3167,0.0,23.364485981308277,17.43015724035655,,,,
2020-04-17,102.71,103.3,102.645,102.96,4934,0.0,23.23854573455789,18.029170630067576,,,,
2020-04-18,103.01,103.05,102.49,102.97,11112,0.0,23.4163691453589,22.96516567544607,19.47483118195673,,,
2020-04-19,101.62,102.07,100.9,101.34,20441,0.0,16.646935597985674,20.4474853359835,20.480607213832382,,,
2020-04-20,101.295,101.38,100.775,101.115,8367,0.0,15.961016466653746,15.968266922338808,19.793639311256126,,,
2020-04-21,101.18,101.82,101.175,101.49,2662,0.0,21.74818920941557,13.757365197877895,16.724372485400067,,,
2020-04-22,101.63,102.25,101.61,102.035,1246,0.0,29.361555109761156,22.55136808484936,17.42566673502202,,,
2020-04-23,102.09,102.09,101.68,101.97,2056,0.0,28.999170768337407,34.92408458616693,23.744272622964726,,,
2020-04-24,101.92,102.82,101.92,102.82,3221,0.0,39.51262358445544,54.88473678699108,37.45339648600245,,,
2020-04-25,102.82,102.96,102.775,102.955,10472,0.0,41.00673810105989,70.1618122977346,53.32354455696419,,,
2020-04-26,102.835,103.255,102.615,103.22,2703,0.0,43.93434541444855,86.34304207119744,70.46319705197436,-0.5535509105034038,,
2020-04-27,103.16,103.17,102.76,103.17,1715,0.0,43.49574803631975,90.87378640776717,82.45954692556639,-0.470429556312439,,
2020-04-28,103.2,103.34,103.18,103.19,1620,0.0,43.73769715796205,94.0377372773899,90.4181885854515,-0.39834952603389695,,
2020-04-29,103.25,103.25,102.355,102.355,724,0.0,36.676586847105234,82.92006535576628,89.27719634697445,-0.4039466587098701,,
2020-04-30,102.36,102.5,102.31,102.31,1177,0.0,36.33612658080646,71.86484730344371,82.94088331219996,-0.4073182394821089,,
2020-05-01,102.525,102.525,102.105,102.105,1003,0.0,34.753417585060944,57.76478232618583,70.84989832846526,-0.421671264423523,,
2020-05-02,102.11,102.335,102.11,102.275,634,0.0,37.19643455990811,56.72514619883042,62.118258609486645,-0.4145498877887519,,
2020-05-03,102.11,102.11,101.85,101.9,446,0.0,34.158139460226266,51.397011046133905,55.29564652371672,-0.43416077631947303,,
2020-05-04,101.64,101.9,101.595,101.9,431,0.0,34.158139460226266,45.27549306934274,51.13255010476902,-0.44457773142109147,-0.4387282834438398,-0.005849447977251676
2020-05-05,101.9,102.07,101.9,102.06,631,0.0,36.71602140822246,34.66483717139988,43.77911376229216,-0.4349092178235452,-0.4379644703197809,0.0030552524962357275
2020-05-06,102.33,102.54,102.32,102.41,2337,0.0,42.02209944038652,35.61324448385476,38.51785824153245,-0.39445771323488543,-0.4292631189028019,0.034805405667916456
2020-05-07,102.4,102.705,102.4,102.585,2971,0.0,44.52659005203219,43.36198662846211,37.88002276123891,-0.34430958042912607,-0.41227241120806674,0.06796283077894066
2020-05-08,102.615,102.845,102.48,102.845,3347,0.0,48.1128110457888,58.357211079273846,45.777480730530236,-0.28035523614623514,-0.38588897619570045,0.10553374004946531
2020-05-09,102.75,102.75,102.35,102.65,4423,0.0,45.72525137583905,62.94173829990439,54.88697866921344,-0.24260918024201317,-0.357233017004963,0.11462383676294985
2020-05-10,102.655,102.68,102.33,102.47,4753,0.0,43.575640461183355,60.74498567335244,60.681311684176876,-0.22463025689548033,-0.3307124649830665,0.10608220808758617
2020-05-11,102.47,102.6,102.355,102.475,4630,0.0,43.654880056189135,53.67717287488055,59.12129894937911,-0.20758545647417748,-0.3060870632812887,0.09850160680711123
2020-05-12,102.46,102.46,102.04,102.04,9305,0.0,38.578802098287206,42.48709447507914,52.30308434110403,-0.22656647658311613,-0.29018294594165417,0.06361646935853804
2020-05-13,102.045,102.51,101.935,102.405,2942,0.0,44.41878786541523,47.37267231653101,47.84564655549689,-0.20973888291825915,-0.2740941333369752,0.06435525041871604
2020-05-14,102.48,102.62,102.37,102.62,15648,0.0,47.580461092994135,57.896072507553264,49.251946433054464,-0.17701368693674624,-0.2546780440569294,0.07766435712018316
2020-05-15,102.54,102.6,102.46,102.52,600,0.0,46.26231793318123,73.60000000000018,59.62291494136147,-0.157334246359369,-0.23520928451741732,0.07787503815804833
2020-05-16,102.6,102.71,102.51,102.51,800,0.0,46.12470722185364,76.40000000000028,69.29869083585123,-0.1409206191678578,-0.21635155144750545,0.07543093227964764
2020-05-17,102.68,102.68,102.58,102.63,500,0.0,48.11904511499397,76.6666666666667,75.5555555555557,-0.11688235718969509,-0.1964577125959434,0.07957535540624833
2020-05-18,102.63,102.63,102.6,102.6,800,0.0,47.64420881823835,76.69135802469124,76.58600823045272,-0.09911013077159225,-0.1769881962310732,0.07787806545948095
2020-05-19,102.63,102.68,102.57,102.61,800,0.0,47.82901622100446,77.01663274996581,76.79155248044124,-0.08325884077710555,-0.15824232514027967,0.07498348436317412
2020-05-20,102.6,102.68,102.51,102.51,500,0.0,46.077445355292525,70.47890381223715,74.72896486229807,-0.07786812820846478,-0.1421674857539167,0.06429935754545191
2020-05-21,102.6,102.64,102.59,102.59,500,0.0,47.72671154911463,69.78021978022014,72.42525211414103,-0.06637548299704576,-0.1270090852025425,0.06063360220549674
2020-05-22,102.6,102.65,102.59,102.65,400,0.0,48.98693529878112,74.29829883817673,71.51914081021134,-0.051828533238847285,-0.11197297480980348,0.06014444157095619
2020-05-23,102.59,102.6,102.52,102.6,500,0.0,47.9495132402328,81.83817831353987,75.30556564397891,-0.04382931581302785,-0.09834424301044835,0.0545149271974205
2020-05-24,102.65,102.65,102.5,102.57,700,0.0,47.30223235991189,85.1573322778549,80.43126980985716,-0.039455805683815015,-0.08656655554512169,0.04711074986130667
2020-05-25,102.57,102.64,102.57,102.64,600,0.0,49.03115221043016,86.23655913978514,84.41068991039329,-0.02999558201354091,-0.07525236083880554,0.04525677882526463
