Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,16.99,17.02,16.96,16.97,1701,0.0,,,,,,
2020-04-02,17.06,17.08,16.88,16.97,5360,0.0,,,,,,
2020-04-03,16.93,17.05,16.925,16.965,5133,0.0,,,,,,
2020-04-04,16.95,16.965,16.9,16.905,1871,0.0,,,,,,
2020-04-05,16.92,17.01,16.92,17.01,1900,0.0,,,,,,
2020-04-06,17.01,17.01,16.93,16.97,3890,0.0,,,,,,
2020-04-07,16.97,17.02,16.97,17.0,1468,0.0,,,,,,
2020-04-08,16.965,17.03,16.965,17.03,1003,0.0,,,,,,
2020-04-09,16.995,17.01,16.99,16.99,1720,0.0,,,,,,
2020-04-10,16.99,17.02,16.97,16.97,1001,0.0,,,,,,
2020-04-11,16.995,16.995,16.94,16.97,987,0.0,,,,,,
2020-04-12,16.98,16.99,16.955,16.99,3199,0.0,,,,,,
2020-04-13,17.06,17.1,17.05,17.1,500,0.0,,,,,,
2020-04-14,17.06,17.06,17.015,17.04,600,0.0,,,,,,
2020-04-15,17.03,17.03,16.935,16.94,2554,0.0,47.580645161290555,,,,,
2020-04-16,16.92,16.92,16.805,16.87,3374,0.0,42.422566371681654,40.67796610169501,,,,
2020-04-17,16.85,16.85,16.72,16.72,6704,0.0,33.93343316090407,16.435541859271016,,,,
2020-04-18,16.68,16.76,16.61,16.72,4547,0.0,33.93343316090407,14.827625965640527,23.980377975535518,,,
2020-04-19,16.7,16.74,16.69,16.735,2213,0.0,35.431922417471554,15.986394557823026,15.74985412757819,,,
2020-04-20,16.74,16.78,16.7,16.72,2900,0.0,34.587089939721494,23.469387755101867,18.09446942618848,,,
2020-04-21,16.72,16.72,16.64,16.64,1639,0.0,30.42096506441861,18.02721088435371,19.160997732426203,,,
2020-04-22,16.68,16.7,16.66,16.68,2520,0.0,34.65894677689242,14.285714285714286,18.594104308389955,,,
2020-04-23,16.67,16.67,16.63,16.66,3398,0.0,33.55833103760426,10.204081632653166,14.172335600907056,,,
2020-04-24,16.67,16.71,16.65,16.7,15988,0.0,37.81179775875414,14.285714285714286,12.925170068027247,,,
2020-04-25,16.545,16.545,16.23,16.31,3974,0.0,22.6121470818657,12.588943623426315,12.359579847264591,,,
2020-04-26,16.29,16.325,16.2,16.2,1900,0.0,20.151615669361433,9.187583079208594,12.0207469961164,-0.2185033962903411,,
2020-04-27,16.4,16.41,16.335,16.365,2701,0.0,32.08885982227511,9.460482936826066,10.412336546486996,-0.22257979686105855,,
2020-04-28,16.385,16.41,16.34,16.37,5496,0.0,32.418572803475,13.222658074157119,10.623574696730595,-0.22283817569154962,,
2020-04-29,16.36,16.38,16.29,16.345,2304,0.0,31.592656836761122,19.93562103712004,14.206254016034412,-0.2224954448528571,,
2020-04-30,16.425,16.49,16.42,16.49,1985,0.0,40.98393858123986,28.41206707170554,20.523448727660902,-0.20812441134843596,,
2020-05-01,16.48,16.57,16.48,16.57,800,0.0,45.43480467685059,42.849125650849636,30.39893791989174,-0.18811150006892063,,
2020-05-02,16.465,16.465,16.43,16.44,700,0.0,40.13741679997477,49.929266136162646,40.39681961957261,-0.1806585182964362,,
2020-05-03,16.43,16.44,16.38,16.38,3260,0.0,37.938801256973775,45.40229885057472,46.06023021252901,-0.17754682581604087,,
2020-05-04,16.38,16.43,16.335,16.43,2200,0.0,40.84671921525162,38.881520778072556,44.737695254936654,-0.16909696047309453,-0.2011061144109705,0.032009153937875984
2020-05-05,16.43,16.45,16.41,16.44,700,0.0,41.43772887534905,40.77469183960063,41.68617048941598,-0.1597519439169659,-0.1928352803121696,0.033083336395203694
2020-05-06,16.395,16.45,16.39,16.44,3574,0.0,41.43772887534905,46.116138763197775,41.92411712695699,-0.1506098147756454,-0.18439018720486477,0.033780372429219385
2020-05-07,16.45,16.48,16.44,16.47,1850,0.0,43.405088478811926,49.01960784313733,45.30347948197859,-0.13933766442531592,-0.175379682648955,0.03604201822363909
2020-05-08,16.39,16.405,16.38,16.38,948,0.0,39.15534397988029,49.549549549549475,48.22843205196154,-0.13609780116593484,-0.167523306352351,0.03142550518641615
2020-05-09,16.4,16.41,16.34,16.37,1811,0.0,38.70192786884347,49.1785903550609,49.24924924924925,-0.13280619546510053,-0.1605798841749009,0.027773688709800376
2020-05-10,16.34,16.43,16.34,16.43,2800,0.0,42.969208795074415,48.198198198198234,48.97544603426956,-0.12392751640643951,-0.15324941062120861,0.029321894214769106
2020-05-11,16.415,16.43,16.39,16.42,1432,0.0,42.4389323919659,47.458172458172804,48.278320337144,-0.11635672778319517,-0.14587087405360594,0.029514146270410768
