Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,42.86,42.93,42.805,42.81,35407,0.0,,,,,,
2020-04-02,42.82,42.87,42.8,42.855,24664,0.0,,,,,,
2020-04-03,42.85,42.85,42.74,42.82,26649,0.0,,,,,,
2020-04-04,42.81,42.87,42.81,42.86,29697,0.0,,,,,,
2020-04-05,42.87,42.95,42.84,42.87,39843,0.0,,,,,,
2020-04-06,42.83,42.86,42.72,42.75,27502,0.0,,,,,,
2020-04-07,42.745,42.78,42.715,42.78,123434,0.0,,,,,,
2020-04-08,42.78,42.78,42.66,42.7,103169,0.0,,,,,,
2020-04-09,42.695,42.7,42.53,42.54,95237,0.0,,,,,,
2020-04-10,42.535,42.55,42.47,42.525,127555,0.0,,,,,,
2020-04-11,42.52,42.54,42.42,42.445,118180,0.0,,,,,,
2020-04-12,42.445,42.55,42.345,42.515,139858,0.0,,,,,,
2020-04-13,42.5,42.57,42.41,42.5,46633,0.0,,,,,,
2020-04-14,42.49,42.52,42.45,42.46,35337,0.0,,,,,,
2020-04-15,42.46,42.49,42.4,42.43,48896,0.0,25.3246753246748,,,,,
2020-04-16,42.41,42.48,42.36,42.43,54386,0.0,25.3246753246748,15.702479338843077,,,,
2020-04-17,42.42,42.48,42.34,42.43,138184,0.0,25.3246753246748,14.284423971458088,,,,
2020-04-18,42.44,42.57,42.34,42.49,304136,0.0,31.947714037913357,17.797949690646906,15.928284333649358,,,
2020-04-19,43.42,43.85,42.88,42.97,257590,0.0,61.4239721582064,27.022038866572228,19.70147084289241,,,
2020-04-20,42.96,43.16,42.925,43.0,115078,0.0,62.51674924850809,36.67354250352818,27.164510353582443,,,
2020-04-21,43.005,43.16,42.905,43.16,46800,0.0,67.76199296467473,46.578366445915854,36.75798260533876,,,
2020-04-22,43.165,43.165,42.94,42.96,100589,0.0,57.020718671635976,46.35761589403952,43.20317494782787,,,
2020-04-23,42.965,43.03,42.85,42.86,84176,0.0,52.5365125769525,43.26710816777018,45.401030169241864,,,
2020-04-24,42.865,42.945,42.84,42.92,72444,0.0,54.83172213672004,37.96909492273718,42.53127299484897,,,
2020-04-25,42.925,42.985,42.775,42.775,34541,0.0,48.70237429718696,33.885209713024096,38.37380426784383,,,
2020-04-26,42.78,42.86,42.76,42.76,49709,0.0,48.10332110917478,31.677704194260258,34.51066961000719,0.08314693211813307,,
2020-04-27,42.765,42.87,42.72,42.84,40939,0.0,51.52777716083269,29.91169977924926,31.824871228844547,0.08024990245630192,,
2020-04-28,42.83,42.845,42.76,42.78,25366,0.0,48.92049051361785,30.022075055187504,30.53715967623235,0.0722792962829999,,
2020-04-29,42.795,42.81,42.71,42.81,42787,0.0,50.27528786157314,31.1258278145695,30.3532008830021,0.06760398607562479,,
2020-04-30,42.795,42.825,42.76,42.8,27096,0.0,49.80112211595719,30.24282560706384,30.46357615894029,0.0623728571544504,,
2020-05-01,42.79,42.855,42.79,42.8,27351,0.0,49.801122115957185,30.68432671081651,30.684326710816624,0.057563592533540486,,
2020-05-02,42.795,42.825,42.77,42.8,25239,0.0,49.801122115957185,22.940629719994988,27.955927345958454,0.05313965481021654,,
2020-05-03,42.8,42.85,42.78,42.805,82622,0.0,50.09505168333362,19.74581129338855,24.456922574733355,0.049466887023449146,,
2020-05-04,42.805,42.9,42.78,42.9,25195,0.0,55.43438962566309,23.510699826489013,22.065713613290857,0.0536039847742984,0.06438078813655718,-0.01077680336225878
2020-05-05,42.9,42.98,42.89,42.97,23971,0.0,58.92188339813507,39.92673992673967,27.72775034887242,0.061818474638641874,0.06386832543697413,-0.0020498507983322534
2020-05-06,42.97,43.02,42.96,43.02,28766,0.0,61.25423727243187,65.25869963369964,42.89871312897611,0.07153844846810387,0.06540235004320008,0.006136098424903785
2020-05-07,43.01,43.05,42.99,43.03,25846,0.0,61.722342990603245,82.71183473389404,62.63242476477779,0.07913628040322607,0.06814913611520527,0.010987144288020792
2020-05-08,43.03,43.18,43.03,43.18,35513,0.0,67.97283460323897,96.9975490196084,81.65602779573402,0.09615297174381965,0.07374990324092814,0.022403068502891504
2020-05-09,43.17,43.255,43.125,43.21,87311,0.0,69.0609875837656,95.2869221082931,91.66543528726517,0.11078253935546911,0.08115643046383635,0.029626108891632766
2020-05-10,43.215,43.26,43.21,43.25,71409,0.0,70.50016539438323,96.64164581595774,96.30870564795309,0.1241728554118211,0.08975971545343331,0.034413139958387795
2020-05-11,43.25,43.36,43.25,43.315,57194,0.0,72.720802755575,94.33395350826534,95.4208404775054,0.13843395368489553,0.09949456309972575,0.03893939058516978
2020-05-12,43.315,43.32,43.21,43.24,112856,0.0,66.50044710087226,90.93240093240105,93.96933341887471,0.14204667793092796,0.1080049860659662,0.034041691864961754
2020-05-13,43.235,43.305,43.15,43.17,190538,0.0,61.235642122216404,80.98290598290613,88.74975347452416,0.13767434874555562,0.11393885860188409,0.02373549014367153
2020-05-14,43.17,43.39,43.13,43.36,311080,0.0,68.52056415667282,81.67769506479202,84.53100066003306,0.1478364914208825,0.12071838516568378,0.027118106255198726
2020-05-15,43.4,43.4,43.28,43.32,400,0.0,65.72039942209227,83.59873698583387,82.08644601117733,0.1509226545833755,0.12675923904922215,0.024163415534153354
2020-05-16,43.34,43.36,43.27,43.36,700,0.0,67.16543519840968,92.00375490698072,85.76006231920219,0.15481155558436654,0.13236970235625103,0.02244185322811551
2020-05-17,43.36,43.39,43.355,43.39,800,0.0,68.24656901410333,93.0790237241852,89.56050520566659,0.1584873434844667,0.13759323058189415,0.020894112902572537
2020-05-18,43.37,43.39,43.3,43.37,600,0.0,66.67049967133613,95.35104364326382,93.47794075814325,0.1579656691214737,0.14166771828981006,0.016297950831663632
2020-05-19,43.36,43.38,43.3,43.38,700,0.0,67.0798647547672,95.98642976252115,94.8054990433234,0.15655449212344763,0.1446450730565376,0.011909419066910037
2020-05-20,43.36,43.36,43.34,43.34,300,0.0,63.70910225108556,91.64601539063574,94.3278295988069,0.15047388915206739,0.14581083627564356,0.004663052876423823
2020-05-21,43.35,43.35,43.27,43.35,300,0.0,64.19352247618244,89.10229519985701,92.24491345100462,0.14479280261721073,0.145607229543957,-0.00081442692674627
2020-05-22,43.3,43.38,43.28,43.28,1000,0.0,58.32459171290377,76.07199216955392,85.60676758668222,0.1331077028805865,0.1431073242112829,-0.009999621330696401
