Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,155.425,155.44,152.34,152.715,15869,0.0,,,,,,
2020-04-02,152.75,152.855,151.13,152.69,16879,0.0,,,,,,
2020-04-03,152.43,152.79,152.355,152.525,4861,0.0,,,,,,
2020-04-04,152.59,153.08,152.44,152.48,9900,0.0,,,,,,
2020-04-05,152.44,152.5,151.655,151.99,35977,0.0,,,,,,
2020-04-06,151.985,152.18,151.64,151.96,9632,0.0,,,,,,
2020-04-07,151.94,152.0,151.045,151.08,8605,0.0,,,,,,
2020-04-08,151.17,151.23,150.07,150.25,7045,0.0,,,,,,
2020-04-09,150.325,151.05,149.38,151.05,8409,0.0,,,,,,
2020-04-10,150.99,151.01,149.96,149.96,8615,0.0,,,,,,
2020-04-11,149.58,149.74,148.865,149.44,10109,0.0,,,,,,
2020-04-12,149.58,149.665,148.62,148.92,10094,0.0,,,,,,
2020-04-13,148.89,149.56,148.32,148.32,12261,0.0,,,,,,
2020-04-14,148.33,148.56,147.505,147.825,22968,0.0,,,,,,
2020-04-15,147.77,148.415,147.27,148.13,22653,0.0,16.261957321560132,,,,,
2020-04-16,148.075,148.12,146.79,146.99,15483,0.0,13.773431132844507,7.338160622843862,,,,
2020-04-17,146.93,147.085,143.95,145.4,34787,0.0,11.199268354848044,11.287808098580648,,,,
2020-04-18,146.19,147.49,144.24,147.05,8708,0.0,26.5420519733523,18.43955627759595,12.355174999673487,,,
2020-04-19,146.98,147.07,143.665,143.765,4603,0.0,19.36746976951605,17.771138905092258,15.832834427089617,,,
2020-04-20,143.59,145.03,143.58,143.75,8131,0.0,19.341759970673834,13.150236812593468,16.453643998427225,,,
2020-04-21,143.77,144.285,143.365,143.585,3410,0.0,19.042311007019194,1.9968677644874997,10.972747827391075,,,
2020-04-22,143.335,144.82,143.29,144.56,7941,0.0,26.303063230355804,7.060728184647651,7.402610920576206,,,
2020-04-23,145.26,145.86,144.84,145.49,5112,0.0,32.51980540916355,15.88686383502376,8.31481992805297,,,
2020-04-24,145.45,145.45,144.59,144.71,8380,0.0,30.217473624399773,22.292964194612555,15.080185404761322,,,
2020-04-25,144.755,145.375,144.755,145.175,3323,0.0,33.251400856230106,26.693846884458324,21.624558304698212,,,
2020-04-26,145.335,145.335,144.47,144.62,4114,0.0,31.49154478662136,24.26541751302375,24.417409530698208,-2.57710949248073,,
2020-04-27,145.09,145.46,144.8,145.46,3131,0.0,36.93213850009765,30.65240641711253,27.203890271531534,-2.4029804406022492,,
2020-04-28,145.12,145.18,144.59,144.59,2819,0.0,33.92695082011414,29.251481819631234,28.056435249922504,-2.3085718621721014,,
2020-04-29,144.5,144.545,143.605,143.75,3922,0.0,31.28037796907087,25.355377923527328,28.419755386757032,-2.2753050629784184,,
2020-04-30,143.8,143.8,142.755,142.76,5966,0.0,28.46232005713317,11.665086601084832,22.09064878141447,-2.3022862879636534,,
2020-05-01,142.91,143.615,142.91,143.535,2854,0.0,33.512092175787146,8.70082633546203,15.240430286691398,-2.2353651817502396,,
2020-05-02,143.655,143.83,142.97,143.0,3445,0.0,31.84114628843099,7.418845795080553,9.261586243875804,-2.200137931221178,,
2020-05-03,142.66,143.38,142.66,143.24,4058,0.0,33.44434713973759,13.425313588111306,9.84832857288463,-2.128320137430933,,
2020-05-04,143.165,144.3,143.165,144.3,3725,0.0,40.14123069223484,25.017622634221905,15.287260672471255,-1.963239870074716,-2.265924029630469,0.3026841595557528
2020-05-05,144.225,144.57,144.05,144.09,2975,0.0,39.297600820412875,38.020833333333485,25.48792318522223,-1.8282825110910892,-2.1783957259225932,0.35011321483150404
2020-05-06,144.08,144.48,143.895,144.18,8678,0.0,39.88075405455092,47.81250000000008,36.950318655851824,-1.6945320730145568,-2.081622995340986,0.38709092232642917
2020-05-07,144.03,144.03,143.52,143.91,4556,0.0,38.68022744805966,45.610119047619,43.81448412698418,-1.5919693984757828,-1.9836922759679454,0.3917228774921626
2020-05-08,144.05,144.05,143.075,143.65,5635,0.0,37.50926949238557,42.50000000000002,45.3075396825397,-1.5142126660197448,-1.8897963539783054,0.37558368795856056
2020-05-09,143.53,143.79,143.525,143.68,4704,0.0,37.74346030357192,38.80952380952388,42.30654761904763,-1.4336430019471322,-1.798565683572071,0.3649226816249387
2020-05-10,143.565,143.79,143.38,143.38,5559,0.0,36.2792701749526,32.500000000000085,37.93650793650799,-1.378112433207093,-1.7144750334990753,0.3363626002919822
2020-05-11,143.26,143.43,142.565,142.58,7983,0.0,32.64267530480741,20.905490303196057,30.738338037573328,-1.3827182561804818,-1.6481236780353568,0.2654054218548749
2020-05-12,142.71,143.25,142.59,142.69,9785,0.0,33.627841951485365,10.840771148701274,21.415420483965793,-1.3617944051632378,-1.5908578234609332,0.2290634182976954
2020-05-13,142.66,142.77,141.355,142.39,26330,0.0,32.24277570523235,13.000291255344246,14.915517569080516,-1.3538136739655329,-1.5434489935618532,0.1896353195963203
2020-05-14,142.57,142.57,142.38,142.51,1200,0.0,33.42400414386381,24.78420330718043,16.208421903741975,-1.3225602387084905,-1.4992712425911807,0.17671100388269023
2020-05-15,142.54,142.54,142.36,142.38,1300,0.0,32.757751175423124,33.333333333333336,23.705942631952663,-1.293372387852287,-1.4580914716434021,0.16471908379111522
2020-05-16,142.39,142.54,142.36,142.49,1400,0.0,33.95735856320587,34.37013996889604,30.829225536469924,-1.2469901982885574,-1.4158712169724332,0.16888101868387584
2020-05-17,142.49,142.54,142.42,142.44,1100,0.0,33.66337935485596,33.64437532400239,33.78261620874391,-1.2004287654590087,-1.3727827266697483,0.17235396121073965
2020-05-18,142.5,142.53,142.5,142.5,1100,0.0,34.39733552157708,34.88854328667739,34.30101952652526,-1.1454825857155129,-1.3273226984789013,0.1818401127633884
2020-05-19,142.49,142.54,142.41,142.54,1700,0.0,34.91434143203844,35.76078797304322,34.76456886124098,-1.0861887687003957,-1.2790959125232002,0.1929071438228045
