Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,42.9,43.07,41.9,42.05,32469,0.0,,,,,,
2020-04-02,42.04,42.81,41.985,42.75,16843,0.0,,,,,,
2020-04-03,42.76,42.84,42.19,42.37,21195,0.0,,,,,,
2020-04-04,42.425,42.825,42.23,42.72,15656,0.0,,,,,,
2020-04-05,42.73,42.96,42.73,42.94,9621,0.0,,,,,,
2020-04-06,42.86,42.86,42.31,42.31,7365,0.0,,,,,,
2020-04-07,42.385,42.46,42.105,42.15,8455,0.0,,,,,,
2020-04-08,42.12,42.585,42.095,42.53,8124,0.0,,,,,,
2020-04-09,42.56,42.93,42.54,42.865,6025,0.0,,,,,,
2020-04-10,42.81,42.9,42.73,42.85,34307,0.0,,,,,,
2020-04-11,42.825,42.87,42.7,42.8,8060,0.0,,,,,,
2020-04-12,42.795,42.94,42.795,42.9,12706,0.0,,,,,,
2020-04-13,42.9,42.93,42.69,42.69,4997,0.0,,,,,,
2020-04-14,42.69,42.8,42.64,42.66,4519,0.0,,,,,,
2020-04-15,42.7,42.8,42.61,42.625,5953,0.0,57.997218358831724,,,,,
2020-04-16,42.59,42.675,42.55,42.665,3980,0.0,58.494555449836135,65.49808145183853,,,,
2020-04-17,42.64,42.64,42.45,42.495,3996,0.0,55.48749913215202,59.25991798824154,,,,
2020-04-18,42.55,42.55,42.44,42.45,4231,0.0,54.68609549452929,51.059730250481685,58.605909896853916,,,
2020-04-19,42.44,42.47,42.295,42.38,8410,0.0,53.39422013324754,40.33701588170259,50.21888804014194,,,
2020-04-20,42.355,42.45,42.24,42.42,6467,0.0,54.06204409881757,37.743270513390975,43.046672215191755,,,
2020-04-21,42.4,42.64,42.4,42.57,5685,0.0,56.57496243058978,42.80078895463547,40.29369178324301,,,
2020-04-22,42.6,42.68,42.515,42.635,5826,0.0,57.65591403786481,50.3677092138632,43.63725622729655,,,
2020-04-23,42.65,42.705,42.48,42.54,8041,0.0,55.482141025217366,51.83291067906449,48.33380294918772,,,
2020-04-24,42.51,42.625,42.46,42.59,19679,0.0,56.41357623404709,49.761904761904816,50.654174884944176,,,
2020-04-25,42.57,42.845,42.47,42.82,13705,0.0,60.506951446464825,58.57142857142878,53.3887480041327,,,
2020-04-26,42.82,42.87,42.67,42.81,41731,0.0,60.242048434246236,71.82194616977262,60.05175983436874,0.03085390665769694,,
2020-04-27,42.705,43.14,42.62,42.985,5978,0.0,63.272425076959195,82.74787209569833,71.04708227896657,0.056865424853249635,,
2020-04-28,42.88,43.14,42.88,43.13,3312,0.0,65.61127986782877,88.09178743961365,80.88720190169487,0.08816373198818894,,
2020-04-29,43.09,43.465,43.08,43.345,5663,0.0,68.78540372375485,90.62358276643981,87.15441410058394,0.12883147994874378,,
2020-04-30,43.33,43.385,43.17,43.22,2442,0.0,65.02737319526952,89.69765684051383,89.47100901552244,0.1492540006591625,,
2020-05-01,43.265,43.38,43.2,43.325,3106,0.0,66.67441912676284,86.2585034013603,88.85991433610467,0.17192971915696376,,
2020-05-02,43.35,43.405,43.11,43.135,3570,0.0,61.06971920219945,80.54421768707456,85.50012597631623,0.1725795872773901,,
2020-05-03,43.135,43.18,43.01,43.11,10045,0.0,60.3508537148035,77.55102040816303,81.45124716553262,0.16912772227455974,,
2020-05-04,43.095,43.095,42.91,42.935,38742,0.0,55.43198881332304,64.77212481236607,74.28912096920122,0.15053577422647635,0.12423792744915908,0.026297846777317266
2020-05-05,42.94,42.94,42.755,42.89,5948,0.0,54.20847792546714,54.680406533014626,65.66785058451457,0.13066418217482578,0.12552317839429245,0.0051410037805333375
2020-05-06,42.88,42.88,42.785,42.845,21592,0.0,52.949851608015614,43.77642304907378,54.40965146481815,0.1100164769243932,0.1224218381003126,-0.012405361175919394
2020-05-07,42.92,42.92,42.745,42.82,4286,0.0,52.224388821598744,38.971807628523855,45.809545736870746,0.09059144885725345,0.11605576025170078,-0.025464311394447325
2020-05-08,42.85,42.85,42.63,42.64,3519,0.0,47.2091277174891,30.404926789836296,37.717719155811295,0.05998105423078215,0.10484081904751706,-0.04485976481673491
2020-05-09,42.665,42.75,42.62,42.67,3436,0.0,48.10364851294636,19.60782747379349,29.66152063071787,0.03770816893391071,0.0914142890247958,-0.05370612009088509
2020-05-10,42.64,42.71,42.595,42.625,3155,0.0,46.82203283673062,8.816954253687209,19.609902839105654,0.01623843636303235,0.07637911849244311,-0.06014068212941076
2020-05-11,42.615,42.64,42.48,42.515,4363,0.0,43.75332388938568,4.306245039256427,10.910342255579032,-0.009542561364732194,0.05919478252100805,-0.06873734388574024
2020-05-12,42.515,42.59,42.51,42.56,4234,0.0,45.33182369492014,5.041134255207738,6.054777849383782,-0.0260428580304648,0.04214725441071348,-0.06819011244117829
2020-05-13,42.56,42.63,42.43,42.43,4126,0.0,41.691725792484036,3.891708967851379,4.413029420771838,-0.049044026551705144,0.023908998218229754,-0.0729530247699349
2020-05-14,42.45,42.52,42.43,42.44,3580,0.0,42.077028479794805,3.0491561456029395,3.993999789554009,-0.06570825799653335,0.005985546975277135,-0.07169380497181048
2020-05-15,42.5,42.5,42.425,42.47,5380,0.0,43.28777839965508,1.8724925867782811,2.937785900077523,-0.07562230533368819,-0.010336023486515931,-0.06528628184717225
2020-05-16,42.455,42.595,42.425,42.55,3545,0.0,46.499339400760896,7.391256383687755,4.104301705356314,-0.07614616230343785,-0.023498051249900315,-0.05264811105353753
2020-05-17,42.56,42.61,42.52,42.52,4514,0.0,45.45970163491978,11.775744201011745,7.013164390492583,-0.07808199141302907,-0.03441483928252607,-0.043667152130503005
2020-05-18,42.53,42.54,42.5,42.515,6064,0.0,45.27800120958173,16.07037467456055,11.745791753086673,-0.07910770377624488,-0.04335341218126983,-0.03575429159497504
2020-05-19,42.52,42.525,42.445,42.46,7799,0.0,43.23107239186318,12.908513234553661,13.584877370041974,-0.08339727666735541,-0.05136218507848696,-0.032035091588868456
2020-05-20,42.455,42.46,42.315,42.315,7397,0.0,38.3134342192459,8.182145075349396,12.38701099482119,-0.09737460840064216,-0.060564669742918,-0.03680993865772416
2020-05-21,42.31,42.55,42.31,42.545,10115,0.0,48.3498117289018,16.863075196408744,12.651244502103921,-0.08886824883669675,-0.06622538556167375,-0.022642863275023004
