Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,10.9,10.995,10.84,10.92,40885,0.0,,,,,,
2020-04-02,10.96,10.97,10.76,10.79,36098,0.0,,,,,,
2020-04-03,10.795,10.85,10.76,10.845,36001,0.0,,,,,,
2020-04-04,10.83,10.85,10.765,10.84,15216,0.0,,,,,,
2020-04-05,10.84,10.845,10.79,10.82,22593,0.0,,,,,,
2020-04-06,10.84,10.935,10.84,10.845,38095,0.0,,,,,,
2020-04-07,10.83,10.84,10.8,10.82,29691,0.0,,,,,,
2020-04-08,10.83,10.895,10.82,10.88,24658,0.0,,,,,,
2020-04-09,10.89,10.955,10.88,10.94,33416,0.0,,,,,,
2020-04-10,10.945,10.99,10.93,10.97,43548,0.0,,,,,,
2020-04-11,10.97,11.12,10.97,11.12,38157,0.0,,,,,,
2020-04-12,11.135,11.21,11.13,11.195,31567,0.0,,,,,,
2020-04-13,11.195,11.21,11.07,11.07,20064,0.0,,,,,,
2020-04-14,11.07,11.095,11.06,11.08,14792,0.0,,,,,,
2020-04-15,11.08,11.12,11.04,11.1,14888,0.0,61.392405063291086,,,,,
2020-04-16,11.1,11.11,11.02,11.03,14851,0.0,56.044444444444395,68.8888888888887,,,,
2020-04-17,11.03,11.04,10.98,11.01,20046,0.0,54.58147432909369,63.5372451102786,,,,
2020-04-18,11.0,11.04,10.95,10.95,21334,0.0,50.336348820180895,51.050472623506145,61.15886887422448,,,
2020-04-19,10.94,10.95,10.9,10.94,18830,0.0,49.643338526284246,42.43258644464433,52.340101392809686,,,
2020-04-20,10.94,10.96,10.9,10.9,15364,0.0,46.86399663723043,32.21060782036374,41.89788896283807,,,
2020-04-21,10.9,10.975,10.88,10.95,15650,0.0,50.58798451004327,30.62330623306209,35.08883349935672,,,
2020-04-22,10.95,10.96,10.9,10.92,20220,0.0,48.396351040012384,23.281596452327932,28.705170168584583,,,
2020-04-23,10.9,10.92,10.805,10.81,44013,0.0,41.326569176707466,15.563037785259874,23.1559801568833,,,
2020-04-24,10.81,10.865,10.78,10.81,60593,0.0,41.326569176707466,6.777508069497782,15.207380769028527,,,
2020-04-25,10.81,10.89,10.79,10.88,168420,0.0,47.03666553356214,10.489042013590035,10.943195956115895,,,
