Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,18.18,18.275,18.145,18.275,26822,0.0,,,,,,
2020-04-02,18.265,18.29,18.14,18.15,23556,0.0,,,,,,
2020-04-03,18.15,18.155,18.06,18.12,21417,0.0,,,,,,
2020-04-04,18.115,18.115,18.045,18.07,14385,0.0,,,,,,
2020-04-05,18.075,18.095,18.05,18.095,12174,0.0,,,,,,
2020-04-06,18.095,18.12,18.055,18.065,11552,0.0,,,,,,
2020-04-07,18.065,18.09,18.06,18.075,12951,0.0,,,,,,
2020-04-08,18.09,18.195,18.085,18.185,16746,0.0,,,,,,
2020-04-09,18.19,18.26,18.185,18.24,9259,0.0,,,,,,
2020-04-10,18.235,18.295,18.2,18.235,15014,0.0,,,,,,
2020-04-11,18.225,18.285,18.215,18.285,6926,0.0,,,,,,
2020-04-12,18.285,18.36,18.285,18.345,10556,0.0,,,,,,
2020-04-13,18.345,18.36,18.28,18.28,5686,0.0,,,,,,
2020-04-14,18.265,18.275,18.2,18.22,10217,0.0,,,,,,
2020-04-15,18.23,18.255,18.2,18.245,10229,0.0,47.857142857143,,,,,
2020-04-16,18.24,18.24,18.19,18.19,8466,0.0,44.12360688956445,55.026455026455004,,,,
2020-04-17,18.165,18.19,18.155,18.17,7534,0.0,42.815548665204695,49.735449735449976,,,,
2020-04-18,18.17,18.18,18.075,18.075,8117,0.0,37.177660923285124,31.259600614439346,45.34050179211477,,,
2020-04-19,18.06,18.16,18.015,18.12,12791,0.0,41.13194775933827,26.0606128067559,35.68522105221507,,,
2020-04-20,18.12,18.15,18.1,18.11,10342,0.0,40.52155089362404,22.01184354059515,26.444018987263462,,,
2020-04-21,18.11,18.175,18.09,18.175,8399,0.0,46.11872624923988,34.782608695652236,27.618355014334426,,,
2020-04-22,18.18,18.2,18.16,18.19,12982,0.0,47.3500432671449,41.54589371980688,32.78011531868475,,,
2020-04-23,18.19,18.2,18.16,18.185,25988,0.0,46.964771072901186,48.79227053140102,41.706924315620036,,,
2020-04-24,18.18,18.22,18.145,18.21,37481,0.0,49.19086642577985,52.17391304347834,47.5040257648954,,,
2020-04-25,18.22,18.26,18.205,18.26,74475,0.0,53.40344312385445,58.937198067632984,53.30112721417077,,,
2020-04-26,18.1,18.18,18.03,18.12,10653,0.0,42.72258258138996,52.65700483091822,54.5893719806765,-0.0020787003738789167,,
2020-04-27,18.1,18.13,18.07,18.085,10457,0.0,40.53964356104125,42.79078409513229,51.46166233122782,-0.009367929463852676,,
2020-04-28,18.09,18.14,18.07,18.1,10680,0.0,41.90956799062866,30.683912360931256,42.043900428993915,-0.0137755257085459,,
2020-04-29,18.07,18.12,18.06,18.1,10042,0.0,41.90956799062865,32.1036106750395,35.19276904370101,-0.017071784581641936,,
2020-04-30,18.11,18.29,18.11,18.29,6816,0.0,56.598887383052585,56.46258503401375,39.750036023328164,-0.004303078176441488,,
2020-05-01,18.295,18.305,18.195,18.205,9569,0.0,50.452375884316986,66.73703964344345,51.76774511749889,-0.00103069477433948,,
2020-05-02,18.18,18.195,18.125,18.13,7639,0.0,45.73306946594299,68.39080459770081,63.86347642505265,-0.004438021798062408,,
2020-05-03,18.13,18.145,18.075,18.075,6948,0.0,42.58705799144802,40.51201671891274,58.54662032001898,-0.01144446864800841,,
2020-05-04,18.08,18.1,18.065,18.09,17922,0.0,43.7240721391518,25.94566353186998,44.949494949494486,-0.015606847591435269,-0.008790783457356276,-0.006816064134078993
2020-05-05,18.085,18.115,18.07,18.075,8260,0.0,42.81101846233652,18.181818181817675,28.213166144200105,-0.019886696078831534,-0.011009965981651328,-0.008876730097180206
2020-05-06,18.08,18.1,18.025,18.07,11805,0.0,42.4924877636579,18.084415584415456,20.73729909936768,-0.023412085109374203,-0.013490389807195902,-0.009921695302178301
2020-05-07,18.065,18.065,18.03,18.035,4401,0.0,40.23570344015854,12.002164502164675,16.089466089465905,-0.028699360445443745,-0.01653218393484547,-0.012167176510598274
2020-05-08,18.035,18.06,18.02,18.06,7906,0.0,42.58147946987836,11.225981620718729,13.770853902432924,-0.03052045239882517,-0.019329837627641414,-0.011190614771183757
2020-05-09,18.055,18.055,17.96,17.995,10336,0.0,38.36510517943601,9.25048127565301,10.82620913284544,-0.03678460760561819,-0.02282079162323677,-0.01396381598238142
2020-05-10,18.005,18.02,18.0,18.0,3712,0.0,38.866567747303115,11.924739384693476,10.80040076035504,-0.04087436330774352,-0.026431505960138123,-0.0144428573476054
2020-05-11,18.005,18.02,17.98,17.99,7113,0.0,38.19721016956521,10.14492753623162,10.440049398859337,-0.044410503948355995,-0.0300273055577817,-0.014383198390574295
2020-05-12,17.96,17.985,17.96,17.985,6019,0.0,37.84624863537048,9.178743961352238,10.416136960759081,-0.04707374229699823,-0.03343659290562501,-0.013637149391373227
2020-05-13,17.985,18.05,17.985,18.045,4325,0.0,44.44303361582341,13.526570048308939,10.95008051529757,-0.043837547358791085,-0.03551678379625822,-0.008320763562532862
