Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,6.18,6.18,6.09,6.15,4450,0.0,,,,,,
2020-04-02,6.14,6.24,6.11,6.225,13898,0.0,,,,,,
2020-04-03,6.22,6.22,5.98,6.0,16442,0.0,,,,,,
2020-04-04,5.98,6.02,5.9,6.02,3382,0.0,,,,,,
2020-04-05,6.01,6.05,5.905,5.93,13069,0.0,,,,,,
2020-04-06,5.925,6.01,5.915,5.965,2417,0.0,,,,,,
2020-04-07,5.975,6.05,5.975,6.04,4760,0.0,,,,,,
2020-04-08,6.04,6.04,6.01,6.02,680,0.0,,,,,,
2020-04-09,6.01,6.06,6.0,6.05,5304,0.0,,,,,,
2020-04-10,6.05,6.05,6.015,6.025,1488,0.0,,,,,,
2020-04-11,6.0,6.02,5.97,5.97,1665,0.0,,,,,,
2020-04-12,5.99,6.01,5.965,5.99,2374,0.0,,,,,,
2020-04-13,5.98,5.98,5.94,5.96,718,0.0,,,,,,
2020-04-14,5.955,6.0,5.94,5.955,4230,0.0,,,,,,
2020-04-15,5.94,5.97,5.925,5.94,2915,0.0,35.41666666666667,,,,,
2020-04-16,5.94,5.94,5.905,5.925,2822,0.0,34.639498432601854,11.917892156862676,,,,
2020-04-17,5.925,5.925,5.85,5.855,3073,0.0,31.198870629117494,7.319386087768521,,,,
2020-04-18,5.865,5.89,5.855,5.86,3633,0.0,31.72056084580055,4.985119047619231,8.074132430750144,,,
2020-04-19,5.87,5.87,5.72,5.72,3707,0.0,25.81753577870606,2.380952380952615,4.89515250544679,,,
2020-04-20,5.715,5.85,5.7,5.82,4340,0.0,35.10695515686392,12.698412698412833,6.6881613756615605,,,
2020-04-21,5.84,5.91,5.84,5.88,3532,0.0,39.96465067737311,27.777777777777803,14.285714285714418,,,
2020-04-22,5.87,5.94,5.87,5.935,2289,0.0,44.095815980351865,49.537037037037045,30.004409171075892,,,
2020-04-23,5.94,5.94,5.89,5.92,2534,0.0,43.22226884404936,59.37830687830685,45.564373897707235,,,
2020-04-24,5.91,5.94,5.91,5.93,2216,0.0,44.01847785433209,66.66997354497352,58.52843915343914,,,
2020-04-25,5.915,5.97,5.91,5.92,5371,0.0,43.36360183816147,68.56662826420892,64.8716362291631,,,
2020-04-26,5.93,5.97,5.895,5.94,12508,0.0,45.12207767209673,74.28091397849467,69.83917192922571,-0.04371088699325654,,
2020-04-27,5.785,5.88,5.72,5.77,21102,0.0,35.135968380987634,58.10035842293905,66.9826335552142,-0.052096807951120816,,
2020-04-28,5.77,5.78,5.685,5.72,5637,0.0,32.83430989226069,38.53801169590643,56.97309469911338,-0.06206188211524655,,
2020-04-29,5.73,5.75,5.7,5.745,4507,0.0,35.12273232495582,18.888888888888896,38.509086335911455,-0.06716771649323405,,
2020-04-30,5.75,5.76,5.7,5.74,10499,0.0,34.86686414283467,17.543859649122947,24.99025341130609,-0.07080143041908471,,
2020-05-01,5.73,5.76,5.7,5.76,5079,0.0,36.84864371122065,22.22222222222236,19.551656920078067,-0.07124606178071691,,
2020-05-02,5.785,5.795,5.73,5.795,27325,0.0,40.273505994471144,28.070175438596607,22.612085769980634,-0.06799047596113272,,
2020-05-03,5.8,5.815,5.755,5.795,5378,0.0,40.273505994471144,34.502923976608265,28.26510721247574,-0.06466498307158819,,
2020-05-04,5.8,5.81,5.79,5.8,718,0.0,40.805386346694526,39.18128654970768,33.91812865497085,-0.060923756641641624,-0.06229600015855801,0.0013722435169163869
2020-05-05,5.81,5.82,5.8,5.82,501,0.0,42.99226840037501,42.10526315789485,38.59649122807027,-0.05570286691286164,-0.06097737350941874,0.005274506596557101
2020-05-06,5.83,5.84,5.83,5.84,610,0.0,45.17358016166171,47.36842105263168,42.88499025341141,-0.04938219414059297,-0.05865833763565359,0.009276143495060618
2020-05-07,5.835,5.835,5.81,5.82,958,0.0,43.38579145923957,49.70760233918145,46.39376218323599,-0.04546278163650186,-0.056019226435823244,0.010556444799321385
2020-05-08,5.81,5.82,5.8,5.82,1448,0.0,43.38579145923957,49.70760233918145,48.92787524366486,-0.04187392247647015,-0.05319016564395263,0.011316243167482483
2020-05-09,5.815,5.815,5.8,5.8,1315,0.0,41.48182665351477,45.029239766082036,48.148148148148316,-0.040180384131984326,-0.05058820934155897,0.010407825209574645
2020-05-10,5.78,5.78,5.75,5.75,236,0.0,37.09860292021518,40.3508771929826,45.029239766082036,-0.042384245723830816,-0.04894741661801334,0.006563170894182527
2020-05-11,5.75,5.75,5.72,5.73,502,0.0,35.483476203720414,34.23882286361087,39.87297994089184,-0.04522334815933693,-0.048202602926278065,0.0029792547669411362
2020-05-12,5.71,5.73,5.7,5.73,884,0.0,35.48347620372043,27.931387608807256,34.17369588846691,-0.046932350373372955,-0.04794855241569705,0.0010162020423240964
2020-05-13,5.76,5.76,5.69,5.7,1221,0.0,32.9852623390523,19.042498719918274,27.070903064112134,-0.05012963301544282,-0.04838476853564621,-0.001744864479796611
2020-05-14,5.68,5.72,5.675,5.7,1948,0.0,32.9852623390523,14.415584415584528,20.46315691477002,-0.05206334866931073,-0.049120484562379114,-0.0029428641069316128
2020-05-15,5.7,5.73,5.7,5.725,1584,0.0,37.25471931728444,17.37373737373737,16.943940169746725,-0.050990751547192126,-0.04949453795934172,-0.0014962135878504035
2020-05-16,5.735,5.75,5.71,5.75,5428,0.0,41.283270283465896,30.303030303030372,20.69745069745076,-0.0475750044965606,-0.0491106312667855,0.001535626770224896
2020-05-17,5.745,5.745,5.695,5.73,6494,0.0,39.1193838119586,36.36363636363648,28.01346801346807,-0.04595212570194551,-0.048478930153817504,0.0025268044518719918
2020-05-18,5.72,5.725,5.695,5.725,5322,0.0,38.57501754757856,36.36363636363648,34.343434343434446,-0.04455582891753895,-0.047694309906561795,0.003138480989022842
2020-05-19,5.715,5.745,5.715,5.74,5962,0.0,41.21773918909889,34.3434343434345,35.69023569023582,-0.04175752426972679,-0.046506952779194796,0.004749428509468009
2020-05-20,5.735,5.735,5.705,5.71,11585,0.0,37.72217129354615,30.523989898989964,33.74368686868698,-0.04148241351409432,-0.045502044926174705,0.004019631412080386
2020-05-21,5.715,5.715,5.66,5.685,15096,0.0,35.054223290270116,25.63131313131312,30.16624579124586,-0.042788438836443454,-0.04495932370822846,0.0021708848717850032
2020-05-22,5.685,5.7,5.65,5.66,33888,0.0,32.57322682649439,14.520202020201891,23.558501683501657,-0.04531836250681476,-0.04503113146794572,-0.00028723103886903883
2020-05-23,5.63,5.63,5.63,5.63,100,0.0,29.84360196559973,7.2285353535352,15.793350168350065,-0.04917721025417876,-0.045860347225192326,-0.0033168630289864345
2020-05-24,5.53,5.64,5.53,5.63,800,0.0,29.84360196559973,16.512955643390363,12.753897672375812,-0.05164009996787833,-0.04701629777372953,-0.0046238021941487975
2020-05-25,5.54,5.65,5.54,5.61,900,0.0,28.027639719242913,26.08695652173914,16.609482506221557,-0.054576664843649425,-0.04852837118771351,-0.006048293655935913
2020-05-26,5.64,5.64,5.57,5.57,400,0.0,24.779975450637238,31.884057971014517,24.82799004538133,-0.05944631920679111,-0.05071196079152904,-0.008734358415262072
2020-05-27,5.64,5.68,5.56,5.67,700,0.0,42.666242107670456,38.603425559947325,32.19148001756699,-0.05460691656587002,-0.05149095194639724,-0.0031159646194727844
2020-05-28,5.67,5.7,5.65,5.7,700,0.0,46.75657061351036,52.76679841897234,41.08476064997806,-0.04779989835357146,-0.050752741227832084,0.0029528428742606264
2020-05-29,5.63,5.71,5.58,5.58,700,0.0,35.765175580044655,54.545454545454525,48.63855950812472,-0.05149468581284111,-0.05090113014483389,-0.0005935556680072215
2020-05-30,5.63,5.67,5.55,5.55,600,0.0,33.636333212384244,36.43410852713172,47.91545383051952,-0.05619579067907399,-0.05196006225168191,-0.004235728427392074
2020-05-31,5.64,5.67,5.55,5.59,600,0.0,38.86173482151399,19.978858350951246,36.98614047451249,-0.056047701435477215,-0.052777590088440976,-0.003270111347036239
2020-06-01,5.67,5.67,5.67,5.67,300,0.0,47.726819785976346,34.1085271317828,30.173831336621912,-0.048911190473281074,-0.052004310165409004,0.0030931196921279297
2020-06-02,5.63,5.77,5.56,5.74,15445,0.0,54.010590892756326,60.17441860465115,38.08726802912839,-0.03717846888781917,-0.04903914190989104,0.011860673022071867
2020-06-03,5.72,5.75,5.66,5.66,2192,0.0,47.04955902432791,68.92764857881144,54.40353143841512,-0.03394424577798105,-0.046020162683509044,0.012075916905527992
2020-06-04,5.62,5.65,5.61,5.64,1693,0.0,45.471726761689126,62.50000000000008,63.867355727820886,-0.032618922876791245,-0.04333991472216549,0.010720991845374242
2020-06-05,5.635,5.685,5.63,5.645,2917,0.0,45.95964623342721,49.30555555555551,60.24440137812234,-0.030809978462734477,-0.04083392747027929,0.01002394900754481
