Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,6.98,6.995,6.97,6.98,138972,0.0,,,,,,
2020-04-02,6.985,7.02,6.97,7.02,177228,0.0,,,,,,
2020-04-03,7.02,7.06,7.01,7.05,223773,0.0,,,,,,
2020-04-04,7.05,7.055,7.02,7.02,108662,0.0,,,,,,
2020-04-05,7.02,7.04,7.01,7.035,110857,0.0,,,,,,
2020-04-06,7.03,7.05,7.025,7.04,112737,0.0,,,,,,
2020-04-07,7.04,7.04,6.99,6.99,181084,0.0,,,,,,
2020-04-08,6.99,6.995,6.965,6.99,107134,0.0,,,,,,
2020-04-09,6.985,6.99,6.93,6.93,141383,0.0,,,,,,
2020-04-10,6.93,6.98,6.9,6.98,326972,0.0,,,,,,
2020-04-11,6.98,7.01,6.95,6.98,187128,0.0,,,,,,
2020-04-12,6.985,7.01,6.97,7.005,143344,0.0,,,,,,
2020-04-13,7.01,7.03,7.0,7.005,196961,0.0,,,,,,
2020-04-14,7.005,7.02,6.975,6.995,178941,0.0,,,,,,
2020-04-15,6.99,7.01,6.98,6.99,247881,0.0,51.56249999999996,,,,,
2020-04-16,6.99,6.995,6.96,6.99,547735,0.0,51.56249999999996,57.29166666666682,,,,
2020-04-17,6.99,6.99,6.99,6.99,200,0.0,51.562499999999964,56.85483870967758,,,,
2020-04-18,6.92,6.92,6.92,6.92,274,0.0,40.49792206631508,42.54928315412189,52.23192951015543,,,
2020-04-19,6.905,6.99,6.905,6.97,92821,0.0,48.92814677783867,39.3548387096773,46.25298685782559,,,
2020-04-20,6.96,7.01,6.93,6.95,247126,0.0,46.11376948801017,31.904761904761727,37.93629458952031,,,
2020-04-21,6.95,6.98,6.945,6.97,107914,0.0,49.25705549556728,45.40903540903518,38.88954534115806,,,
2020-04-22,6.97,6.97,6.93,6.935,139211,0.0,44.378396807884855,38.82783882783849,38.713878713878465,,,
2020-04-23,6.935,6.975,6.9,6.965,151854,0.0,49.03767966034914,43.58974358974316,42.608872608872275,,,
2020-04-24,6.965,6.98,6.93,6.94,124184,0.0,45.60898054101084,35.89743589743562,39.43833943833909,,,
2020-04-25,6.94,6.955,6.91,6.91,147743,0.0,41.82937267273076,29.487179487179343,36.32478632478604,,,
2020-04-26,6.92,6.92,6.87,6.9,137798,0.0,40.62097426707821,19.070512820512835,28.15170940170927,-0.031168588873102365,,
2020-04-27,6.9,6.915,6.89,6.91,63784,0.0,42.412574615093774,17.70299145299149,22.086894586894555,-0.03186542223077993,,
2020-04-28,6.9,6.91,6.895,6.9,127504,0.0,41.07782383906246,22.281746031746195,19.685083435083502,-0.03284595637447918,,
2020-04-29,6.9,6.91,6.885,6.91,104320,0.0,43.009320939238414,25.555555555555703,21.84676434676446,-0.03244214744006069,,
2020-04-30,6.91,6.93,6.91,6.915,81665,0.0,43.997816962964535,27.380952380952497,25.072751322751458,-0.03135720143799503,,
2020-05-01,6.91,6.93,6.91,6.91,62503,0.0,43.19104738342322,29.76190476190483,27.56613756613767,-0.030548685892922478,,
2020-05-02,6.91,6.935,6.91,6.93,130585,0.0,47.349799984930414,34.5238095238095,30.555555555555603,-0.027971658774784025,,
2020-05-03,6.93,6.95,6.89,6.89,111646,0.0,40.90079475307621,28.571428571428452,30.952380952380924,-0.02882473828308285,,
2020-05-04,6.89,6.925,6.89,6.92,32577,0.0,46.75781101532009,34.199134199133944,32.4314574314573,-0.02677145598009112,-0.03042176169858863,0.003650305718497511
2020-05-05,6.91,6.915,6.89,6.895,238273,0.0,42.93882246005986,27.489177489177113,30.08658008657983,-0.026851973195922696,-0.029707803998055445,0.0028558308021327493
2020-05-06,6.895,6.9,6.87,6.88,83663,0.0,40.78631536206516,25.7575757575754,29.14862914862881,-0.027805632288714577,-0.029327369656187274,0.0015217373674726968
2020-05-07,6.875,6.9,6.87,6.89,48652,0.0,42.8434096556483,16.666666666666263,23.304473304472918,-0.027438206993451786,-0.028949537123640175,0.0015113301301883895
2020-05-08,6.885,6.89,6.875,6.89,103500,0.0,42.84340965564831,16.934046345810668,19.786096256684104,-0.02683765205279265,-0.02852716010947067,0.0016895080566780227
2020-05-09,6.89,6.905,6.865,6.9,205336,0.0,45.05708132053122,27.629233511586204,20.40998217468771,-0.02526356881378433,-0.027874441850333408,0.002610873036549076
2020-05-10,6.9,6.905,6.885,6.9,89961,0.0,45.05708132053122,35.294117647058776,26.61913250148521,-0.023742408796740833,-0.027048035239614895,0.003305626442874063
2020-05-11,6.9,6.92,6.895,6.92,43578,0.0,49.58602765073162,49.01960784313727,37.31431966726074,-0.02068460640393699,-0.025775349472479316,0.005090743068542326
2020-05-12,6.92,6.92,6.885,6.89,213021,0.0,43.75921667694825,45.098039215686036,43.13725490196069,-0.020446332661382627,-0.02470954611025998,0.004263213448877354
2020-05-13,6.89,6.91,6.88,6.89,147729,0.0,43.75921667694825,41.17647058823479,45.09803921568602,-0.020026644314237174,-0.02377296575105542,0.003746321436818245
2020-05-14,6.89,6.9,6.88,6.88,507141,0.0,41.85772116848402,25.490196078430852,37.25490196078388,-0.020267325588532614,-0.023071837718550862,0.0028045121300182482
