Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,261.155,261.325,261.155,261.195,709,0.0,,,,,,
2020-04-02,261.18,261.77,261.18,261.74,550,0.0,,,,,,
2020-04-03,261.7,261.715,261.66,261.66,411,0.0,,,,,,
2020-04-04,261.59,261.605,261.395,261.58,1428,0.0,,,,,,
2020-04-05,261.97,262.57,261.97,262.18,1739,0.0,,,,,,
2020-04-06,263.17,263.17,263.17,263.17,100,0.0,,,,,,
2020-04-07,263.445,263.615,262.71,262.755,1100,0.0,,,,,,
2020-04-08,262.755,262.795,262.435,262.795,1973,0.0,,,,,,
2020-04-09,262.79,262.915,262.66,262.835,2003,0.0,,,,,,
2020-04-10,263.07,263.375,262.97,263.15,1706,0.0,,,,,,
2020-04-11,263.365,263.365,262.57,262.9,2998,0.0,,,,,,
2020-04-12,262.96,262.995,262.48,262.995,919,0.0,,,,,,
2020-04-13,263.04,263.175,262.75,263.175,700,0.0,,,,,,
2020-04-14,262.23,262.25,262.23,262.25,302,0.0,,,,,,
2020-04-15,261.825,261.825,261.245,261.455,730,0.0,52.429906542055924,,,,,
2020-04-16,261.345,261.345,260.73,260.915,1530,0.0,47.28958630527847,20.739435985030862,,,,
2020-04-17,260.89,260.94,260.84,260.92,918,0.0,47.341066961660985,8.097300464888663,,,,
2020-04-18,261.41,261.41,260.665,260.85,1620,0.0,46.65407765398656,6.4231511128083625,11.75329585424263,,,
2020-04-19,260.79,260.8,260.73,260.73,300,0.0,45.43680569606937,5.0201216109038524,6.513524396200292,,,
2020-04-20,260.32,260.32,260.3,260.3,308,0.0,41.280435928206735,2.8248587570621617,4.756043826924793,,,
2020-04-21,260.04,260.085,259.22,259.22,1291,0.0,33.09247717031863,0.7344632768361393,2.859814548267385,,,
2020-04-22,258.77,258.77,258.36,258.36,833,0.0,28.281879673444692,3.9968028886505635e-15,1.1864406779661019,,,
2020-04-23,258.425,258.44,257.305,257.305,2607,0.0,23.725465651121652,3.9968028886505635e-15,0.24482109227871587,,,
2020-04-24,256.895,257.535,256.895,257.45,880,0.0,25.50194462646077,2.8593508500773073,0.9531169500257719,,,
2020-04-25,257.275,258.29,257.275,258.23,1427,0.0,34.358597843913515,9.945338111223963,4.268229653767092,,,
2020-04-26,258.075,259.005,258.03,258.86,1742,0.0,40.51032326635495,20.375274416956568,11.059987792752613,-1.7188789532732471,,
2020-04-27,258.66,258.66,258.4,258.4,325,0.0,37.72992504826351,26.8841152880121,19.068242605397543,-1.6709712116125957,,
2020-04-28,257.73,258.63,257.73,258.54,715,0.0,39.09990481004999,30.920508013343042,26.0599659061039,-1.6032261580423324,,
2020-04-29,258.17,258.65,258.17,258.6,494,0.0,39.712076144425694,33.07824243481623,30.29428857872379,-1.527092840766045,,
2020-04-30,258.87,259.38,257.735,259.38,3901,0.0,47.149644445948915,42.05630394365748,35.351684797272256,-1.3878192407260599,,
2020-05-01,257.795,257.795,255.96,256.78,800,0.0,32.67796184643444,35.94921447705733,37.027920285177025,-1.4702935513416833,,
2020-05-02,256.63,256.63,256.0,256.0,380,0.0,29.72987898385665,23.637025843515403,33.880848088076746,-1.5803769166235497,,
2020-05-03,256.955,256.955,256.39,256.95,301,0.0,37.165183530212225,12.859579952990737,24.1486067578545,-1.5728310983500933,,
2020-05-04,259.065,260.64,259.065,260.64,2368,0.0,56.44348073026719,41.177622766446625,25.89140952098427,-1.254636156986578,-1.5317917919691315,0.27715563498255347
2020-05-05,260.72,260.96,260.68,260.68,443,0.0,56.59892942196777,72.3688073394496,42.135336686295666,-0.9878493948700111,-1.4230033125493073,0.43515391767929623
2020-05-06,259.995,259.995,259.995,259.995,310,0.0,53.10371312239753,91.70000000000032,68.41547670196552,-0.8222147590821578,-1.3028456018558776,0.4806308427737198
2020-05-07,259.25,259.25,258.48,258.78,1488,0.0,47.500531506564876,77.16666666666686,80.4118246687056,-0.7799971411961337,-1.1982759097239288,0.4182787685277951
2020-05-08,258.65,258.65,258.28,258.28,310,0.0,45.37856288172722,61.16666666666654,76.67777777777793,-0.7779178435225731,-1.1142042964836576,0.3362864529610845
2020-05-09,258.285,258.285,256.995,257.085,1037,0.0,40.69898526925164,41.766666666666275,60.033333333333246,-0.8627512388663376,-1.0639136849601938,0.20116244609385614
2020-05-10,256.81,256.81,256.81,256.81,101,0.0,39.68477202296552,28.63333333333306,43.85555555555532,-0.9413215487354591,-1.0393952577152468,0.09807370897978762
2020-05-11,256.8,256.8,256.445,256.445,206,0.0,38.31983024243529,16.399999999999796,28.93333333333307,-1.0212689818382614,-1.0357700025398497,0.014501020701588319
2020-05-12,256.725,256.725,255.975,255.975,322,0.0,36.57534098897563,8.99999999999985,18.01111111111093,-1.109760344162794,-1.0505680708644385,-0.05919227329835541
2020-05-13,256.04,257.12,256.04,257.12,532,0.0,43.342333805075654,11.066666666666544,12.155555555555429,-1.075105310722904,-1.0554755188361318,-0.019629791886772274
2020-05-14,257.335,257.335,257.335,257.335,102,0.0,44.53891882777404,16.99999999999982,12.355555555555435,-1.0185510217232832,-1.0480906194135622,0.02953959769027903
2020-05-15,258.49,258.75,258.315,258.64,1203,0.0,51.26663983530321,34.72012704781,20.92893123815882,-0.8585321226868814,-1.010178920068226,0.15164679738134468
2020-05-16,258.73,259.53,258.73,259.53,668,0.0,55.25326304709754,50.75810765630205,34.15941156803732,-0.652380197542243,-0.9386191755630295,0.28623897802078657
2020-05-17,259.5,259.745,259.5,259.745,303,0.0,56.18571759998426,66.80040120361092,50.75954530257436,-0.46627962715780313,-0.8441512658819843,0.37787163872418117
2020-05-18,259.54,260.16,259.54,260.16,1092,0.0,58.004831736239716,76.96422601136781,64.8409116237603,-0.2820551959203499,-0.7317320518896575,0.4496768559693076
2020-05-19,259.23,259.23,259.23,259.23,100,0.0,52.722122950757765,79.11883799546833,74.29448840348239,-0.20869354528224449,-0.627124350568175,0.41843080528593046
2020-05-20,259.14,259.48,259.14,259.48,301,0.0,53.936602509915,81.82704225779717,79.30336875487781,-0.1288951746081466,-0.5274785153761693,0.3985833407680227
2020-05-21,259.24,259.24,257.92,258.255,575,0.0,47.498042891251536,72.00318598168049,77.64968874498203,-0.1626269904662081,-0.4545082103941771,0.291881219927969
2020-05-22,258.02,259.1,258.02,259.015,1168,0.0,51.37612407502298,70.29072082835488,74.70698302261088,-0.12657497166020448,-0.3889215626473826,0.2623465909871781
2020-05-23,258.765,258.9,258.17,258.24,4293,0.0,47.52131685363229,60.414177618478334,67.56936147617127,-0.15870999998418256,-0.34287925011474263,0.18416925013056007
2020-05-24,258.09,258.21,257.95,257.97,1100,0.0,46.22018953950755,58.1441656710473,62.94968803929354,-0.20361681704736156,-0.3150267635012664,0.11140994645390484
2020-05-25,258.08,258.11,258.02,258.05,600,0.0,46.68597263622865,50.457984866587175,56.338776052037645,-0.23009803478004187,-0.2980410177570215,0.06794298297697965
2020-05-26,258.08,258.14,258.08,258.14,400,0.0,47.23959015299971,49.4076548622951,52.6699351333099,-0.2410437405844732,-0.28664156232251187,0.04559782173803867
2020-05-27,258.09,258.1,258.09,258.1,500,0.0,47.005962927503674,42.544119902842574,47.46991987724166,-0.2500633819915379,-0.2793259262563171,0.0292625442647792
