Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,137.01,137.145,136.88,137.005,2715,0.0,,,,,,
2020-04-02,136.925,137.59,136.925,137.47,1416,0.0,,,,,,
2020-04-03,137.335,137.335,136.725,136.885,1441,0.0,,,,,,
2020-04-04,136.71,136.71,136.11,136.21,1963,0.0,,,,,,
2020-04-05,136.335,136.335,135.64,135.64,1144,0.0,,,,,,
2020-04-06,135.74,135.865,134.595,135.14,2245,0.0,,,,,,
2020-04-07,135.205,135.3,134.46,135.21,2540,0.0,,,,,,
2020-04-08,135.15,135.715,135.15,135.715,2422,0.0,,,,,,
2020-04-09,135.7,135.7,135.16,135.23,1350,0.0,,,,,,
2020-04-10,135.28,135.28,134.49,134.525,2100,0.0,,,,,,
2020-04-11,134.69,134.69,133.95,134.38,2285,0.0,,,,,,
2020-04-12,134.33,134.33,133.835,134.05,2629,0.0,,,,,,
2020-04-13,134.2,134.725,133.82,134.72,4136,0.0,,,,,,
2020-04-14,134.665,135.17,134.485,134.91,2954,0.0,,,,,,
2020-04-15,134.79,135.36,134.71,135.175,2392,0.0,35.14610389610408,,,,,
2020-04-16,135.425,135.45,134.725,134.89,2505,0.0,33.478054002616915,31.765026229636053,,,,
2020-04-17,135.02,135.365,134.86,135.15,1648,0.0,36.44164109557928,37.46779103036059,,,,
2020-04-18,134.91,135.31,134.72,135.18,4870,0.0,36.79155439544773,43.51242508280976,37.58174744760213,,,
2020-04-19,135.205,135.21,134.46,135.13,12139,0.0,36.43155734349917,54.71832922398605,45.232848445718794,,,
2020-04-20,133.14,133.14,130.87,130.87,1370,0.0,19.196826076785655,39.37807547542774,45.86960992740785,,,
2020-04-21,131.0,131.635,131.0,131.42,3534,0.0,24.183686540953616,25.13686296377575,39.744422554396515,,,
2020-04-22,132.55,132.71,131.99,132.07,1095,0.0,29.70519070520399,12.065543227206808,25.526827222136763,,,
2020-04-23,132.45,132.61,132.4,132.4,310,0.0,32.39701006172943,23.200914406246156,20.134440199076234,,,
2020-04-24,132.1,132.51,132.1,132.51,647,0.0,33.313700501167474,31.35289809867362,22.20645191070886,,,
2020-04-25,132.75,134.09,132.75,134.09,1052,0.0,44.8760526435616,46.506550218340664,33.686787574420144,,,
2020-04-26,133.98,133.98,133.52,133.52,913,0.0,42.04390999915847,54.657933042212626,44.172460453075644,-1.0889919171083022,,
2020-04-27,133.52,133.88,133.24,133.88,818,0.0,44.42929618711545,64.62882096069887,55.26443474041739,-0.9785684400515322,,
2020-04-28,133.8,133.9,133.8,133.9,508,0.0,44.56580150570775,63.24599708879206,60.84425036390119,-0.8793071011603217,,
2020-04-29,134.06,134.07,133.82,133.82,809,0.0,44.09916499425226,65.42940320232906,64.43474041727335,-0.7978994185400268,,
2020-04-30,133.88,133.88,133.56,133.56,600,0.0,42.54017159360317,63.47065233406684,64.04868420839601,-0.745766340492338,,
2020-05-01,132.995,132.995,132.66,132.75,570,0.0,38.02959589860234,55.532364701455954,61.47747341261731,-0.7610379592242964,,
2020-05-02,133.12,133.12,133.12,133.12,200,0.0,41.101706442463964,51.343310575791044,56.78210920377129,-0.734814435903445,,
2020-05-03,132.71,132.88,132.55,132.58,809,0.0,38.130697370011994,49.097083458934854,51.9909195787273,-0.748971909815566,,
2020-05-04,132.385,132.385,132.17,132.17,435,0.0,36.002779157414686,47.60432856812158,49.34824086761585,-0.784235208067912,-0.835510303373749,0.05127509530583696
2020-05-05,131.95,132.3,131.95,132.25,303,0.0,36.74454863033739,34.99611977360001,43.89917726688551,-0.7965442285440645,-0.8277170884078121,0.031172859863747626
2020-05-06,132.555,132.89,132.555,132.89,408,0.0,42.48761565663056,31.93600096784912,38.17881643652359,-0.7460564898453867,-0.8113849686953272,0.06532847884994042
2020-05-07,132.87,133.21,132.87,133.21,440,0.0,45.16822141920251,38.94080996884753,35.29097690343224,-0.6724714354250807,-0.7836022620412779,0.11113082661619722
2020-05-08,133.335,133.47,133.335,133.465,300,0.0,47.27707279799605,57.86604361370727,42.914284850134656,-0.5868139547775684,-0.7442446005885361,0.15743064581096777
2020-05-09,133.27,133.47,133.27,133.47,700,0.0,47.31985617876601,67.1236701346033,54.64350790571939,-0.5126171941018356,-0.697919119291196,0.1853019251893604
2020-05-10,133.3,133.3,133.1,133.1,589,0.0,44.44562928949327,65.57926291659344,63.522992221634695,-0.47815970702993127,-0.6539672368389431,0.17580752980901182
2020-05-11,133.095,133.14,133.095,133.11,555,0.0,44.54367118686468,60.220125786164054,64.30768627912029,-0.4449162660815489,-0.6121570426874643,0.1672407766059154
2020-05-12,132.75,132.82,132.61,132.66,789,0.0,41.034237505424855,47.48427672956027,57.76122181077261,-0.44969800019796935,-0.5796652341895653,0.12996723399159593
2020-05-13,132.63,133.16,132.46,132.985,1547,0.0,44.43892460889912,47.27816339166507,51.660855302463155,-0.4223936836202711,-0.5482109240757065,0.1258172404554354
2020-05-14,133.06,133.13,132.82,133.08,2345,0.0,45.43078359435953,53.81987143535921,49.52743718552821,-0.38860946198678903,-0.516290631657923,0.12768116967113396
2020-05-15,133.13,133.13,132.91,133.05,500,0.0,45.15663677569094,66.77915644032468,55.95906375578301,-0.3601049070091449,-0.4850534867281674,0.12494857971902251
2020-05-16,133.05,133.05,133.03,133.03,300,0.0,44.96184503808837,72.58771929824644,64.39558239131014,-0.33526396043680506,-0.455095581469895,0.11983162103308992
2020-05-17,133.05,133.07,133.03,133.06,500,0.0,45.342711706289116,72.14912280701814,70.50533284852979,-0.3095878460517838,-0.4259940343862728,0.11640618833448901
2020-05-18,133.09,133.09,133.08,133.08,400,0.0,45.61291974733767,72.80701754386028,72.51461988304165,-0.28434772400026986,-0.3976647723090722,0.11331704830880235
2020-05-19,133.1,133.11,133.06,133.08,700,0.0,45.61291974733767,69.58485322216517,71.5136645243479,-0.2613322696977889,-0.3703982717868156,0.10906600208902673
2020-05-20,132.98,133.12,132.98,133.09,500,0.0,45.76838812672184,66.03482716692797,69.47556597765117,-0.23952435228474656,-0.3442234878864018,0.10469913560165522
2020-05-21,133.03,133.08,133.03,133.07,600,0.0,45.48832178375681,61.38613861386147,65.66860633431823,-0.22130419645080224,-0.3196396295992819,0.09833543314847965
2020-05-22,132.97,133.08,132.97,133.08,400,0.0,45.66734564217308,61.38613861386147,62.935701464883664,-0.20370943964127264,-0.29645359160768003,0.0927441519664074
2020-05-23,133.03,133.07,133.03,133.05,300,0.0,45.18788898656075,64.00675781863909,62.25967834878736,-0.1899960610624305,-0.27516208549863014,0.08516602443619964
2020-05-24,133.05,133.1,132.95,133.05,900,0.0,45.18788898656075,71.96998271255798,65.7876263816862,-0.17708676375917776,-0.2555470211507397,0.07846025739156193
2020-05-25,133.1,133.1,132.98,133.05,600,0.0,45.18788898656075,79.6031746031759,71.85997171145766,-0.1649545591625099,-0.23742852875309373,0.07247396959058383
2020-05-26,133.05,133.05,133.01,133.01,500,0.0,44.411407850259415,82.38095238095326,77.98470323222905,-0.15676032981571097,-0.2212948889656172,0.06453455914990622
2020-05-27,133.0,133.02,132.99,133.02,400,0.0,44.66739294675999,75.79109062980224,79.25840587131047,-0.14775618625546372,-0.2065871484235865,0.05883096216812278
2020-05-28,133.0,133.02,132.96,132.96,500,0.0,43.37670429444989,55.271610110322875,71.1478843736928,-0.14380415142900915,-0.19403054902467104,0.05022639759566189
2020-05-29,132.95,133.06,132.94,133.06,1100,0.0,46.168604911084614,51.3033561420693,60.78868562739814,-0.13109182612134873,-0.18144280444400657,0.050350978322657836
2020-05-30,133.01,133.03,132.93,132.93,900,0.0,43.1874123417783,29.797979797981597,45.45764868345793,-0.13000847351710831,-0.17115593825862693,0.04114746474151862
2020-05-31,132.98,133.05,132.98,133.01,600,0.0,45.51883484259479,36.25730994151789,39.1195486271896,-0.12129634855918425,-0.1611840203187384,0.039887671759554155
2020-06-01,133.01,133.05,133.01,133.05,400,0.0,46.69667246377389,35.08771929824409,33.714336345914525,-0.1098974318706496,-0.15092670262912064,0.04102927075847104
2020-06-02,134.43,134.94,134.43,134.72,1511,0.0,72.9703424810823,64.7726280876305,45.372552442464155,0.033505108918035376,-0.11404034031968945,0.14754544923772484
2020-06-03,135.69,135.92,135.29,135.29,2039,0.0,77.11638797873802,77.04746233043075,58.969269905435105,0.1909457877818852,-0.05304311469937452,0.2439889024812597
2020-06-04,135.49,135.635,135.25,135.25,748,0.0,76.23268854592811,81.8588218328648,74.55963741697535,0.3089298434412626,0.019351476928752907,0.28957836651250973
2020-06-05,135.61,135.61,134.7,134.745,1226,0.0,65.95651014679497,72.40802675585309,77.10477030638289,0.3575620255853096,0.08699358666006424,0.27056843892524535
2020-06-06,135.195,135.545,135.195,135.545,210,0.0,72.32172074991767,75.25083612040154,76.50589490303982,0.4554070454920236,0.16067627842645613,0.29473076706556744
2020-06-07,135.42,135.42,135.42,135.42,100,0.0,70.11575370680696,77.14604236343375,74.93496841322947,0.5169049152709135,0.2319220057953476,0.2849829094755659
2020-06-08,135.055,135.055,134.985,134.985,300,0.0,62.92287474398488,79.8216276477148,77.40616871051672,0.5244954979720831,0.29043670423069473,0.23405879374138833
2020-06-09,134.38,134.38,134.17,134.17,515,0.0,52.132248761115704,64.4927536231885,73.8201412114457,0.45945113401464255,0.32423959018748433,0.13521154382715822
2020-06-10,134.1,134.18,133.85,133.85,799,0.0,48.60757374334894,46.989966555184004,63.76811594202911,0.3777274741161989,0.3349371669732273,0.042790307142971606
2020-06-11,134.125,134.23,134.125,134.16,550,0.0,51.993729917039786,37.79264214046804,49.75845410628019,0.3341237237784753,0.33477447833427687,-0.0006507545558015471
2020-06-12,134.225,134.64,134.22,134.64,634,0.0,56.74597289880607,43.032329988851565,42.6049795615012,0.3344441618469034,0.3347084150368022,-0.00026425318989881097
2020-06-13,134.56,134.68,134.56,134.68,300,0.0,57.12685403474231,52.05029614967515,44.29175609299825,0.3340747710247456,0.3345816862343909,-0.0005069152096452978
2020-06-14,134.73,134.95,134.73,134.93,346,0.0,59.52572399127821,60.3310487155019,51.804558284676204,0.3499212623062533,0.3376496014487634,0.01227166085748993
2020-06-15,135.005,135.005,134.77,134.97,831,0.0,59.912213840373965,59.302930296079374,57.22809172041881,0.361539780976301,0.3424276373542709,0.01911214362203012
2020-06-16,135.06,135.15,135.06,135.15,380,0.0,61.68526796301579,60.96253133456245,60.19883678204791,0.38088147188898347,0.35011840426121343,0.030763067627770035
2020-06-17,135.16,135.41,135.16,135.41,778,0.0,64.15167267928811,68.10105684786045,62.78883949283409,0.4124354294771422,0.3625818093043992,0.049853620172742974
2020-06-18,135.39,135.39,135.39,135.39,100,0.0,63.8113913701654,79.23229678344761,69.43196165529017,0.4308616306703925,0.37623777357759786,0.05462385709279466
2020-06-19,135.54,135.63,135.54,135.63,312,0.0,66.13291874701937,91.6316526610641,79.6550020974574,0.459533308178834,0.3928968804978451,0.06663642768098887
2020-06-20,135.82,136.035,135.725,135.725,600,0.0,67.03440657802926,91.10411899313455,87.32268947921544,0.4843383739398064,0.41118517918623737,0.07315319475356902
2020-06-21,135.66,135.98,135.62,135.93,1355,0.0,68.95480537361023,93.6689549961863,92.13490888346166,0.5146062929954098,0.4318694019480719,0.08273689104733795
2020-06-22,135.95,135.96,135.715,135.715,395,0.0,64.69793681363873,88.78718535469136,91.18675311467075,0.5153050182612162,0.4485565252107008,0.06674849305051545
2020-06-23,135.72,135.93,135.72,135.795,759,0.0,65.55015191400668,89.85507246376831,90.77040427154867,0.5163617971075212,0.4621175795900649,0.054244217517456284
2020-06-24,135.81,136.34,135.81,136.3,1309,0.0,70.40670879311975,90.85494676921981,89.8324015292265,0.5515901931027258,0.4800121022925971,0.07157809081012872
2020-06-25,136.45,136.55,136.45,136.55,949,0.0,72.4753992474702,95.73671641071473,92.1489118812343,0.5928478800721564,0.502579257848509,0.0902686222236474
