Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,8.195,8.24,8.16,8.16,845,0.0,,,,,,
2020-04-02,8.195,8.195,8.195,8.195,618,0.0,,,,,,
2020-04-03,8.2,8.21,8.2,8.21,200,0.0,,,,,,
2020-04-04,8.16,8.2,8.15,8.2,606,0.0,,,,,,
2020-04-05,8.22,8.22,8.22,8.22,200,0.0,,,,,,
2020-04-06,8.19,8.19,8.19,8.19,200,0.0,,,,,,
2020-04-07,8.2,8.22,8.2,8.22,200,0.0,,,,,,
2020-04-08,8.26,8.26,8.26,8.26,201,0.0,,,,,,
2020-04-09,8.89,8.89,8.89,8.89,100,0.0,,,,,,
2020-04-10,9.02,9.09,9.02,9.09,300,0.0,,,,,,
2020-04-11,9.1,9.1,9.1,9.1,100,0.0,,,,,,
2020-04-12,8.99,8.99,8.99,8.99,200,0.0,,,,,,
2020-04-13,9.1,9.19,9.1,9.1,413,0.0,,,,,,
2020-04-14,9.12,9.12,9.12,9.12,100,0.0,,,,,,
2020-04-15,9.34,9.34,9.34,9.34,200,0.0,89.86486486486474,,,,,
2020-04-16,9.36,9.36,9.36,9.36,100,0.0,90.01024590163922,97.75641025641023,,,,
2020-04-17,8.87,8.87,8.87,8.87,200,0.0,65.29731275014288,86.50137741046831,,,,
2020-04-18,8.64,8.64,8.64,8.64,300,0.0,57.339355646014695,65.98855689764783,83.41544818817545,,,
2020-04-19,8.54,8.54,8.54,8.54,100,0.0,54.24397111057022,42.62673353582446,65.03888928131352,,,
2020-04-20,8.79,8.79,8.79,8.79,262,0.0,60.05028112058032,39.74604578052857,49.45377873800027,,,
2020-04-21,8.58,8.58,8.58,8.58,100,0.0,53.86674889437836,36.622502656985425,39.665093991112805,,,
2020-04-22,8.24,8.24,7.91,7.91,500,0.0,39.78920148690297,26.65099268547546,34.33984704099647,,,
2020-04-23,7.92,7.92,7.92,7.92,200,0.0,40.04106775358588,9.926854754440981,24.40011669896727,,,
2020-04-24,6.995,6.995,6.995,6.995,200,0.0,28.263646162856375,0.22988505747127283,12.26924416579589,,,
2020-04-25,7.31,7.31,7.31,7.31,100,0.0,35.24836334774125,4.669631357682683,4.942123723198296,,,
2020-04-26,7.375,7.375,7.375,7.375,100,0.0,36.619722315669,9.79563072586329,4.898382380339066,-0.4309766603763112,,
2020-04-27,7.21,7.21,7.21,7.21,100,0.0,34.61558555412698,12.82593375616632,9.097065279904081,-0.46320641808304686,,
2020-04-28,7.12,7.12,7.12,7.12,100,0.0,33.53742059352274,10.14799154334039,10.923185341789983,-0.4903584343138725,,
2020-04-29,7.115,7.13,7.115,7.13,381,0.0,33.78420476679955,6.694855532064843,9.889593610523834,-0.5052455303999732,,
2020-04-30,7.41,7.41,7.41,7.41,100,0.0,40.45155476224951,11.042330279539597,9.295059118314926,-0.488815243511306,,
2020-05-01,7.12,7.12,7.12,7.12,100,0.0,36.367177070917826,11.601788959099332,9.779658256901241,-0.4935058706667794,,
2020-05-02,7.19,7.19,7.19,7.19,195,0.0,37.994616378277456,13.320210461157563,11.988109899932148,-0.485972819342245,,
2020-05-03,8.14,8.14,8.14,8.14,100,0.0,54.865631935997975,27.205199628598,17.37573301628495,-0.3987492284829397,,
2020-05-04,7.63,7.63,7.3,7.3,2427,0.0,43.57559181228516,31.29823759772007,23.941215895825195,-0.3928760535534792,-0.461078473192217,0.0682024196387378
2020-05-05,7.11,7.11,7.11,7.11,200,0.0,41.49562498773222,30.756050278340414,29.75316250155281,-0.39895403839730914,-0.4486535862332355,0.04969954783592634
2020-05-06,6.96,6.96,6.85,6.85,300,0.0,38.76854986935168,9.493283333122198,23.849190403060877,-0.41991024830746326,-0.44290491864808107,0.022994670340617807
2020-05-07,6.8,6.8,6.72,6.72,900,0.0,37.443518587502474,3.0789825970549054,14.442772069505821,-0.4419139996808603,-0.44270673485463696,0.0007927351737766486
2020-05-08,6.79,6.79,6.79,6.79,102,0.0,38.65924283376018,1.6431924882629303,4.738486139479995,-0.448533303467074,-0.4438720485771244,-0.004661254889949562
2020-05-09,6.855,6.855,6.855,6.855,100,0.0,39.82861505478458,4.812206572769987,3.1781272193625907,-0.4434226918640549,-0.4437821772345105,0.00035948537045560336
2020-05-10,7.0,7.0,7.0,7.0,104,0.0,42.46364360521298,11.384976525821633,5.946791862284833,-0.42279844981765446,-0.43958543175113934,0.01678698193348488
2020-05-11,7.45,7.45,7.45,7.45,100,0.0,49.8095531265695,26.877934272300504,14.358372456964021,-0.365924203771983,-0.4248531861553081,0.05892898238332511
2020-05-12,7.17,7.17,7.17,7.17,100,0.0,45.88405135957185,34.27230046948359,24.17840375586856,-0.3395307152316773,-0.407788691970582,0.06825797673890466
2020-05-13,6.93,6.93,6.93,6.93,100,0.0,42.77244599113619,32.62910798122067,31.25978090766824,-0.33412805936412493,-0.3930565654492906,0.058928506085165644
2020-05-14,6.785,6.785,6.785,6.785,100,0.0,40.964952849374974,17.018779342723025,27.97339593114241,-0.3376544337201546,-0.3819761391034634,0.04432170538330882
2020-05-15,6.78,6.78,6.78,6.78,100,0.0,40.900768266562395,7.863849765258251,19.170579029733965,-0.33696820925584614,-0.37297455313394,0.03600634387809387
2020-05-16,6.83,6.83,6.83,6.83,100,0.0,41.88142697514012,5.516431924882673,10.133020344287965,-0.32860187146465414,-0.36410001680008286,0.03549814533542872
2020-05-17,7.07,7.075,7.07,7.075,241,0.0,46.56069199695794,16.99427333230155,10.124851674147473,-0.2987581381927553,-0.3510316410786174,0.05227350288586208
2020-05-18,6.51,6.52,6.5,6.5,657,0.0,38.6879674254742,15.585822628076185,12.698842628420117,-0.3178405906071635,-0.3443934309843266,0.0265528403771631
2020-05-19,6.93,6.98,6.93,6.98,231,0.0,46.778074834461556,29.84576826682094,20.80862140906621,-0.29087851667990705,-0.33369044812344273,0.04281193144353568
2020-05-20,6.97,6.97,6.97,6.97,139,0.0,46.640001258343595,33.33333333333335,26.254974742743475,-0.2672372505923999,-0.32039980861723416,0.05316255802483427
2020-05-21,7.07,7.07,7.07,7.07,100,0.0,48.283913265117214,53.333333333333364,38.837478311162535,-0.23769224439173353,-0.3038582957721341,0.06616605138040055
2020-05-22,7.29,7.29,7.29,7.29,100,0.0,51.80194410290267,64.2105263157895,50.29239766081872,-0.19428584643517954,-0.28194380590474316,0.08765795946956362
2020-05-23,6.93,6.93,6.93,6.93,500,0.0,46.25678587550918,62.807017543859665,60.116959064327496,-0.18678184978619772,-0.2629114146810341,0.07612956489483635
2020-05-24,7.11,7.11,7.03,7.03,1488,0.0,47.924358270219464,61.403508771929836,62.80701754385965,-0.17079687406649668,-0.2444885065581266,0.07369163249162991
2020-05-25,7.02,7.02,7.02,7.02,102,0.0,47.764750782879126,55.62513879635799,59.94522170404915,-0.15712435036511874,-0.22701567531952505,0.06989132495440631
2020-05-26,7.1,7.1,7.1,7.1,100,0.0,49.22171750451794,65.85387519431491,60.960840920867575,-0.13823990187697177,-0.2092605206310144,0.07102061875404264
2020-05-27,7.06,7.06,7.06,7.06,100,0.0,48.49339581072969,70.88607594936705,64.12169664667998,-0.12505989349592372,-0.1924203952039963,0.06736050170807256
2020-05-28,7.065,7.065,7.065,7.065,100,0.0,48.59578636611184,72.78481012658229,69.84158709008808,-0.11290963173303936,-0.1765182425098049,0.06360861077676555
2020-05-29,6.99,6.99,6.99,6.99,100,0.0,47.08381162264698,68.14345991561184,70.60478199718706,-0.1080863824118854,-0.16283187049022102,0.054745488078335625
2020-05-30,6.91,6.91,6.91,6.91,200,0.0,45.45908600203776,61.81434599156123,67.5808720112518,-0.10945749610714106,-0.15215699561360504,0.042699499506463984
2020-05-31,6.91,6.925,6.9,6.9,537,0.0,45.24889646001729,54.85232067510554,61.603375527426216,-0.11008207240847145,-0.14374201097257833,0.03365993856410687
2020-06-01,6.81,6.81,6.81,6.81,168,0.0,43.30807118585258,34.17721518987346,50.2812939521801,-0.11649640344332024,-0.13829288946672672,0.021796486023406475
2020-06-02,7.1,7.1,7.1,7.1,208,0.0,50.65287904016101,37.016526019690595,42.01535396155655,-0.09706037900118325,-0.13004638737361804,0.03298600837243479
2020-06-03,6.975,6.975,6.975,6.975,100,0.0,47.7794713833038,31.597222222222218,34.263654477262115,-0.0906981333100374,-0.12217673656090192,0.03147860325086452
2020-06-04,6.995,6.995,6.995,6.995,100,0.0,48.284963758370075,44.444444444444464,37.686064228785774,-0.08308442932626203,-0.11435827511397395,0.03127384578771192
2020-06-05,6.8,6.8,6.8,6.8,120,0.0,43.830093676480786,24.30555555555559,33.44907407407411,-0.09172800108454382,-0.10983222030808792,0.018104219223544105
2020-06-06,6.8,6.8,6.8,6.8,100,0.0,43.830093676480786,12.847222222222264,27.19907407407413,-0.09745469689420005,-0.10735671562531036,0.00990201873111031
2020-06-07,6.95,6.95,6.95,6.95,200,0.0,48.101800504687155,16.666666666666735,17.939814814814884,-0.08886501757818532,-0.10365837601588537,0.01479335843770005
