Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,26.55,26.615,26.5,26.555,30765,0.0,,,,,,
2020-04-02,26.56,26.725,26.54,26.725,28946,0.0,,,,,,
2020-04-03,26.73,26.755,26.69,26.735,18515,0.0,,,,,,
2020-04-04,26.75,26.76,26.69,26.745,20198,0.0,,,,,,
2020-04-05,26.74,26.755,26.7,26.75,17260,0.0,,,,,,
2020-04-06,26.775,26.84,26.755,26.78,21353,0.0,,,,,,
2020-04-07,26.78,26.935,26.76,26.91,20722,0.0,,,,,,
2020-04-08,26.91,26.96,26.88,26.89,9832,0.0,,,,,,
2020-04-09,26.89,27.045,26.89,27.03,21866,0.0,,,,,,
2020-04-10,27.04,27.205,27.02,27.195,21213,0.0,,,,,,
2020-04-11,27.21,27.325,27.16,27.17,26678,0.0,,,,,,
2020-04-12,27.16,27.185,27.1,27.145,19192,0.0,,,,,,
2020-04-13,27.14,27.19,27.09,27.19,22435,0.0,,,,,,
2020-04-14,27.185,27.185,27.005,27.005,44891,0.0,,,,,,
2020-04-15,27.01,27.03,26.9,26.97,45914,0.0,70.85427135678378,,,,,
2020-04-16,26.97,26.97,26.78,26.78,50941,0.0,58.76883616543768,43.38747320742402,,,,
2020-04-17,26.77,26.86,26.7,26.7,29236,0.0,54.549824874665156,23.50836718658564,,,,
2020-04-18,26.7,26.85,26.7,26.83,14230,0.0,59.62254174208367,12.18267716535418,26.35950585312128,,,
2020-04-19,26.82,26.88,26.78,26.87,14088,0.0,61.06257848377443,16.524934383202034,17.405326245047288,,,
2020-04-20,26.88,26.915,26.81,26.855,11497,0.0,60.19558627266652,24.266666666666765,17.65809273840766,,,
2020-04-21,26.85,26.905,26.8,26.85,69610,0.0,59.890333080892454,25.3333333333336,22.0416447944008,,,
2020-04-22,26.85,26.9,26.77,26.81,112232,0.0,57.38332383369011,22.13333333333348,23.911111111111282,,,
2020-04-23,26.81,26.81,26.725,26.76,207949,0.0,54.322264354024675,17.066666666666872,21.51111111111132,,,
2020-04-24,26.63,26.87,26.63,26.67,28089,0.0,49.231464621352934,10.985131894484631,16.72837729816166,,,
2020-04-25,26.64,26.845,26.63,26.73,31978,0.0,52.43195741010234,11.070846180199007,13.04088158045017,,,
2020-04-26,26.705,26.785,26.64,26.77,36442,0.0,54.49166962682998,16.20417951353222,12.75338586273862,-0.06276519045553997,,
2020-04-27,26.745,26.75,26.565,26.58,27422,0.0,44.61053178869597,15.092165898617415,14.12239719744955,-0.07562927905957295,,
2020-04-28,26.58,26.63,26.5,26.62,28133,0.0,46.79777807037874,16.6869547575572,15.994433389902282,-0.08165522564040373,,
2020-04-29,26.62,26.67,26.52,26.55,22911,0.0,43.556292247298366,11.899720715004067,14.559613790392897,-0.09102991056110454,,
2020-04-30,26.55,26.625,26.46,26.5,38312,0.0,41.352949637714495,14.02367203250388,14.203449168355052,-0.10132597526466469,,
2020-05-01,26.51,26.525,26.32,26.32,21086,0.0,34.57262262930614,6.476502221183078,10.799964989563676,-0.12259695501515111,,
2020-05-02,26.33,26.43,26.33,26.35,10058,0.0,36.44304907663766,4.611075199310507,8.37041648433249,-0.13547197385082654,,
2020-05-03,26.35,26.36,26.275,26.275,11842,0.0,33.83858702018112,1.680672268907628,4.256083229800406,-0.14999830514543788,,
2020-05-04,26.275,26.32,26.21,26.31,21996,0.0,36.13248863493588,6.476835338451888,4.25619426889001,-0.1568779287506672,-0.10859452708259651,-0.048283401668070686
2020-05-05,26.32,26.33,26.28,26.31,33264,0.0,36.13248863493588,9.627080943940307,5.928196183766609,-0.16048016458096726,-0.11897165458227066,-0.0415085099986966
2020-05-06,26.31,26.325,26.275,26.29,22777,0.0,35.32090522844108,13.667484984344261,9.923800422245487,-0.1630690369314216,-0.12779113105210085,-0.03527790587932075
2020-05-07,26.29,26.39,26.275,26.35,12942,0.0,39.69693820079694,15.942028985507099,13.078864971263892,-0.15845269433497933,-0.13392344370867654,-0.02452925062630279
2020-05-08,26.36,26.38,26.25,26.26,8309,0.0,35.785798673797075,13.735783027121593,14.448432332324321,-0.16020966017155658,-0.13918068700125255,-0.021028973170304027
2020-05-09,26.26,26.33,26.26,26.28,4703,0.0,37.26500360225172,13.753350001210414,14.477054004613038,-0.15816500764839958,-0.14297755113068195,-0.015187456517717635
2020-05-10,26.25,26.25,26.155,26.17,13502,0.0,32.79097312733538,7.522979064957131,11.67070403109638,-0.16353555045619927,-0.14708915099578543,-0.016446399460413846
2020-05-11,26.17,26.18,26.115,26.13,6569,0.0,31.318489198271237,5.799208049847517,9.025179038671688,-0.16907047088446703,-0.15148541497352175,-0.01758505591094528
2020-05-12,26.14,26.25,26.135,26.24,9895,0.0,39.38021507334014,9.248744542862207,7.523643885888951,-0.16270528921562288,-0.15372938982194198,-0.008975899393680903
2020-05-13,26.23,26.255,26.21,26.255,8024,0.0,40.40743520316704,17.558735205794022,10.868895932834581,-0.15466755099398455,-0.1539170220563505,-0.000750528937634054
2020-05-14,26.24,26.27,26.19,26.26,6721,0.0,40.7677406747423,28.4464521910722,18.417977313242808,-0.1462087241708332,-0.15237536247924705,0.006166638308413852
2020-05-15,26.28,26.3,26.23,26.24,8467,0.0,39.732899469511494,34.16645791107791,26.723881769314712,-0.13951068350687024,-0.14980242668477167,0.010291743177901436
2020-05-16,26.21,26.29,26.21,26.265,9963,0.0,41.72421418956678,43.19794929551059,35.2702864658869,-0.13067876351650654,-0.14597769405111866,0.01529893053461212
2020-05-17,26.27,26.28,26.21,26.22,24390,0.0,39.21265703548034,44.136604136604156,40.500337114397546,-0.12585969499395588,-0.1419540942396861,0.016094399245730223
2020-05-18,26.235,26.32,26.205,26.28,29368,0.0,44.048683092720516,50.909090909091155,46.08121478040196,-0.11586344820285177,-0.13673596503231925,0.020872516829467475
2020-05-19,26.285,26.31,26.23,26.26,95791,0.0,42.825637254012385,50.303030303030674,48.44957511624199,-0.10830669133571291,-0.13105011029299798,0.022743418957285072
2020-05-20,26.22,26.26,26.12,26.12,900,0.0,35.413246987391716,38.1818181818189,46.464646464646904,-0.1123199822080636,-0.12730408467601112,0.014984102467947513
2020-05-21,26.19,26.26,26.14,26.24,600,0.0,44.310671604697674,33.905088622070274,40.79664570230661,-0.10461164904870301,-0.1227655975505495,0.018153948501846484
2020-05-22,26.3,26.3,26.22,26.22,600,0.0,43.24148166174924,32.60840081375439,34.89843587254785,-0.09897564273810389,-0.11800760658806038,0.019031963849956493
2020-05-23,26.22,26.28,26.19,26.28,800,0.0,47.34618972766635,58.8316085003766,41.78169931206708,-0.0886457159393359,-0.11213522845831549,0.023489512518979586
2020-05-24,26.28,26.28,26.27,26.28,600,0.0,47.34618972766635,69.93760635280819,53.79253855564639,-0.07954226085837135,-0.10561663493832667,0.026074374079955318
2020-05-25,26.21,26.27,26.21,26.27,600,0.0,46.693471850008116,78.6585365853661,69.14258381285029,-0.07230118054299339,-0.09895354405926002,0.026652363516266625
2020-05-26,26.28,26.28,26.26,26.26,500,0.0,46.010377096146186,75.1626016260165,74.58624818806358,-0.06660174518999895,-0.09248318428540782,0.025881439095408867
2020-05-27,26.26,26.28,26.24,26.28,700,0.0,47.65958947886835,75.00000000000016,76.27371273712758,-0.059781939768818404,-0.08594293538208994,0.026160995613271537
2020-05-28,26.25,26.25,26.25,26.25,100,0.0,45.41842217425976,71.66666666666687,73.94308943089449,-0.056150674099587405,-0.07998448312558944,0.02383380902600203
2020-05-29,25.95,25.95,25.95,25.95,112,0.0,30.149957500765737,48.333333333333364,65.00000000000011,-0.07659739559407086,-0.07930706561928573,0.002709670025214869
2020-05-30,25.75,25.9,25.49,25.54,74923,0.0,20.170187283387406,23.674698795180657,47.891566265060284,-0.1244505546499255,-0.08833576342541369,-0.036114791224511805
2020-05-31,25.53,25.77,25.53,25.765,60772,0.0,33.23154966388691,13.052208835341451,28.35341365461848,-0.14257538804525893,-0.09918368834938274,-0.043391699695876196
2020-06-01,25.755,25.76,25.365,25.625,72541,0.0,29.94815122826853,22.22328467308401,19.650064101202027,-0.16631905651117407,-0.11261076198174103,-0.05370829452943304
2020-06-02,25.59,25.61,25.5,25.595,74708,0.0,29.28053046363536,28.414896038331065,21.230129848918825,-0.18541943429487873,-0.12717249644436857,-0.05824693785051016
2020-06-03,25.59,25.655,25.505,25.505,103070,0.0,27.313364688655923,22.361806675532222,24.333329128982417,-0.2054505629368748,-0.14282810974286983,-0.06262245319400497
2020-06-04,25.485,25.51,25.41,25.44,41163,0.0,25.957013141696677,15.864527629233608,22.21374344769895,-0.22398833537220497,-0.15906015486873687,-0.0649281805034681
2020-06-05,25.43,25.45,25.32,25.395,37769,0.0,25.03029663125639,10.269050802139114,16.1651283689683,-0.23954940112213663,-0.17515800411941682,-0.06439139700271981
2020-06-06,25.4,25.49,25.39,25.49,170979,0.0,30.658636752387807,11.180741235888293,12.438106555753658,-0.24143286401884367,-0.18841297609930222,-0.05301988791954146
2020-06-07,25.5,25.65,25.49,25.58,82994,0.0,35.59194564610368,17.534722222222047,12.994838086749803,-0.23297765273827054,-0.1973259114270959,-0.03565174131117463
