Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,1551.32,1551.32,1548.4,1548.5,3444,0.0,,,,,,
2020-04-02,1546.22,1546.225,1536.2,1537.86,4649,0.0,,,,,,
2020-04-03,1537.76,1537.76,1531.75,1532.32,2512,0.0,,,,,,
2020-04-04,1533.7,1533.7,1528.0,1528.46,4776,0.0,,,,,,
2020-04-05,1529.99,1529.99,1526.51,1528.65,2993,0.0,,,,,,
2020-04-06,1528.34,1533.19,1528.34,1531.22,2393,0.0,,,,,,
2020-04-07,1528.9,1528.99,1523.96,1527.06,2876,0.0,,,,,,
2020-04-08,1527.27,1527.27,1515.44,1516.78,5620,0.0,,,,,,
2020-04-09,1516.43,1517.35,1511.33,1517.35,3377,0.0,,,,,,
2020-04-10,1516.09,1517.03,1509.45,1510.33,4820,0.0,,,,,,
2020-04-11,1509.0,1518.93,1508.8,1518.53,1531,0.0,,,,,,
2020-04-12,1515.64,1519.01,1511.78,1512.36,3731,0.0,,,,,,
2020-04-13,1512.725,1517.395,1512.24,1516.32,1631,0.0,,,,,,
2020-04-14,1514.2,1514.2,1511.73,1512.04,1162,0.0,,,,,,
2020-04-15,1511.69,1515.72,1511.06,1515.72,3435,0.0,26.954443194600742,,,,,
2020-04-16,1513.66,1518.77,1510.47,1516.56,4683,0.0,27.871881408065576,17.63527920924231,,,,
2020-04-17,1517.23,1518.68,1511.76,1516.39,13838,0.0,27.795793364947585,25.25594059419903,,,,
2020-04-18,1496.27,1496.27,1496.27,1496.27,200,0.0,20.620826057464214,19.092502607113673,20.661240803518336,,,
2020-04-19,1495.83,1501.93,1488.4,1497.17,3990,0.0,21.59576981652252,16.68739705416905,20.34528008516058,,,
2020-04-20,1496.53,1499.4,1490.78,1493.3,4296,0.0,20.433596396868907,10.550734117623396,15.443544592968701,,,
2020-04-21,1499.97,1505.8,1497.48,1497.48,2601,0.0,25.12079619779351,18.33737334238967,15.1918348380607,,,
2020-04-22,1497.3,1502.975,1497.3,1499.77,5900,0.0,27.635871308115696,24.192193507309412,17.693433655774154,,,
2020-04-23,1499.94,1499.95,1491.145,1499.825,3007,0.0,27.69868406191405,32.60968180344419,25.04641621771442,,,
2020-04-24,1498.7,1508.78,1497.02,1508.78,2507,0.0,37.24928615297819,47.01622563432415,34.606033648359244,,,
2020-04-25,1510.74,1511.25,1509.175,1510.81,966,0.0,39.20963967892199,59.03844059675473,46.22144934484101,,,
2020-04-26,1510.98,1511.75,1507.31,1511.75,1104,0.0,40.14214935057948,72.22533398836386,59.426666739814245,-7.683626932483321,,
2020-04-27,1513.44,1513.56,1513.44,1513.56,210,0.0,41.987486457068286,77.647121846997,69.63696547737186,-6.65200823719465,,
2020-04-28,1513.45,1514.37,1513.45,1514.37,261,0.0,42.83678883731236,81.74733838217522,77.20659807251202,-5.703338225362131,,
2020-04-29,1511.9,1511.9,1503.22,1503.22,2925,0.0,35.1978746608208,72.38502908572039,77.25982977163086,-5.784541626628879,,
2020-04-30,1501.31,1505.27,1501.31,1505.27,1337,0.0,37.40790329212051,63.341172218116384,72.49117989533732,-5.6187090592268305,,
2020-05-01,1505.445,1505.445,1501.605,1501.605,2122,0.0,35.102975211269,51.78620984015089,62.50413704799589,-5.7171170584504125,,
2020-05-02,1502.19,1502.68,1500.415,1500.415,1506,0.0,34.362623654960274,50.941798169381066,55.35639340921611,-5.823993786520759,,
2020-05-03,1501.46,1504.88,1495.815,1495.815,2496,0.0,31.58912936363916,39.4852807031778,47.404429570903254,-6.208310382171021,,
2020-05-04,1494.81,1501.77,1494.78,1501.77,1559,0.0,38.50847237632952,37.78560901940591,42.73756263065493,-5.9636204171426925,-6.128362858353411,0.16474244121071813
2020-05-05,1500.78,1505.64,1499.595,1505.64,1607,0.0,42.57352161052659,43.167700276202616,40.146196666262114,-5.395232320130617,-5.981736750708852,0.586504430578235
2020-05-06,1508.19,1508.19,1506.96,1507.585,1169,0.0,44.55727825238383,59.64836742016556,46.8672255719247,-4.733273186344604,-5.732044037836003,0.9987708514913987
2020-05-07,1507.38,1512.165,1507.38,1510.095,1867,0.0,47.09705117614444,70.45820922012186,57.75809230549668,-3.960475879972819,-5.377730406263366,1.417254526290547
2020-05-08,1510.585,1513.69,1509.705,1513.69,1841,0.0,50.5883690547819,81.83075802424838,70.64577822151193,-3.0230936498528536,-4.906803054981263,1.8837094051284096
2020-05-09,1513.32,1513.32,1508.91,1510.61,2500,0.0,47.68483892450491,85.17100561511025,79.15332428649349,-2.499924168706457,-4.425427277726302,1.9255031090198456
2020-05-10,1511.12,1511.45,1508.41,1510.06,2302,0.0,47.16426147217359,85.11145142079329,84.03773835338396,-2.1054190291333725,-3.9614256280077167,1.8560065988743442
2020-05-11,1510.125,1513.375,1510.1,1513.375,2421,0.0,50.66053195088867,84.57546367194175,84.95264023594842,-1.5078959821273656,-3.4707196988316467,1.962823716704281
2020-05-12,1512.79,1512.87,1506.63,1506.63,3895,0.0,44.24510485344868,78.52837118266298,82.738428758466,-1.560629822996134,-3.088701723664544,1.5280719006684103
2020-05-13,1505.7,1511.25,1504.605,1509.51,3324,0.0,47.31309348192965,78.49380932417965,80.53254805959479,-1.3544169652950586,-2.741844771990647,1.3874278066955883
2020-05-14,1508.76,1512.32,1508.34,1511.4,8473,0.0,49.28532715803825,76.15018508725562,77.72412186469943,-1.0266500031038959,-2.3988058182132965,1.3721558151094007
