Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,204.49,204.79,204.135,204.79,847,0.0,,,,,,
2020-04-02,204.82,205.24,204.77,205.1,4303,0.0,,,,,,
2020-04-03,205.035,205.31,204.87,205.125,61159,0.0,,,,,,
2020-04-04,205.18,205.18,204.995,205.005,1425,0.0,,,,,,
2020-04-05,204.62,204.62,204.22,204.535,853,0.0,,,,,,
2020-04-06,204.54,204.76,204.54,204.55,1835,0.0,,,,,,
2020-04-07,204.51,204.51,204.165,204.335,1462,0.0,,,,,,
2020-04-08,204.265,204.45,204.265,204.31,1778,0.0,,,,,,
2020-04-09,204.3,205.36,204.3,205.33,14687,0.0,,,,,,
2020-04-10,205.29,205.615,204.99,205.405,16475,0.0,,,,,,
2020-04-11,205.37,205.475,204.975,204.975,5313,0.0,,,,,,
2020-04-12,204.95,204.95,204.91,204.91,210,0.0,,,,,,
2020-04-13,205.125,205.125,204.39,204.535,1178,0.0,,,,,,
2020-04-14,204.33,204.36,203.52,203.52,2834,0.0,,,,,,
2020-04-15,203.51,203.51,203.125,203.325,990,0.0,33.1802525832378,,,,,
2020-04-16,203.235,203.4,202.7,202.7,990,0.0,28.738621586476114,2.677376171351913,,,,
2020-04-17,202.46,202.67,202.17,202.62,1584,0.0,28.217927607823015,7.031512600960178,,,,
2020-04-18,202.355,202.865,202.355,202.66,1551,0.0,28.911466569720872,9.095307208514951,6.268065326942346,,,
2020-04-19,202.705,203.26,202.705,203.26,1600,0.0,38.50866999851025,19.64199322689905,11.922937678791394,,,
2020-04-20,203.235,203.29,203.03,203.03,735,0.0,36.47579275515217,23.60909530720862,17.448798580874207,,,
2020-04-21,203.36,203.43,203.09,203.43,2145,0.0,42.19139457918932,31.0595065312048,24.770198355104156,,,
2020-04-22,203.14,203.62,203.12,203.3,5549,0.0,40.903296113955015,31.446540880503495,28.705047572972305,,,
2020-04-23,203.31,203.325,202.37,203.03,6788,0.0,38.28872092349614,31.446540880503495,31.317529430737263,,,
2020-04-24,204.6,204.6,204.6,204.6,335,0.0,55.92931487067659,43.76327960377311,35.5521204549267,,,
2020-04-25,203.99,203.99,203.99,203.99,200,0.0,49.95433184411054,53.35973408098613,42.8565181884209,,,
2020-04-26,203.08,204.78,203.08,203.37,7845,0.0,44.7244840069756,58.57487458968095,51.899296091480046,-0.44559723124777406,,
2020-04-27,203.27,204.77,203.01,204.285,10827,0.0,52.60979107159203,61.078048116382,57.67088559568302,-0.3596473613516764,,
2020-04-28,204.21,204.7,204.04,204.48,6193,0.0,54.112176840941586,70.04978898029832,63.23423722878707,-0.27265361871113214,,
2020-04-29,204.38,204.57,204.035,204.41,13781,0.0,53.45701938177959,85.1213282247763,72.0830551071522,-0.20697300987640688,,
2020-04-30,204.505,204.66,203.96,204.52,2143,0.0,54.39151160569098,88.12260536398465,81.09790752301976,-0.1443802478562759,,
2020-05-01,204.475,204.475,203.91,204.165,1988,0.0,50.843559119304004,83.50041474108309,85.58144944328133,-0.12201406396181369,,
2020-05-02,204.175,204.175,203.0,203.03,3519,0.0,41.51869428251523,64.0211271833866,78.54804909615144,-0.1936415373896807,,
2020-05-03,202.96,203.03,202.36,202.71,6764,0.0,39.32864262391352,38.82929243042313,62.11694478496427,-0.27308025261217495,,
2020-05-04,202.575,202.85,202.51,202.625,6742,0.0,38.74402879850701,17.599705085559222,40.15004156645631,-0.3389871633692678,-0.26188605404180026,-0.07710110932746755
2020-05-05,202.67,203.08,202.6,202.73,1947,0.0,39.93187243447152,13.567493112947131,23.332163542976485,-0.37838446195823394,-0.285185735625087,-0.09319872633314696
2020-05-06,202.89,202.895,202.57,202.895,1194,0.0,41.84045594359458,16.115702479338356,15.76096689261489,-0.3917768245340767,-0.3065039534068849,-0.08527287112719178
2020-05-07,203.03,203.35,203.03,203.35,434,0.0,46.85510728857377,26.101928374655134,18.59504132231353,-0.3615084268424198,-0.3175048480939919,-0.04400357874842792
2020-05-08,203.3,203.5,203.22,203.5,1420,0.0,48.43363007515249,36.70798898071594,26.30853994490313,-0.3217083041285207,-0.31834553930089765,-0.0033627648276230437
2020-05-09,203.55,204.095,203.55,203.59,2936,0.0,49.40466693073315,46.28099173553682,36.363636363635955,-0.27968019312331194,-0.3106124700653805,0.03093227694206857
2020-05-10,204.05,204.05,203.61,203.815,9667,0.0,51.84599561574291,52.76910942697403,45.25269671440893,-0.22561622930871295,-0.293613221914047,0.06799699260533404
2020-05-11,203.81,204.17,203.81,203.95,3799,0.0,53.3019587969859,59.7162027377037,52.92210130007152,-0.16991806701167889,-0.2688741909335734,0.09895612392189451
2020-05-12,203.93,203.93,203.27,203.4,959,0.0,47.05920541117215,57.846517745489116,56.777276636722284,-0.16821816131442802,-0.24874298500974434,0.08052482369531633
2020-05-13,203.22,203.325,203.01,203.035,1629,0.0,43.42439591830194,47.50464511334047,55.022455198844426,-0.19408611939988418,-0.23781161188777233,0.04372549248788815
2020-05-14,203.115,203.17,202.95,202.98,714,0.0,42.8868498136016,34.626546065028485,46.65923630795269,-0.21652869488679016,-0.23355502848757592,0.01702633360078576
2020-05-15,202.98,202.98,202.65,202.66,1388,0.0,39.79985832671489,25.063724170190483,35.731638449519814,-0.25717141135220345,-0.23827830506050143,-0.018893106291702016
2020-05-16,202.59,202.59,202.18,202.405,1506,0.0,37.484401180458185,19.049959695643953,26.24674331028764,-0.30642514748490157,-0.25190767354538146,-0.05451747393952011
2020-05-17,202.34,202.34,201.97,201.98,633,0.0,33.94031315864548,9.430001245898417,17.84789503724429,-0.3754253664209557,-0.27661121212049633,-0.09881415430045937
2020-05-18,202.02,202.35,202.02,202.05,2077,0.0,35.02989852219878,5.132480584741894,11.20414717542809,-0.41962296967375323,-0.3052135636311477,-0.11440940604260552
2020-05-19,202.06,202.06,201.69,201.78,4393,0.0,32.783772666311734,2.5733137829913146,5.7119318712105445,-0.47100715490404355,-0.3383722818857269,-0.13263487301831667
2020-05-20,201.745,201.96,201.615,201.73,3411,0.0,32.369842838947164,3.9221247893364652,3.87597305235656,-0.509886420769277,-0.37267510966243694,-0.1372113111068401
2020-05-21,201.8,201.82,201.35,201.47,24354,0.0,30.232244004705123,4.128443293527172,3.5412939552849863,-0.5552774533330194,-0.4091955783965534,-0.14608187493646596
2020-05-22,201.62,201.62,201.34,201.42,1100,0.0,29.82435869257131,3.8610509153970707,3.970539666086905,-0.5885008839361205,-0.44505663950446683,-0.1434442444316537
2020-05-23,201.46,201.52,201.41,201.52,400,0.0,31.806015432081537,4.4808661002931816,4.156786769739143,-0.5998468665005419,-0.4760146849036819,-0.12383218159685999
2020-05-24,201.49,201.54,201.47,201.5,1100,0.0,31.613736128040543,4.9469964664309805,4.429637827373746,-0.6034957489484327,-0.5015108977126321,-0.10198485123580059
2020-05-25,201.4,201.4,201.4,201.4,200,0.0,30.617088020056045,4.776912197406992,4.734924921377053,-0.6074543235278611,-0.522699582875678,-0.08475474065218314
2020-05-26,201.5,201.5,201.4,201.49,700,0.0,32.674277239697815,5.175662542308262,4.96652373538208,-0.5964537272749908,-0.5374504117555405,-0.05900331551945026
2020-05-27,201.49,201.5,201.41,201.41,500,0.0,31.772487892880477,4.566137997198855,4.839570912304705,-0.5874195994155968,-0.5474442492875519,-0.039975350128044984
2020-05-28,201.48,201.48,201.45,201.48,300,0.0,33.50191004803057,6.6394656802823535,5.460422073263158,-0.5680632929797014,-0.5515680580259819,-0.016495234953719518
2020-05-29,201.48,201.5,201.48,201.48,600,0.0,33.50191004803057,7.8539073259577785,6.353170334479663,-0.5464244398692131,-0.5505393343946281,0.004114894525415025
