Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,27.12,27.52,27.12,27.14,1786,0.0,,,,,,
2020-04-02,27.14,27.37,27.06,27.28,3027,0.0,,,,,,
2020-04-03,27.305,27.33,27.06,27.1,3331,0.0,,,,,,
2020-04-04,27.12,27.205,27.07,27.1,38924,0.0,,,,,,
2020-04-05,27.09,27.3,27.015,27.3,2780,0.0,,,,,,
2020-04-06,27.29,27.29,27.055,27.055,2956,0.0,,,,,,
2020-04-07,27.05,27.205,27.05,27.195,19499,0.0,,,,,,
2020-04-08,27.165,27.235,27.15,27.215,3530,0.0,,,,,,
2020-04-09,27.23,27.325,27.21,27.28,2735,0.0,,,,,,
2020-04-10,27.25,27.41,27.25,27.295,1801,0.0,,,,,,
2020-04-11,27.34,27.51,27.34,27.51,1954,0.0,,,,,,
2020-04-12,27.48,27.57,27.475,27.505,2165,0.0,,,,,,
2020-04-13,27.55,27.7,27.55,27.7,1863,0.0,,,,,,
2020-04-14,27.69,27.69,27.505,27.52,1311,0.0,,,,,,
2020-04-15,27.385,27.45,27.37,27.405,2354,0.0,57.72594752186589,,,,,
2020-04-16,27.38,27.385,27.31,27.385,1516,0.0,57.00996677740866,61.55717761557192,,,,
2020-04-17,27.295,27.355,27.245,27.275,2596,0.0,53.108384782643114,49.63503649635044,,,,
2020-04-18,27.21,27.28,27.17,27.17,2290,0.0,49.61772069600729,38.19951338199522,49.797242497972526,,,
2020-04-19,27.19,27.29,27.18,27.195,3201,0.0,50.452746589009315,27.6305446378439,38.48836483872986,,,
2020-04-20,27.09,27.11,27.065,27.075,1548,0.0,46.4713677233437,16.260527793374507,27.363528604404546,,,
2020-04-21,27.08,27.15,27.05,27.09,14282,0.0,47.034020411683095,10.769230769230658,18.22010106681636,,,
2020-04-22,27.08,27.2,27.04,27.17,1564,0.0,50.04963823028189,9.89898989898992,12.309582820531702,,,
2020-04-23,27.2,27.2,27.095,27.095,1421,0.0,47.329048672246984,11.39471639471647,10.68764568764569,,,
2020-04-24,27.145,27.17,27.14,27.15,1768,0.0,49.49707583250122,14.898989898989987,12.064232064232131,,,
2020-04-25,27.14,27.29,27.08,27.255,5697,0.0,53.43748465031481,19.191919191919144,15.161875161875209,,,
2020-04-26,27.235,27.37,27.16,27.33,20960,0.0,56.07384398886399,31.06060606060598,21.717171717171713,-0.034541792792861514,,
2020-04-27,27.42,27.76,27.42,27.49,1716,0.0,61.13005819527314,46.33838383838369,32.19696969696962,-0.010972137184577235,,
2020-04-28,27.45,27.63,27.4,27.4,2135,0.0,57.145402757438305,52.146464646464416,43.181818181818045,0.0004396686302818864,,
2020-04-29,27.44,27.55,27.35,27.385,2201,0.0,56.48455847778932,53.47222222222211,50.65235690235676,0.008178950466650292,,
2020-04-30,27.365,27.365,27.09,27.11,4038,0.0,45.98521435008314,35.87962962962962,47.166105499438736,-0.007788038983107981,,
2020-05-01,27.17,27.225,27.085,27.225,3098,0.0,50.15757132232316,27.77777777777793,39.043209876543244,-0.01103524679721346,,
2020-05-02,27.24,27.25,26.915,26.915,4356,0.0,40.970301043363776,11.805555555555651,25.154320987654426,-0.038182942414568544,,
2020-05-03,26.955,27.06,26.94,26.95,4101,0.0,42.25631454016212,9.945485426254754,16.509606253196136,-0.056225348469020275,,
2020-05-04,26.93,26.975,26.785,26.8,2553,0.0,38.395627272330934,1.8934911242603931,7.881510702023622,-0.0816862039422368,-0.02575701016518374,-0.05592919377705306
2020-05-05,26.78,26.925,26.72,26.88,2557,0.0,41.46716582868972,7.021696252465513,6.28689093432691,-0.09432150433928754,-0.0394699090000045,-0.05485159533928304
2020-05-06,26.945,26.99,26.88,26.88,2994,0.0,41.46716582868973,10.769230769230788,6.561472715318921,-0.10314606727897768,-0.052205140655799134,-0.05094092662317855
2020-05-07,26.95,27.13,26.93,27.13,2948,0.0,50.425410966878,23.39743589743587,13.729454306377413,-0.0889414249408027,-0.05955239751279985,-0.029389027428002854
2020-05-08,27.18,27.24,27.15,27.165,2557,0.0,51.543529600207044,32.532051282051235,22.232905982905987,-0.07400683137167618,-0.06244328428457512,-0.011563547087101063
2020-05-09,27.205,27.285,27.165,27.275,1901,0.0,54.980227684309384,45.192307692307594,33.70726495726492,-0.05268762750558764,-0.06049215292877763,0.00780452542318999
2020-05-10,27.28,27.28,27.19,27.24,1450,0.0,53.675776056743985,48.717948717948595,42.147435897435834,-0.038176141542066944,-0.0560289506514355,0.017852809109368553
2020-05-11,27.26,27.27,27.095,27.095,2073,0.0,48.537863140826786,48.19139194139185,47.36721611721603,-0.03793863953028165,-0.05241088842720473,0.014472248896923084
2020-05-12,27.11,27.18,27.11,27.14,2298,0.0,50.133188261668884,47.27040028244847,48.05991364726299,-0.03373046969734261,-0.048674804681232316,0.014944334983889702
2020-05-13,27.13,27.14,27.05,27.085,1151,0.0,48.167779561419295,49.466782711389214,48.30952497840986,-0.034436542110881874,-0.045827152167162225,0.01139061005628035
2020-05-14,27.095,27.14,27.055,27.14,1902,0.0,50.26745847464056,60.50928003707242,52.41548767697005,-0.030209829134470567,-0.04270368756062389,0.012493858426153324
2020-05-15,27.15,27.235,27.135,27.2,2899,0.0,52.5267649378204,71.96039422835075,60.64548565893748,-0.021767705530340464,-0.038516491154567206,0.016748785624226742
2020-05-16,27.18,27.255,27.18,27.255,2135,0.0,54.564402136159366,84.66076696165189,72.37681374235838,-0.01051797671764021,-0.03291678826718181,0.022398811549541597
2020-05-17,27.23,27.295,27.21,27.285,2741,0.0,55.681788851046385,92.63562908811065,83.08559675937113,0.0008089387534795378,-0.02617164286304954,0.026980581616529078
2020-05-18,27.28,27.28,27.09,27.09,2766,0.0,47.50400668684989,85.76632037963303,87.68757214313189,-0.005881471504228131,-0.02211360859128526,0.01623213708705713
2020-05-19,27.06,27.09,27.03,27.03,3249,0.0,45.29947255863797,66.25109132180897,81.55101359651759,-0.01584254539269736,-0.02085939595156768,0.005016850558870321
2020-05-20,27.055,27.055,26.92,26.95,4078,0.0,42.46946988921062,36.164134800069704,62.72718216717061,-0.029848030115655177,-0.022657122784385184,-0.007190907331269994
2020-05-21,26.92,27.01,26.89,26.985,4633,0.0,44.11443277543974,22.533789478903056,41.649671866927285,-0.03768881694856674,-0.025663461617221495,-0.012025355331345244
2020-05-22,26.995,27.06,26.93,27.0,16768,0.0,44.842332439680604,19.539094650205385,26.079006309726086,-0.04220580017151576,-0.028971929328080348,-0.013233870843435414
2020-05-23,26.88,27.07,26.88,26.93,1400,0.0,42.0873734182779,20.88849224056708,20.987125456558545,-0.050847814945381486,-0.03334710645154058,-0.01750070849384091
2020-05-24,27.01,27.01,26.93,26.98,400,0.0,44.70075484449454,21.101690713471214,20.509759201414596,-0.053050557973957524,-0.03728779675602397,-0.015762761217933553
2020-05-25,26.99,27.02,26.93,26.93,600,0.0,42.62908642121995,16.064257028112596,19.351479994050333,-0.05816039301943832,-0.04146231600870684,-0.016698077010731477
2020-05-26,26.93,27.03,26.91,26.91,500,0.0,41.794692373664,14.457831325301397,17.20792635562844,-0.06309647012892228,-0.04578914683274993,-0.01730732329617235
2020-05-27,26.9,27.01,26.9,27.0,500,0.0,46.837450830144576,16.064257028112596,15.528781793842233,-0.0590652317374456,-0.048444363813689065,-0.010620867923756536
2020-05-28,27.0,27.0,26.92,26.95,500,0.0,44.529302836390436,17.670682730923797,16.064257028112635,-0.05922235001492382,-0.05059996105393602,-0.008622388960987798
2020-05-29,26.91,27.01,26.89,27.01,1000,0.0,47.85044119915386,25.702811244980083,19.81258366800553,-0.05388422501847856,-0.05125681384684453,-0.0026274111716340295
2020-05-30,27.02,27.03,26.99,26.99,300,0.0,46.843654333300854,24.89959839357434,22.757697456492778,-0.050683309707658,-0.05114211301900723,0.0004588033113492318
2020-05-31,27.005,27.005,27.005,27.005,100,0.0,47.7319023276593,29.69377510040161,26.765394912985382,-0.04640130130507458,-0.050193950676220705,0.003792649371146123
2020-06-01,26.795,26.82,26.38,26.55,1882,0.0,30.877180828600544,27.23322868940545,27.27553406112717,-0.0788139579548428,-0.05591795213194513,-0.022896005822897678
2020-06-02,26.675,27.04,26.675,26.99,3573,0.0,49.46195344429365,47.866486357760046,34.931163382522406,-0.0682106096553241,-0.05837648363662093,-0.009834126018703176
2020-06-03,26.87,26.99,26.83,26.92,1789,0.0,47.28384911102255,63.53677621283265,46.21216375333275,-0.06470985973797383,-0.05964315885689152,-0.005066700881082312
2020-06-04,26.91,27.09,26.89,27.09,2325,0.0,52.728188884720126,88.88888888888891,66.7640504864939,-0.04766841909346553,-0.05724821090420632,0.009579791810740791
2020-06-05,27.025,27.1,27.01,27.03,1761,0.0,50.73655495620229,89.51288244766516,80.64618251646228,-0.038559957972058356,-0.053510560317776734,0.014950602345718378
2020-06-06,27.04,27.04,26.9,26.9,2454,0.0,46.627120630194035,87.49999999999993,88.63392377885138,-0.041354639908597335,-0.05107937623594086,0.009724736327343525
2020-06-07,26.9,26.9,26.72,26.72,2149,0.0,41.60259231108981,69.90740740740728,82.30676328502416,-0.05743190193969028,-0.05234988137669074,-0.0050820205629995355
2020-06-08,26.75,26.8,26.675,26.8,2309,0.0,44.466844276070276,59.259259259259146,72.22222222222216,-0.06299178641488012,-0.054478262384328624,-0.0085135240305515
2020-06-09,26.81,26.81,26.66,26.66,1602,0.0,40.70430750073068,48.148148148148145,59.10493827160489,-0.07779805731236777,-0.05914222136993646,-0.018655835942431316
2020-06-10,26.59,26.59,26.555,26.555,2303,0.0,38.10043157807115,40.509259259259316,49.30555555555557,-0.09688789283248056,-0.06669135566244527,-0.030196537170035287
2020-06-11,26.615,26.69,26.59,26.59,1400,0.0,39.48997047634613,30.787037037037084,39.81481481481489,-0.1079481583501476,-0.07494271619998574,-0.03300544215016185
2020-06-12,26.585,26.615,26.57,26.58,2038,0.0,39.21907789895433,27.08333333333331,32.79320987654327,-0.11618115089703096,-0.0831904031393948,-0.03299074775763616
2020-06-13,26.63,26.64,26.605,26.625,2033,0.0,41.17464207016301,30.32407407407405,29.39814814814818,-0.11771775587368438,-0.09009587368625271,-0.027621882187431668
2020-06-14,26.65,26.65,26.62,26.62,400,0.0,41.01673265565238,31.71296296296299,29.706790123456816,-0.11797899617307195,-0.09567249818361656,-0.022306497989455387
2020-06-15,26.58,26.58,26.495,26.51,1900,0.0,37.60027115016958,23.28014998469556,28.439062340577564,-0.1256141104113624,-0.10166082062916573,-0.023953289782196657
2020-06-16,26.515,26.515,26.47,26.47,778,0.0,36.4125392391778,11.93755739210296,22.3102234465872,-0.13335542087826724,-0.10799974067898604,-0.025355680199281194
2020-06-17,26.51,26.61,26.51,26.56,3025,0.0,40.933549793021,5.588351042896529,13.602019473231715,-0.13072134308591998,-0.11254406116037284,-0.018177281925547142
2020-06-18,26.54,26.565,26.54,26.555,681,0.0,40.760164544605125,9.259259259259286,8.928389231419626,-0.12756676540717748,-0.11554860200973378,-0.012018163397443701
2020-06-19,26.52,26.54,26.51,26.54,700,0.0,40.20989982899235,13.352826510721291,9.400145604292403,-0.12483805907303847,-0.11740649342239473,-0.007431565650643734
2020-06-20,26.535,26.54,26.485,26.485,1431,0.0,38.17487605778725,9.75371244649102,10.788599405490567,-0.12566499218363347,-0.11905819317464249,-0.006606799008990985
2020-06-21,26.465,26.555,26.445,26.555,2086,0.0,42.185339043922966,15.302020049593109,12.802853002268508,-0.11929674898329168,-0.11910590433637233,-0.000190844646919347
2020-06-22,26.555,26.57,26.485,26.525,2485,0.0,40.959065237994274,18.51438887119034,14.523373789091524,-0.11534103993477984,-0.11835293145605384,0.003011891521273999
