Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,177.69,177.69,177.69,177.69,212,0.0,,,,,,
2020-04-02,178.41,178.41,178.41,178.41,610,0.0,,,,,,
2020-04-03,178.095,178.095,178.095,178.095,102,0.0,,,,,,
2020-04-04,177.9,177.9,177.805,177.805,553,0.0,,,,,,
2020-04-05,177.82,178.17,177.56,177.99,2432,0.0,,,,,,
2020-04-06,177.77,179.71,177.77,179.71,241,0.0,,,,,,
2020-04-07,178.325,178.58,178.17,178.58,400,0.0,,,,,,
2020-04-08,178.325,178.325,177.91,177.91,404,0.0,,,,,,
2020-04-09,177.55,178.325,177.43,178.325,530,0.0,,,,,,
2020-04-10,178.92,178.92,178.47,178.575,663,0.0,,,,,,
2020-04-11,178.655,178.655,178.15,178.155,548,0.0,,,,,,
2020-04-12,178.335,178.335,178.0,178.08,804,0.0,,,,,,
2020-04-13,177.715,177.715,177.67,177.67,244,0.0,,,,,,
2020-04-14,177.74,177.89,177.38,177.89,500,0.0,,,,,,
2020-04-15,177.775,177.785,177.775,177.785,457,0.0,50.685920577617324,,,,,
2020-04-16,177.875,177.875,177.64,177.82,300,0.0,50.95288073799919,19.38483547925583,,,,
2020-04-17,178.21,178.45,178.21,178.45,500,0.0,55.61097544561305,27.396280400571985,,,,
2020-04-18,178.52,178.785,178.52,178.785,213,0.0,57.900576915037824,41.702432045779354,29.49451597520239,,,
2020-04-19,178.88,179.205,178.88,179.205,777,0.0,60.64158939261071,61.51645207439182,43.53838817358105,,,
2020-04-20,179.465,179.465,179.335,179.335,200,0.0,61.4776285670689,77.46386581721755,60.22758331246291,,,
2020-04-21,179.345,179.4,179.225,179.345,550,0.0,61.545296027720276,88.77859086121673,75.91963625094205,,,
2020-04-22,179.41,180.11,179.41,180.11,200,0.0,66.40673852866733,96.00319744204637,87.41521804016024,,,
2020-04-23,180.35,180.5,180.24,180.24,300,0.0,67.16636697788313,95.30375699440451,93.3618484325559,,,
2020-04-24,179.815,179.815,179.57,179.57,349,0.0,59.676585435537895,87.28632478632483,92.86442640759192,,,
2020-04-25,179.78,179.78,179.78,179.78,100,0.0,61.13929189060666,79.59401709401716,87.39469962491552,,,
2020-04-26,179.685,179.81,179.685,179.75,470,0.0,60.79998708740517,74.35897435897435,80.41310541310547,0.6709305452511387,,
2020-04-27,179.795,180.005,179.76,179.87,1284,0.0,61.71523812108426,77.56410256410267,77.17236467236474,0.6645414935820213,,
2020-04-28,179.85,179.85,179.42,179.5,788,0.0,57.274829052024984,73.60139860139874,75.17482517482527,0.6224470343701967,,
2020-04-29,179.575,179.87,179.475,179.61,2884,0.0,58.23688233993788,71.24125874125906,74.13558663558683,0.5911485602370874,,
2020-04-30,181.76,181.76,179.35,179.35,448,0.0,55.07988861511686,55.3429199908075,66.72852577782179,0.5391494872240798,,
2020-05-01,179.5,179.5,179.495,179.495,305,0.0,56.496273864359445,43.69546251001665,56.75988041402775,0.5038322706215865,,
2020-05-02,179.64,179.64,179.38,179.415,620,0.0,55.45729685887602,26.927219179273077,41.98853389336575,0.46403864199436384,,
2020-05-03,178.85,178.85,178.85,178.85,100,0.0,48.65223509475974,16.222993827160476,28.94855850548341,0.3825018829047053,,
2020-05-04,179.655,180.76,179.655,180.76,400,0.0,64.5076530652715,28.07070924016797,23.740307415533852,0.46662548324295017,0.5450239332697921,-0.07839845002684198
2020-05-05,180.41,180.41,179.96,179.96,588,0.0,56.62128287693648,34.59335624284095,26.29568643672314,0.46339895378437745,0.5286989373727092,-0.06529998358833178
2020-05-06,180.97,180.97,180.97,180.97,101,0.0,62.80398596191809,58.87743413516635,40.51383320605843,0.536159946900483,0.530191139278264,0.0059688076222189634
2020-05-07,180.51,180.51,180.34,180.36,501,0.0,57.47579458737982,54.29553264604863,49.25544100801866,0.5383953694626769,0.5318319853151466,0.006563384147530216
2020-05-08,180.485,181.17,180.485,181.17,881,0.0,62.07665551286438,68.15578465063031,60.44291714394845,0.5986265937554265,0.5451909070032026,0.05343568675222388
2020-05-09,182.36,182.36,182.11,182.26,400,0.0,67.21685194467406,76.25537247530376,66.23556325732758,0.7259459108650503,0.5813419077755722,0.14460400308947818
2020-05-10,182.81,183.66,182.795,183.46,1001,0.0,71.75567917898309,90.90602630121515,78.4390611423831,0.9131511204425067,0.6477037503089591,0.2654473701335476
2020-05-11,182.745,182.745,182.39,182.42,800,0.0,63.54446297495571,89.07112240445558,85.41084039365819,0.9664526251491452,0.7114535252769963,0.25499909987214886
2020-05-12,182.65,182.65,182.295,182.32,5705,0.0,62.800306414631045,80.73458073458076,86.90390981341717,0.9892221502025222,0.7670072502621016,0.22221489994042065
