Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,182.15,182.15,181.725,181.97,801,0.0,,,,,,
2020-04-02,181.67,181.67,180.575,180.575,301,0.0,,,,,,
2020-04-03,180.78,180.78,180.36,180.7,500,0.0,,,,,,
2020-04-04,180.32,180.33,180.285,180.3,601,0.0,,,,,,
2020-04-05,180.29,180.29,179.12,179.12,549,0.0,,,,,,
2020-04-06,179.75,179.75,179.33,179.49,511,0.0,,,,,,
2020-04-07,180.005,180.375,180.005,180.375,300,0.0,,,,,,
2020-04-08,180.005,180.005,179.7,179.7,338,0.0,,,,,,
2020-04-09,179.34,179.34,178.455,178.455,500,0.0,,,,,,
2020-04-10,178.73,178.825,178.67,178.67,603,0.0,,,,,,
2020-04-11,178.745,178.745,178.025,178.025,503,0.0,,,,,,
2020-04-12,177.545,178.5,177.545,178.5,968,0.0,,,,,,
2020-04-13,178.31,178.85,178.31,178.465,799,0.0,,,,,,
2020-04-14,178.87,179.54,178.87,179.425,500,0.0,,,,,,
2020-04-15,178.95,178.95,178.445,178.62,800,0.0,32.199787460148684,,,,,
2020-04-16,178.635,178.855,178.595,178.625,601,0.0,32.23856209150314,33.4235497466449,,,,
2020-04-17,178.26,178.925,178.26,178.665,1505,0.0,32.570792475485106,33.00714365350844,,,,
2020-04-18,178.575,178.77,178.08,178.625,3234,0.0,32.399719006492575,37.04112302317681,34.490605474443385,,,
2020-04-19,175.17,175.17,175.17,175.17,380,0.0,21.76566238019771,25.91283863368677,31.987035103457334,,,
2020-04-20,178.17,178.17,174.83,175.79,1010,0.0,26.43198825823407,18.491812889720126,27.148591515527897,,,
2020-04-21,175.5,176.69,175.05,176.69,1182,0.0,32.70658377242006,17.751641161685296,20.718764228364062,,,
2020-04-22,177.01,177.01,176.3,176.32,1018,0.0,31.516497195074777,28.296581005988106,21.51334501913117,,,
2020-04-23,175.7,177.41,175.7,177.27,12997,0.0,37.77689088751218,39.793839810455616,28.614020659376333,,,
2020-04-24,176.855,176.855,176.02,176.5,812,0.0,34.98529218263147,39.631988676574586,35.90746983100609,,,
2020-04-25,176.36,177.31,176.04,177.17,912,0.0,39.19575138322768,45.647558386411795,41.691128957813994,,,
2020-04-26,176.5,176.81,176.5,176.81,541,0.0,37.77998369636749,42.392073602264524,42.557206888416964,-1.188042434074191,,
2020-04-27,176.64,176.95,176.48,176.95,867,0.0,38.707182379442564,45.57678697806063,44.53880632224564,-1.1259219456411529,,
2020-04-28,176.87,177.03,176.67,177.03,1288,0.0,39.264155700843304,46.81563017472968,44.92816358501827,-1.0580392615908352,,
2020-04-29,176.725,176.725,176.3,176.315,2696,0.0,36.10619133964558,44.89080340913848,45.76107352064292,-1.04983443207459,,
2020-04-30,176.14,176.505,176.01,176.385,2010,0.0,36.64344477228954,42.54497749643352,44.75047036010054,-1.0258581761051744,,
2020-05-01,175.99,176.12,175.79,176.04,593,0.0,35.077919828426545,34.98251137844999,40.80609742800732,-1.0229040362305,,
2020-05-02,176.505,176.505,176.15,176.15,638,0.0,36.01653959403051,36.06825198514883,37.865246953344105,-1.0001575843488695,,
2020-05-03,176.11,176.11,175.82,175.82,320,0.0,34.4093055794045,33.290778848394304,34.78051407066437,-0.9972632692353045,,
2020-05-04,175.14,175.14,175.14,175.14,100,0.0,31.308860462448365,24.325078656246376,31.22803649659649,-1.037875834098088,-1.0562107748220784,0.018334940723990334
2020-05-05,175.08,175.87,175.08,175.87,695,0.0,37.789399946963975,22.453285761349406,26.689714421996683,-0.9996335321062588,-1.0448953262789145,0.045261794172655634
2020-05-06,175.92,176.11,175.63,175.63,4948,0.0,36.56792701767931,20.44142964525534,22.406598020950366,-0.977425078612896,-1.0314012767457108,0.053976198132814845
2020-05-07,175.57,176.825,175.57,176.17,704,0.0,41.175176056406606,35.46321779351614,26.119311066706953,-0.9058096227008718,-1.006282945936743,0.10047332323587121
2020-05-08,176.26,176.49,176.24,176.49,400,0.0,43.78106727296753,45.23759117765885,33.7140795388101,-0.8138509649612331,-0.9677965497416411,0.15394558478040798
2020-05-09,176.37,177.025,176.35,176.875,1833,0.0,46.83272274536799,68.05296845655559,49.58459247591018,-0.7018166779576802,-0.914600575384849,0.21278389742716874
2020-05-10,176.84,177.01,176.1,176.1,16152,0.0,41.9019722656526,69.19589130351439,60.82881697924292,-0.6678659781348983,-0.8652536559348589,0.19738767779996058
2020-05-11,176.33,176.33,175.8,175.875,2207,0.0,40.56661376799653,61.709401709401305,66.31942048982374,-0.6516041366425327,-0.8225237520763937,0.17091961543386103
2020-05-12,175.695,176.49,175.695,176.29,4758,0.0,44.104857446628614,51.76257333069608,60.8892887812039,-0.59833227636625,-0.7776854569343651,0.1793531805681151
2020-05-13,176.21,176.21,175.64,175.64,1261,0.0,40.08013123094839,43.92393382110521,52.46530295373418,-0.6016283143108865,-0.7424740284096694,0.14084571409878288
2020-05-14,175.37,175.75,175.37,175.37,1395,0.0,38.508183700827516,35.30419880034193,43.66356865071439,-0.6188929786343351,-0.7177578184546025,0.09886483982026739
2020-05-15,175.37,175.86,174.91,175.38,4261,0.0,38.6042272719637,21.974673902693855,33.73426884138032,-0.6245687928064569,-0.6991200133249734,0.07455122051851648
2020-05-16,175.37,175.37,175.17,175.19,900,0.0,37.408693620057655,16.790339538247235,24.689737413760994,-0.6370547578380865,-0.6867069622275961,0.04965220438950957
2020-05-17,175.19,175.33,175.17,175.28,1600,0.0,38.38212920981182,17.651694247438897,18.805569229459984,-0.632397838613997,-0.6758451375048763,0.04344729889087928
2020-05-18,175.16,175.34,175.16,175.32,2300,0.0,38.837411988636745,16.70606776989749,17.04936718519453,-0.6183515590097954,-0.6643464218058601,0.045994862796064684
2020-05-19,175.34,175.36,175.3,175.33,1200,0.0,38.95884087167403,18.912529550827582,17.756763856054647,-0.5995021768810318,-0.6513775728208946,0.05187539593986279
2020-05-20,175.34,175.34,175.29,175.29,1400,0.0,38.62848012281941,19.070133963751,18.22957709482535,-0.5810930920008559,-0.637320676656887,0.05622758465603106
2020-05-21,175.335,175.34,175.29,175.31,1200,0.0,38.90742956725932,18.912529550827582,18.965064355135382,-0.5584524347072772,-0.6215470282669651,0.06309459355968783
2020-05-22,175.32,175.34,175.26,175.29,1200,0.0,38.717909498310526,18.282111899133014,18.754925137903857,-0.5359453392811702,-0.6044266904698061,0.06848135118863596
2020-05-23,175.29,175.29,175.27,175.28,1000,0.0,38.61662297932272,18.166160081053718,18.453600510338095,-0.5130016566620839,-0.5861416837082617,0.07314002704617784
2020-05-24,175.29,175.3,175.27,175.27,1300,0.0,38.508136172241464,19.45692027297217,18.63506408438629,-0.48997738501850563,-0.5669088239703105,0.07693143895180488
2020-05-25,175.3,175.3,175.28,175.28,700,0.0,38.693614439888385,21.27385975487273,19.632313369632865,-0.46555691709238545,-0.5466384425947255,0.08108152550234005
2020-05-26,175.28,175.3,175.26,175.28,1000,0.0,38.693614439888385,24.88802336903629,21.872934465627054,-0.4411185799184807,-0.5255344700594765,0.08441589014099582
2020-05-27,175.26,175.3,175.23,175.23,1400,0.0,38.028458510525915,28.521156835613464,24.894346653174154,-0.42093334617914024,-0.5046142452834093,0.08368089910426901
2020-05-28,175.3,175.31,175.25,175.3,1300,0.0,39.594043510113764,34.39946018893371,29.26954679786115,-0.3947376975665122,-0.4826389357400299,0.08790123817351769
2020-05-29,175.23,175.31,175.22,175.27,1700,0.0,39.137704495313,42.37259816207315,35.0977383955401,-0.37210876833935913,-0.4605329022598958,0.08842413392053666
2020-05-30,175.23,175.3,175.23,175.23,1300,0.0,38.500545170128305,42.81119465329953,39.86108433476879,-0.35332987771019475,-0.43909229734995564,0.08576241963976089
2020-05-31,175.26,175.31,175.21,175.31,1700,0.0,40.58393833255157,54.12698412698228,46.43692564745164,-0.32820875396700444,-0.4169155886733654,0.08870683470636098
2020-06-01,175.21,175.3,175.2,175.2,1900,0.0,38.64535424865377,36.66666666666331,44.53494848231502,-0.3135616199350011,-0.3962447949256926,0.0826831749906915
2020-06-02,175.27,175.32,175.27,175.32,500,0.0,41.90551207895346,53.57142857142542,48.12169312169032,-0.28893994375678744,-0.37478382469191157,0.08584388093512413
2020-06-03,175.97,178.115,175.97,178.115,1408,0.0,75.09704485689946,61.90476190475993,50.71428571428287,-0.04339373086779119,-0.3085058059270875,0.2651120750592963
2020-06-04,178.21,178.455,178.21,178.455,317,0.0,76.83116196313938,95.23809523809325,70.23809523809285,0.17660280322888866,-0.21148408409589226,0.3880868873247809
2020-06-05,179.0,180.17,178.88,180.09,1203,0.0,82.97186550424043,99.46344735077135,85.53543483120815,0.4773795430114376,-0.0737113586744263,0.5510909016858638
2020-06-06,180.275,180.55,180.015,180.55,500,0.0,84.23764954268447,99.46344735077135,98.05499664654529,0.7442857688466518,0.08988806682978934,0.6543977020168624
2020-06-07,180.825,181.025,180.7,181.025,506,0.0,85.44113417254181,99.46344735077135,99.46344735077132,0.9828101820355073,0.2684724898709329,0.7143376921645743
2020-06-08,181.495,181.63,181.415,181.415,515,0.0,86.36186013522195,98.88543286677027,99.2707758561043,1.1895992786132865,0.4526978476194037,0.7369014309938828
2020-06-09,181.295,181.295,181.295,181.295,198,0.0,84.58922555503872,97.1487817522031,98.49922065658154,1.328484191560392,0.6278551164076014,0.7006290751527906
