Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,183.085,183.085,183.075,183.075,200,0.0,,,,,,
2020-04-02,183.19,183.19,183.19,183.19,100,0.0,,,,,,
2020-04-03,183.905,183.905,183.905,183.905,102,0.0,,,,,,
2020-04-04,184.22,184.26,184.22,184.26,206,0.0,,,,,,
2020-04-05,184.42,184.56,184.01,184.03,3296,0.0,,,,,,
2020-04-06,184.595,186.065,184.595,186.065,811,0.0,,,,,,
2020-04-07,186.575,186.575,186.17,186.17,590,0.0,,,,,,
2020-04-08,186.06,186.06,185.625,185.625,602,0.0,,,,,,
2020-04-09,185.695,185.7,185.65,185.7,621,0.0,,,,,,
2020-04-10,185.82,186.005,185.485,185.485,965,0.0,,,,,,
2020-04-11,185.645,185.825,184.96,184.96,926,0.0,,,,,,
2020-04-12,184.7,185.045,184.7,184.97,726,0.0,,,,,,
2020-04-13,185.21,185.21,185.21,185.21,100,0.0,,,,,,
2020-04-14,184.98,184.98,184.83,184.83,312,0.0,,,,,,
2020-04-15,184.56,184.58,184.56,184.58,200,0.0,62.985332182916665,,,,,
2020-04-16,184.13,184.13,184.13,184.13,102,0.0,58.12457891835621,33.21111298153141,,,,
2020-04-17,184.58,184.58,184.58,184.58,100,0.0,61.33776441879001,23.904234674653157,,,,
2020-04-18,184.5,184.5,184.5,184.5,100,0.0,60.449723279935014,16.584167451504687,24.566505035896416,,,
2020-04-19,183.44,183.44,183.44,183.44,199,0.0,50.09970983163941,13.775178687459801,18.08786027120588,,,
2020-04-20,182.355,182.615,182.355,182.615,233,0.0,43.81225383288113,8.421483760305025,12.926943299756502,,,
2020-04-21,182.5,183.08,182.5,182.66,302,0.0,44.2234364536179,4.79775206639782,8.998138171387547,,,
2020-04-22,182.675,183.22,182.675,183.22,201,0.0,49.205090098003645,12.697295445393323,8.638843757365388,,,
2020-04-23,182.91,182.91,182.58,182.58,527,0.0,44.331885864982986,12.698377485688555,10.064474999159899,,,
2020-04-24,182.62,182.62,182.62,182.62,100,0.0,44.700515600097916,12.499967102233517,12.631880011105132,,,
