Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,16.12,16.13,15.73,15.84,90196,0.0,,,,,,
2020-04-02,15.86,15.89,15.755,15.85,87831,0.0,,,,,,
2020-04-03,15.84,15.87,15.715,15.74,41411,0.0,,,,,,
2020-04-04,15.77,15.805,15.62,15.66,37001,0.0,,,,,,
2020-04-05,15.66,15.675,15.59,15.6,49961,0.0,,,,,,
2020-04-06,15.61,15.65,15.53,15.535,48312,0.0,,,,,,
2020-04-07,15.545,15.755,15.545,15.735,50127,0.0,,,,,,
2020-04-08,15.72,15.86,15.7,15.85,29831,0.0,,,,,,
2020-04-09,15.86,15.86,15.77,15.78,22120,0.0,,,,,,
2020-04-10,15.78,15.84,15.74,15.81,10289,0.0,,,,,,
2020-04-11,15.82,15.88,15.805,15.875,30316,0.0,,,,,,
2020-04-12,15.875,16.04,15.85,16.02,105344,0.0,,,,,,
2020-04-13,16.02,16.11,15.97,16.09,34068,0.0,,,,,,
2020-04-14,16.08,16.16,16.01,16.01,44847,0.0,,,,,,
2020-04-15,16.005,16.12,16.005,16.03,10689,0.0,58.48214285714293,,,,,
2020-04-16,16.025,16.025,15.96,16.02,38348,0.0,57.9251700680272,77.7777777777779,,,,
2020-04-17,16.02,16.02,15.805,15.84,56573,0.0,48.89787083664635,68.78306878306883,,,,
2020-04-18,15.84,15.91,15.79,15.81,49642,0.0,47.5673165281662,57.14285714285717,67.9012345679013,,,
2020-04-19,15.81,15.82,15.685,15.72,67813,0.0,43.7234929703346,41.26984126984137,55.73192239858912,,,
2020-04-20,15.71,15.77,15.6,15.74,61329,0.0,44.7911594033527,35.436830558781885,44.616509657160144,,,
2020-04-21,15.73,15.79,15.71,15.75,17453,0.0,45.349446649210996,29.550587172538474,35.41908633372058,,,
2020-04-22,15.74,15.92,15.725,15.905,12920,0.0,53.24206004089947,37.65243902439024,34.21328558523687,,,
2020-04-23,15.92,15.925,15.865,15.9,38481,0.0,52.97627491491113,44.9404761904762,37.38116746246831,,,
2020-04-24,15.895,15.95,15.88,15.915,30259,0.0,53.72263834424428,54.7619047619047,45.78493999225705,,,
2020-04-25,15.915,15.925,15.85,15.89,73072,0.0,52.234563667979884,53.86904761904763,51.190476190476176,,,
2020-04-26,15.9,15.95,15.77,15.89,213267,0.0,52.234563667979884,53.27380952380955,53.968253968253954,0.0273899400081401,,
2020-04-27,15.59,15.8,15.53,15.67,54620,0.0,40.72248592398889,41.93121693121702,49.6913580246914,0.009722235014558933,,
2020-04-28,15.66,15.78,15.48,15.505,69564,0.0,34.56891226253731,25.971395502645574,40.39214065255738,-0.017393171860920376,,
2020-04-29,15.52,15.72,15.52,15.69,40518,0.0,44.66524354398283,21.553527437988464,29.818713290617023,-0.023681388964375216,,
2020-04-30,15.67,15.69,15.55,15.59,144365,0.0,40.98390511448882,20.936243487371133,22.820388809335057,-0.036315389384869334,,
2020-05-01,15.6,15.81,15.56,15.79,38862,0.0,49.88108511060058,41.619975756874624,28.036582227411404,-0.02984555621705276,,
2020-05-02,15.8,15.88,15.77,15.87,78237,0.0,52.937429089053765,56.435513527712025,39.663910923985924,-0.0180547119264034,,
2020-05-03,15.87,15.93,15.79,15.83,13898,0.0,51.254419547133786,74.46808510638296,57.5078581303232,-0.011802002445962856,,
2020-05-04,15.8,15.83,15.73,15.75,20955,0.0,47.969649608120626,71.6312056737589,67.51160143595129,-0.013150426614323862,-0.012570052487912086,-0.0005803741264117767
2020-05-05,15.74,15.79,15.69,15.79,23107,0.0,49.7052547900145,65.95744680851065,70.68557919621749,-0.010866138693646832,-0.012229269729059036,0.0013631310354122045
2020-05-06,15.8,15.84,15.77,15.825,13460,0.0,51.23799475263062,65.60283687943259,67.7304964539007,-0.006160600992902943,-0.011015535981827819,0.004854934988924876
2020-05-07,15.84,15.85,15.74,15.785,16963,0.0,49.385644024539886,68.08510638297871,66.54846335697398,-0.005594603067901716,-0.009931349399042598,0.004336746331140883
2020-05-08,15.785,15.805,15.76,15.765,12318,0.0,48.44263991469335,66.31205673758873,66.66666666666667,-0.006682842835289193,-0.009281648086291918,0.0025988052510027247
