Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,50.97,51.21,50.88,51.21,39293,0.0,,,,,,
2020-04-02,51.185,51.23,50.97,51.01,17889,0.0,,,,,,
2020-04-03,50.98,50.98,50.715,50.895,19681,0.0,,,,,,
2020-04-04,50.935,51.0,50.915,50.945,11229,0.0,,,,,,
2020-04-05,50.94,51.05,50.915,50.95,21193,0.0,,,,,,
2020-04-06,50.98,51.01,50.82,50.85,32150,0.0,,,,,,
2020-04-07,50.85,50.885,50.68,50.85,22914,0.0,,,,,,
2020-04-08,50.865,50.9,50.695,50.725,32850,0.0,,,,,,
2020-04-09,50.72,50.93,50.71,50.91,19377,0.0,,,,,,
2020-04-10,50.905,50.99,50.82,50.92,19419,0.0,,,,,,
2020-04-11,50.905,51.04,50.905,51.03,16111,0.0,,,,,,
2020-04-12,51.04,51.16,50.98,51.115,12263,0.0,,,,,,
2020-04-13,51.13,51.15,50.95,50.95,18022,0.0,,,,,,
2020-04-14,50.96,51.07,50.96,51.065,52400,0.0,,,,,,
2020-04-15,51.07,51.07,50.95,51.025,8813,0.0,42.91187739463589,,,,,
2020-04-16,51.01,51.01,50.79,50.79,13373,0.0,35.941742779560485,51.881313131313185,,,,
2020-04-17,50.815,50.84,50.64,50.71,13446,0.0,33.92175487015888,33.03515928515939,,,,
2020-04-18,50.71,50.71,50.5,50.535,24308,0.0,29.955674697812285,13.893745143745045,32.93673918673921,,,
2020-04-19,50.52,50.52,50.39,50.465,21715,0.0,28.51930325082742,9.501609501609533,18.810171310171324,,,
2020-04-20,50.46,50.54,50.4,50.465,34354,0.0,28.51930325082742,8.26118326118338,10.552179302179324,,,
2020-04-21,50.47,50.62,50.44,50.545,38370,0.0,32.79077796410186,13.20346320346357,10.3220853220855,,,
2020-04-22,50.55,50.65,50.48,50.57,33843,0.0,34.115745997704764,17.748917748918004,13.071188071188322,,,
2020-04-23,50.585,50.65,50.505,50.6,37317,0.0,35.75255616843121,23.593073593073793,18.18181818181846,,,
2020-04-24,50.59,50.68,50.465,50.66,61019,0.0,39.015794054991524,28.571428571428573,23.30447330447346,,,
2020-04-25,50.67,50.685,50.31,50.55,185553,0.0,35.45984275346461,30.19098548510297,27.451829216535117,,,
2020-04-26,50.53,50.711000000000006,50.39,50.49,13899,0.0,33.657881768406995,28.24293353705096,29.00178253119417,-0.17143065722454054,,
2020-04-27,50.41,50.795,50.4,50.645,26636,0.0,41.875284127471296,31.247604304879815,29.89384110901125,-0.15751342703132565,,
2020-04-28,50.605,50.79,50.56,50.745,32651,0.0,46.48108838097284,40.914786967418486,33.468441603116425,-0.13683738141520507,,
2020-04-29,50.72,50.72,50.52,50.565,11179,0.0,40.292074579419726,45.91478696741833,39.35905941323889,-0.13343777437789583,,
2020-04-30,50.61,50.655,50.52,50.615,11678,0.0,42.579233441480504,50.40419444838475,45.744589461073865,-0.12526500220476322,,
2020-05-01,50.64,50.64,50.495,50.53,15810,0.0,39.7888772878301,46.445521994053145,47.588167803285415,-0.12421493851122278,,
2020-05-02,50.57,50.64,50.41,50.43,13758,0.0,36.73852970270254,42.55008753160835,46.46660132468208,-0.12995389215861053,,
2020-05-03,50.43,50.44,50.32,50.415,46653,0.0,36.289122474106925,30.584192439862107,39.85993398850787,-0.13416584852440394,,
2020-05-04,50.395,50.435,50.33,50.385,12821,0.0,35.35755318162073,20.618556701030265,31.250945557500245,-0.1383300211924876,-0.1390165491822728,0.0006865279897851906
2020-05-05,50.38,50.43,50.335,50.335,9680,0.0,33.80018530576447,14.08934707903721,21.764032073309863,-0.14400474312683542,-0.1400141879711853,-0.003990555155650111
2020-05-06,50.38,50.425,50.31,50.425,13573,0.0,39.00781825443568,14.776632302404773,16.494845360824087,-0.1396301834671121,-0.13993738707037068,0.00030720360325858787
2020-05-07,50.435,50.46,50.345,50.35,6730,0.0,36.435571568204374,12.371134020618063,13.745704467353354,-0.1405945007312397,-0.1400688098025445,-0.0005256909286951994
2020-05-08,50.345,50.42,50.345,50.42,10353,0.0,40.38673782268701,18.213058419243556,15.120274914088801,-0.13416375783867096,-0.1388877994097698,0.004724041571098847
2020-05-09,50.43,50.45,50.35,50.38,5935,0.0,38.89876959827703,15.120274914089284,15.234822451316973,-0.13078737799020956,-0.13726771512585775,0.00648033713564819
2020-05-10,50.355,50.41,50.32,50.341,16542,0.0,37.45001066594232,14.501718213058332,15.945017182130394,-0.12976272280420176,-0.13576671666152657,0.0060039938573248075
2020-05-11,50.335,50.505,50.335,50.445,8507,0.0,43.49380581105536,16.31658075601361,15.312857961053746,-0.11918485651540323,-0.1324503446323019,0.013265488116898677
2020-05-12,50.435,50.44,50.33,50.35,16372,0.0,39.7185147099708,14.757616712764865,15.191971893945606,-0.11711747003254658,-0.12938376971235085,0.012266299679804277
2020-05-13,50.37,50.42,50.32,50.345,22514,0.0,39.524061248120546,16.008675032402056,15.694290833726846,-0.11456191116383962,-0.12641939800264862,0.011857486838808995
2020-05-14,50.36,50.42,50.335,50.385,11971,0.0,41.97164525908141,14.209432608159318,14.991908117775415,-0.1080632606409111,-0.12274817053030113,0.01468490988939003
2020-05-15,50.395,50.445,50.345,50.445,12595,0.0,45.5326086367213,24.593763724197657,18.270623788253012,-0.0969539103948378,-0.11758931850320847,0.020635408108370668
2020-05-16,50.44,50.455,50.34,50.385,11122,0.0,42.710055850787796,34.03263403263276,24.27861012166325,-0.0919314404254763,-0.11245774288766205,0.020526302462185758
2020-05-17,50.39,50.42,50.335,50.36,14078,0.0,41.55418904186471,35.00388500388362,31.210094253571345,-0.08894310708281239,-0.10775481572669213,0.018811708643879738
2020-05-18,50.335,50.45,50.335,50.375,18711,0.0,42.55866173980088,32.47863247863083,33.838383838382406,-0.08439164241737984,-0.10308218106482968,0.018690538647449836
2020-05-19,50.39,50.39,50.2,50.2,29164,0.0,35.0008679967419,19.658119658118753,29.046879046877734,-0.09382406591407033,-0.10123055803467781,0.007406492120607483
2020-05-20,50.2,50.31,50.15,50.245,39289,0.0,38.047533816318044,20.03129890453773,24.056017013762443,-0.09655517758908871,-0.10029548194556001,0.0037403043564712968
2020-05-21,50.25,50.27,50.07,50.18,69410,0.0,35.46191236823823,17.349306567373294,19.012908376676595,-0.1027797787294702,-0.10079234130234206,-0.001987437427128133
2020-05-22,50.15,50.26,50.08,50.09,1000,0.0,32.19907340189418,18.881873617181956,18.75415969636433,-0.11366481063456035,-0.10336683516878573,-0.010297975465774628
2020-05-23,50.11,50.12,50.11,50.12,200,0.0,34.366877258295574,13.793103448275767,16.674761210943675,-0.11850448166408256,-0.1063943644678451,-0.01211011719623746
2020-05-24,50.13,50.22,50.13,50.22,400,0.0,41.12433878320517,16.858237547892543,16.511071537783426,-0.11296856031496816,-0.10770920363726971,-0.005259356677698446
2020-05-25,50.22,50.22,50.18,50.22,800,0.0,41.12433878320517,28.312683485096812,19.65467482708838,-0.10734390899797575,-0.10763614470941092,0.00029223571143517646
2020-05-26,50.22,50.22,50.22,50.22,600,0.0,41.12433878320517,37.46827884758891,27.546399960192762,-0.10171383849037596,-0.10645168346560394,0.004737844975227973
2020-05-27,50.22,50.22,50.16,50.21,800,0.0,40.60222590313226,38.095238095238095,34.625400142641276,-0.09694140332357648,-0.10454962743719845,0.00760822411362197
2020-05-28,50.18,50.18,50.18,50.18,200,0.0,39.0024352983248,34.63203463203469,36.7318505249539,-0.09449073299832378,-0.10253784854942352,0.008047115551099743
2020-05-29,50.21,50.21,50.155,50.21,600,0.0,41.48535435346059,33.76623376623399,35.49783549783559,-0.0891007122819758,-0.099850421295934,0.010749709013958192
2020-05-30,50.17,50.17,50.17,50.17,200,0.0,39.194494343999054,30.416951469583225,32.93840662261729,-0.08705325203660408,-0.09729098744406801,0.010237735407463935
2020-05-31,49.9,50.11,49.75,49.8,19851,0.0,25.285376477523897,23.27409432672594,29.152426520847712,-0.11397272618012977,-0.10062733519128036,-0.013345390988849404
2020-06-01,49.83,50.18,49.78,50.16,13746,0.0,45.53705766018076,32.50704887218017,28.73269822282977,-0.10504669907115272,-0.10151120796725484,-0.003535491103897878
2020-06-02,50.17,50.48,50.14,50.47,15901,0.0,56.47706312861864,56.611831376385915,37.464324858430665,-0.07212691487954714,-0.0956343493497133,0.02350743447016615
2020-06-03,50.54,50.815,50.5,50.805,25352,0.0,64.72355211638971,87.25122328338365,58.79003451064991,-0.01878945530060605,-0.08026537053989186,0.061475915239285805
2020-06-04,50.8,50.94,50.79,50.93,16358,0.0,67.219397678496,98.95027790523265,80.9377775216674,0.03318478744985498,-0.0575753389419425,0.09076012639179748
2020-06-05,50.93,50.965,50.87,50.9,16743,0.0,66.01226933130819,97.62363416357094,94.60837845072909,0.07113401140021125,-0.03183346887351175,0.102967480273723
2020-06-06,50.9,51.07,50.87,51.05,17578,0.0,69.0090087914903,97.43157270390368,98.0018282575691,0.11202147732827683,-0.003062479633154036,0.11508395696143087
2020-06-07,51.05,51.07,50.785,50.8,7457,0.0,59.580099164900005,90.89350293053967,95.3162365993381,0.12283619875535123,0.02211725604454702,0.10071894271080421
2020-06-08,50.84,50.93,50.83,50.9,10282,0.0,61.82686683381055,88.38383838383817,92.23630467276051,0.13788663635484966,0.04527113210660755,0.09261550424824211
