Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,200.31,200.31,200.31,200.31,100,0.0,,,,,,
2020-04-02,200.42700000000002,201.31,200.42700000000002,201.31,435,0.0,,,,,,
2020-04-03,201.01,201.01,201.01,201.01,100,0.0,,,,,,
2020-04-04,200.74,200.74,200.67,200.67,300,0.0,,,,,,
2020-04-05,201.08,201.08,201.08,201.08,105,0.0,,,,,,
2020-04-06,200.58,200.68,200.58,200.68,200,0.0,,,,,,
2020-04-07,200.31,200.8,200.31,200.5,1005,0.0,,,,,,
2020-04-08,200.44,200.73,197.63,199.59,210395,0.0,,,,,,
2020-04-09,199.38,200.03,198.57,199.71,42460,0.0,,,,,,
2020-04-10,199.69,200.93,199.69,200.08,66485,0.0,,,,,,
2020-04-11,200.015,201.71,200.015,201.5,26215,0.0,,,,,,
2020-04-12,201.445,201.605,200.12,200.48,35884,0.0,,,,,,
2020-04-13,200.605,202.1,200.28,202.09,36226,0.0,,,,,,
2020-04-14,202.06,202.3,201.79,201.98,46646,0.0,,,,,,
2020-04-15,202.08,202.53,201.31,202.475,18975,0.0,62.46401842256748,,,,,
2020-04-16,202.33,202.75,202.02,202.75,16332,0.0,63.701768660870904,97.34176754213443,,,,
2020-04-17,202.85,202.85,201.91,202.42,14480,0.0,61.09813933061378,96.88000104256253,,,,
2020-04-18,202.54,202.54,201.195,201.195,23715,0.0,52.51717913155157,86.68582375478921,93.63586411316207,,,
2020-04-19,201.07,201.81,200.94,201.77,14250,0.0,55.66473637780475,79.78927203065138,87.78503227600105,,,
2020-04-20,201.74,201.78,200.8,200.8,13234,0.0,49.68169380973371,69.44444444444463,78.63984674329508,,,
2020-04-21,201.01,201.34,200.86,201.08,8856,0.0,51.30860966687643,68.71008939974487,72.64793529161363,,,
2020-04-22,200.995,201.395,200.48,200.5,13964,0.0,47.85687013574478,57.3044604385245,65.15299809423801,,,
2020-04-23,200.39,201.23,200.24,201.15,14064,0.0,51.772591177938466,52.46264787082803,59.49239923636582,,,
2020-04-24,201.08,201.75,200.61,201.71,12755,0.0,54.91394083377455,50.361449792618544,53.37618603399037,,,
2020-04-25,201.79,202.32,201.74,201.96,11719,0.0,56.28296072270906,57.79671961106601,53.540272424837546,,,
2020-04-26,201.95,202.84,201.95,202.48,25745,0.0,59.06708233226303,71.00379399229996,59.72065446532819,0.37500966418647863,,
2020-04-27,202.46,202.74,202.28,202.61,16695,0.0,59.7570862698219,81.34253996322987,70.04768452219862,0.4295490496217269,,
2020-04-28,202.74,202.74,201.81099999999998,202.18,16167,0.0,56.37212973414507,83.652618135377,78.66631736363563,0.4330821971892931,,
2020-04-29,202.12,202.185,201.47,201.74,25452,0.0,53.06005388302093,74.20178799489186,79.73231536449958,0.39581520799362124,,
2020-04-30,201.72,202.24,201.56,202.06,17405,0.0,55.12506161411352,67.17752234993638,75.0106428267351,0.3876337753418113,,
2020-05-01,202.02,202.04,201.3,201.36,17607,0.0,49.948576646308936,56.75999607034112,66.04643547172314,0.3209658862232345,,
2020-05-02,201.21,201.78,200.86,201.27,28819,0.0,49.307473698452,50.8080361528639,58.24851819104716,0.25789599148677667,,
2020-05-03,201.31,201.73,201.04,201.31,48526,0.0,49.61699524497269,41.28205128205134,49.616694501752136,0.20873415382729377,,
2020-05-04,201.55,201.55,201.55,201.55,100,0.0,51.52932148592402,43.71794871794876,45.269345384288016,0.18698360689947435,0.3328521703077456,-0.14586856340827126
2020-05-05,201.34,201.37,201.17,201.17,500,0.0,48.39708758368153,42.435897435897175,42.47863247863244,0.13749832247569316,0.29378140074133513,-0.15628307826564197
2020-05-06,201.34,201.39,201.22,201.29,800,0.0,49.44221710542963,42.179487179486784,42.77777777777758,0.10673351761403183,0.2563718241158745,-0.14963830650184268
2020-05-07,201.25,201.37,201.2,201.22,800,0.0,48.821055584625846,34.50270208117678,39.70602889885359,0.07582965605445224,0.22026339050359006,-0.14443373444913782
2020-05-08,201.35,201.35,201.23,201.32,600,0.0,49.791499632444186,30.323732902207542,35.66864072095705,0.05873028125930091,0.18795676865473224,-0.12922648739543133
2020-05-09,201.33,201.35,201.31,201.31,600,0.0,49.69003069213222,24.437952016426692,29.754795666603684,0.04386632344247232,0.15913867961228026,-0.11527235616980794
2020-05-10,201.32,201.32,201.3,201.3,300,0.0,49.58121794059947,23.121283759581132,25.960989559405135,0.030923150526774634,0.13349557379517912,-0.10257242326840449
2020-05-11,201.26,201.34,201.24,201.33,1000,0.0,49.93541672877721,23.710509348807026,23.75658170827163,0.022823249803394674,0.11136110899682224,-0.08853785919342756
2020-05-12,201.32,201.32,201.29,201.32,400,0.0,49.80980419277782,27.24586288416026,24.69255199751615,0.015419358925441884,0.09217275898254616,-0.07675340005710428
2020-05-13,201.32,201.32,201.27,201.32,500,0.0,49.80980419277782,30.55555555555462,27.17064259617398,0.009442870529085212,0.07562678129185398,-0.06618391076276876
2020-05-14,201.32,201.32,201.3,201.31,500,0.0,49.66491254650639,34.93408662900086,30.91183502290526,0.003855104742427784,0.061272445981968744,-0.05741734123954096
2020-05-15,201.31,201.33,201.31,201.32,800,0.0,49.82210281405047,40.48964218455637,35.326428123037296,0.00023101354497612192,0.04906415949457022,-0.0488331459495941
2020-05-16,201.33,201.34,201.31,201.31,600,0.0,49.65510782551904,42.42200933431582,39.281912715957695,-0.003408727576044157,0.03856958208044735,-0.041978309656491505
2020-05-17,201.27,201.32,201.27,201.27,600,0.0,48.94836044290072,38.48207475209909,40.4645754236571,-0.00941241389506331,0.028973182885345217,-0.038385596780408524
2020-05-18,201.28,201.28,201.26,201.26,3700,0.0,48.76150657723962,35.45177172179715,38.78528526940403,-0.01480661355930124,0.02021722359641593,-0.03502383715571717
2020-05-19,201.27,201.28,201.24,201.28,800,0.0,49.17935502113676,36.443381180227654,36.79240921804131,-0.017268660435178163,0.012720046790097111,-0.029988707225275274
2020-05-20,201.28,201.28,201.23,201.27,700,0.0,48.964345802133,41.39694155174619,37.76403148459033,-0.019798541486807153,0.0062163291347162595,-0.02601487062152341
2020-05-21,201.23,201.23,201.23,201.23,100,0.0,48.059247205721036,27.76057791538197,35.20030021578527,-0.024745900812291666,2.388314531467494e-05,-0.02476978395760634
2020-05-22,201.27,201.3,201.23,201.23,400,0.0,48.059247205721036,13.72549019608136,27.627669887736506,-0.028340032468321397,-0.0056488999774125396,-0.022691132490908858
2020-05-23,203.15099999999998,203.15099999999998,203.15099999999998,203.15099999999998,100,0.0,74.40790552111048,33.333333333333314,24.939800481598883,0.1224091809916672,0.019962716216403407,0.10244646477526378
