Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,68.45,68.56,68.4,68.55,4714,0.0,,,,,,
2020-04-02,68.5,68.52,68.315,68.38,4613,0.0,,,,,,
2020-04-03,68.32,68.33,68.18,68.18,2153,0.0,,,,,,
2020-04-04,68.13,68.13,68.0,68.105,3464,0.0,,,,,,
2020-04-05,68.105,68.17,67.77,67.91,4433,0.0,,,,,,
2020-04-06,68.025,68.095,68.0,68.01,1534,0.0,,,,,,
2020-04-07,68.125,68.125,67.86,67.995,5587,0.0,,,,,,
2020-04-08,68.0,68.0,67.565,67.565,7313,0.0,,,,,,
2020-04-09,67.54,67.61,67.34,67.57,5953,0.0,,,,,,
2020-04-10,67.6,67.6,67.02,67.1,8233,0.0,,,,,,
2020-04-11,67.11,67.35,66.91,67.29,6791,0.0,,,,,,
2020-04-12,67.335,67.47,67.02,67.24,3879,0.0,,,,,,
2020-04-13,67.15,67.5,67.15,67.49,13795,0.0,,,,,,
2020-04-14,67.57,67.71,67.5,67.71,18906,0.0,,,,,,
2020-04-15,67.63,67.85,67.43,67.5,8105,0.0,29.651162790697953,,,,,
2020-04-16,67.455,67.725,67.37,67.575,5088,0.0,31.786643538595285,43.98726571108699,,,,
2020-04-17,67.57,67.7,67.3,67.43,15090,0.0,29.897090505972045,41.58226330608492,,,,
2020-04-18,67.09,67.37,66.65,67.065,10955,0.0,25.747880272644508,38.46781958809405,41.345782868421985,,,
2020-04-19,67.04,67.3,66.96,67.265,22284,0.0,31.36847148526799,36.75579603434198,38.93529297617365,,,
2020-04-20,67.27,67.52,67.185,67.2,23023,0.0,30.55885695539736,35.42856080880143,36.88405881041248,,,
2020-04-21,67.35,67.815,67.35,67.745,9748,0.0,43.68352257774529,53.36472065285625,41.84969249866655,,,
2020-04-22,67.75,67.83,67.525,67.79,10083,0.0,44.614350356907224,71.13308223477753,53.30878789881174,,,
2020-04-23,67.79,67.97,67.71,67.93,3588,0.0,47.52053661307151,91.02693602693664,71.84157963819014,,,
2020-04-24,67.99,68.19,67.96,68.095,3990,0.0,50.79737523449659,95.26695526695579,85.80899117622333,,,
2020-04-25,68.11,68.12,67.89,67.945,7405,0.0,47.87099902703591,91.63059163059171,92.64149430816138,,,
2020-04-26,67.95,68.085,67.9,68.08,5589,0.0,50.62775878079882,90.25974025974013,92.38576238576253,0.06169389902424882,,
2020-04-27,68.105,68.105,67.87,67.93,2690,0.0,47.61473171158922,86.68831168831173,89.52621452621452,0.0689700074803028,,
2020-04-28,68.075,68.075,67.83,67.89,6706,0.0,46.81462249615397,85.4978354978357,87.48196248196251,0.07069379607145265,,
2020-04-29,67.82,67.88,67.71,67.75,4446,0.0,44.026119794511814,78.35497835497856,83.51370851370865,0.06007062421470266,,
2020-04-30,67.77,67.805,67.51,67.51,6086,0.0,39.664394930626834,69.26406926406939,77.70562770562788,0.03191776165782301,,
2020-05-01,67.51,67.535,67.405,67.435,4480,0.0,38.384602296407905,59.41558441558451,69.01154401154416,0.0035140344504895893,,
2020-05-02,67.47,67.51,67.18,67.19,10835,0.0,34.471764935432404,41.8391229366841,56.839592205446,-0.038323803497704034,,
2020-05-03,67.17,67.43,67.13,67.43,7691,0.0,40.83435834013078,32.65836658611668,44.637691312795106,-0.05152069871640208,,
2020-05-04,67.42,67.45,67.33,67.45,12499,0.0,41.34546405919426,25.729917676535894,33.40913573311224,-0.059677574472175365,0.01637089402363756,-0.07604846849581293
2020-05-05,67.455,67.56,67.43,67.465,16886,0.0,41.751878408374075,30.031446540881287,29.473243601177966,-0.06419162158029224,0.0002583909028516015,-0.06445001248314383
2020-05-06,67.49,67.65,67.49,67.64,3178,0.0,46.41663400644188,36.63522012578674,30.79886144773465,-0.0530366257638093,-0.010400612430480578,-0.04263601333332872
2020-05-07,67.6,67.685,67.6,67.68,3613,0.0,47.45250486281497,43.867924528302574,36.84486373165688,-0.04050166749432549,-0.016420823443249563,-0.024080844051075925
2020-05-08,67.73,67.73,67.525,67.57,5073,0.0,44.88285766451832,48.14814814814839,42.88376426741258,-0.03899420255390851,-0.020935499265381352,-0.018058703288527156
2020-05-09,67.56,67.575,67.425,67.455,4064,0.0,42.303673921225496,43.22152341020277,45.07919869555126,-0.046542551075759775,-0.02605690962745704,-0.020485641448302734
2020-05-10,67.435,67.52,67.405,67.505,6317,0.0,43.81540955166613,38.74643874643843,43.37203676826321,-0.04793749591681262,-0.03043302688532816,-0.017504469031484463
2020-05-11,67.49,67.49,67.02,67.02,6076,0.0,34.39994324908028,23.93162393162383,35.29986202942169,-0.08717356385874098,-0.04178113428001072,-0.045392429578730256
2020-05-12,67.025,67.22,66.91,67.055,6445,0.0,35.47749263292022,17.80333068992888,26.82713112266373,-0.1141286192108737,-0.056250631266183314,-0.05787798794469038
2020-05-13,67.015,67.19,66.855,67.19,19048,0.0,39.59874613799899,16.7372038343282,19.490719485293653,-0.1231774105071537,-0.06963598711437739,-0.0535414233927763
2020-05-14,67.15,67.15,67.1,67.15,300,0.0,38.807798012672464,27.9752990724235,20.838611198893542,-0.13205407137451175,-0.08211960396640428,-0.049934467408107475
2020-05-15,67.19,67.19,67.05,67.05,700,0.0,36.8273574376879,30.421052631578505,25.044518512776747,-0.14548103847715765,-0.09479189086855495,-0.0506891476086027
2020-05-16,67.04,67.14,67.04,67.14,400,0.0,39.80472472203037,29.523809523809206,29.306720409270415,-0.1471633512957169,-0.10526618295398735,-0.041897168341729546
2020-05-17,67.14,67.17,67.07,67.15,600,0.0,40.142296083632104,29.523809523809206,29.82289055973232,-0.14600660662313203,-0.11341426768781629,-0.03259233893531574
2020-05-18,67.15,67.18,67.14,67.18,700,0.0,41.20749590944142,34.476190476190524,31.174603174602993,-0.14104326983836302,-0.11894006811792565,-0.022103201720437365
2020-05-19,67.15,67.165,67.11,67.11,600,0.0,39.4436929339951,33.333333333333336,32.44444444444437,-0.14113133053591298,-0.12337832060152312,-0.017753009934389857
2020-05-20,67.15,67.15,67.15,67.15,100,0.0,40.99782702761429,33.33333333333333,33.71428571428575,-0.13640110651789428,-0.12598287778479736,-0.010418228733096918
2020-05-21,67.1,67.15,67.06,67.14,800,0.0,40.71649177898026,31.809523809523565,32.825396825396766,-0.1319383827827778,-0.12717397878439346,-0.004764403998384348
2020-05-22,67.11,67.14,67.11,67.14,500,0.0,40.71649177898026,35.28968253968233,33.47751322751309,-0.1269383754942055,-0.12712685812635588,0.00018848263215037742
2020-05-23,67.14,67.14,67.12,67.14,500,0.0,40.71649177898026,38.33730158730132,35.14550264550242,-0.12157439969269035,-0.12601636643962277,0.004441966746932424
2020-05-24,67.14,67.14,67.14,67.14,300,0.0,40.71649177898026,42.440788651418465,38.689257592800715,-0.11598639130468769,-0.12401037141263577,0.008023980107948081
2020-05-25,67.12,67.13,67.12,67.13,400,0.0,40.34411530132676,54.36049945811529,45.0461965656117,-0.11108426061545629,-0.12142514925319987,0.010340888637743587
2020-05-26,67.13,67.13,67.08,67.09,500,0.0,38.81494607252355,63.457869749515815,53.419719286349874,-0.10916852562399981,-0.11897382452735986,0.009805298903360044
