Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,221.395,221.535,221.0,221.0,855,0.0,,,,,,
2020-04-02,220.995,221.31,220.945,221.14,901,0.0,,,,,,
2020-04-03,221.475,222.11,221.46,222.04,800,0.0,,,,,,
2020-04-04,222.035,222.76,222.035,222.76,719,0.0,,,,,,
2020-04-05,222.74,223.07,222.74,222.98,969,0.0,,,,,,
2020-04-06,223.0,223.365,222.895,223.195,1306,0.0,,,,,,
2020-04-07,223.43,224.22,223.27,224.06,2719,0.0,,,,,,
2020-04-08,222.07,224.95,222.07,224.95,300,0.0,,,,,,
2020-04-09,222.245,222.4,222.07,222.07,739,0.0,,,,,,
2020-04-10,221.73,222.975,221.73,222.975,808,0.0,,,,,,
2020-04-11,222.985,223.025,222.985,223.025,1200,0.0,,,,,,
2020-04-12,223.145,223.9,223.145,223.9,202,0.0,,,,,,
2020-04-13,223.91,223.91,222.785,222.785,615,0.0,,,,,,
2020-04-14,222.555,222.685,222.555,222.685,246,0.0,,,,,,
2020-04-15,222.86,222.87,222.495,222.81,1821,0.0,59.05000000000001,,,,,
2020-04-16,223.05,223.3,223.05,223.3,326,0.0,61.102586584831265,47.57818247725237,,,,
2020-04-17,223.83,223.83,223.83,223.83,100,0.0,63.24838295115402,54.83541528407009,,,,
2020-04-18,224.62,224.62,224.51,224.51,510,0.0,65.85129641649297,68.09161935610213,56.83507237247486,,,
2020-04-19,224.8,224.8,224.8,224.8,210,0.0,66.9270912128147,82.29813664596324,68.40839042871183,,,
2020-04-20,224.43,224.43,224.43,224.43,100,0.0,64.15030555664728,88.50931677018679,79.63302425741738,,,
2020-04-21,224.055,224.055,224.055,224.055,100,0.0,61.371113025842895,83.79917184265071,84.8688750862669,,,
2020-04-22,224.19,224.19,224.02,224.02,200,0.0,61.10502929503491,76.8829114991136,83.06380003731702,,,
2020-04-23,223.58,223.58,223.58,223.58,100,0.0,57.71714567930321,69.01946304651338,76.56718212942589,,,
2020-04-24,223.34,223.39,223.305,223.39,310,0.0,56.26641635649776,57.894017867026406,67.9321308042178,,,
2020-04-25,222.54,222.97,222.54,222.97,300,0.0,53.08974314449549,39.898864998668984,55.6041153040696,,,
2020-04-26,223.0,223.24,223.0,223.24,388,0.0,54.854312424295635,30.585683297179674,42.79285538762503,0.26548547495187336,,
2020-04-27,223.24,223.52,223.24,223.52,324,0.0,56.67440866522194,32.46565437454805,34.31673422346558,0.24618001726696548,,
2020-04-28,223.58,223.58,223.195,223.32,514,0.0,54.96966982151338,37.52711496746191,33.5261508797299,0.21229477244526151,,
2020-04-29,223.24,223.51,223.24,223.51,612,0.0,56.31404649221564,41.06021922331186,37.0176628551073,0.19848388522092364,,
2020-04-30,223.43,223.43,222.65,223.1,3174,0.0,52.66049122603093,34.49695736471275,37.69476385182886,0.15269491220786335,,
2020-05-01,225.14,225.55,223.84,225.31,642,0.0,65.61153642549299,53.24189770577892,42.93302476460119,0.2913765440385987,,
2020-05-02,224.895,224.95,224.21,224.21,2812,0.0,57.22046278022968,57.42902223659576,48.38929243569583,0.3089604260252088,,
2020-05-03,224.64,225.15,224.29,225.15,4238,0.0,61.72520598579603,78.07308970099665,62.914669881123785,0.39420181019104916,,
2020-05-04,224.97,226.2,224.93,226.2,1000,0.0,66.02844538199614,80.73089700996682,72.07766964918642,0.5402547258743198,0.2899925075802293,0.25026221829409045
2020-05-05,225.81,225.81,225.265,225.265,509,0.0,59.60227177946858,87.0548384559059,81.9529417222898,0.5739400048185246,0.3467820070278884,0.22715799779063617
2020-05-06,225.385,225.385,224.34,224.535,871,0.0,55.093889366684,76.32058287795998,81.36877278127757,0.5355573600617447,0.38453707763465966,0.15102028242708504
2020-05-07,224.36,224.36,223.16,223.535,2068,0.0,49.56320196726274,52.04918032786895,71.8082005539116,0.4196101898385223,0.3915517000754322,0.028058489763090055
2020-05-08,223.13,223.13,222.555,222.555,232,0.0,44.815191226392564,27.367941712204274,51.91256830601106,0.2458098691241446,0.36240333388517476,-0.11659346476103016
2020-05-09,221.325,221.8,221.325,221.47,400,0.0,40.22114735580096,10.189995796553456,29.869039278875558,0.02028756806163301,0.2939801807204664,-0.2736926126588334
2020-05-10,222.07,222.07,222.07,222.07,111,0.0,43.66059226058223,6.222082107328274,14.593339872028665,-0.10877164294817021,0.21342981598673907,-0.32220145893490926
2020-05-11,222.15,222.605,221.85,222.605,500,0.0,46.610341770081554,14.837606837606977,10.416561580496232,-0.1659687838481716,0.13755009601975696,-0.3035188798679286
2020-05-12,222.45,222.51,222.45,222.51,761,0.0,46.14829806682828,21.94871794871803,14.336135631217758,-0.21646832405360783,0.06674641200508401,-0.28321473605869185
