Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,204.72,205.25,204.55,205.25,1572,0.0,,,,,,
2020-04-02,205.38,205.755,205.235,205.41,4157,0.0,,,,,,
2020-04-03,206.29,206.29,205.19,205.19,258,0.0,,,,,,
2020-04-04,207.05,207.05,206.66,206.66,487,0.0,,,,,,
2020-04-05,207.05,207.05,206.76,206.91,415,0.0,,,,,,
2020-04-06,207.1,207.46,207.1,207.46,202,0.0,,,,,,
2020-04-07,208.32,208.89,208.32,208.89,200,0.0,,,,,,
2020-04-08,208.15,208.15,208.115,208.115,509,0.0,,,,,,
2020-04-09,208.735,208.735,208.465,208.465,447,0.0,,,,,,
2020-04-10,208.835,208.835,208.55,208.55,530,0.0,,,,,,
2020-04-11,208.57,208.57,208.57,208.57,100,0.0,,,,,,
2020-04-12,207.11,207.11,207.09,207.09,202,0.0,,,,,,
2020-04-13,206.58,206.58,206.58,206.58,100,0.0,,,,,,
2020-04-14,206.81,206.81,206.81,206.81,100,0.0,,,,,,
2020-04-15,206.69,206.69,206.6,206.62,300,0.0,58.873056994818775,,,,,
2020-04-16,206.91,207.18,206.91,207.14,500,0.0,61.654589371980734,47.80836135674854,,,,
2020-04-17,207.26,207.26,206.43,206.43,500,0.0,56.07775206697533,30.450450450450507,,,,
2020-04-18,206.17,206.325,205.215,205.215,1112,0.0,48.06543614094334,17.567567567567526,31.942126458255526,,,
2020-04-19,205.39,205.435,204.76,205.05,1120,0.0,47.08162605118705,2.3405972558516646,16.786205091289897,,,
2020-04-20,205.32,205.34,204.055,204.1,2734,0.0,41.77932753315832,2.65083510486916,7.5196666427627825,,,
2020-04-21,204.1,204.68,204.095,204.68,1821,0.0,45.79313110437842,7.009273040712952,4.000235133811258,,,
2020-04-22,204.475,205.0,204.33,204.45,702,0.0,44.483460767838366,7.423208560314442,5.694438901965516,,,
2020-04-23,204.35,204.91,204.35,204.69,567,0.0,46.212138426419614,11.541143654114178,8.65787508504719,,,
2020-04-24,204.9,204.955,204.615,204.615,1488,0.0,45.73289623575835,11.317072643335012,10.09380828592121,,,
