Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,297.85,298.01,297.51,297.51,515,0.0,,,,,,
2020-04-02,297.47,297.47,297.14,297.4,1163,0.0,,,,,,
2020-04-03,297.51,298.34,297.44,298.14,2955,0.0,,,,,,
2020-04-04,298.36,301.06,298.36,301.06,2457,0.0,,,,,,
2020-04-05,301.965,302.17,300.26,300.57,3049,0.0,,,,,,
2020-04-06,300.305,300.47,299.775,299.955,2176,0.0,,,,,,
2020-04-07,299.85,299.85,299.715,299.715,500,0.0,,,,,,
2020-04-08,300.935,301.46,300.885,301.46,1421,0.0,,,,,,
2020-04-09,301.855,301.855,301.1,301.47,1109,0.0,,,,,,
2020-04-10,301.75,301.805,301.72,301.72,684,0.0,,,,,,
2020-04-11,302.32,302.32,301.8,301.84,1913,0.0,,,,,,
2020-04-12,301.55,301.55,301.55,301.55,300,0.0,,,,,,
2020-04-13,301.53,302.01,301.53,302.01,200,0.0,,,,,,
2020-04-14,301.45,301.45,301.45,301.45,100,0.0,,,,,,
2020-04-15,299.5,299.5,299.5,299.5,100,0.0,59.476190476190524,,,,,
2020-04-16,297.95,297.95,297.935,297.935,261,0.0,51.249921090840274,46.3026404624766,,,,
2020-04-17,297.49,297.93,297.29,297.91,467,0.0,51.12826574558083,22.676443973457125,,,,
2020-04-18,298.65,298.65,298.43,298.43,300,0.0,53.59569271247805,15.04450075503268,28.007861730322134,,,
2020-04-19,298.09,298.09,297.61,297.84,864,0.0,50.48145491928037,15.308151093439081,17.67636527397629,,,
2020-04-20,297.98,298.345,297.785,297.885,1056,0.0,50.71667105096947,15.142478462557477,15.165043437009743,,,
2020-04-21,297.74,298.11,297.655,297.655,536,0.0,49.42443762884378,10.006626905234492,13.48575215374368,,,
2020-04-22,297.64,297.64,295.43,295.43,2591,0.0,39.056914299531805,6.36182902584445,10.503644797878804,,,
2020-04-23,295.12,295.86,294.71,295.86,2634,0.0,41.6062260784225,7.456052123526741,7.941502684868557,,,
