Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,34.63,34.97,34.53,34.7,8801,0.0,,,,,,
2020-04-02,34.69,34.89,34.65,34.865,8313,0.0,,,,,,
2020-04-03,34.84,34.895,34.79,34.8,6457,0.0,,,,,,
2020-04-04,34.8,34.805,34.71,34.8,8185,0.0,,,,,,
2020-04-05,34.81,34.93,34.75,34.93,9948,0.0,,,,,,
2020-04-06,34.94,35.05,34.89,34.97,14654,0.0,,,,,,
2020-04-07,35.0,35.055,34.94,34.965,13555,0.0,,,,,,
2020-04-08,34.955,35.0,34.9,34.97,17244,0.0,,,,,,
2020-04-09,34.97,35.09,34.97,35.06,22209,0.0,,,,,,
2020-04-10,35.07,35.11,35.06,35.11,5587,0.0,,,,,,
2020-04-11,35.12,35.31,35.11,35.31,9834,0.0,,,,,,
2020-04-12,35.3,35.46,35.3,35.45,9161,0.0,,,,,,
2020-04-13,35.44,35.8,35.43,35.76,17462,0.0,,,,,,
2020-04-14,35.79,35.84,35.58,35.58,21632,0.0,,,,,,
2020-04-15,35.61,35.64,35.54,35.63,13818,0.0,82.51748251748252,,,,,
2020-04-16,35.62,35.7,35.59,35.59,15492,0.0,80.1044386422977,80.12723970896192,,,,
2020-04-17,35.57,35.575,35.315,35.335,12604,0.0,66.71127019703601,71.84626062814505,,,,
2020-04-18,35.34,35.38,35.29,35.31,14620,0.0,65.55406365606405,61.52066249898513,71.16472094536404,,,
2020-04-19,35.3,35.3,35.15,35.16,23305,0.0,58.94698878166506,45.03564464461451,59.46752259058156,,,
2020-04-20,35.14,35.145,35.06,35.075,18516,0.0,55.53143701427505,32.80474023238847,46.453682458662705,,,
2020-04-21,35.08,35.14,35.06,35.12,16952,0.0,56.953489007887306,23.480776409107744,33.77372042870357,,,
2020-04-22,35.11,35.19,35.07,35.15,13945,0.0,57.91961879005866,20.90364392271948,25.729720188071894,,,
2020-04-23,35.15,35.18,35.085,35.15,19529,0.0,57.91961879005866,18.544124010007792,20.976181447278336,,,
2020-04-24,35.15,35.21,35.12,35.2,20023,0.0,59.66927089239528,16.72561155319756,18.72445982864161,,,
2020-04-25,35.19,35.23,35.09,35.17,33949,0.0,58.108120299999115,14.529914529914345,16.59988336437323,,,
2020-04-26,35.175,35.22,35.07,35.21,111316,0.0,59.624928916034364,17.094017094017,16.116514392376303,0.035373697582734565,,
2020-04-27,35.15,35.51,35.15,35.165,22377,0.0,57.119276404072295,15.598290598290347,15.740740740740565,0.02968613770917017,,
2020-04-28,35.135,35.325,35.12,35.21,15050,0.0,58.975870747981254,18.709935897435596,17.134081196580983,0.02848151230727325,,
2020-04-29,35.22,35.25,35.075,35.18,30608,0.0,57.19788485360314,18.549679487179116,17.619301994301683,0.024819979444735907,,
2020-04-30,35.195,35.23,35.115,35.205,18596,0.0,58.32541628476525,23.447613268607913,20.23574288440754,0.023662710342236437,,
2020-05-01,35.205,35.29,35.15,35.265,19987,0.0,60.98200486515512,30.8202984537932,24.272530403193404,0.027272682295063078,,
2020-05-02,35.265,35.28,34.98,34.98,22644,0.0,45.98648466398117,24.570298453793338,26.27940339206481,0.007055165365855487,,
2020-05-03,34.985,35.07,34.82,34.85,17472,0.0,41.03029769378382,16.63446054750409,24.008352485030205,-0.01923554066546984,,
2020-05-04,34.85,34.85,34.72,34.73,18698,0.0,37.05981511406384,1.8712162905888476,14.358658430628756,-0.04918711330351755,0.0119921367864535,-0.06117925008997105
2020-05-05,34.74,34.835,34.74,34.75,15508,0.0,38.134352724499,3.1370390753990236,7.2142386378306504,-0.07049746664326051,-0.004505783899489302,-0.06599168274377121
2020-05-06,34.75,34.925,34.725,34.84,18780,0.0,42.861706149322735,6.751054852320827,3.9197700727695626,-0.07921073530951617,-0.019446774181494673,-0.059763961128021494
2020-05-07,34.85,35.08,34.85,35.08,14023,0.0,53.14394421050623,21.518987341772384,10.46902708983074,-0.06598938471687177,-0.028755296288570095,-0.03723408842830167
2020-05-08,35.09,35.13,35.005,35.005,12132,0.0,50.109262795093265,32.27848101265858,20.18284106891726,-0.06086166690534611,-0.035176570411925304,-0.02568509649342081
2020-05-09,35.005,35.1,34.98,35.1,7905,0.0,53.714634486831734,43.24894514767961,32.34880450070352,-0.04857229634753679,-0.0378557155990476,-0.01071658074848919
2020-05-10,35.09,35.09,34.97,35.0,9507,0.0,49.64749954644269,39.87341772151934,38.46694796061917,-0.046367549655833784,-0.03955808241040484,-0.006809467245428941
2020-05-11,34.98,35.02,34.95,34.97,10999,0.0,48.461995107523684,41.62220594901847,41.5815229394058,-0.046504941283068035,-0.04094745418493748,-0.005557487098130552
2020-05-12,34.975,35.01,34.95,34.97,9196,0.0,48.46199510752368,40.2083337156924,40.56798579541006,-0.0460826134550274,-0.04197448603895547,-0.00410812741607193
2020-05-13,34.97,34.99,34.885,34.935,11078,0.0,46.94524657034653,40.96708713933603,40.932542268015624,-0.04801859463300673,-0.04318330775776572,-0.004835286875241006
2020-05-14,34.935,34.95,34.895,34.95,11506,0.0,47.70071435640173,40.643274853801564,40.606231902943314,-0.04779158735497191,-0.04410496367720697,-0.0036866236777649414
2020-05-15,34.94,34.965,34.91,34.93,13031,0.0,46.74495228789716,38.5233918128659,40.04458460200115,-0.04866454077126292,-0.04501687909601816,-0.0036476616752447594
2020-05-16,34.945,34.98,34.915,34.965,14926,0.0,48.682761076255716,45.86899158465309,41.67855275044017,-0.046001874179808055,-0.04521387811277614,-0.0007879960670319139
2020-05-17,34.96,35.005,34.94,34.98,11444,0.0,49.53035587608626,53.556910569105504,45.98309798887482,-0.04219492030696159,-0.044610086551613234,0.0024151662446516425
2020-05-18,35.0,35.005,34.935,34.95,7788,0.0,47.82886450268762,59.57542908762409,53.00044374712755,-0.04112457273925685,-0.043912983789141956,0.0027884110498851075
2020-05-19,34.945,34.98,34.93,34.97,18282,0.0,49.08460766513156,59.82133895412971,57.65122620361976,-0.03822188364502921,-0.04277476376031941,0.004552880115290203
2020-05-20,34.96,34.965,34.81,34.815,24416,0.0,40.873547230859806,39.2039609053491,52.86690964903429,-0.047876792375824095,-0.043795169483420354,-0.004081622892403741
2020-05-21,34.825,34.89,34.79,34.86,29545,0.0,43.812284741624865,27.548187484869697,42.19116244811616,-0.0513058314968049,-0.04529730188609727,-0.006008529610707629
2020-05-22,34.85,34.965,34.85,34.94,106694,0.0,48.694378146883274,23.51261068943627,30.088253026551673,-0.047025952386498204,-0.04564303198617746,-0.0013829204003207446
2020-05-23,34.83,34.94,34.83,34.83,400,0.0,43.14343462170873,27.436221800547695,26.16567332495121,-0.051911791232988946,-0.04689678383553976,-0.0050150073974491866
2020-05-24,34.81,34.92,34.81,34.92,700,0.0,48.33305158209383,39.414056412653494,30.120962967545807,-0.04796865310721188,-0.047111157689874186,-0.000857495417337692
2020-05-25,34.84,34.96,34.84,34.95,800,0.0,49.97224107003902,47.527448397014176,38.125908870071775,-0.04193948616413934,-0.04607682338472722,0.004137337220587879
2020-05-26,34.95,34.97,34.945,34.945,400,0.0,49.689289201799745,67.11401170450766,51.351838838058434,-0.03713669740631076,-0.04428879818904393,0.0071521007827331715
2020-05-27,34.83,34.97,34.83,34.97,700,0.0,51.1778125825709,76.18040873854825,63.60728961335669,-0.03095631650024444,-0.04162230185128404,0.010665985351039596
2020-05-28,34.86,34.99,34.86,34.86,800,0.0,44.885139794764484,62.79069767441778,68.69503937249122,-0.034536287966993484,-0.04020509907442593,0.005668811107432448
2020-05-29,34.82,34.97,34.82,34.97,400,0.0,51.32981598838741,66.66666666666556,68.54592435987718,-0.028172604210560337,-0.03779860010165281,0.009625995891092476
2020-05-30,34.95,34.96,34.86,34.93,600,0.0,49.082267851413974,60.46511627906889,63.30749354005072,-0.026056639965929662,-0.03545020807450818,0.00939356810857852
2020-05-31,34.93,34.93,34.93,34.93,200,0.0,49.082267851413974,71.31782945736333,66.14987080103256,-0.0241018914555724,-0.033180544750721026,0.009078653295148627
2020-06-01,34.68,34.68,33.875,33.875,48522,0.0,20.980961305387922,43.41085271317777,58.39793281653664,-0.10645527206477823,-0.047835490213532464,-0.058619781851245764
2020-06-02,33.86,34.12,33.84,34.05,41466,0.0,28.312813477470087,27.792382878327828,47.507021682956285,-0.15580387200571977,-0.06942916657196993,-0.08637470543374984
2020-06-03,34.035,34.115,33.99,34.07,38288,0.0,29.12222367590651,12.753623188405518,27.98561959330368,-0.19109632071152305,-0.09376259739988056,-0.09733372331164249
2020-06-04,34.075,34.21,34.075,34.14,56631,0.0,32.01549909484814,21.449275362318488,20.66509380968392,-0.21098531817946764,-0.11720714155579798,-0.09377817662366966
2020-06-05,34.14,34.16,34.09,34.115,29457,0.0,31.520617769065367,23.333333333333126,19.178743961352353,-0.22615777695715877,-0.13899726863607015,-0.08716050832108863
2020-06-06,34.095,34.175,34.03,34.03,23190,0.0,29.832164095562263,22.17391304347808,22.318840579709875,-0.2422483611623818,-0.15964748714133248,-0.08260087402104932
2020-06-07,34.04,34.16,34.04,34.145,29894,0.0,34.91210058295502,22.31884057971004,22.608695652173726,-0.2429204899708992,-0.17630208770724584,-0.06661840226365337
