Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,223.03,225.52,223.03,225.035,734,0.0,,,,,,
2020-04-02,223.505,223.505,223.505,223.505,100,0.0,,,,,,
2020-04-03,223.89,224.37,223.72,224.37,445,0.0,,,,,,
2020-04-04,223.49,224.335,223.49,224.335,710,0.0,,,,,,
2020-04-05,224.005,224.005,223.77,223.77,200,0.0,,,,,,
2020-04-06,224.29,224.29,224.29,224.29,100,0.0,,,,,,
2020-04-07,224.17,224.17,224.02,224.08,868,0.0,,,,,,
2020-04-08,224.155,224.77,224.155,224.77,206,0.0,,,,,,
2020-04-09,224.81,225.075,224.81,225.075,200,0.0,,,,,,
2020-04-10,225.165,225.165,225.165,225.165,146,0.0,,,,,,
2020-04-11,225.16,225.645,225.16,225.645,1099,0.0,,,,,,
2020-04-12,226.25,226.25,226.16,226.16,200,0.0,,,,,,
2020-04-13,225.435,225.56,225.435,225.56,238,0.0,,,,,,
2020-04-14,225.56,225.56,225.465,225.465,311,0.0,,,,,,
2020-04-15,226.2,226.2,226.2,226.2,270,0.0,58.051140290255724,,,,,
2020-04-16,224.43,224.43,224.43,224.43,123,0.0,45.94605966255735,69.28916494133875,,,,
2020-04-17,223.81,223.81,223.81,223.81,100,0.0,42.595454204485755,47.94685990338144,,,,
2020-04-18,223.325,224.18,223.325,224.18,200,0.0,45.16540256471484,24.960981047937675,47.39900196421929,,,
2020-04-19,224.11,224.11,224.11,224.11,100,0.0,44.75715688067037,22.554192988975945,31.820677980098356,,,
2020-04-20,223.89,224.025,223.87,223.87,809,0.0,43.31165590292686,24.900284900285474,24.138486312399703,,,
2020-04-21,223.57,223.57,223.03,223.17,21895,0.0,39.32260430755123,16.605970519014264,21.353482802758563,,,
2020-04-22,223.35,225.06,222.79,225.06,12304,0.0,52.139679114958966,29.52908037854011,23.67844526594662,,,
2020-04-23,228.215,229.63,228.215,229.63,1875,0.0,69.12334181516587,56.65158750104708,34.26221279953382,,,
2020-04-24,229.595,230.31,229.0,230.31,2084,0.0,70.7846284091296,88.53564547206172,58.23877111721631,,,
2020-04-25,230.24,232.87,230.24,231.45,6004,0.0,73.37131934824896,95.30423280423275,80.16382192578052,,,
2020-04-26,231.515,233.52,231.515,233.52,2501,0.0,77.30125277412932,95.30423280423275,93.04803702684244,2.218578573015833,,
2020-04-27,233.46,234.14,232.54,233.61,2890,0.0,77.45702984287696,93.74769829615649,94.78538796820736,2.5120451173381753,,
2020-04-28,234.02,234.02,230.775,231.01,1030,0.0,63.82894504135267,89.251101321586,92.76767747399178,2.505934345883162,,
2020-04-29,230.455,230.74,229.51,229.51,732,0.0,57.53910390851942,75.65345080763593,86.2174168084595,2.352930928408341,,
2020-04-30,228.34,228.34,226.61,226.61,302,0.0,47.743566075671964,55.095447870778365,73.33333333333344,1.9749033970146002,,
2020-05-01,225.665,225.665,225.665,225.665,100,0.0,45.05204259880718,39.39794419970641,56.7156142927069,1.580837343677473,,
2020-05-02,226.865,227.21,226.79,227.075,432,0.0,49.61606134936796,32.24669603524238,42.24669603524239,1.366559525892768,,
2020-05-03,227.48,228.63,227.48,228.42,1132,0.0,53.57715806073544,37.56240822320118,36.40234948604999,1.2903981640854738,,
2020-05-04,229.1,229.62,229.1,229.62,300,0.0,56.8375727137735,49.17767988252575,39.66226138032311,1.3117486850161129,1.9015484533702154,-0.5897997683541025
2020-05-05,228.82,228.88,228.82,228.88,200,0.0,54.3046982005925,54.478707782672615,47.07293196279985,1.254496259135351,1.7721380145232426,-0.5176417553878916
2020-05-06,227.6,228.12,227.6,228.12,200,0.0,51.753834578174946,47.60005024712067,50.41881263743968,1.1347173356204223,1.6446538787426785,-0.5099365431222562
2020-05-07,228.12,228.12,227.21,227.21,717,0.0,48.79810128493647,33.618009261064266,45.23225576361918,0.9553496053950994,1.5067930240731628,-0.5514434186780635
2020-05-08,227.735,228.17,227.735,228.17,522,0.0,51.917860109866034,25.585054080629423,35.601037862938114,0.880513354017495,1.3815370900620294,-0.5010237360445344
2020-05-09,229.08,229.08,228.96,228.96,403,0.0,54.38117317179596,28.888888888889028,29.363984076860902,0.8748665661402413,1.2802029852776717,-0.40533641913743046
2020-05-10,228.455,229.62,228.455,229.62,675,0.0,56.39124261484482,38.367748279252844,30.9472304162571,0.9131220278758292,1.2067867937973031,-0.29366476592147395
2020-05-11,229.52,230.45,229.52,230.21,1568,0.0,58.16580442508229,46.64809548271856,37.96824421695348,0.979753833761265,1.1613802017900956,-0.1816263680288306
2020-05-12,230.125,230.55,229.92,230.335,1201,0.0,58.55064238886834,64.36164494481845,49.792496235596616,1.0307644641984268,1.135257054271762,-0.10449259007333511
2020-05-13,230.14,230.26,230.03,230.26,929,0.0,58.20467094204862,80.16057591263358,63.72343878005686,1.053000548282256,1.1188057530738609,-0.0658052047916049
2020-05-14,230.76,230.76,230.71,230.71,304,0.0,59.741760957351794,95.03393657823968,79.85205247856389,1.0943194113304742,1.1139084847251837,-0.0195890733947095
2020-05-15,230.82,230.82,230.82,230.82,234,0.0,60.12777832300566,97.69403510040718,90.96284919709348,1.1229957922220422,1.1157259462245555,0.007269845997486701
2020-05-16,230.895,231.0,230.27,231.0,1026,0.0,60.79031499973585,99.67288191036978,97.46695119633887,1.147024343721455,1.1219856257239353,0.025038717997519555
2020-05-17,230.7,231.255,230.42,231.255,1227,0.0,61.759736668036744,100.00000000000004,99.122305670259,1.1731205097825637,1.132212602535661,0.04090790724690274
2020-05-18,229.82,230.66,229.82,230.5,2856,0.0,57.24677302583493,93.77832715286367,97.81706968774449,1.1199694090066998,1.1297639638298689,-0.009794554823169044
2020-05-19,230.34,230.38,230.34,230.38,400,0.0,56.53959610512586,86.56777915121552,93.44870210135974,1.0559909749628673,1.1150093660564686,-0.0590183910936013
2020-05-20,230.44,230.49,230.3,230.39,700,0.0,56.58772357877951,79.43963741244328,86.59524790550749,0.9946290568377947,1.0909333042127338,-0.09630424737493914
2020-05-21,230.51,230.51,230.35,230.36,800,0.0,56.385990804479476,77.18593147170098,81.06444934511994,0.9328255134994663,1.0593117460700805,-0.1264862325706142
2020-05-22,230.34,230.48,230.34,230.41,500,0.0,56.66328682709779,74.33695566382528,76.98750818265653,0.8777620477671633,1.0230018064094972,-0.14523975864233396
2020-05-23,230.44,230.45,230.34,230.45,700,0.0,56.8993758848455,71.88176406926407,74.46821706826346,0.827809052703202,0.9839632556682383,-0.15615420296503624
2020-05-24,230.44,230.44,230.4,230.4,600,0.0,56.485138980753476,63.930629888843065,70.0497832073108,0.7752497653715977,0.9422205576089102,-0.16697079223731248
2020-05-25,230.44,230.45,230.41,230.41,400,0.0,56.55326501498496,54.36181455783272,63.391402838646606,0.7260338021873167,0.8989832065245916,-0.1729494043372749
