Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,139.98,140.3,139.95,140.27,1952,0.0,,,,,,
2020-04-02,140.53,140.99,140.53,140.88,6006,0.0,,,,,,
2020-04-03,141.4,141.4,139.81,139.88,5977,0.0,,,,,,
2020-04-04,140.14,140.785,140.14,140.785,579,0.0,,,,,,
2020-04-05,140.44,140.72,140.165,140.165,1165,0.0,,,,,,
2020-04-06,140.375,141.4,140.27,141.4,1197,0.0,,,,,,
2020-04-07,141.57,141.99,141.385,141.99,1001,0.0,,,,,,
2020-04-08,142.35,142.705,142.035,142.215,2429,0.0,,,,,,
2020-04-09,142.46,143.94,142.45,143.94,1990,0.0,,,,,,
2020-04-10,143.87,144.69,143.765,144.645,2030,0.0,,,,,,
2020-04-11,144.87,145.15,144.31,144.31,985,0.0,,,,,,
2020-04-12,143.49,144.01,143.48,143.7,3406,0.0,,,,,,
2020-04-13,143.56,144.03,143.1,143.1,4079,0.0,,,,,,
2020-04-14,143.1,143.63,142.745,143.63,2985,0.0,,,,,,
2020-04-15,143.685,143.685,142.93,142.93,2516,0.0,62.80076997112605,,,,,
2020-04-16,143.225,143.225,142.78,142.88,2700,0.0,62.476983133239926,62.48439450686632,,,,
2020-04-17,142.875,142.875,142.5,142.5,895,0.0,59.94732235565285,54.34113047313611,,,,
2020-04-18,142.44,142.48,142.1,142.46,2305,0.0,59.67342723450273,50.21151315676758,55.67901271225667,,,
2020-04-19,142.55,142.685,142.25,142.25,3058,0.0,58.17075860092783,44.57255775266206,49.708400460855245,,,
2020-04-20,142.05,142.245,140.685,140.9,3479,0.0,49.53511733719007,30.47570479936745,41.75325856959902,,,
2020-04-21,140.63,140.63,139.02,139.02,1360,0.0,40.51496117070589,15.129666685024356,30.05930974568461,,,
2020-04-22,138.68,140.04,138.6,140.04,2605,0.0,46.235339754950495,8.933320795899123,18.179564093430297,,,
2020-04-23,140.2,140.545,139.915,140.34,1109,0.0,47.82457711772139,16.18320610687024,13.415397862597894,,,
2020-04-24,140.545,140.87,140.47,140.87,1263,0.0,50.602596556028935,27.735368956743045,17.61729861983746,,,
2020-04-25,140.74,140.855,140.63,140.825,1053,0.0,50.3574339541062,34.06581099255387,25.994795352055707,,,
2020-04-26,140.675,141.015,140.675,140.925,1830,0.0,50.926419631196964,39.48340901316321,33.761529654153364,-0.6645908309623962,,
2020-04-27,141.02,141.495,140.89,141.365,2249,0.0,53.45434151993059,46.056451014159045,39.86855700662536,-0.5972003502839698,,
2020-04-28,141.45,141.81,141.3,141.3,7452,0.0,53.01983168227492,50.09687974778695,45.21224659170306,-0.5427810238232667,,
2020-04-29,141.405,141.405,140.65,141.21,1385,0.0,52.38488615214891,54.63513070592743,50.26282048929113,-0.5011387478347444,,
2020-04-30,140.89,141.415,140.76,141.34,1003,0.0,53.255674382288284,57.87444827221284,54.2021529086424,-0.4524316797772201,,
2020-05-01,141.7,142.26,141.6,142.26,1635,0.0,58.973851801388996,70.04069430507627,60.85009109440551,-0.3357246415010877,,
2020-05-02,142.28,142.55,142.22,142.55,1567,0.0,60.609591038213544,83.46162564032828,70.45892273920579,-0.21732767827614907,,
2020-05-03,142.4,142.4,141.9,142.385,900,0.0,59.164207812119955,94.03803149321625,82.51345047954025,-0.1352522492164212,,
2020-05-04,142.37,142.37,142.02,142.02,730,0.0,55.98369728646577,93.03342990977585,90.17769568110678,-0.09852361107314778,-0.39388564586093366,0.2953620347877859
2020-05-05,141.975,142.245,141.965,142.23,601,0.0,57.40253477231675,91.43459915611783,92.83535351970329,-0.051872699581196,-0.32548305660498617,0.27361035702379016
2020-05-06,142.19,142.68,142.19,142.68,888,0.0,60.35184198045559,92.82700421940915,92.4316777617676,0.021165737622851566,-0.25615329775941864,0.2773190353822702
2020-05-07,142.33,142.39,141.85,141.85,1369,0.0,53.055326493636976,84.78072436374715,89.68077591309135,0.011937553237146403,-0.20253512756010564,0.21447268079725204
2020-05-08,141.89,141.89,140.95,140.99,1225,0.0,46.7486686676455,60.00147150792782,79.20306669702802,-0.06403253485120786,-0.1748346090183261,0.11080207416711824
2020-05-09,141.09,141.435,140.95,141.435,2165,0.0,50.056872462226245,39.55812175423318,61.44677254196936,-0.08732496814147339,-0.15733268084295557,0.07000771270148218
2020-05-10,141.53,142.09,141.48,142.05,1425,0.0,54.28386142735148,41.73214786335078,47.09724704183723,-0.05551904017070797,-0.13696995270850607,0.0814509125377981
2020-05-11,142.09,142.67,142.09,142.67,2169,0.0,58.13109244356729,69.04761904761877,50.11262955506754,0.0194915192385281,-0.10567765831909924,0.12516917755762735
2020-05-12,142.69,142.69,142.14,142.25,1311,0.0,54.76866323090516,82.30142631765331,64.36039774287424,0.04453407696098566,-0.07563531126308226,0.12016938822406792
2020-05-13,142.205,142.27,142.125,142.245,757,0.0,54.728078724818666,84.96058896430932,78.76987810986041,0.06324794324541472,-0.047858660361382865,0.11110660360679758
2020-05-14,142.22,142.22,141.92,141.92,518,0.0,52.02925941885571,70.37383472238287,79.21195000144847,0.05126310408655854,-0.028034307471794584,0.07929741155835313
2020-05-15,141.98,142.11,141.84,141.865,1776,0.0,51.565823621895156,61.75877950489387,72.36440106386199,0.036901613530886834,-0.0150471232712583,0.05194873680214514
2020-05-16,141.825,142.035,141.785,141.94,2389,0.0,52.1911880034973,55.07662835249073,62.40308085992246,0.031212108240481484,-0.005795276968910343,0.03700738520939183
2020-05-17,141.95,142.0,141.835,141.88,2033,0.0,51.617007141569665,54.31034482758667,57.04858422832373,0.021612500297948145,-0.00031372151553864507,0.02192622181348679
2020-05-18,141.895,142.07,141.82,141.82,2986,0.0,51.01262188840051,53.448275862069124,54.27841634738215,0.00905881885813642,0.0015607865591963678,0.0074980322989400515
2020-05-19,141.815,141.86,141.55,141.66,2790,0.0,49.35307816155797,48.08429118773963,51.94763729246512,-0.013643453709931919,-0.0014800614946292897,-0.012163392215302628
2020-05-20,141.69,141.75,141.33,141.495,1226,0.0,47.63216092671305,40.70881226053677,47.413793103448484,-0.04443704670529769,-0.010071458536762971,-0.034365588168534716
2020-05-21,141.485,141.81,141.485,141.77,1508,0.0,50.71662431386621,39.750957854406835,42.84802043422772,-0.04611935407541523,-0.017281037644493423,-0.028838316430921808
2020-05-22,141.95,142.09,141.85,141.925,1431,0.0,52.41777732756565,44.82758620689751,41.762452107280346,-0.034547152110974366,-0.020734260537789612,-0.013812891573184754
2020-05-23,142.09,142.34,141.79,142.24,1419,0.0,55.759901315613284,56.69089474870494,47.08981293666974,4.12927570323518e-05,-0.016579149878825222,0.016620442635857574
