Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,7.2,7.23,7.15,7.18,2717,0.0,,,,,,
2020-04-02,7.17,7.34,7.16,7.31,11555,0.0,,,,,,
2020-04-03,7.38,7.6,7.28,7.28,25414,0.0,,,,,,
2020-04-04,7.29,7.37,7.29,7.325,7108,0.0,,,,,,
2020-04-05,7.34,7.34,7.2,7.23,1138,0.0,,,,,,
2020-04-06,7.28,7.28,7.28,7.28,430,0.0,,,,,,
2020-04-07,7.3,7.3,7.3,7.3,100,0.0,,,,,,
2020-04-08,7.29,7.33,7.29,7.29,1100,0.0,,,,,,
2020-04-09,7.28,7.305,7.28,7.305,400,0.0,,,,,,
2020-04-10,7.31,7.335,7.31,7.31,1201,0.0,,,,,,
2020-04-11,7.32,7.34,7.32,7.32,700,0.0,,,,,,
2020-04-12,7.34,7.41,7.34,7.41,950,0.0,,,,,,
2020-04-13,7.405,7.42,7.36,7.36,1479,0.0,,,,,,
2020-04-14,7.26,7.265,7.24,7.24,1554,0.0,,,,,,
2020-04-15,7.22,7.25,7.21,7.21,2136,0.0,52.14285714285716,,,,,
2020-04-16,7.235,7.235,7.175,7.175,1231,0.0,49.478623566214814,10.454545454545446,,,,
2020-04-17,7.135,7.17,7.1,7.17,3005,0.0,49.09271786709114,11.07954545454547,,,,
2020-04-18,7.21,7.215,7.19,7.19,500,0.0,50.74748420036373,16.66666666666676,12.733585858585892,,,
2020-04-19,7.19,7.28,7.19,7.28,2300,0.0,57.45020906700973,35.416666666666806,21.05429292929301,,,
2020-04-20,7.27,7.32,7.26,7.29,4271,0.0,58.131994040388136,47.91666666666682,33.333333333333464,,,
2020-04-21,7.29,7.32,7.29,7.31,600,0.0,59.528721270747,60.416666666666735,47.91666666666678,,,
2020-04-22,7.3,7.3,7.275,7.29,873,0.0,57.46423666747441,61.45833333333338,56.59722222222231,,,
2020-04-23,7.28,7.34,7.28,7.34,2273,0.0,61.096661673873605,66.66666666666669,62.84722222222226,,,
2020-04-24,7.215,7.215,7.165,7.165,500,0.0,46.21949186360937,51.56250000000008,59.89583333333337,,,
2020-04-25,7.115,7.14,7.01,7.03,2275,0.0,38.442749908206586,33.39684959349602,50.54200542005426,,,
2020-04-26,7.08,7.1,7.05,7.1,2676,0.0,43.72964988808291,15.713922764227718,33.557757452574606,-0.051398685223062124,,
2020-04-27,7.06,7.09,7.02,7.08,7575,0.0,42.60378390925645,16.013796501601448,21.708189619775066,-0.057635398563717466,,
2020-04-28,7.09,7.15,7.09,7.14,2792,0.0,47.01135614264419,27.51909337275193,19.748937546193698,-0.057078573989430836,,
2020-04-29,7.14,7.14,7.12,7.13,2241,0.0,46.372199502592586,32.32323232323237,25.285374065861916,-0.05678956813790137,,
2020-04-30,7.125,7.18,7.125,7.18,500,0.0,50.03038102014258,42.42424242424243,34.08885604007558,-0.05192736049766733,,
2020-05-01,7.12,7.145,7.08,7.13,229232,0.0,46.606589782426,41.41414141414145,38.72053872053875,-0.05151477775392088,,
2020-05-02,7.12,7.17,7.09,7.1,70675,0.0,44.632962615400444,38.38383838383839,40.740740740740755,-0.052997628564332544,,
2020-05-03,7.1,7.185,7.03,7.18,5479,0.0,50.63612939230407,38.383838383838395,39.393939393939405,-0.04717367830394892,,
2020-05-04,7.17,7.19,7.13,7.19,4960,0.0,51.34626292962794,44.444444444444514,40.40404040404042,-0.041275441737506746,-0.05197679030794314,0.010701348570436392
2020-05-05,7.21,7.21,7.19,7.2,500,0.0,52.08852125378689,54.54545454545467,45.79124579124585,-0.0353862200203503,-0.048658676250424575,0.013272456230074274
2020-05-06,7.21,7.23,7.21,7.23,475,0.0,54.339075628530686,59.59595959595978,52.86195286195298,-0.02797573326166347,-0.04452208765267236,0.01654635439100889
2020-05-07,7.21,7.21,7.21,7.21,100,0.0,52.566311861927865,71.71717171717178,61.952861952862065,-0.023446426162844425,-0.04030695535470678,0.01686052919186236
2020-05-08,7.11,7.17,7.08,7.17,1540,0.0,49.11512441656899,76.76767676767675,69.36026936026941,-0.022821511186130294,-0.03680986652099148,0.013988355334861188
2020-05-09,7.16,7.16,7.16,7.16,100,0.0,48.26204115961347,76.76767676767669,75.08417508417504,-0.022869552031313134,-0.03402180362305581,0.011152251591742678
2020-05-10,7.16,7.16,7.16,7.16,306,0.0,48.26204115961347,68.68686868686869,74.07407407407402,-0.02264656919456076,-0.0317467567373568,0.00910018754279604
2020-05-11,7.15,7.15,7.15,7.15,100,0.0,47.30904808167262,64.4444444444445,69.96632996632995,-0.023011507778933904,-0.029999706945672222,0.006988199166738318
2020-05-12,7.17,7.17,7.17,7.17,176,0.0,49.45859082809077,65.55555555555553,66.22895622895624,-0.021439747321917224,-0.028287715020921225,0.0068479676990040005
