Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,1441.06,1441.73,1435.02,1435.02,865,0.0,,,,,,
2020-04-02,1427.98,1427.98,1416.06,1416.46,976,0.0,,,,,,
2020-04-03,1416.13,1429.87,1416.13,1416.25,1129,0.0,,,,,,
2020-04-04,1415.1,1434.0,1376.73,1403.245,76479,0.0,,,,,,
2020-04-05,1400.28,1412.37,1367.12,1410.99,50325,0.0,,,,,,
2020-04-06,1410.04,1423.0,1403.76,1409.33,45770,0.0,,,,,,
2020-04-07,1408.7,1444.76,1408.7,1444.38,37239,0.0,,,,,,
2020-04-08,1446.31,1446.67,1416.49,1431.81,21597,0.0,,,,,,
2020-04-09,1435.11,1457.98,1427.21,1457.94,14720,0.0,,,,,,
2020-04-10,1454.42,1464.89,1444.06,1447.93,21034,0.0,,,,,,
2020-04-11,1450.51,1452.38,1438.03,1444.13,14135,0.0,,,,,,
2020-04-12,1442.67,1444.23,1426.92,1435.94,13007,0.0,,,,,,
2020-04-13,1437.98,1438.54,1427.08,1437.44,7451,0.0,,,,,,
2020-04-14,1437.395,1437.395,1419.25,1419.41,10536,0.0,,,,,,
2020-04-15,1421.06,1434.98,1419.64,1433.13,9561,0.0,49.444705605829164,,,,,
2020-04-16,1433.21,1436.28,1424.55,1424.55,8743,0.0,46.898339092631815,59.912720330026296,,,,
2020-04-17,1424.4,1429.77,1422.01,1426.0,6703,0.0,47.39142552255788,62.15948995942859,,,,
2020-04-18,1424.77,1431.96,1412.0,1412.0,13600,0.0,43.21859885416416,54.95550782448603,59.00923937131364,,,
2020-04-19,1408.5,1419.24,1404.01,1419.24,6541,0.0,45.87284378799352,43.81656855506342,53.64385544632601,,,
2020-04-20,1418.68,1434.53,1418.5,1430.8,8936,0.0,49.89981197828897,38.41044419828928,45.72750685927957,,,
2020-04-21,1431.26,1441.95,1431.26,1432.76,8007,0.0,50.57127990713665,38.85057615807525,40.35919630380931,,,
2020-04-22,1433.96,1451.17,1433.77,1445.03,11311,0.0,54.66737440060479,52.869031975470755,43.37668411061176,,,
2020-04-23,1446.0,1447.65,1439.02,1447.65,10225,0.0,55.51507957079763,62.094831362242594,51.27147983192953,,,
2020-04-24,1448.76,1448.76,1436.99,1438.34,5528,0.0,51.80774547822006,70.01139694559488,61.65842009443608,,,
2020-04-25,1438.84,1438.84,1425.905,1432.21,8156,0.0,49.46541642736201,67.484059695715,66.53009600118416,,,
2020-04-26,1433.69,1441.34,1430.98,1437.72,8278,0.0,51.58433805123137,67.41674985645983,68.3040688325899,3.478940498551765,,
2020-04-27,1435.18,1435.18,1422.75,1422.75,12200,0.0,45.947414268664,57.00452360757699,63.96844438658394,2.335594842189039,,
2020-04-28,1424.21,1429.43,1417.64,1422.33,13807,0.0,45.79620931968377,50.02120441051727,58.14749262485136,1.3796904693442684,,
2020-04-29,1422.075,1424.99,1414.92,1415.34,37533,0.0,43.245514129467324,34.20271416454606,47.07614739421343,0.057432735983411476,,
2020-04-30,1419.73,1419.79,1419.73,1419.79,200,0.0,45.33299188390512,32.11054566016379,38.77815474507569,-0.6241929267464457,,
2020-05-01,1417.0,1417.02,1416.9,1417.02,400,0.0,44.242148718436965,28.357364998586224,31.55687494109868,-1.372085478153167,,
2020-05-02,1416.96,1417.08,1416.9,1416.9,600,0.0,44.19253714186817,29.459994345490504,29.975968334746824,-1.9519775286494223,,
2020-05-03,1416.9,1417.06,1416.9,1417.03,900,0.0,44.26545234456671,20.246704298402033,26.021354547492905,-2.3736937787118677,,
2020-05-04,1416.94,1417.07,1416.94,1417.07,500,0.0,44.289571585129465,13.028069764947707,20.9115894696134,-2.6738567235902337,-0.1937942099758503,-2.4800625136143832
2020-05-05,1417.08,1417.08,1417.0,1417.01,400,0.0,44.25863210030675,5.839080459769801,13.0379515077065,-2.8833421450922287,-0.731703796999126,-2.151638348093103
