Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,37.58,38.99,37.55,38.06,236077,0.0,,,,,,
2020-04-02,38.125,39.21,38.125,39.13,268181,0.0,,,,,,
2020-04-03,39.12,39.62,38.74,39.01,163632,0.0,,,,,,
2020-04-04,38.97,39.165,38.54,38.59,93526,0.0,,,,,,
2020-04-05,38.6,39.29,38.45,39.24,129861,0.0,,,,,,
2020-04-06,39.27,39.51,39.11,39.13,147382,0.0,,,,,,
2020-04-07,39.17,39.35,38.89,39.28,80199,0.0,,,,,,
2020-04-08,39.29,39.58,39.25,39.41,48373,0.0,,,,,,
2020-04-09,39.46,39.83,39.25,39.76,82374,0.0,,,,,,
2020-04-10,39.78,40.23,39.67,40.175,95894,0.0,,,,,,
2020-04-11,40.19,40.25,39.73,39.75,125624,0.0,,,,,,
2020-04-12,39.75,39.88,39.36,39.36,74943,0.0,,,,,,
2020-04-13,39.36,39.56,39.19,39.47,61053,0.0,,,,,,
2020-04-14,39.46,39.47,39.07,39.28,40248,0.0,,,,,,
2020-04-15,39.255,39.29,38.87,39.065,77761,0.0,60.59009483667015,,,,,
2020-04-16,39.065,39.18,38.8,38.93,62490,0.0,58.78883208808494,44.992011619462545,,,,
2020-04-17,38.91,39.09,38.61,38.695,36436,0.0,55.68544528299724,28.171023965141497,,,,
2020-04-18,38.675,38.82,38.52,38.53,66091,0.0,53.54804689669088,14.907407407407298,29.35681433067045,,,
2020-04-19,38.575,38.575,38.1,38.185,83742,0.0,49.28808640137328,7.3363479758828065,16.804926449477204,,,
2020-04-20,38.195,38.69,37.86,38.62,87085,0.0,54.23208059335011,13.399031998817884,11.880929127369333,,,
2020-04-21,38.605,38.695,38.14,38.47,47050,0.0,52.33727042182281,20.425221368103507,13.720200447601401,,,
2020-04-22,38.5,38.66,38.26,38.505,71338,0.0,52.75208457138788,28.103207810320782,20.642487059080725,,,
2020-04-23,38.505,38.625,38.239000000000004,38.415,39730,0.0,51.510630474956585,25.244072524407283,24.590833900943853,,,
2020-04-24,38.41,38.565,38.35,38.53,47482,0.0,53.03165532176902,26.080892608089318,26.47605764760579,,,
2020-04-25,38.54,38.635,38.41,38.5,142510,0.0,52.56839766247986,27.646132814118243,26.323699315538278,,,
2020-04-26,38.5,38.56,38.24,38.44,158939,0.0,51.59759367308374,31.278096059667458,28.335040493958335,-0.32835762908115385,,
2020-04-27,38.49,38.54,37.24,37.845,62480,0.0,43.097735764633846,30.976953406234752,29.967060760006817,-0.3654676322336954,,
2020-04-28,37.86,37.86,37.33,37.615,65464,0.0,40.33189961383885,26.513458276233962,29.589502580712054,-0.408725126074188,,
2020-04-29,37.59,38.085,37.545,37.6,75012,0.0,40.15092583072842,21.326476266935448,26.272295983134715,-0.4391550699540687,,
2020-04-30,37.62,38.02,37.62,37.89,36137,0.0,45.26453165772781,23.99483969763071,23.944924746933367,-0.43485767476076376,,
2020-05-01,37.91,37.925,37.505,37.7,25333,0.0,42.690905485103116,27.601920072231945,24.30774534559936,-0.4416918218342616,,
