Date,Open,High,Low,Close,Volume,OpenInterest,rsi,stoc k,stoc d,macd,signal,histogram
2020-04-01,19.4,19.435,19.31,19.38,11259,0.0,,,,,,
2020-04-02,19.375,19.38,19.315,19.375,13665,0.0,,,,,,
2020-04-03,19.38,19.41,19.335,19.4,11187,0.0,,,,,,
2020-04-04,19.405,19.42,19.31,19.405,11853,0.0,,,,,,
2020-04-05,19.405,19.45,19.39,19.41,8608,0.0,,,,,,
2020-04-06,19.42,19.425,19.39,19.415,5226,0.0,,,,,,
2020-04-07,19.415,19.485,19.405,19.485,6611,0.0,,,,,,
2020-04-08,19.475,19.57,19.475,19.565,12660,0.0,,,,,,
2020-04-09,19.565,19.565,19.455,19.48,10016,0.0,,,,,,
2020-04-10,19.475,19.5,19.44,19.445,11657,0.0,,,,,,
2020-04-11,19.44,19.45,19.415,19.445,12638,0.0,,,,,,
2020-04-12,19.46,19.465,19.39,19.395,10421,0.0,,,,,,
2020-04-13,19.39,19.395,19.315,19.315,8204,0.0,,,,,,
2020-04-14,19.315,19.34,19.275,19.34,7375,0.0,,,,,,
2020-04-15,19.34,19.34,19.265,19.295,5739,0.0,41.7475728155342,,,,,
2020-04-16,19.295,19.33,19.215,19.225,11438,0.0,36.41693811074932,11.562288429102358,,,,
2020-04-17,19.225,19.345,19.2,19.34,15276,0.0,48.13391652699998,16.8302682733533,,,,
2020-04-18,19.36,19.4,19.33,19.36,13395,0.0,49.86428365172723,27.965994163177395,18.786183621877683,,,
2020-04-19,19.345,19.345,19.29,19.345,6122,0.0,48.555877567032105,40.09009009009,28.2954508422069,,,
2020-04-20,19.34,19.36,19.27,19.29,9569,0.0,43.99724520297667,35.58558558558544,34.54722327961762,,,
2020-04-21,19.27,19.29,19.2,19.21,6967,0.0,38.35641811995824,22.072072072072093,32.58258258258251,,,
2020-04-22,19.225,19.335,19.225,19.3,9891,0.0,46.64416417420181,18.141429100333387,25.26636225266364,,,
2020-04-23,19.3,19.31,19.17,19.195,13928,0.0,39.903654798590416,12.558573517477711,17.590691563294396,,,
2020-04-24,19.195,19.2,19.07,19.135,18903,0.0,36.64487316913708,17.14290468408733,15.947635767299479,,,
2020-04-25,19.13,19.24,19.12,19.17,79147,0.0,39.73657682474371,16.449303158164025,15.38359378657636,,,
2020-04-26,19.19,19.42,19.13,19.405,11898,0.0,55.45474805877867,45.828812537673485,26.47367345997495,-0.06866016707859401,,
2020-04-27,19.405,19.48,19.17,19.25,29366,0.0,46.78673635325656,54.97772681162621,39.08528083582125,-0.06615097635118872,,
2020-04-28,19.255,19.47,19.255,19.435,23267,0.0,55.68928275664185,76.21370499419258,59.00674811449744,-0.04867339414195371,,
2020-04-29,19.43,19.46,19.35,19.355,16599,0.0,51.66409520991438,67.4796747967478,66.22370220085556,-0.04080721555475009,,
2020-04-30,19.37,19.42,19.36,19.4,16370,0.0,53.69168763535286,79.67479674796719,74.45605884630254,-0.030589472039935117,,
2020-05-01,19.405,19.405,19.25,19.31,21435,0.0,49.242642261414225,69.51219512195092,72.22222222222199,-0.029415006641830388,,
2020-05-02,19.33,19.33,19.185,19.185,6020,0.0,43.812513408308924,55.691056910568676,68.29268292682895,-0.03813113766449305,,
2020-05-03,19.195,19.215,19.055,19.06,6495,0.0,39.161833140534874,29.253945480630914,51.48573250438352,-0.054496982338495314,,
2020-05-04,19.06,19.17,19.06,19.12,9814,0.0,42.32644849803602,14.839789574366193,33.26159732185528,-0.061911852298596415,-0.04875957823442631,-0.013152274064170105
