Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,263.765,263.765,263.765,263.765,131,0.0,,,,,,,
2020-04-01,263.965,263.965,263.88,263.895,569,0.0,,,,,,,
2020-04-02,263.87,263.87,263.87,263.87,139,0.0,,,,,,,
2020-04-03,263.5,263.52,263.5,263.52,302,0.0,,,,,,,
2020-04-04,263.365,263.365,263.365,263.365,179,0.0,,263.683,,,,,
2020-04-05,263.48,263.5,263.48,263.5,200,0.0,,263.63,,,,,
2020-04-06,263.49,263.49,263.49,263.49,126,0.0,,263.54900000000004,,,,,
2020-04-07,263.5,263.5,263.43,263.485,858,0.0,,263.47200000000004,,,,,
2020-04-08,263.52,263.55,263.51,263.51,604,0.0,,263.47,,,,,
2020-04-09,263.5,263.53,263.5,263.53,217,0.0,,263.50300000000004,,,,,
2020-04-10,263.375,263.375,263.375,263.375,108,0.0,,263.478,,,,,
2020-04-11,263.42,263.42,263.415,263.415,369,0.0,,263.463,,,,,
2020-04-12,263.52,263.54,263.52,263.54,218,0.0,,263.474,,,,,
2020-04-13,263.805,263.805,263.805,263.805,110,0.0,,263.533,,,,,
2020-04-14,263.77,263.77,263.77,263.77,111,0.0,,263.581,,50.16949152542358,,,
2020-04-15,263.81,263.81,263.81,263.81,150,0.0,,263.668,,51.58348112490564,,,
2020-04-16,263.8,263.8,263.755,263.755,200,0.0,,263.736,,49.50343202349141,,,
2020-04-17,263.855,263.855,263.855,263.855,474,0.0,,263.799,,53.1986756468101,,,
2020-04-18,264.0,264.0,263.695,263.695,417,0.0,,263.77699999999993,,47.24187572726229,,,
2020-04-19,264.185,264.185,264.185,264.185,104,0.0,,263.85999999999996,,61.47058218075743,,,
2020-04-20,264.23,264.23,264.23,264.23,115,0.0,,263.94399999999996,,62.471589741893624,,,
2020-04-21,264.22,264.305,264.205,264.21,1174,0.0,,264.03499999999997,,61.704294565606034,,,
2020-04-22,263.89,263.89,263.595,263.595,426,0.0,,263.98299999999995,,43.863534936364324,,,
2020-04-23,263.48,263.58,263.48,263.48,689,0.0,,263.93999999999994,,41.450124441143146,,,
2020-04-24,263.54,263.54,263.54,263.54,159,0.0,,263.811,,43.20589954808248,,,
2020-04-25,263.54,263.54,263.54,263.54,121,0.0,,263.67299999999994,,43.205899548082485,0.04026341945245804,,
2020-04-26,263.88,263.88,263.88,263.88,148,0.0,,263.60699999999997,,52.55608929498001,0.049870055337692065,,
2020-04-27,263.85,263.945,263.85,263.945,202,0.0,,263.67699999999996,,54.111483026557096,0.06201348738068191,,
2020-04-28,264.255,264.395,264.255,264.395,570,0.0,,263.85999999999996,,63.12469068338051,0.1067183018031983,,
2020-04-29,264.44,264.495,264.34,264.41,1507,0.0,,264.034,,63.38287096706921,0.14172385952110744,,
2020-04-30,264.85,264.85,264.815,264.815,708,0.0,,264.289,,69.57649803874534,0.19984247186960147,,
2020-05-01,264.79,264.8,264.65,264.67,696,0.0,,264.447,,65.31675847362735,0.23153263856011108,,
2020-05-02,265.015,265.015,265.015,265.015,102,0.0,,264.661,,70.01991205264798,0.2812439356702612,,
2020-05-03,264.6,264.6,264.56,264.57,726,0.0,,264.696,,58.921327335797955,0.2814878985266773,0.15496622979130986,0.12652166873536747
2020-05-04,264.43,264.815,264.43,264.815,801,0.0,,264.777,,62.450262672609455,0.29801535776141463,0.1835760553853308,0.11443930237608382
2020-05-05,264.64,264.7,264.64,264.7,505,0.0,,264.754,,59.85120087176817,0.2983942462472555,0.20653969355771576,0.09185455268953976
2020-05-06,264.73,264.73,264.7,264.7,379,0.0,,264.76,,59.85120087176817,0.29529059196977414,0.22428987324012745,0.0710007187296467
2020-05-07,264.67,264.67,264.63,264.63,769,0.0,,264.683,,58.14296025927875,0.28390977346788304,0.23621385328567857,0.047695920182204476
2020-05-08,264.48,264.5,264.41,264.5,409,0.0,,264.669,,55.00321615127164,0.2613873683911834,0.24124855630677955,0.020138812084403823
2020-05-09,264.31,264.37,264.28,264.34,1082,0.0,,264.57399999999996,,51.329343184466,0.22799930323549233,0.23859870569252212,-0.010599402457029783
2020-05-10,264.4,264.52,264.34,264.465,1654,0.0,,264.52699999999993,,53.918946058026016,0.20921379004244045,0.23272172256250578,-0.023507932520065333
2020-05-11,264.43,264.44,264.43,264.44,455,0.0,,264.47499999999997,,53.30804149736475,0.19011729064567362,0.22420083617913938,-0.034083545533465764
2020-05-12,264.42,264.42,263.915,264.04,2684,0.0,,264.35699999999997,,44.60082184679786,0.14108023509953682,0.2075767159632189,-0.06649648086368207
2020-05-13,263.77,263.85,263.77,263.85,300,0.0,,264.227,,41.161621024969335,0.08589644246256967,0.18324066126308905,-0.09734421880051938
2020-05-14,263.71,263.71,263.71,263.71,209,0.0,,264.101,,38.78820703686974,0.03051430928587706,0.15269539086764664,-0.12218108158176957
2020-05-15,265.14,265.14,265.14,265.14,100,0.0,,264.236,,62.544856122059315,0.10085008176241672,0.14232632904660064,-0.04147624728418392
2020-05-16,264.475,264.475,264.475,264.475,301,0.0,,264.24300000000005,,52.36657300864674,0.1017587344803701,0.13421281013335454,-0.03245407565298444
2020-05-17,265.345,265.345,265.345,265.345,200,0.0,,264.504,,61.25093835853683,0.17071270758441415,0.14151278962356648,0.02919991796084767
2020-05-18,266.13,266.13,266.13,266.13,100,0.0,,264.96000000000004,,67.19623305879199,0.2854121143458883,0.17029265456803086,0.11511945977785745
2020-05-19,266.25,266.32,266.145,266.145,500,0.0,,265.447,,67.2994790395671,0.3732203434114467,0.21087819233671404,0.16234215107473268
2020-05-20,266.09,266.09,266.09,266.09,205,0.0,,265.637,,66.47334017741338,0.43337527680000676,0.2553776092293726,0.17799766757063418
2020-05-21,265.7,265.7,265.54,265.54,433,0.0,,265.85,,58.71174446102628,0.4316918168987627,0.2906404507632506,0.14105136613551206
2020-05-22,265.5,265.5,265.5,265.5,127,0.0,,265.881,,58.17968901077778,0.42226241877784787,0.3169648443661701,0.10529757441167775
2020-05-23,264.59,264.59,264.59,264.59,132,0.0,,265.573,,47.609323464927705,0.337470013768268,0.3210658782465897,0.016404135521678298
2020-05-24,264.24,264.24,264.23,264.23,333,0.0,,265.18999999999994,,44.18891669338361,0.23847345697993205,0.3045473939932582,-0.06607393701332614
2020-05-25,263.6,263.6,263.6,263.6,120,0.0,,264.69199999999995,,38.919359057601525,0.10793799559900208,0.265225514314407,-0.15728751871540492
2020-05-26,264.775,264.775,264.775,264.775,100,0.0,,264.53899999999993,,50.722365774073346,0.09816875382648504,0.2318141622168226,-0.13364540839033756
2020-05-27,264.63,264.715,264.63,264.715,205,0.0,,264.38199999999995,,50.18903580525337,0.08460973245109926,0.20237327626367796,-0.1177635438125787
2020-05-28,264.37,264.37,264.37,264.37,307,0.0,,264.33799999999997,,47.120979508874875,0.04550098655926149,0.17099881832279468,-0.12549783176353319
2020-05-29,264.825,265.08,264.825,265.08,201,0.0,,264.5079999999999,,53.43029053928579,0.0709798781077211,0.15099503027977998,-0.08001515217205887
2020-05-30,265.28,265.65,265.02,265.65,1366,0.0,,264.91799999999995,,57.78506666772647,0.13560317059602767,0.14791665834302953,-0.012313487747001861
2020-05-31,265.75,265.75,265.75,265.75,113,0.0,,265.11299999999994,,58.5179458522223,0.19266582800889864,0.15686649227620336,0.03579933573269528
2020-06-01,266.145,266.145,266.145,266.145,239,0.0,,265.39899999999994,,61.37070337056802,0.2666873877709577,0.17883067137515424,0.08785671639580345
2020-06-02,266.2,266.255,266.2,266.255,300,0.0,,265.77599999999995,,62.151316154494964,0.3304172435643977,0.20914798581300295,0.12126925775139477
2020-06-03,266.85,266.85,266.85,266.85,259,0.0,,266.12999999999994,,66.13741390824123,0.42404699105424015,0.2521277868612504,0.17191920419298973
2020-06-04,266.965,267.14,266.965,267.075,400,0.0,,266.41499999999996,,67.5300234724992,0.5105199044317033,0.303806210375341,0.20671369405636225
2020-06-05,267.31,267.32,267.31,267.32,205,0.0,,266.7289999999999,,69.02386565975345,0.5919956068848933,0.3614440896772515,0.23055151720764178
2020-06-06,267.18,267.335,267.18,267.325,705,0.0,,266.965,,69.05515523424236,0.6494823184150391,0.41905173542480906,0.23043058299023006
