Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,294.91,294.91,294.715,294.715,400,0.0,,,,,,,
2020-04-01,294.53,294.53,294.53,294.53,100,0.0,,,,,,,
2020-04-02,294.29,294.29,294.29,294.29,100,0.0,,,,,,,
2020-04-03,294.22,294.22,294.22,294.22,195,0.0,,,,,,,
2020-04-04,294.14,294.14,294.14,294.14,100,0.0,,294.379,,,,,
2020-04-05,294.27,294.49,294.27,294.49,601,0.0,,294.334,,,,,
2020-04-06,294.64,294.64,294.64,294.64,252,0.0,,294.356,,,,,
2020-04-07,294.59,294.59,294.59,294.59,200,0.0,,294.416,,,,,
2020-04-08,294.66,295.06,294.66,295.06,1184,0.0,,294.58399999999995,,,,,
2020-04-09,295.065,295.065,295.065,295.065,209,0.0,,294.76899999999995,,,,,
2020-04-10,295.045,295.045,295.045,295.045,204,0.0,,294.88,,,,,
2020-04-11,295.18,295.345,295.18,295.32,605,0.0,,295.01599999999996,,,,,
2020-04-12,295.335,295.4,295.335,295.37,730,0.0,,295.17199999999997,,,,,
2020-04-13,295.355,295.425,295.355,295.42,721,0.0,,295.244,,,,,
2020-04-14,295.485,295.485,295.485,295.485,369,0.0,,295.328,,68.68932038835044,,,
2020-04-15,295.38,295.5,295.38,295.5,1000,0.0,,295.419,,68.93293812523225,,,
2020-04-16,295.56,295.655,295.5,295.64,1163,0.0,,295.48299999999995,,71.18632867225337,,,
2020-04-17,295.78,295.78,295.78,295.78,400,0.0,,295.56499999999994,,73.27396792646083,,,
2020-04-18,295.665,295.795,295.665,295.775,1500,0.0,,295.63599999999997,,73.07034593908801,,,
2020-04-19,295.79,295.835,295.72,295.72,1504,0.0,,295.683,,70.74157353464773,,,
2020-04-20,295.98,295.98,295.98,295.98,200,0.0,,295.779,,74.8260191845088,,,
2020-04-21,295.875,295.875,295.875,295.875,356,0.0,,295.826,,70.54312369730651,,,
2020-04-22,295.22,295.22,295.215,295.215,600,0.0,,295.713,,50.843445584629826,,,
2020-04-23,295.54,295.56,295.54,295.56,823,0.0,,295.66999999999996,,57.52128082423678,,,
2020-04-24,295.59,295.68,295.59,295.68,687,0.0,,295.662,,59.578197846437305,,,
2020-04-25,295.1,295.1,294.94,294.94,300,0.0,,295.454,,45.08125280494222,0.28118920122034297,,
2020-04-26,294.84,294.84,294.84,294.84,119,0.0,,295.24699999999996,,43.539463025553694,0.2127550966276317,,
2020-04-27,294.9,295.08,294.9,295.08,359,0.0,,295.21999999999997,,48.1249322967639,0.1758593725549531,,
2020-04-28,295.04,295.04,295.04,295.04,300,0.0,,295.116,,47.43348787623172,0.1417574876255685,,
2020-04-29,294.82,294.9,294.82,294.9,200,0.0,,294.96,,44.99668503367509,0.10225592550000329,,
2020-04-30,294.63,294.64,294.63,294.64,214,0.0,,294.9,,40.804211603009044,0.049401357732051565,,
2020-05-01,294.61,294.61,294.58,294.58,400,0.0,,294.848,,39.88075652658978,0.002641780617807399,,
2020-05-02,294.535,294.535,294.535,294.535,101,0.0,,294.73900000000003,,39.164855059538255,-0.03761306504856066,,
2020-05-03,294.425,294.425,294.425,294.425,103,0.0,,294.61600000000004,,37.39760304076246,-0.07749805165269663,0.09452767835301125,-0.17202573000570787
2020-05-04,294.56,294.56,294.56,294.56,109,0.0,,294.54800000000006,,40.92099456338968,-0.09709457333224236,0.05620322801596053,-0.1532978013482029
2020-05-05,294.5,294.51,294.5,294.51,314,0.0,,294.52200000000005,,40.022541232833746,-0.11533008663292321,0.02189656508618379,-0.137226651719107
2020-05-06,294.67,295.16,294.67,295.16,750,0.0,,294.63800000000003,,54.12397219309686,-0.07645101486991734,0.002227049094963563,-0.0786780639648809
2020-05-07,295.115,295.175,294.86,294.86,1200,0.0,,294.70300000000003,,48.46081729772429,-0.06905059095447541,-0.012028478914924232,-0.05702211203955118
2020-05-08,294.73,294.73,294.52,294.6,401,0.0,,294.73800000000006,,44.14930683735897,-0.0832063774486187,-0.026264058621663127,-0.056942318826955565
2020-05-09,294.735,294.92,294.735,294.92,408,0.0,,294.81000000000006,,50.0406801214651,-0.0678218070100911,-0.03457560829934872,-0.033246198710742386
2020-05-10,294.81,294.825,294.81,294.825,300,0.0,,294.8730000000001,,48.40813703112622,-0.06257381812514495,-0.04017525026450797,-0.022398567860636986
2020-05-11,294.69,294.69,294.69,294.69,100,0.0,,294.7790000000001,,46.10618896237392,-0.0685182847466308,-0.04584385716093253,-0.022674427585698265
2020-05-12,294.72,294.72,294.67,294.67,200,0.0,,294.7410000000001,,45.759024850233544,-0.07399023683188943,-0.05147313309512391,-0.02251710373676552
2020-05-13,294.89,294.89,294.89,294.89,251,0.0,,294.7990000000001,,50.200976184926965,-0.059884327647012014,-0.053155372005501536,-0.006728955641510478
2020-05-14,294.9,294.9,294.81,294.81,300,0.0,,294.77700000000004,,48.64105977895306,-0.05453201329822832,-0.0534307002640469,-0.0011013130341814212
