Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,80.86,80.86,80.86,80.86,100,0.0,,,,,,,
2020-03-31,80.86,80.89,80.86,80.86,1211,0.0,,,,,,,
2020-04-01,80.86,80.86,80.86,80.86,100,0.0,,,,,,,
2020-04-02,80.76,80.76,80.76,80.76,255,0.0,,,,,,,
2020-04-03,80.725,80.75,80.685,80.75,769,0.0,,80.818,,,,,
2020-04-04,80.745,80.77,80.71,80.755,550,0.0,,80.797,,,,,
2020-04-05,80.7,80.7,80.7,80.7,215,0.0,,80.76499999999999,,,,,
2020-04-06,80.74,80.77,80.74,80.77,210,0.0,,80.74699999999999,,,,,
2020-04-07,80.745,80.745,80.745,80.745,155,0.0,,80.74399999999999,,,,,
2020-04-08,80.79,80.805,80.77,80.77,541,0.0,,80.74799999999998,,,,,
2020-04-09,80.78,80.8,80.78,80.8,421,0.0,,80.75699999999998,,,,,
2020-04-10,80.765,80.765,80.765,80.765,122,0.0,,80.76999999999998,,,,,
2020-04-11,80.77,80.82,80.77,80.82,404,0.0,,80.77999999999999,,,,,
2020-04-12,80.86,80.86,80.86,80.86,100,0.0,,80.80299999999998,,,,,
2020-04-13,80.9,80.92,80.9,80.92,300,0.0,,80.833,,55.882352941177125,,,
2020-04-14,80.91,80.91,80.91,80.91,300,0.0,,80.85499999999999,,54.72673559822746,,,
2020-04-15,80.9,80.9,80.9,80.9,200,0.0,,80.88199999999999,,53.53451150383558,,,
2020-04-16,80.94,80.94,80.93,80.93,450,0.0,,80.904,,56.58982530972303,,,
2020-04-17,80.91,80.92,80.91,80.92,200,0.0,,80.916,,55.284871767937204,,,
2020-04-18,80.87,80.87,80.87,80.87,499,0.0,,80.90599999999999,,49.178457205442996,,,
2020-04-19,80.895,80.895,80.85,80.87,400,0.0,,80.898,,49.178457205442996,,,
2020-04-20,80.95,80.95,80.915,80.915,300,0.0,,80.901,,54.43199509727126,,,
2020-04-21,80.94,80.94,80.94,80.94,253,0.0,,80.90299999999999,,57.08607757187509,,,
2020-04-22,80.88,80.89,80.88,80.89,211,0.0,,80.89699999999999,,50.722911563949644,,,
2020-04-23,80.99,80.99,80.99,80.99,100,0.0,,80.92099999999999,,60.26300717586087,,,
2020-04-24,81.01,81.01,80.93,80.93,350,0.0,,80.93299999999999,,53.562544097156184,0.05740701442799434,,
2020-04-25,80.93,80.93,80.93,80.93,100,0.0,,80.93599999999999,,53.56254409715618,0.05507965871279907,,
2020-04-26,80.925,80.925,80.925,80.925,189,0.0,,80.93299999999999,,52.99308654747873,0.052229683053170106,,
2020-04-27,80.81,80.81,80.81,80.81,200,0.0,,80.917,,41.94689647594492,0.04022779690326672,,
2020-04-28,80.88,80.88,80.88,80.88,100,0.0,,80.895,,48.92569478103639,0.03595021890090777,,
2020-04-29,80.95,80.95,80.95,80.95,100,0.0,,80.89899999999999,,54.77994134258023,0.037773196603879455,,
2020-04-30,80.87,80.92,80.87,80.92,286,0.0,,80.89699999999999,,52.027552213602405,0.036377829315838994,,
2020-05-01,80.93,80.95,80.93,80.95,301,0.0,,80.90199999999999,,54.49006863279242,0.0372631930723486,,
2020-05-02,80.92,80.92,80.92,80.92,100,0.0,,80.92399999999999,,51.63562558416144,0.03513903996905299,0.04304973677325089,-0.007910696804197904
2020-05-03,80.95,80.95,80.95,80.95,400,0.0,,80.93799999999999,,54.218361729456895,0.03546753494546806,0.04153329640769433,-0.006065761462226267
2020-05-04,81.01,81.01,81.01,81.01,300,0.0,,80.94999999999999,,58.9409300806533,0.04010703915838576,0.041248044957832616,-0.0011410057994468564
2020-05-05,81.025,81.025,81.025,81.025,300,0.0,,80.97099999999999,,60.05042117306111,0.044481499277793546,0.041894735821824805,0.002586763455968741
2020-05-06,81.08,81.08,81.08,81.08,103,0.0,,80.99699999999999,,63.90212161733247,0.05178933556193499,0.04387365576984685,0.00791567979208814
2020-05-07,81.1,81.1,81.04,81.04,800,0.0,,81.02099999999999,,59.415475069065394,0.05373377327099149,0.04584567927007578,0.00788809400091571
2020-05-08,81.1,81.1,81.09,81.09,307,0.0,,81.04899999999999,,62.920087354617465,0.05863344642459367,0.04840323270097936,0.01023021372361431
2020-05-09,81.09,81.16,81.09,81.16,222,0.0,,81.079,,67.19156159021827,0.06738807984777395,0.05220020213033828,0.015187877717435669
