Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,171.145,171.145,171.11,171.11,307,0.0,,,,,,,
2020-04-01,171.695,171.9,171.695,171.895,408,0.0,,,,,,,
2020-04-02,171.97,171.99,171.78,171.78,412,0.0,,,,,,,
2020-04-03,171.08,171.42,171.08,171.42,588,0.0,,,,,,,
2020-04-04,171.42,171.76,171.27,171.76,1870,0.0,,171.593,,,,,
2020-04-05,172.02,172.05,171.78,171.86,1678,0.0,,171.74299999999997,,,,,
2020-04-06,171.84,172.46,171.78,172.4,1776,0.0,,171.84399999999997,,,,,
2020-04-07,172.61,172.61,172.35,172.48,1448,0.0,,171.98399999999998,,,,,
2020-04-08,172.5,172.87,172.5,172.67,308,0.0,,172.23399999999998,,,,,
2020-04-09,172.665,172.72,172.45,172.72,339,0.0,,172.426,,,,,
2020-04-10,172.975,173.04,172.97,173.04,500,0.0,,172.66199999999998,,,,,
2020-04-11,172.63,172.63,172.34,172.34,203,0.0,,172.64999999999998,,,,,
2020-04-12,172.63,172.93,172.575,172.68,1210,0.0,,172.68999999999997,,,,,
2020-04-13,172.255,172.47,172.2,172.47,362,0.0,,172.64999999999998,,,,,
2020-04-14,172.24,172.24,172.055,172.08,1961,0.0,,172.522,,60.73008849557518,,,
2020-04-15,172.26,172.36,172.13,172.36,1681,0.0,,172.38599999999997,,63.186024250159505,,,
2020-04-16,172.63,172.63,172.63,172.63,227,0.0,,172.444,,65.43110998432729,,,
2020-04-17,173.025,173.06,172.65,172.65,890,0.0,,172.43799999999996,,65.59846891606729,,,
2020-04-18,172.9,173.09,172.9,173.09,426,0.0,,172.56199999999995,,69.13835945569886,,,
2020-04-19,172.75,172.87,172.44,172.645,1022,0.0,,172.67499999999993,,62.17065787500788,,,
2020-04-20,172.68,172.68,172.25,172.25,402,0.0,,172.6529999999999,,56.70762632389539,,,
2020-04-21,172.2,172.21,171.9,171.9,1013,0.0,,172.5069999999999,,52.32054078745414,,,
2020-04-22,172.055,172.26,172.055,172.175,7514,0.0,,172.41199999999992,,55.24993384321347,,,
2020-04-23,172.48,172.48,172.18,172.21,1663,0.0,,172.2359999999999,,55.6236295760587,,,
2020-04-24,172.12,172.12,172.02,172.02,605,0.0,,172.11099999999993,,53.034503467187285,,,
2020-04-25,171.83,171.89,171.76,171.89,645,0.0,,172.03899999999993,,51.27584643523191,-0.034814776295860383,,
2020-04-26,171.82,171.82,171.665,171.68,671,0.0,,171.99499999999995,,48.47919298798419,-0.07500544625867178,,
2020-04-27,171.63,171.63,171.63,171.63,102,0.0,,171.88599999999997,,47.8105641917597,-0.10962770396449173,,
2020-04-28,171.54,171.54,171.33,171.33,295,0.0,,171.70999999999995,,43.89842277385147,-0.15943570981417565,,
