Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,16.12,16.12,16.12,16.12,200,0.0,,,,,,,
2020-03-31,16.12,16.12,16.12,16.12,275,0.0,,,,,,,
2020-04-01,16.125,16.125,16.11,16.11,534,0.0,,,,,,,
2020-04-02,16.125,16.125,16.125,16.125,328,0.0,,,,,,,
2020-04-03,16.13,16.13,16.125,16.125,388,0.0,,16.119999999999997,,,,,
2020-04-04,16.115,16.12,16.11,16.12,508,0.0,,16.119999999999997,,,,,
2020-04-05,16.13,16.14,16.13,16.14,1324,0.0,,16.124,,,,,
2020-04-06,16.13,16.13,16.13,16.13,1002,0.0,,16.127999999999997,,,,,
2020-04-07,16.135,16.14,16.125,16.125,803,0.0,,16.127999999999997,,,,,
2020-04-08,16.13,16.13,16.13,16.13,450,0.0,,16.128999999999998,,,,,
2020-04-09,16.11,16.11,16.11,16.11,198,0.0,,16.126999999999995,,,,,
2020-04-10,16.105,16.105,16.09,16.09,603,0.0,,16.116999999999997,,,,,
2020-04-11,16.09,16.09,16.09,16.09,550,0.0,,16.108999999999998,,,,,
2020-04-12,16.09,16.09,16.09,16.09,111,0.0,,16.101999999999997,,,,,
2020-04-13,16.07,16.07,16.07,16.07,262,0.0,,16.089999999999996,,30.769230769230347,,,
2020-04-14,16.08,16.08,16.07,16.07,299,0.0,,16.081999999999997,,30.769230769230347,,,
2020-04-15,16.07,16.09,16.07,16.09,635,0.0,,16.081999999999997,,41.25144843568898,,,
2020-04-16,16.09,16.1,16.09,16.1,487,0.0,,16.083999999999996,,45.68006373451303,,,
2020-04-17,16.09,16.09,16.09,16.09,212,0.0,,16.083999999999996,,42.25014610196033,,,
2020-04-18,16.09,16.1,16.085,16.095,500,0.0,,16.089,,44.494283238263996,,,
2020-04-19,16.085,16.085,16.085,16.085,102,0.0,,16.092000000000002,,41.05783923394615,,,
2020-04-20,16.1,16.11,16.1,16.11,923,0.0,,16.096,,51.204236575284185,,,
2020-04-21,16.1,16.1,16.1,16.1,101,0.0,,16.096000000000004,,47.66939368576801,,,
2020-04-22,16.09,16.09,16.09,16.09,100,0.0,,16.096000000000004,,44.37067741263976,,,
2020-04-23,16.09,16.09,16.08,16.08,898,0.0,,16.093000000000004,,41.29337354237307,,,
2020-04-24,16.08,16.09,16.08,16.08,401,0.0,,16.092000000000002,,41.29337354237307,-0.011382326488654115,,
2020-04-25,16.085,16.09,16.08,16.08,1001,0.0,,16.086000000000002,,41.29337354237307,-0.011487434269714214,,
2020-04-26,16.07,16.08,16.07,16.08,201,0.0,,16.082,,41.29337354237307,-0.011438872738978034,,
2020-04-27,16.08,16.08,16.075,16.075,377,0.0,,16.079,,39.45317363095321,-0.011669328830411274,,
2020-04-28,16.07,16.07,16.07,16.07,208,0.0,,16.077,,37.64644353648326,-0.012115762191726276,,
2020-04-29,16.085,16.085,16.085,16.085,358,0.0,,16.078,,45.68272673821185,-0.011130879358663748,,
2020-04-30,16.08,16.09,16.08,16.09,254,0.0,,16.080000000000002,,48.08461876164673,-0.009833539482521303,,
2020-05-01,16.09,16.09,16.09,16.09,100,0.0,,16.082,,48.08461876164674,-0.008705041978618766,,
2020-05-02,16.09,16.09,16.075,16.09,940,0.0,,16.085,,48.08461876164673,-0.007721688755005118,-0.010609430454921428,0.00288774169991631
2020-05-03,16.085,16.1,16.06,16.06,2225,0.0,,16.083000000000006,,36.11648785154666,-0.009256421257816783,-0.010338828615500499,0.0010824073576837165
2020-05-04,16.05,16.065,16.05,16.065,1179,0.0,,16.079,,38.84836797846107,-0.009954500326880833,-0.010261962957776566,0.0003074626308957329
2020-05-05,16.07,16.09,16.07,16.07,624,0.0,,16.075,,41.54059647943142,-0.00998912637441407,-0.010207395641104067,0.00021826926668999658
2020-05-06,16.07,16.07,16.05,16.055,1339,0.0,,16.068,,36.367784963696714,-0.011099000042719354,-0.010385716521427125,-0.0007132835212922285
