Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,132.72,132.72,132.72,132.72,123,0.0,,,,,,,
2020-04-01,132.88,132.88,132.88,132.88,170,0.0,,,,,,,
2020-04-02,132.85,132.85,132.85,132.85,200,0.0,,,,,,,
2020-04-03,132.945,132.945,132.91,132.91,200,0.0,,,,,,,
2020-04-04,132.71,132.71,132.71,132.71,201,0.0,,132.81400000000002,,,,,
2020-04-05,132.58,132.58,132.58,132.58,100,0.0,,132.786,,,,,
2020-04-06,132.47,132.47,132.47,132.47,103,0.0,,132.704,,,,,
2020-04-07,132.63,132.63,132.63,132.63,111,0.0,,132.66000000000003,,,,,
2020-04-08,132.64,132.64,132.64,132.64,218,0.0,,132.60600000000002,,,,,
2020-04-09,132.72,132.72,132.72,132.72,303,0.0,,132.608,,,,,
2020-04-10,132.71,132.71,132.665,132.665,200,0.0,,132.625,,,,,
2020-04-11,132.66,132.66,132.66,132.66,208,0.0,,132.66299999999998,,,,,
2020-04-12,132.6,132.6,132.6,132.6,100,0.0,,132.65699999999998,,,,,
2020-04-13,132.48,132.48,132.48,132.48,200,0.0,,132.625,,,,,
2020-04-14,132.565,132.565,132.565,132.565,100,0.0,,132.594,,43.873517786561294,,,
2020-04-15,132.575,132.575,132.575,132.575,100,0.0,,132.57600000000002,,44.3473017787153,,,
2020-04-16,132.58,132.58,132.58,132.58,100,0.0,,132.56000000000003,,44.59911812914178,,,
2020-04-17,132.57,132.57,132.57,132.57,120,0.0,,132.55400000000003,,44.16866423148418,,,
2020-04-18,132.61,132.61,132.61,132.61,100,0.0,,132.58,,46.39726362779824,,,
2020-04-19,132.72,132.72,132.72,132.72,100,0.0,,132.61100000000002,,52.06400175092866,,,
2020-04-20,132.67,132.67,132.67,132.67,275,0.0,,132.63000000000002,,49.50227197125009,,,
2020-04-21,132.67,132.67,132.655,132.655,200,0.0,,132.645,,48.72767218303699,,,
2020-04-22,132.655,132.655,132.655,132.655,212,0.0,,132.66199999999998,,48.72767218303699,,,
2020-04-23,132.68,132.68,132.68,132.68,100,0.0,,132.676,,50.23293518047968,,,
2020-04-24,132.705,132.705,132.705,132.705,100,0.0,,132.673,,51.75817373342501,,,
2020-04-25,133.04,133.04,133.04,133.04,200,0.0,,132.747,,66.55140645915186,0.0409075097164191,,
2020-04-26,133.11,133.11,133.11,133.11,100,0.0,,132.83800000000002,,68.7105206055071,0.06934558295310467,,
2020-04-27,133.05,133.05,133.05,133.05,102,0.0,,132.917,,64.84664490735668,0.08604953682285554,,
2020-04-28,133.01,133.01,133.01,133.01,190,0.0,,132.983,,62.33017535261182,0.09496517547495387,,
2020-04-29,133.12,133.12,133.12,133.12,200,0.0,,133.06599999999997,,66.21318765342983,0.10964306700608972,,
2020-04-30,133.25,133.25,133.25,133.25,200,0.0,,133.108,,70.13169843310706,0.130263716302494,,
2020-05-01,133.305,133.305,133.305,133.305,100,0.0,,133.147,,71.63077992750058,0.1493224732577687,,
2020-05-02,133.245,133.245,133.245,133.245,100,0.0,,133.186,,67.64230940812674,0.15776654240212906,,
2020-05-03,133.22,133.22,133.22,133.22,100,0.0,,133.228,,65.99345979917948,0.16059005478129507,0.11098373985745663,0.049606314923838435
2020-05-04,133.445,133.465,133.445,133.465,373,0.0,,133.29700000000003,,72.95187759692217,0.18051628180452894,0.1248902482468711,0.05562603355765784
2020-05-05,133.47,133.47,133.47,133.47,128,0.0,,133.34100000000004,,73.07297227932717,0.1944696929275267,0.13880613718300222,0.05566355574452447
2020-05-06,133.44,133.44,133.44,133.44,300,0.0,,133.36800000000002,,71.01852256207697,0.2007925114093041,0.1512034120282626,0.0495890993810415
2020-05-07,133.44,133.44,133.44,133.44,100,0.0,,133.40700000000004,,71.01852256207697,0.20345805282482843,0.16165434018757577,0.04180371263725266
2020-05-08,133.335,133.335,133.335,133.335,100,0.0,,133.43000000000004,,63.743835043024006,0.19485176130908144,0.1682938244118769,0.026557936897204537
2020-05-09,133.33,133.33,133.33,133.33,191,0.0,,133.40300000000005,,63.410737901642065,0.18548954702970377,0.1717329689354423,0.013756578094261479
