Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,6.73,6.73,6.73,6.73,2898,0.0,,,,,,,
2020-03-31,6.73,6.73,6.73,6.73,100,0.0,,,,,,,
2020-04-01,6.73,6.73,6.72,6.72,5251,0.0,,,,,,,
2020-04-02,6.725,6.73,6.725,6.73,900,0.0,,,,,,,
2020-04-03,6.73,6.73,6.73,6.73,100,0.0,,6.728,,,,,
2020-04-04,6.72,6.72,6.715,6.72,3316,0.0,,6.725999999999999,,,,,
2020-04-05,6.72,6.72,6.72,6.72,109,0.0,,6.723999999999998,,,,,
2020-04-06,6.715,6.715,6.715,6.715,206,0.0,,6.722999999999999,,,,,
2020-04-07,6.715,6.725,6.715,6.72,3107,0.0,,6.720999999999998,,,,,
2020-04-08,6.72,6.72,6.72,6.72,802,0.0,,6.718999999999997,,,,,
2020-04-09,6.72,6.72,6.72,6.72,204,0.0,,6.718999999999997,,,,,
2020-04-10,6.73,6.73,6.725,6.725,700,0.0,,6.719999999999997,,,,,
2020-04-11,6.735,6.735,6.735,6.735,100,0.0,,6.723999999999998,,,,,
2020-04-12,6.73,6.74,6.73,6.74,910,0.0,,6.727999999999999,,,,,
2020-04-13,6.74,6.74,6.74,6.74,1200,0.0,,6.731999999999999,,58.333333333332845,,,
2020-04-14,6.745,6.745,6.745,6.745,100,0.0,,6.736999999999999,,61.764705882352295,,,
2020-04-15,6.76,6.76,6.76,6.76,700,0.0,,6.743999999999998,,69.79985704074254,,,
2020-04-16,6.755,6.76,6.755,6.76,211,0.0,,6.748999999999998,,69.79985704074254,,,
2020-04-17,6.75,6.75,6.75,6.75,748,0.0,,6.750999999999998,,60.043769806473776,,,
2020-04-18,6.755,6.76,6.755,6.755,900,0.0,,6.753999999999998,,62.8404707746611,,,
2020-04-19,6.76,6.76,6.755,6.76,2000,0.0,,6.756999999999998,,65.44515544072223,,,
2020-04-20,6.755,6.755,6.755,6.755,100,0.0,,6.7559999999999985,,60.85167205894648,,,
2020-04-21,6.765,6.77,6.765,6.77,200,0.0,,6.758,,68.08808648020087,,,
2020-04-22,6.77,6.775,6.77,6.775,200,0.0,,6.763,,70.0738369725534,,,
2020-04-23,6.77,6.77,6.765,6.77,1700,0.0,,6.765999999999998,,65.67292315985773,,,
2020-04-24,6.77,6.77,6.77,6.77,408,0.0,,6.767999999999999,,65.67292315985773,0.017995240116920996,,
2020-04-25,6.78,6.785,6.775,6.785,8535,0.0,,6.773999999999999,,71.82871870056171,0.01873978130428089,,
2020-04-26,6.79,6.795,6.79,6.79,3100,0.0,,6.7780000000000005,,73.53253637130985,0.019508412931935837,,
2020-04-27,6.795,6.795,6.79,6.795,4100,0.0,,6.782000000000001,,75.15102509784055,0.02028715950138693,,
2020-04-28,6.8,6.8,6.8,6.8,600,0.0,,6.787999999999999,,76.68632351693546,0.021064956278005198,,
2020-04-29,6.79,6.79,6.79,6.79,600,0.0,,6.791999999999999,,67.67978382710062,0.02063656393742974,,
2020-04-30,6.79,6.79,6.79,6.79,794,0.0,,6.7929999999999975,,67.67978382710062,0.020065754394958724,,
2020-05-01,6.78,6.78,6.77,6.77,1805,0.0,,6.788999999999997,,53.189803440243175,0.017794427780258637,,
2020-05-02,6.77,6.77,6.77,6.77,700,0.0,,6.783999999999997,,53.189803440243175,0.0158121128795079,0.01910048990274276,-0.0032883770232348605
2020-05-03,6.76,6.76,6.76,6.76,100,0.0,,6.775999999999998,,47.31555699472501,0.013281101343256552,0.017936612190845518,-0.004655510847588966
2020-05-04,6.77,6.77,6.77,6.77,1200,0.0,,6.7719999999999985,,52.91553245963469,0.011944484312366832,0.01673818661514978,-0.004793702302782948
