Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,115.61,115.61,115.61,115.61,100,0.0,,,,,,,
2020-04-01,115.745,115.745,115.745,115.745,100,0.0,,,,,,,
2020-04-02,115.69,115.69,115.69,115.69,103,0.0,,,,,,,
2020-04-03,115.945,115.945,115.945,115.945,110,0.0,,,,,,,
2020-04-04,115.83,115.83,115.83,115.83,100,0.0,,115.76400000000001,,,,,
2020-04-05,115.79,115.79,115.79,115.79,100,0.0,,115.8,,,,,
2020-04-06,115.88,115.88,115.88,115.88,100,0.0,,115.827,,,,,
2020-04-07,115.815,115.815,115.815,115.815,100,0.0,,115.852,,,,,
2020-04-08,115.78,115.78,115.78,115.78,100,0.0,,115.819,,,,,
2020-04-09,115.72,115.72,115.72,115.72,202,0.0,,115.797,,,,,
2020-04-10,115.68,115.68,115.68,115.68,100,0.0,,115.775,,,,,
2020-04-11,115.755,115.755,115.755,115.755,100,0.0,,115.75,,,,,
2020-04-12,115.7,115.7,115.7,115.7,110,0.0,,115.727,,,,,
2020-04-13,115.73,115.73,115.73,115.73,100,0.0,,115.71700000000001,,,,,
2020-04-14,115.755,115.755,115.75,115.75,441,0.0,,115.723,,56.542056074766684,,,
2020-04-15,115.685,115.685,115.685,115.685,110,0.0,,115.72399999999998,,53.07017543859676,,,
2020-04-16,115.57,115.57,115.57,115.57,303,0.0,,115.68699999999997,,47.511617100371375,,,
2020-04-17,115.66,115.66,115.63,115.63,266,0.0,,115.67299999999996,,50.428898401209736,,,
2020-04-18,115.66,115.66,115.66,115.66,100,0.0,,115.65899999999995,,51.86932700647471,,,
2020-04-19,115.57,115.575,115.57,115.575,200,0.0,,115.62399999999995,,47.644952438897974,,,
2020-04-20,115.635,115.635,115.635,115.635,188,0.0,,115.61399999999995,,50.6973366265691,,,
2020-04-21,115.64,115.64,115.625,115.625,200,0.0,,115.62499999999996,,50.17231378354868,,,
2020-04-22,115.63,115.63,115.59,115.59,200,0.0,,115.61699999999996,,48.28744964764313,,,
2020-04-23,115.54,115.54,115.54,115.54,104,0.0,,115.59299999999996,,45.64908601984982,,,
2020-04-24,115.555,115.555,115.5,115.5,200,0.0,,115.57799999999995,,43.59683709832201,,,
2020-04-25,115.65,115.65,115.65,115.65,100,0.0,,115.58099999999995,,52.26371229859772,-0.07532420337884105,,
2020-04-26,115.9,115.9,115.9,115.9,100,0.0,,115.63599999999994,,62.58321903862258,-0.0474132696133438,,
2020-04-27,116.335,116.335,116.29,116.29,201,0.0,,115.77599999999993,,72.55180181161872,0.006105704358063235,,
2020-04-28,116.265,116.265,116.265,116.265,113,0.0,,115.92099999999994,,71.24153319150898,0.04597264175039584,,
2020-04-29,116.24,116.24,116.24,116.24,100,0.0,,116.06899999999993,,69.88239197502226,0.07468921501502734,,
2020-04-30,116.305,116.305,116.305,116.305,200,0.0,,116.19999999999993,,71.4096380254197,0.10152198079198627,,
2020-05-01,116.265,116.265,116.265,116.265,300,0.0,,116.27299999999994,,69.08785536499683,0.11819697414100006,,
2020-05-02,116.2,116.2,116.16,116.195,1200,0.0,,116.25399999999995,,65.09888323308317,0.12433040797122885,,
2020-05-03,116.175,116.175,116.175,116.175,200,0.0,,116.23599999999995,,63.96256030628407,0.12612349250521504,0.0526892159489702,0.07343427655624485
