Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,136.12,136.16,136.12,136.16,380,0.0,,,,,,,
2020-04-01,136.125,136.125,136.07,136.07,211,0.0,,,,,,,
2020-04-02,136.21,136.225,136.21,136.225,400,0.0,,,,,,,
2020-04-03,136.16,136.16,136.03,136.03,400,0.0,,,,,,,
2020-04-04,136.07,136.18,136.07,136.18,1102,0.0,,136.13299999999998,,,,,
2020-04-05,136.22,136.24,136.22,136.23,500,0.0,,136.147,,,,,
2020-04-06,136.205,136.245,136.19,136.245,521,0.0,,136.18200000000002,,,,,
2020-04-07,136.3,136.35,136.3,136.35,200,0.0,,136.20700000000002,,,,,
2020-04-08,136.375,136.39,136.355,136.355,902,0.0,,136.27200000000002,,,,,
2020-04-09,136.32,136.32,136.255,136.28,311,0.0,,136.292,,,,,
2020-04-10,136.245,136.245,136.23,136.23,346,0.0,,136.292,,,,,
2020-04-11,136.24,136.29,136.22,136.24,700,0.0,,136.291,,,,,
2020-04-12,136.225,136.225,136.2,136.21,459,0.0,,136.263,,,,,
2020-04-13,136.17,136.27,136.14,136.14,500,0.0,,136.22,,,,,
2020-04-14,136.08,136.08,136.0,136.02,606,0.0,,136.168,,43.75000000000064,,,
2020-04-15,136.07,136.175,136.07,136.15,442,0.0,,136.152,,50.000000000000355,,,
2020-04-16,136.135,136.16,136.085,136.085,313,0.0,,136.121,,47.17741935483913,,,
2020-04-17,136.13,136.14,136.1,136.11,714,0.0,,136.101,,48.384314091206505,,,
2020-04-18,136.09,136.09,136.055,136.06,519,0.0,,136.085,,46.11493993532038,,,
2020-04-19,136.03,136.095,136.03,136.095,627,0.0,,136.10000000000002,,47.9551278957835,,,
2020-04-20,136.04,136.04,135.96,136.0,803,0.0,,136.07000000000002,,43.60255551695978,,,
2020-04-21,136.05,136.095,136.05,136.095,665,0.0,,136.07200000000003,,48.6242870715848,,,
2020-04-22,136.11,136.14,136.11,136.135,1621,0.0,,136.07700000000003,,50.618093491029065,,,
2020-04-23,135.77,135.89,135.77,135.89,358,0.0,,136.04300000000003,,40.301484920530484,,,
2020-04-24,135.94,135.94,135.94,135.94,405,0.0,,136.01200000000003,,42.86097019186951,,,
2020-04-25,135.21,135.35,135.21,135.35,400,0.0,,135.88200000000003,,27.744898635362176,-0.16257134363345926,,
2020-04-26,135.405,135.405,135.255,135.255,235,0.0,,135.71400000000003,,26.145939132158574,-0.20581151824868016,,
2020-04-27,135.22,135.4,135.105,135.4,700,0.0,,135.56700000000004,,32.536678710962846,-0.22577676595864205,,
2020-04-28,135.56,135.56,135.56,135.56,105,0.0,,135.50100000000003,,38.82700466643112,-0.2260825666891435,,
2020-04-29,135.525,135.525,135.525,135.525,101,0.0,,135.41800000000003,,37.99248631178762,-0.22653773744164596,,
2020-04-30,135.19,135.19,135.19,135.19,105,0.0,,135.38600000000002,,31.101975400137036,-0.2510363727897129,,
2020-05-01,135.05,135.05,135.05,135.05,100,0.0,,135.34500000000006,,28.754867816563163,-0.2785377381160856,,
2020-05-02,135.02,135.02,135.02,135.02,100,0.0,,135.26900000000006,,28.26267397627558,-0.29930333501718565,,
2020-05-03,135.295,135.36,135.295,135.36,300,0.0,,135.22900000000004,,40.659685104957504,-0.28503930597938165,-0.2400774093193263,-0.044961896660055345
2020-05-04,135.17,135.17,135.17,135.17,100,0.0,,135.15800000000004,,36.829442213053554,-0.2857721686309276,-0.24921636118164658,-0.036555807449281
2020-05-05,135.19,135.19,135.19,135.19,600,0.0,,135.15800000000004,,37.49690172772232,-0.28149424428522707,-0.2556719378023627,-0.025822306482864377
2020-05-06,135.49,135.49,135.48,135.48,200,0.0,,135.24400000000006,,46.34890371682805,-0.25180077940711953,-0.2548977061233141,0.003096926716194548
2020-05-07,135.58,135.58,135.56,135.57,302,0.0,,135.35400000000004,,48.77363007396866,-0.21848765701648176,-0.24761569630194763,0.029128039285465868
2020-05-08,135.64,135.65,135.64,135.65,236,0.0,,135.41200000000003,,50.897931222744376,-0.18351597814046272,-0.23479575266965066,0.051279774529187944
2020-05-09,135.59,135.59,135.455,135.455,273,0.0,,135.46900000000005,,45.901305203269075,-0.16958072001091296,-0.22175274613790313,0.05217202612699018
2020-05-10,135.15,135.15,135.15,135.15,100,0.0,,135.46100000000007,,39.388139936653594,-0.18106072324263778,-0.2136143415588501,0.03255361831621231
2020-05-11,135.315,135.33,135.315,135.33,320,0.0,,135.43100000000007,,44.40212043969057,-0.17363268334449344,-0.20561800991597878,0.03198532657148534
2020-05-12,135.465,135.47,135.465,135.47,200,0.0,,135.41100000000006,,48.00482219076406,-0.15466618275939936,-0.1954276444846629,0.04076146172526354
2020-05-13,135.43,135.43,135.43,135.43,159,0.0,,135.36700000000008,,47.06640119972593,-0.14123469446326453,-0.18458905448038326,0.04335436001711873
2020-05-14,135.26,135.26,135.26,135.26,1053,0.0,,135.32800000000006,,43.20111694879851,-0.1426631900208406,-0.17620388158847472,0.03354069156763412
2020-05-15,135.535,135.535,135.535,135.535,101,0.0,,135.40500000000006,,50.31009347701618,-0.12021926842041353,-0.1650069589548625,0.044787690534448976
2020-05-16,135.6,135.6,135.6,135.6,201,0.0,,135.45900000000006,,51.844288039530426,-0.09607979402213118,-0.15122152596831623,0.055141731946185046
2020-05-17,135.36,135.39,135.36,135.39,501,0.0,,135.44300000000004,,46.81519450494392,-0.0928243107297817,-0.13954208292060932,0.04671777219082762
2020-05-18,135.37,135.39,135.34,135.355,1263,0.0,,135.42800000000005,,46.01404667646944,-0.09200791429583433,-0.13003524919565435,0.03802733489982002
2020-05-19,135.43,135.53,135.4,135.43,1397,0.0,,135.46200000000007,,48.06503675162661,-0.08433685823737846,-0.12089557100399917,0.036558712766620705
2020-05-20,135.455,135.455,135.455,135.455,100,0.0,,135.44600000000008,,48.76378899959923,-0.07537136579000503,-0.11179072996120035,0.03641936417119532
2020-05-21,135.53,135.53,135.53,135.53,106,0.0,,135.43200000000007,,50.89814673149141,-0.06150528064418381,-0.10173364009779705,0.040228359453613236
2020-05-22,135.59,135.63,135.59,135.63,200,0.0,,135.48000000000008,,53.669432105899006,-0.04196341586447261,-0.08977959525113216,0.04781617938665955
