Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,53.09,53.1,53.08,53.1,771,0.0,,,,,,,
2020-04-01,53.1,53.11,53.08,53.08,415,0.0,,,,,,,
2020-04-02,53.06,53.06,53.06,53.06,100,0.0,,,,,,,
2020-04-03,53.06,53.07,53.06,53.07,721,0.0,,,,,,,
2020-04-04,53.07,53.11,53.07,53.11,653,0.0,,53.084,,,,,
2020-04-05,53.13,53.13,53.1,53.1,326,0.0,,53.084,,,,,
2020-04-06,53.16,53.16,53.16,53.16,290,0.0,,53.10000000000001,,,,,
2020-04-07,53.16,53.16,53.16,53.16,150,0.0,,53.12000000000002,,,,,
2020-04-08,53.16,53.16,53.16,53.16,100,0.0,,53.13800000000002,,,,,
2020-04-09,53.151,53.151,53.15,53.15,400,0.0,,53.146000000000015,,,,,
2020-04-10,53.16,53.16,53.151,53.16,500,0.0,,53.158000000000015,,,,,
2020-04-11,53.151,53.151,53.12,53.12,600,0.0,,53.15000000000002,,,,,
2020-04-12,53.121,53.121,53.11,53.121,976,0.0,,53.142200000000024,,,,,
2020-04-13,53.11,53.11,53.105,53.105,609,0.0,,53.131200000000035,,,,,
2020-04-14,53.11,53.11,53.11,53.11,355,0.0,,53.12320000000004,,52.06611570247895,,,
2020-04-15,53.13,53.13,53.13,53.13,573,0.0,,53.11720000000005,,55.983654407472514,,,
2020-04-16,53.05,53.06,53.05,53.06,385,0.0,,53.105200000000046,,42.79927220295942,,,
2020-04-17,53.04,53.04,53.04,53.04,556,0.0,,53.089000000000055,,39.907465090109255,,,
2020-04-18,53.03,53.06,53.03,53.05,1873,0.0,,53.07800000000005,,42.01700745357643,,,
2020-04-19,53.04,53.06,53.02,53.05,2220,0.0,,53.06600000000005,,42.01700745357643,,,
2020-04-20,53.05,53.05,53.015,53.015,1541,0.0,,53.04300000000005,,36.77647686805339,,,
2020-04-21,53.005,53.015,53.005,53.01,626,0.0,,53.03300000000005,,36.08408417992752,,,
2020-04-22,52.96,52.96,52.96,52.96,401,0.0,,53.01700000000004,,30.001245265955973,,,
2020-04-23,52.94,52.955,52.94,52.955,437,0.0,,52.99800000000003,,29.466310199350133,,,
2020-04-24,52.955,52.99,52.955,52.975,2326,0.0,,52.98300000000004,,34.497431533057835,,,
2020-04-25,52.98,52.985,52.955,52.98,1957,0.0,,52.97600000000004,,35.731644394361595,-0.058673508078300074,,
2020-04-26,52.995,52.995,52.92,52.92,1324,0.0,,52.95800000000005,,28.734752962412543,-0.06213728132595975,,
2020-04-27,52.92,52.965,52.91,52.935,1442,0.0,,52.95300000000005,,32.30371290741934,-0.06294636542224907,,
2020-04-28,52.94,53.02,52.92,53.02,1845,0.0,,52.96600000000005,,48.14992928774311,-0.05608229894017569,,
2020-04-29,53.02,53.02,52.965,52.97,1130,0.0,,52.96500000000005,,41.93204622703417,-0.054053958546070646,,
2020-04-30,52.7,52.7,52.7,52.7,100,0.0,,52.90900000000005,,23.947830222555467,-0.07338726497751225,,
2020-05-01,52.41,52.41,52.41,52.41,315,0.0,,52.80700000000005,,16.00689727143063,-0.11083202340697085,,
2020-05-02,52.41,52.41,52.41,52.41,348,0.0,,52.702000000000055,,16.00689727143063,-0.13890604185275635,,
