Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,39.89,39.89,39.89,39.89,100,0.0,,,,,,,
2020-04-01,39.84,39.84,39.84,39.84,100,0.0,,,,,,,
2020-04-02,39.875,39.875,39.875,39.875,107,0.0,,,,,,,
2020-04-03,39.92,39.92,39.92,39.92,100,0.0,,,,,,,
2020-04-04,39.975,39.975,39.96,39.96,300,0.0,,39.897000000000006,,,,,
2020-04-05,39.955,39.98,39.955,39.98,300,0.0,,39.915,,,,,
2020-04-06,39.945,39.945,39.945,39.945,239,0.0,,39.93599999999999,,,,,
2020-04-07,39.935,39.95,39.935,39.95,550,0.0,,39.951,,,,,
2020-04-08,39.915,39.92,39.915,39.92,200,0.0,,39.951,,,,,
2020-04-09,39.905,39.905,39.885,39.885,580,0.0,,39.93599999999999,,,,,
2020-04-10,39.87,39.87,39.845,39.845,575,0.0,,39.909,,,,,
2020-04-11,39.835,39.835,39.835,39.835,137,0.0,,39.887,,,,,
2020-04-12,39.835,39.845,39.835,39.835,538,0.0,,39.864,,,,,
2020-04-13,39.84,39.84,39.835,39.835,321,0.0,,39.847,,,,,
2020-04-14,39.795,39.795,39.765,39.765,334,0.0,,39.823,,34.939759036144295,,,
2020-04-15,39.785,39.785,39.77,39.77,551,0.0,,39.80800000000001,,35.7731015553524,,,
2020-04-16,39.755,39.795,39.745,39.795,611,0.0,,39.800000000000004,,39.917045230100705,,,
2020-04-17,39.82,39.84,39.82,39.84,400,0.0,,39.801,,46.5962647364657,,,
2020-04-18,39.83,39.885,39.83,39.87,515,0.0,,39.80800000000001,,50.54348505764776,,,
2020-04-19,39.87,39.92,39.87,39.92,400,0.0,,39.83900000000001,,56.336112130730804,,,
2020-04-20,39.89,39.97,39.89,39.97,400,0.0,,39.879000000000005,,61.2267844240429,,,
2020-04-21,39.97,40.02,39.955,40.02,475,0.0,,39.924000000000014,,65.40030976006511,,,
2020-04-22,40.015,40.065,40.015,40.055,651,0.0,,39.96700000000001,,67.99713551841802,,,
2020-04-23,40.055,40.055,39.995,40.005,1258,0.0,,39.994000000000014,,60.95845585820354,,,
2020-04-24,40.02,40.07,39.995,40.07,993,0.0,,40.024000000000015,,65.9002019272804,,,
2020-04-25,40.07,40.07,39.93,39.94,540,0.0,,40.018000000000015,,51.782828894111475,0.04772295536205462,,
2020-04-26,39.97,39.995,39.96,39.98,1380,0.0,,40.010000000000005,,54.97868106017993,0.046348527427767294,,
2020-04-27,40.0,40.07,40.0,40.07,1794,0.0,,40.013000000000005,,61.208664445407194,0.051922995257854154,,
2020-04-28,39.82,39.92,39.82,39.92,200,0.0,,39.996,,49.030801091911215,0.04373292879699875,,
2020-04-29,40.05,40.05,40.01,40.03,400,0.0,,39.98800000000001,,55.95185079022617,0.04559275787984518,,
2020-04-30,40.05,40.05,40.05,40.05,200,0.0,,40.010000000000005,,57.092672095486,0.048125754934723375,,
2020-05-01,40.04,40.04,40.04,40.04,100,0.0,,40.022000000000006,,56.30741791330211,0.04876413433744631,,
2020-05-02,39.83,39.83,39.83,39.83,100,0.0,,39.974000000000004,,42.948251633428356,0.03195643575737961,,
2020-05-03,39.91,39.91,39.85,39.91,500,0.0,,39.972,,48.00881465559255,0.024805601419643608,0.043219121241523654,-0.018413519821880046
2020-05-04,39.8,39.94,39.8,39.94,210,0.0,,39.954,,49.80681825694072,0.02131357336106987,0.038838011665432895,-0.017524438304363024
2020-05-05,40.105,40.11,40.105,40.11,200,0.0,,39.965999999999994,,58.553794788161554,0.0318960177783012,0.03744961288800656,-0.005553595109705357
2020-05-06,39.92,39.92,39.92,39.92,179,0.0,,39.942,,48.40155412397837,0.024666924170389848,0.03489307514448322,-0.010226150974093372
2020-05-07,39.91,39.91,39.91,39.91,104,0.0,,39.958000000000006,,47.930522458987745,0.017924279045445246,0.03149931592467563,-0.013575036879230382
2020-05-08,39.81,39.81,39.81,39.81,102,0.0,,39.938,,43.3837561754822,0.0044601066080076635,0.026091474061342036,-0.021631367453334372
2020-05-09,39.93,39.93,39.865,39.865,400,0.0,,39.92300000000001,,46.395638291664014,-0.001752109479539854,0.02052275735316566,-0.022274866832705513
2020-05-10,39.88,39.93,39.88,39.93,324,0.0,,39.887000000000015,,49.7948670242038,-0.0014140781010638648,0.016135390262319756,-0.01754946836338362
2020-05-11,39.72,39.72,39.72,39.72,103,0.0,,39.847000000000016,,40.794291569660864,-0.01788526060396123,0.00933126008906356,-0.027216520693024788
2020-05-12,39.74,39.77,39.74,39.77,405,0.0,,39.81900000000002,,43.41675212946697,-0.026597608597924705,0.0021454863516659067,-0.02874309494959061
2020-05-13,39.72,39.75,39.72,39.75,362,0.0,,39.807000000000016,,42.60384881760675,-0.034715857213164725,-0.00522678236130022,-0.029489074851864507
2020-05-14,39.65,39.68,39.65,39.68,294,0.0,,39.77000000000002,,39.79539607776142,-0.046264731687060134,-0.013434372226452204,-0.03283035946060793
2020-05-15,39.765,39.785,39.765,39.785,206,0.0,,39.741000000000014,,45.58938743301804,-0.04640969337815193,-0.02002943645679215,-0.026380256921359778
2020-05-16,39.84,39.85,39.84,39.85,216,0.0,,39.76700000000001,,48.86984191269452,-0.040809196772841005,-0.024185388520001922,-0.016623808252839083
2020-05-17,39.89,39.94,39.89,39.94,304,0.0,,39.80100000000001,,53.08733466229923,-0.02877679405617073,-0.025103669627235682,-0.003673124428935047
