Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,12.41,12.41,12.41,12.41,100,0.0,,,,,,,
2020-04-01,12.34,12.34,12.34,12.34,100,0.0,,,,,,,
2020-04-02,12.33,12.33,12.3,12.3,200,0.0,,,,,,,
2020-04-03,12.3,12.3,12.3,12.3,100,0.0,,,,,,,
2020-04-04,12.31,12.4,12.31,12.4,200,0.0,,12.349999999999998,,,,,
2020-04-05,12.4,12.4,12.4,12.4,100,0.0,,12.347999999999999,,,,,
2020-04-06,12.4,12.4,12.4,12.4,200,0.0,,12.36,,,,,
2020-04-07,12.39,12.39,12.39,12.39,100,0.0,,12.378,,,,,
2020-04-08,12.39,12.39,12.39,12.39,100,0.0,,12.396,,,,,
2020-04-09,12.39,12.39,12.39,12.39,100,0.0,,12.394000000000002,,,,,
2020-04-10,12.38,12.38,12.38,12.38,100,0.0,,12.390000000000002,,,,,
2020-04-11,12.41,12.41,12.35,12.35,200,0.0,,12.380000000000003,,,,,
2020-04-12,12.33,12.33,12.33,12.33,100,0.0,,12.368000000000004,,,,,
2020-04-13,12.39,12.415,12.39,12.415,200,0.0,,12.373000000000005,,,,,
2020-04-14,12.38,12.385,12.38,12.385,200,0.0,,12.372000000000005,,46.83544303797462,,,
2020-04-15,12.33,12.33,12.33,12.33,100,0.0,,12.362000000000005,,40.728196443691736,,,
2020-04-16,12.33,12.33,12.33,12.33,200,0.0,,12.358000000000006,,40.728196443691736,,,
2020-04-17,12.33,12.33,12.33,12.33,100,0.0,,12.358000000000008,,40.72819644369173,,,
2020-04-18,12.28,12.28,12.28,12.28,100,0.0,,12.331000000000007,,35.47572744482109,,,
2020-04-19,12.3,12.3,12.3,12.3,100,0.0,,12.314000000000009,,38.87163436602545,,,
2020-04-20,12.36,12.36,12.36,12.36,100,0.0,,12.320000000000007,,47.75510130818007,,,
2020-04-21,12.36,12.36,12.28,12.28,200,0.0,,12.310000000000008,,39.51040587235319,,,
2020-04-22,12.37,12.37,12.37,12.37,100,0.0,,12.318000000000008,,49.97413839567636,,,
2020-04-23,12.3,12.3,12.3,12.3,100,0.0,,12.322000000000008,,43.6496304284423,,,
2020-04-24,12.385,12.385,12.385,12.385,100,0.0,,12.33900000000001,,51.65116066556315,,,
2020-04-25,12.36,12.36,12.36,12.36,100,0.0,,12.33900000000001,,49.428077219011946,-0.010816928503928125,,
2020-04-26,12.4,12.4,12.4,12.4,200,0.0,,12.36300000000001,,52.91964198643302,-0.005486338144569558,,
2020-04-27,12.41,12.41,12.41,12.41,200,0.0,,12.371000000000011,,53.77880679700801,-0.0004497065166439995,,
2020-04-28,12.36,12.36,12.35,12.35,200,0.0,,12.38100000000001,,48.10630480875931,-0.001284827531611299,,
2020-04-29,12.3,12.42,12.3,12.42,200,0.0,,12.388000000000012,,54.17872896812619,0.0036595628701281413,,
2020-04-30,12.43,12.43,12.35,12.35,200,0.0,,12.386000000000013,,48.11533608160546,0.0019076230097230251,,
2020-05-01,12.4,12.4,12.4,12.4,100,0.0,,12.386000000000013,,52.227945488097824,0.004501885250036253,,
2020-05-02,12.3,12.3,12.3,12.3,100,0.0,,12.364000000000015,,44.611685397953636,-0.0014940846215143466,,
2020-05-03,12.44,12.44,12.44,12.44,100,0.0,,12.382000000000016,,54.59463190873922,0.004993335959138534,-0.0004966086921379306,0.005489944651276464
2020-05-04,12.3,12.3,12.3,12.3,100,0.0,,12.358000000000015,,45.720322572883354,-0.00114892240028297,-0.0006270714337669385,-0.0005218509665160316
2020-05-05,12.35,12.35,12.35,12.35,100,0.0,,12.358000000000015,,48.91415311894316,-0.001959535959368708,-0.0008935643388872925,-0.0010659716204814154
2020-05-06,12.34,12.34,12.34,12.34,100,0.0,,12.346000000000014,,48.30200788061586,-0.0033700219562664557,-0.0013888558623631254,-0.0019811660939033303
2020-05-07,12.34,12.34,12.34,12.34,100,0.0,,12.354000000000013,,48.302007880615854,-0.004436698769151093,-0.001998424443720719,-0.002438274325430374
