Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,5.765,5.765,5.755,5.76,401,0.0,,,,,,,
2020-03-31,5.73,5.73,5.68,5.69,2899,0.0,,,,,,,
2020-04-01,5.69,5.69,5.69,5.69,1725,0.0,,,,,,,
2020-04-02,5.7,5.71,5.7,5.7,2050,0.0,,,,,,,
2020-04-03,5.59,5.59,5.59,5.59,100,0.0,,5.686,,,,,
2020-04-04,5.65,5.65,5.65,5.65,100,0.0,,5.664,,,,,
2020-04-05,5.65,5.65,5.65,5.65,100,0.0,,5.656,,,,,
2020-04-06,5.71,5.71,5.71,5.71,100,0.0,,5.659999999999998,,,,,
2020-04-07,5.65,5.72,5.65,5.72,200,0.0,,5.664,,,,,
2020-04-08,5.72,5.72,5.72,5.72,100,0.0,,5.6899999999999995,,,,,
2020-04-09,5.69,5.69,5.69,5.69,100,0.0,,5.698,,,,,
2020-04-10,5.73,5.73,5.73,5.73,100,0.0,,5.714,,,,,
2020-04-11,5.7,5.7,5.7,5.7,100,0.0,,5.712000000000001,,,,,
2020-04-12,5.69,5.69,5.69,5.69,100,0.0,,5.706,,,,,
2020-04-13,5.65,5.65,5.65,5.65,100,0.0,,5.692,,38.29787234042556,,,
2020-04-14,5.7,5.7,5.7,5.7,100,0.0,,5.694000000000001,,44.64023494860501,,,
2020-04-15,5.71,5.71,5.71,5.71,100,0.0,,5.6899999999999995,,45.839319261796874,,,
2020-04-16,5.71,5.71,5.71,5.71,100,0.0,,5.691999999999999,,45.839319261796874,,,
2020-04-17,5.72,5.72,5.72,5.72,100,0.0,,5.6979999999999995,,47.16651240641524,,,
2020-04-18,5.7,5.73,5.7,5.73,200,0.0,,5.714,,48.5249249625381,,,
2020-04-19,5.74,5.74,5.74,5.74,100,0.0,,5.722,,49.911816109580364,,,
2020-04-20,5.75,5.75,5.75,5.75,100,0.0,,5.7299999999999995,,51.324169702977656,,,
2020-04-21,5.72,5.72,5.72,5.72,100,0.0,,5.731999999999999,,47.03896249858041,,,
2020-04-22,5.72,5.72,5.72,5.72,100,0.0,,5.731999999999999,,47.03896249858041,,,
2020-04-23,5.67,5.67,5.67,5.67,100,0.0,,5.72,,40.50240841228358,,,
2020-04-24,5.72,5.72,5.72,5.72,200,0.0,,5.715999999999999,,48.24719882612064,0.009857665735604648,,
2020-04-25,5.72,5.72,5.72,5.72,100,0.0,,5.709999999999999,,48.247198826120645,0.009844498664292267,,
2020-04-26,5.74,5.74,5.74,5.74,100,0.0,,5.714,,51.19439690345055,0.0113174361592554,,
2020-04-27,5.71,5.71,5.71,5.71,100,0.0,,5.712000000000001,,46.88164706744137,0.009949310992525717,,
2020-04-28,5.72,5.72,5.72,5.72,100,0.0,,5.7219999999999995,,48.440844322877844,0.009561756391896381,,
2020-04-29,5.72,5.72,5.72,5.72,100,0.0,,5.7219999999999995,,48.440844322877844,0.009149150862721278,,
2020-04-30,5.74,5.74,5.74,5.74,100,0.0,,5.726000000000001,,51.727509969232614,0.01031706219043027,,
2020-05-01,5.72,5.72,5.72,5.72,200,0.0,,5.7219999999999995,,48.40458229472454,0.0095190774792,,
2020-05-02,5.72,5.72,5.72,5.72,100,0.0,,5.723999999999999,,48.40458229472454,0.008785396266935308,0.009811261638095696,-0.001025865371160388
2020-05-03,5.74,5.74,5.74,5.74,100,0.0,,5.728,,51.982023746674535,0.009705897923799611,0.009790188895236479,-8.429097143686747e-05
2020-05-04,5.62,5.62,5.62,5.62,100,0.0,,5.708,,35.89869351604871,0.0007438305846045878,0.007980917233110101,-0.007237086648505513
2020-05-05,5.735,5.735,5.72,5.72,200,0.0,,5.703999999999999,,49.829459907521766,0.0016909991298543758,0.006722933612458956,-0.0050319344826045805
2020-05-06,5.71,5.71,5.71,5.71,100,0.0,,5.702,,48.689914017050185,0.0016160913048528514,0.005701565150937735,-0.004085473846084884
2020-05-07,5.71,5.72,5.71,5.72,200,0.0,,5.702,,49.92320858070291,0.002336706640764241,0.005028593448903037,-0.0026918868081387956
2020-05-08,5.71,5.71,5.71,5.71,100,0.0,,5.696,,48.663550859016695,0.0020769413724242014,0.00443826303360727,-0.002361321661183069
2020-05-09,5.76,5.76,5.76,5.76,100,0.0,,5.723999999999998,,54.80405741501891,0.005838356716346915,0.0047182817701551995,0.0011200749461917157
2020-05-10,5.71,5.71,5.71,5.71,100,0.0,,5.721999999999999,,48.55012212163624,0.004730196581626878,0.004720664732449535,9.531849177342282e-06
2020-05-11,5.71,5.71,5.71,5.71,100,0.0,,5.721999999999999,,48.55012212163624,0.0038080745777113734,0.004538146701501903,-0.0007300721237905299
