Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,25.69,25.69,25.67,25.67,873,0.0,,,,,,,
2020-03-31,25.66,25.66,25.65,25.65,441,0.0,,,,,,,
2020-04-01,25.65,25.65,25.63,25.64,2224,0.0,,,,,,,
2020-04-02,25.66,25.66,25.66,25.66,132,0.0,,,,,,,
2020-04-03,25.7,25.735,25.7,25.73,1740,0.0,,25.669999999999998,,,,,
2020-04-04,25.71,25.71,25.71,25.71,100,0.0,,25.677999999999997,,,,,
2020-04-05,25.695,25.695,25.675,25.675,400,0.0,,25.683,,,,,
2020-04-06,25.675,25.675,25.67,25.67,2626,0.0,,25.689,,,,,
2020-04-07,25.7,25.71,25.7,25.71,207,0.0,,25.699,,,,,
2020-04-08,25.705,25.72,25.705,25.72,305,0.0,,25.697000000000003,,,,,
2020-04-09,25.725,25.725,25.72,25.72,505,0.0,,25.699,,,,,
2020-04-10,25.715,25.72,25.68,25.68,2646,0.0,,25.7,,,,,
2020-04-11,25.68,25.68,25.66,25.66,1001,0.0,,25.698,,,,,
2020-04-12,25.66,25.66,25.655,25.66,1801,0.0,,25.688,,,,,
2020-04-13,25.68,25.7,25.68,25.7,852,0.0,,25.683999999999997,,54.545454545454255,,,
2020-04-14,25.7,25.71,25.7,25.71,210,0.0,,25.682,,55.981941309255035,,,
2020-04-15,25.715,25.73,25.715,25.72,2160,0.0,,25.689999999999998,,57.43073047858911,,,
2020-04-16,25.72,25.72,25.69,25.69,600,0.0,,25.695999999999998,,51.91074993870192,,,
2020-04-17,25.68,25.68,25.675,25.675,390,0.0,,25.699,,49.35633862352523,,,
2020-04-18,25.675,25.675,25.65,25.65,5038,0.0,,25.689000000000004,,45.350876372335,,,
2020-04-19,25.65,25.65,25.625,25.625,703,0.0,,25.672000000000004,,41.70592183141766,,,
2020-04-20,25.63,25.63,25.595,25.595,2431,0.0,,25.647000000000002,,37.781697482938426,,,
2020-04-21,25.6,25.605,25.59,25.605,4349,0.0,,25.630000000000003,,39.81457341862376,,,
2020-04-22,25.605,25.61,25.605,25.605,2700,0.0,,25.615999999999996,,39.81457341862376,,,
2020-04-23,25.6,25.6,25.575,25.575,1236,0.0,,25.600999999999992,,35.75046711770713,,,
2020-04-24,25.585,25.59,25.565,25.565,4845,0.0,,25.58899999999999,,34.48678137852869,-0.040181500076272414,,
2020-04-25,25.565,25.57,25.56,25.56,6427,0.0,,25.581999999999994,,33.84264715037274,-0.042314436071553274,,
2020-04-26,25.565,25.57,25.56,25.56,4228,0.0,,25.572999999999993,,33.84264715037274,-0.04350332397587309,,
2020-04-27,25.57,25.57,25.56,25.56,1200,0.0,,25.56399999999999,,33.84264715037274,-0.04393902448238052,,
2020-04-28,25.55,25.6,25.55,25.595,1356,0.0,,25.56799999999999,,43.1293949648395,-0.04098763286232199,,
2020-04-29,25.6,25.6,25.565,25.565,3851,0.0,,25.567999999999994,,38.1819443597618,-0.040601355862420974,,
2020-04-30,25.57,25.575,25.56,25.565,3945,0.0,,25.568999999999996,,38.1819443597618,-0.03983602367318184,,
2020-05-01,25.565,25.57,25.565,25.57,700,0.0,,25.57099999999999,,39.52290834897411,-0.03838357225798816,,
2020-05-02,25.59,25.59,25.59,25.59,555,0.0,,25.57699999999999,,44.691131125297844,-0.03521275052519712,-0.04055106886524326,0.005338318340046139
2020-05-03,25.62,25.655,25.62,25.65,848,0.0,,25.587999999999994,,56.657669232553076,-0.02754087879123901,-0.03794903085044241,0.010408152059203403
2020-05-04,25.64,25.64,25.62,25.62,504,0.0,,25.598999999999997,,50.74575460288751,-0.023609459298356228,-0.03508111654002517,0.011471657241668945
2020-05-05,25.635,25.635,25.63,25.635,400,0.0,,25.612999999999992,,53.36591339441509,-0.01906365246719588,-0.03187762372545932,0.012813971258263439
2020-05-06,25.63,25.635,25.625,25.63,801,0.0,,25.624999999999993,,52.365922310185255,-0.015683733696718605,-0.028638845719711176,0.012955112022992571
2020-05-07,25.63,25.635,25.63,25.63,2993,0.0,,25.632999999999992,,52.365922310185255,-0.012856917181995442,-0.02548246001216803,0.012625542830172587
2020-05-08,25.67,25.67,25.67,25.67,171,0.0,,25.636999999999993,,59.420876481001905,-0.007304774132773417,-0.02184692283628911,0.014542148703515691
2020-05-09,25.67,25.67,25.67,25.67,235,0.0,,25.64699999999999,,59.420876481001905,-0.002871559218050379,-0.018051850112641363,0.015180290894590984
2020-05-10,25.65,25.655,25.65,25.65,300,0.0,,25.649999999999995,,54.721165547134156,-0.0009609599632867116,-0.014633672082770433,0.013672712119483722
2020-05-11,25.655,25.655,25.655,25.655,100,0.0,,25.654999999999994,,55.66522914750403,0.0009457597942947871,-0.011517785707357389,0.012463545501652176
