Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,1533.3,1533.3,1533.3,1533.3,106,0.0,,,,,,,
2020-04-01,1532.53,1532.53,1532.53,1532.53,100,0.0,,,,,,,
2020-04-02,1533.415,1533.415,1532.74,1532.78,501,0.0,,,,,,,
2020-04-03,1534.215,1534.215,1533.8,1533.8,203,0.0,,,,,,,
2020-04-04,1533.22,1533.22,1533.22,1533.22,100,0.0,,1533.126,,,,,
2020-04-05,1532.98,1532.98,1532.98,1532.98,110,0.0,,1533.0620000000001,,,,,
2020-04-06,1532.38,1532.795,1532.17,1532.795,309,0.0,,1533.115,,,,,
2020-04-07,1533.94,1533.965,1533.94,1533.965,207,0.0,,1533.3519999999999,,,,,
2020-04-08,1535.07,1535.07,1535.07,1535.07,100,0.0,,1533.606,,,,,
2020-04-09,1534.68,1534.68,1534.68,1534.68,110,0.0,,1533.8979999999997,,,,,
2020-04-10,1534.69,1534.69,1534.69,1534.69,110,0.0,,1534.2399999999998,,,,,
2020-04-11,1534.635,1534.635,1534.635,1534.635,100,0.0,,1534.6079999999997,,,,,
2020-04-12,1535.52,1535.52,1535.52,1535.52,100,0.0,,1534.9189999999999,,,,,
2020-04-13,1535.04,1535.04,1535.04,1535.04,106,0.0,,1534.9129999999998,,,,,
2020-04-14,1533.955,1533.955,1533.955,1533.955,102,0.0,,1534.7679999999996,,53.98176291793312,,,
2020-04-15,1533.85,1533.85,1533.85,1533.85,116,0.0,,1534.5999999999997,,53.249688638774686,,,
2020-04-16,1533.66,1534.18,1533.66,1534.18,231,0.0,,1534.5089999999996,,55.30137771701416,,,
2020-04-17,1534.5,1534.5,1534.5,1534.5,105,0.0,,1534.3049999999996,,57.26013621839903,,,
2020-04-18,1533.26,1533.32,1533.26,1533.32,201,0.0,,1533.9609999999996,,48.77263767550283,,,
2020-04-19,1533.555,1533.555,1533.555,1533.555,269,0.0,,1533.8809999999994,,50.35100589669936,,,
2020-04-20,1531.51,1531.51,1531.415,1531.415,233,0.0,,1533.393999999999,,38.66729670561847,,,
2020-04-21,1531.245,1531.245,1531.245,1531.245,100,0.0,,1532.8069999999993,,37.91463588677952,,,
2020-04-22,1531.49,1531.625,1531.33,1531.36,1023,0.0,,1532.1789999999994,,38.782722603442586,,,
2020-04-23,1531.13,1532.2,1531.13,1532.17,1006,0.0,,1531.9489999999994,,44.652770276433394,,,
2020-04-24,1532.67,1533.04,1532.67,1533.04,454,0.0,,1531.845999999999,,50.17865685259134,,,
2020-04-25,1529.35,1530.06,1529.35,1530.06,331,0.0,,1531.5749999999991,,36.672579521030876,-0.9569324611682077,,
2020-04-26,1529.16,1529.64,1529.13,1529.64,527,0.0,,1531.2539999999992,,35.23318510052684,-1.1073693255686976,,
2020-04-27,1529.33,1530.21,1529.33,1530.21,576,0.0,,1531.0239999999992,,38.74697772260646,-1.1671432868449756,,
2020-04-28,1529.79,1529.955,1529.79,1529.955,222,0.0,,1530.5809999999994,,37.76000391929203,-1.2210158401312583,,
2020-04-29,1530.63,1530.63,1530.63,1530.63,581,0.0,,1530.0989999999993,,41.97349864253038,-1.1954628167500232,,
2020-04-30,1528.85,1528.85,1528.85,1528.85,186,0.0,,1529.8569999999993,,35.20518544715996,-1.3038134358475872,,
2020-05-01,1527.34,1527.34,1527.34,1527.34,332,0.0,,1529.3969999999993,,30.6848477787577,-1.4943010897177373,,
2020-05-02,1528.69,1528.69,1528.69,1528.69,263,0.0,,1529.0929999999992,,38.3111251252685,-1.5188221736364085,,
2020-05-03,1527.79,1528.275,1527.79,1528.26,434,0.0,,1528.753999999999,,36.917839792530756,-1.5550273285739422,-1.279987528693204,-0.2750397998807381
2020-05-04,1528.72,1530.165,1528.72,1530.165,865,0.0,,1528.6609999999987,,46.244923066589564,-1.4137062695810982,-1.306731276870783,-0.10697499271031519
2020-05-05,1526.12,1526.12,1526.12,1526.12,100,0.0,,1528.1149999999986,,34.5600924330308,-1.6095520920841864,-1.3672954399134638,-0.24225665217072256
2020-05-06,1523.77,1525.11,1522.12,1522.12,848,0.0,,1527.0709999999985,,27.232357527543485,-2.0637383964149194,-1.5065840312137548,-0.5571543652011646
2020-05-07,1523.065,1523.065,1520.84,1520.84,394,0.0,,1525.5009999999984,,25.378026113182898,-2.498172242868577,-1.7049016735447193,-0.7932705693238578
2020-05-08,1518.01,1518.01,1517.02,1517.02,362,0.0,,1523.2529999999983,,20.821342109668663,-3.1148007864678675,-1.986881496129349,-1.1279192903385185
2020-05-09,1517.07,1517.47,1517.07,1517.47,631,0.0,,1520.7139999999984,,22.584744630377585,-3.5265205766215786,-2.294809312227795,-1.2317112643937835
2020-05-10,1520.93,1520.93,1520.93,1520.93,280,0.0,,1519.675999999998,,34.63829441610781,-3.532893397093858,-2.542426129201008,-0.9904672678928499
2020-05-11,1521.11,1521.11,1521.11,1521.11,712,0.0,,1519.4739999999981,,35.203518848781115,-3.4832664798329915,-2.7305941993274048,-0.7526722805055868
2020-05-12,1520.21,1520.21,1520.21,1520.21,302,0.0,,1519.3479999999981,,33.63722790914652,-3.476484519245787,-2.8797722633110814,-0.5967122559347056
2020-05-13,1517.38,1517.38,1517.38,1517.38,329,0.0,,1519.4199999999983,,29.23283632977649,-3.6573079459171822,-3.035279399832302,-0.6220285460848802
2020-05-14,1517.99,1517.99,1517.99,1517.99,242,0.0,,1519.523999999998,,31.320315264709365,-3.7086390301076335,-3.169951325887369,-0.5386877042202647
2020-05-15,1521.54,1521.89,1521.54,1521.89,215,0.0,,1519.715999999998,,42.91439705957247,-3.3954808877485902,-3.215057238259613,-0.18042364948897704
2020-05-16,1522.14,1522.14,1522.14,1522.14,461,0.0,,1519.9219999999982,,43.57199859792713,-3.0914911079771628,-3.190344012203123,0.09885290422596027
2020-05-17,1523.47,1524.46,1523.47,1524.46,362,0.0,,1520.7719999999981,,49.39759081966348,-2.6330205841336465,-3.0788793265892282,0.44585874245558177
2020-05-18,1523.58,1523.96,1523.58,1523.96,304,0.0,,1522.0879999999981,,48.24165345886625,-2.2837001385682925,-2.919843488985041,0.6361433504167486
2020-05-19,1524.37,1524.37,1524.37,1524.37,367,0.0,,1523.3639999999982,,49.28956448133084,-1.9512844032842622,-2.726131671844885,0.7748472685606229
2020-05-20,1524.86,1525.54,1524.86,1525.54,200,0.0,,1524.0939999999978,,52.25995485160085,-1.575274532012827,-2.4959602438784736,0.9206857118656466
2020-05-21,1525.2,1525.83,1525.2,1525.83,347,0.0,,1524.8319999999976,,52.99490510029592,-1.2395941538713942,-2.2446870258770577,1.0050928720056636
