Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,203.83,203.83,203.83,203.83,188,0.0,,,,,,,
2020-04-01,203.74,203.74,203.74,203.74,137,0.0,,,,,,,
2020-04-02,203.76,203.76,203.62,203.62,620,0.0,,,,,,,
2020-04-03,203.57,203.57,203.57,203.57,110,0.0,,,,,,,
2020-04-04,203.51,203.51,203.51,203.51,249,0.0,,203.654,,,,,
2020-04-05,203.54,203.54,203.54,203.54,118,0.0,,203.59599999999998,,,,,
2020-04-06,203.44,203.44,203.44,203.44,170,0.0,,203.53599999999997,,,,,
2020-04-07,203.26,203.26,203.26,203.26,217,0.0,,203.46399999999997,,,,,
2020-04-08,203.19,203.19,203.19,203.19,106,0.0,,203.38799999999998,,,,,
2020-04-09,203.255,203.255,203.255,203.255,556,0.0,,203.33699999999993,,,,,
2020-04-10,202.98,202.995,202.98,202.995,275,0.0,,203.22799999999998,,,,,
2020-04-11,203.11,203.11,202.93,202.93,531,0.0,,203.12599999999998,,,,,
2020-04-12,203.11,203.11,203.04,203.04,246,0.0,,203.08199999999997,,,,,
2020-04-13,203.02,203.08,203.02,203.08,845,0.0,,203.05999999999995,,,,,
2020-04-14,203.095,203.095,203.035,203.035,936,0.0,,203.01599999999996,,19.066147859922168,,,
2020-04-15,202.97,202.99,202.97,202.99,613,0.0,,203.01499999999993,,18.37323334294797,,,
2020-04-16,202.78,202.87,202.76,202.87,507,0.0,,203.00299999999993,,16.63686589653453,,,
2020-04-17,202.845,202.88,202.845,202.85,912,0.0,,202.96499999999992,,16.359370322361016,,,
2020-04-18,202.96,203.04,202.96,203.04,765,0.0,,202.9569999999999,,28.551652903083593,,,
2020-04-19,202.97,202.97,202.97,202.97,121,0.0,,202.9439999999999,,26.990627977491087,,,
2020-04-20,203.02,203.02,202.89,202.89,1174,0.0,,202.9239999999999,,25.28891830952864,,,
2020-04-21,202.93,203.02,202.93,203.02,493,0.0,,202.9539999999999,,32.71298382532528,,,
2020-04-22,202.97,202.99,202.95,202.99,724,0.0,,202.98199999999986,,31.924587393183387,,,
2020-04-23,203.065,203.12,202.94,203.1,2756,0.0,,202.99399999999986,,37.84008169227121,,,
2020-04-24,202.12,202.74,201.91,202.74,771,0.0,,202.94799999999987,,28.968183965892067,,,
2020-04-25,202.82,203.07,202.82,203.07,399,0.0,,202.98399999999987,,42.31863936398574,-0.16247904950381553,,
2020-04-26,203.22,203.22,202.95,202.95,410,0.0,,202.96999999999986,,39.417402708486605,-0.15547701295952265,,
2020-04-27,202.24,202.42,202.17,202.17,300,0.0,,202.80599999999987,,26.635204738061375,-0.2104414913027881,,
2020-04-28,202.16,202.16,202.16,202.16,100,0.0,,202.61799999999988,,26.516484825801953,-0.2519043562007255,,
2020-04-29,201.73,201.73,201.73,201.73,160,0.0,,202.41599999999985,,21.97974983047095,-0.31582079614983627,,
2020-04-30,201.25,201.25,201.25,201.25,142,0.0,,202.05199999999985,,18.230219840630653,-0.4005892799145272,,
2020-05-01,201.54,201.54,201.5,201.5,224,0.0,,201.76199999999986,,25.370992506490794,-0.44249519420404226,,
2020-05-02,201.61,201.68,201.61,201.645,341,0.0,,201.65699999999987,,29.231168273695417,-0.45871783139153877,,
2020-05-03,201.745,201.88,201.745,201.88,449,0.0,,201.60099999999986,,35.091046175097844,-0.44745388239149975,-0.3161532104464773,-0.13130067194502243
2020-05-04,201.98,201.98,201.94,201.94,247,0.0,,201.64299999999986,,36.535961238964276,-0.4287433367944402,-0.3386712357160699,-0.09007210107837033
2020-05-05,201.91,201.91,201.835,201.835,623,0.0,,201.75999999999985,,35.06489254333346,-0.41757418184749895,-0.3544518249423557,-0.06312235690514323
2020-05-06,201.85,201.96,201.755,201.755,513,0.0,,201.81099999999986,,33.94350813649697,-0.41044650567141616,-0.36565076108816785,-0.04479574458324831
2020-05-07,201.61,201.65,201.515,201.65,1189,0.0,,201.8119999999999,,32.47552141058401,-0.4085607593150087,-0.374232760733536,-0.034327998581472674
2020-05-08,201.675,201.675,201.525,201.67,405,0.0,,201.76999999999992,,33.06928863859733,-0.40083191804640705,-0.3795525921961102,-0.02127932585029685
2020-05-09,201.68,201.75,201.68,201.735,311,0.0,,201.7289999999999,,35.06769520194587,-0.3850234877869809,-0.38064677131428437,-0.004376716472696551
2020-05-10,201.71,201.71,201.71,201.71,128,0.0,,201.7039999999999,,34.63930560162538,-0.3702445354437316,-0.3785663241401739,0.00832178869644229
2020-05-11,201.47,201.5,201.47,201.5,313,0.0,,201.6529999999999,,31.19229231299437,-0.3711984099845722,-0.37709274130905357,0.005894331324481361
2020-05-12,201.65,201.65,201.64,201.64,229,0.0,,201.6509999999999,,35.78041181437192,-0.3565474751093234,-0.37298368806910753,0.016436212959784147
2020-05-13,201.61,201.61,201.605,201.605,336,0.0,,201.6379999999999,,35.149396076593646,-0.3437976261317601,-0.36714647568163805,0.023348849549877926
