Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,17.71,17.71,17.59,17.59,200,0.0,,,,,,,
2020-03-31,17.71,17.71,17.71,17.71,100,0.0,,,,,,,
2020-04-01,17.7,17.7,17.7,17.7,100,0.0,,,,,,,
2020-04-02,17.71,17.71,17.61,17.69,300,0.0,,,,,,,
2020-04-03,17.71,17.71,17.71,17.71,100,0.0,,17.68,,,,,
2020-04-04,17.61,17.61,17.61,17.61,100,0.0,,17.684,,,,,
2020-04-05,17.58,17.58,17.58,17.58,100,0.0,,17.657999999999998,,,,,
2020-04-06,17.58,17.58,17.58,17.58,100,0.0,,17.633999999999997,,,,,
2020-04-07,17.585,17.585,17.585,17.585,100,0.0,,17.613,,,,,
2020-04-08,17.6,17.61,17.6,17.61,200,0.0,,17.593,,,,,
2020-04-09,17.57,17.57,17.57,17.57,100,0.0,,17.585,,,,,
2020-04-10,17.61,17.61,17.61,17.61,200,0.0,,17.591,,,,,
2020-04-11,17.61,17.61,17.61,17.61,100,0.0,,17.597,,,,,
2020-04-12,17.64,17.65,17.64,17.65,200,0.0,,17.609999999999996,,,,,
2020-04-13,17.67,17.67,17.67,17.67,100,0.0,,17.621999999999996,,58.69565217391316,,,
2020-04-14,17.63,17.68,17.63,17.68,200,0.0,,17.644,,59.64052287581692,,,
2020-04-15,17.58,17.58,17.58,17.58,100,0.0,,17.637999999999998,,47.85195643404584,,,
2020-04-16,17.68,17.68,17.68,17.68,100,0.0,,17.652,,57.004246936321465,,,
2020-04-17,17.67,17.67,17.67,17.67,100,0.0,,17.656,,55.94681642152853,,,
2020-04-18,17.59,17.59,17.59,17.59,100,0.0,,17.64,,48.23768034215867,,,
2020-04-19,17.69,17.69,17.69,17.69,100,0.0,,17.642000000000003,,56.33684365982754,,,
2020-04-20,17.7,17.7,17.7,17.7,100,0.0,,17.666000000000004,,57.0603946759985,,,
2020-04-21,17.67,17.67,17.67,17.67,100,0.0,,17.664000000000005,,54.16075091183452,,,
2020-04-22,17.64,17.64,17.64,17.64,100,0.0,,17.658000000000005,,51.35053596796054,,,
2020-04-23,17.61,17.61,17.61,17.61,100,0.0,,17.662000000000003,,48.63302782416311,,,
2020-04-24,17.71,17.71,17.71,17.71,100,0.0,,17.666000000000004,,56.83345683189137,0.014276553068700792,,
2020-04-25,17.91,17.91,17.91,17.91,100,0.0,,17.708000000000002,,67.87841834491756,0.03344987319707471,,
2020-04-26,18.02,18.02,18.02,18.02,200,0.0,,17.778,,72.10585714653368,0.05686543884526074,,
2020-04-27,18.04,18.04,18.04,18.04,100,0.0,,17.858,,72.80661138092051,0.07615836989332436,,
2020-04-28,18.15,18.15,18.15,18.15,100,0.0,,17.966,,76.32885470058497,0.09918094128547494,,
2020-04-29,18.13,18.13,18.13,18.13,100,0.0,,18.05,,74.44090820674823,0.11449285971196588,,
2020-04-30,18.1,18.1,18.1,18.1,100,0.0,,18.088,,71.58085723351681,0.12279145267047653,,
2020-05-01,18.12,18.155,18.12,18.155,300,0.0,,18.115000000000002,,73.58461480562983,0.13228133088389527,,
2020-05-02,18.12,18.12,18.12,18.12,100,0.0,,18.131,,70.19291415933088,0.13541691830598523,0.08721263754023983,0.0482042807657454
2020-05-03,18.25,18.27,18.25,18.27,400,0.0,,18.155,,75.4215945470924,0.14829617433975173,0.09942934490014221,0.048866829439609516
2020-05-04,18.29,18.36,18.29,18.36,300,0.0,,18.201,,77.92385105076539,0.16387626183811577,0.11231872828773692,0.05155753355037884
2020-05-05,18.36,18.38,18.36,18.38,300,0.0,,18.256999999999998,,78.4489235346424,0.17581078894551894,0.12501714041929332,0.050793648526225615
2020-05-06,18.3,18.3,18.3,18.3,100,0.0,,18.285999999999998,,71.1582770085278,0.1767758937852726,0.13536889109248917,0.04140700269278341
