Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-30,26.57,26.57,26.57,26.57,100,0.0,,,,,,,
2020-03-31,26.59,26.59,26.59,26.59,100,0.0,,,,,,,
2020-04-01,26.56,26.56,26.56,26.56,100,0.0,,,,,,,
2020-04-02,26.555,26.555,26.555,26.555,100,0.0,,,,,,,
2020-04-03,26.565,26.565,26.565,26.565,640,0.0,,26.568,,,,,
2020-04-04,26.555,26.555,26.555,26.555,100,0.0,,26.565000000000005,,,,,
2020-04-05,26.615,26.64,26.615,26.64,220,0.0,,26.575000000000006,,,,,
2020-04-06,26.62,26.62,26.62,26.62,104,0.0,,26.587000000000007,,,,,
2020-04-07,26.615,26.65,26.615,26.65,300,0.0,,26.606000000000005,,,,,
2020-04-08,26.69,26.69,26.69,26.69,100,0.0,,26.631000000000007,,,,,
2020-04-09,26.675,26.675,26.67,26.67,276,0.0,,26.654000000000007,,,,,
2020-04-10,26.615,26.63,26.615,26.63,300,0.0,,26.652000000000008,,,,,
2020-04-11,26.59,26.59,26.59,26.59,100,0.0,,26.646000000000008,,,,,
2020-04-12,26.585,26.585,26.585,26.585,181,0.0,,26.63300000000001,,,,,
2020-04-13,26.595,26.6,26.595,26.6,202,0.0,,26.61500000000001,,54.054054054054156,,,
2020-04-14,26.615,26.615,26.615,26.615,100,0.0,,26.604000000000006,,55.976095617529595,,,
2020-04-15,26.58,26.58,26.58,26.58,300,0.0,,26.594000000000005,,50.65169162506906,,,
2020-04-16,26.585,26.585,26.585,26.585,605,0.0,,26.593000000000007,,51.363426120595506,,,
2020-04-17,26.58,26.58,26.58,26.58,100,0.0,,26.592000000000002,,50.57784551291822,,,
2020-04-18,26.57,26.57,26.57,26.57,148,0.0,,26.586000000000002,,48.964840229219895,,,
2020-04-19,26.57,26.57,26.57,26.57,102,0.0,,26.576999999999998,,48.964840229219895,,,
2020-04-20,26.575,26.575,26.575,26.575,100,0.0,,26.576,,49.891512420096184,,,
2020-04-21,26.58,26.58,26.58,26.58,200,0.0,,26.574999999999996,,50.85255424090178,,,
2020-04-22,26.63,26.63,26.63,26.63,403,0.0,,26.58499999999999,,59.26598130151123,,,
2020-04-23,26.605,26.605,26.605,26.605,330,0.0,,26.59199999999999,,54.26403785988273,,,
2020-04-24,26.625,26.625,26.625,26.625,100,0.0,,26.60299999999999,,57.36418652785771,-0.000687803452336766,,
2020-04-25,26.64,26.64,26.64,26.64,100,0.0,,26.615999999999996,,59.57726272435498,0.0026549180080053247,,
2020-04-26,26.625,26.625,26.625,26.625,1100,0.0,,26.625,,56.42324206422851,0.004047022650635057,,
2020-04-27,26.65,26.65,26.65,26.65,100,0.0,,26.629,,60.204619931607006,0.007085885004254777,,
2020-04-28,26.62,26.63,26.62,26.63,200,0.0,,26.634000000000004,,56.01679884736283,0.007790567645930224,,
2020-04-29,26.62,26.62,26.62,26.62,100,0.0,,26.633000000000003,,53.99442289992882,0.007456167235325495,,
2020-04-30,26.58,26.58,26.57,26.57,1200,0.0,,26.619000000000007,,45.206280799881206,0.0031205980562383218,,
2020-05-01,26.535,26.535,26.5,26.5,300,0.0,,26.594000000000005,,36.298828672086444,-0.005895823358216035,,
2020-05-02,26.495,26.5,26.495,26.5,300,0.0,,26.564000000000004,,36.298828672086444,-0.012892782319873675,0.0014087499411069694,-0.014301532260980644
2020-05-03,26.51,26.51,26.51,26.51,100,0.0,,26.540000000000003,,38.31265549299114,-0.01743008313233929,-0.0023590166735822826,-0.015071066458757009
2020-05-04,26.515,26.515,26.515,26.515,154,0.0,,26.519000000000005,,39.34516676883705,-0.02038745461638314,-0.005964704262142454,-0.014422750354240683
2020-05-05,26.49,26.495,26.49,26.495,224,0.0,,26.50400000000001,,36.69911126493976,-0.024067589487170693,-0.009585281307148103,-0.01448230818002259
2020-05-06,26.475,26.475,26.47,26.47,400,0.0,,26.498000000000008,,33.65248362851747,-0.02867091350858786,-0.013402407747436056,-0.015268505761151803
2020-05-07,26.51,26.51,26.51,26.51,100,0.0,,26.500000000000007,,41.955394233773234,-0.028759889154901686,-0.016473904028929183,-0.012285985125972503
2020-05-08,26.53,26.53,26.53,26.53,181,0.0,,26.50400000000001,,45.619781202935954,-0.02690640979911052,-0.01856040518296545,-0.00834600461614507
2020-05-09,26.54,26.54,26.54,26.54,100,0.0,,26.509000000000004,,47.407574689940226,-0.02434990705825868,-0.019718305558024098,-0.004631601500234582
2020-05-10,26.55,26.55,26.545,26.545,500,0.0,,26.519000000000005,,48.322390173345475,-0.021670596853223145,-0.020108763817063908,-0.0015618330361592374
2020-05-11,26.575,26.575,26.575,26.575,100,0.0,,26.540000000000003,,53.54382315030455,-0.016931301429298884,-0.019473271339510906,0.002541969910212022
2020-05-12,26.57,26.57,26.57,26.57,137,0.0,,26.552000000000003,,52.59009483625187,-0.013424089328736954,-0.01826343493735612,0.004839345608619164
2020-05-13,26.61,26.61,26.61,26.61,100,0.0,,26.568,,58.89759415151168,-0.007332409314575017,-0.0160772298127999,0.008744820498224882
2020-05-14,26.585,26.585,26.58,26.58,500,0.0,,26.576000000000004,,53.18274440126757,-0.004869327715852023,-0.013835649393410325,0.008966321677558302
2020-05-15,26.58,26.58,26.58,26.58,100,0.0,,26.583000000000006,,53.18274440126757,-0.0028840720163856304,-0.011645333918005386,0.008761261901619756
2020-05-16,26.59,26.59,26.59,26.59,107,0.0,,26.586000000000006,,54.875400514123534,-0.0004980845365594178,-0.009415884041716192,0.008917799505156775
2020-05-17,26.57,26.57,26.57,26.57,100,0.0,,26.586000000000006,,50.910902057709386,-0.00021848654483136443,-0.0075764045423392275,0.007357917997507863
2020-05-18,26.53,26.53,26.53,26.53,100,0.0,,26.570000000000004,,44.05560335923653,-0.003187821604928587,-0.0066986879548571,0.003510866349928513
2020-05-19,26.56,26.56,26.56,26.56,900,0.0,,26.56600000000001,,49.543189282070685,-0.0030847328730416734,-0.005975896938494015,0.0028911640654523414
2020-05-20,26.54,26.54,26.54,26.54,100,0.0,,26.558000000000003,,46.28372330665172,-0.004564253292524967,-0.005693568209300205,0.0011293149167752384
2020-05-21,26.56,26.56,26.56,26.56,100,0.0,,26.552000000000003,,49.837776731260156,-0.004075965834370976,-0.0053700477343143595,0.0012940818999433836
