Date,Open,High,Low,Close,Volume,OpenInterest,Entry,5 day sma,200 day sma,rsi,macd,signal,histogram
2020-03-31,181.915,181.915,181.915,181.915,100,0.0,,,,,,,
2020-04-01,181.83,181.83,181.83,181.83,100,0.0,,,,,,,
2020-04-02,181.99,181.99,181.99,181.99,100,0.0,,,,,,,
2020-04-03,181.975,181.975,181.975,181.975,643,0.0,,,,,,,
2020-04-04,182.2,182.3,182.2,182.285,300,0.0,,181.999,,,,,
2020-04-05,182.53,182.53,182.53,182.53,100,0.0,,182.122,,,,,
2020-04-06,182.525,182.525,182.525,182.525,100,0.0,,182.26100000000002,,,,,
2020-04-07,182.495,182.495,182.495,182.495,109,0.0,,182.36200000000002,,,,,
2020-04-08,182.94,182.94,182.94,182.94,101,0.0,,182.55500000000004,,,,,
2020-04-09,182.375,182.375,182.375,182.375,100,0.0,,182.57300000000004,,,,,
2020-04-10,182.15,182.15,182.15,182.15,113,0.0,,182.497,,,,,
2020-04-11,182.255,182.255,182.255,182.255,100,0.0,,182.44300000000004,,,,,
2020-04-12,182.16,182.16,182.16,182.16,100,0.0,,182.37600000000003,,,,,
2020-04-13,181.95,181.95,181.95,181.95,100,0.0,,182.17800000000003,,,,,
2020-04-14,182.385,182.385,182.385,182.385,100,0.0,,182.18,,58.0204778156997,,,
2020-04-15,182.57,182.57,182.57,182.57,200,0.0,,182.264,,60.693215339233134,,,
2020-04-16,182.57,182.575,182.57,182.575,310,0.0,,182.328,,60.765920501302354,,,
2020-04-17,182.775,182.775,182.775,182.775,300,0.0,,182.451,,63.66133886284629,,,
2020-04-18,182.775,182.775,182.775,182.775,287,0.0,,182.61599999999999,,63.66133886284629,,,
2020-04-19,182.665,182.665,182.665,182.665,100,0.0,,182.67199999999997,,60.79928133755114,,,
2020-04-20,182.755,182.78,182.68,182.74,500,0.0,,182.706,,62.05197541837369,,,
2020-04-21,182.755,182.755,182.755,182.755,300,0.0,,182.74199999999996,,62.31137897297124,,,
2020-04-22,182.565,182.565,182.565,182.565,100,0.0,,182.7,,56.99662780072923,,,
2020-04-23,182.41,182.41,182.32,182.4,449,0.0,,182.62499999999997,,52.78597754838703,,,
2020-04-24,182.225,182.225,182.225,182.225,100,0.0,,182.53699999999998,,48.67849315629018,,,
2020-04-25,182.485,182.485,182.485,182.485,200,0.0,,182.48600000000002,,54.36069152579609,0.0932999232875602,,
2020-04-26,182.43,182.43,182.43,182.43,100,0.0,,182.42100000000002,,53.02330239325804,0.08167674858935925,,
2020-04-27,182.325,182.325,182.325,182.325,100,0.0,,182.373,,50.47047471645885,0.06326341515242007,,
2020-04-28,182.32,182.32,182.32,182.32,100,0.0,,182.357,,50.346170300926566,0.04771720331262941,,
2020-04-29,182.405,182.405,182.405,182.405,200,0.0,,182.393,,52.48847736465651,0.04177396379927245,,
2020-04-30,182.495,182.495,182.495,182.495,104,0.0,,182.395,,54.71629280737758,0.04382101017711193,,
2020-05-01,182.32,182.32,182.265,182.265,300,0.0,,182.362,,48.46233934078196,0.0265778583628844,,
2020-05-02,182.4,182.4,182.4,182.4,200,0.0,,182.377,,51.934964174875255,0.023534615678073578,,
2020-05-03,182.525,182.525,182.525,182.525,100,0.0,,182.41800000000003,,54.961057240419734,0.030853617954335277,0.050279817368182954,-0.019426199413847677
2020-05-04,182.495,182.495,182.495,182.495,100,0.0,,182.436,,54.08103443858671,0.033843108422018986,0.046992475578950164,-0.013149367156931178
2020-05-05,182.465,182.465,182.465,182.465,109,0.0,,182.43,,53.164299826620955,0.03340646296595651,0.044275273056351434,-0.010868810090394927
2020-05-06,182.495,182.495,182.495,182.495,326,0.0,,182.476,,54.0039604002683,0.03507682378565846,0.04243558320221284,-0.007358759416554381
2020-05-07,182.53,182.53,182.53,182.53,100,0.0,,182.502,,55.01718299608664,0.038777797945982684,0.041704026150966814,-0.00292622820498413
2020-05-08,182.415,182.415,182.415,182.415,126,0.0,,182.48000000000005,,51.03886142876049,0.03206172017479503,0.03977556495573246,-0.00771384478093743
2020-05-09,182.335,182.335,182.335,182.335,405,0.0,,182.44800000000004,,48.41604626554437,0.020052693770850283,0.03583099071875602,-0.015778296947905737
2020-05-10,182.355,182.355,182.355,182.355,110,0.0,,182.426,,49.119991023880196,0.012010833268959686,0.031066959228796754,-0.019056125959837068
2020-05-11,182.385,182.385,182.385,182.385,100,0.0,,182.40399999999997,,50.21742215837352,0.007966517111981375,0.02644687080543368,-0.018480353693452304
2020-05-12,182.225,182.225,182.225,182.225,100,0.0,,182.343,,44.68205255889897,-0.008056425941020962,0.019546211456142753,-0.027602637397163714
2020-05-13,182.26,182.265,182.26,182.265,300,0.0,,182.31300000000002,,46.276396573982936,-0.017327319490362925,0.012171505266841619,-0.029498824757204542
2020-05-14,182.325,182.325,182.325,182.325,106,0.0,,182.311,,48.666374337234316,-0.01960705296076526,0.005815793621320244,-0.025422846582085504
2020-05-15,182.145,182.145,182.145,182.145,200,0.0,,182.269,,42.55073666819695,-0.035528701087571335,-0.002453105320458072,-0.03307559576711326
2020-05-16,181.97,181.97,181.97,181.97,200,0.0,,182.186,,37.60321243755748,-0.06155815530561881,-0.01427411531749022,-0.04728403998812859
2020-05-17,182.07,182.07,182.07,182.07,200,0.0,,182.155,,41.76975747100183,-0.07327287692595519,-0.026073867639183214,-0.047199009286771974
2020-05-18,182.07,182.14,182.07,182.14,205,0.0,,182.13,,44.56047618017249,-0.07603201350116251,-0.03606549681157908,-0.03996651668958343
2020-05-19,182.265,182.265,182.265,182.265,100,0.0,,182.118,,49.23885644308537,-0.06735575852727038,-0.04232354915471734,-0.025032209372553044
2020-05-20,182.67,182.67,182.67,182.67,175,0.0,,182.223,,60.785431059474746,-0.02748284356454178,-0.03935540803668223,0.011872564472140447
2020-05-21,182.77,182.77,182.77,182.77,100,0.0,,182.38299999999998,,63.02206098343067,0.012047022501008087,-0.029074921929144164,0.041121944430152255
2020-05-22,182.86,182.86,182.86,182.86,213,0.0,,182.54100000000003,,64.95914548685286,0.05005991446122948,-0.013247954651069434,0.06330786911229891
2020-05-23,182.57,182.57,182.57,182.57,101,0.0,,182.627,,54.96720787370179,0.05613770828233555,0.000629177935611562,0.05550853034672399
2020-05-24,182.57,182.685,182.57,182.685,313,0.0,,182.71100000000004,,57.74303393548842,0.06943355576859744,0.01439005350220874,0.055043502266388704
2020-05-25,182.685,182.685,182.685,182.685,101,0.0,,182.71400000000006,,57.74303393548842,0.07905926470203894,0.027323895742174784,0.051735368959864164
2020-05-26,182.705,182.705,182.705,182.705,200,0.0,,182.70100000000008,,58.26194992368466,0.08729525586412024,0.039318167766563876,0.04797708809755636
2020-05-27,182.705,182.71,182.705,182.71,205,0.0,,182.67100000000008,,58.39948773523694,0.0931519981607778,0.05008493384540666,0.043067064315371134
2020-05-28,182.725,182.725,182.725,182.725,100,0.0,,182.70200000000008,,58.83771097956872,0.09787563388422882,0.059643073853171094,0.038232560031057725
2020-05-29,182.93,182.93,182.895,182.895,210,0.0,,182.74400000000009,,63.527034085480565,0.11402234980562298,0.07051892904366147,0.04350342076196151
2020-05-30,182.955,182.955,182.955,182.955,100,0.0,,182.7980000000001,,65.04080139029291,0.13015983550124588,0.08244711033517836,0.04771272516606752
2020-05-31,182.96,182.96,182.96,182.96,357,0.0,,182.8490000000001,,65.17053076765535,0.14171872218014414,0.09430143270417152,0.047417289475972624
2020-06-01,183.005,183.005,182.84,182.84,286,0.0,,182.87500000000009,,59.46693970706731,0.1395871522313712,0.10335857660961145,0.03622857562175974
2020-06-02,183.01,183.01,183.01,183.01,200,0.0,,182.93200000000007,,64.24145529890383,0.14988763557940388,0.11266438840356995,0.03722324717583393
2020-06-03,182.98,182.98,182.935,182.935,213,0.0,,182.9400000000001,,60.836724570608496,0.1502667876545729,0.12018486825377055,0.030081919400802362
2020-06-04,183.08,183.08,183.04,183.04,200,0.0,,182.95700000000008,,63.734555995078686,0.15722747047524877,0.1275933886980662,0.029634081777182575
2020-06-05,183.0,183.075,182.965,183.075,301,0.0,,182.98000000000008,,64.67290724737985,0.16368125364846264,0.1348109616881455,0.02887029196031715
2020-06-06,183.085,183.125,183.085,183.125,300,0.0,,183.03700000000006,,66.02533557291258,0.17086092703314648,0.1420209547571457,0.02883997227600077
2020-06-07,183.19,183.195,183.19,183.195,200,0.0,,183.07400000000007,,67.87931082824689,0.18012293977577087,0.14964135176087073,0.03048158801490014
2020-06-08,183.2,183.2,183.2,183.2,203,0.0,,183.1270000000001,,68.01357837775606,0.1857256797903517,0.15685821736676692,0.02886746242358479
2020-06-09,183.2,183.2,183.2,183.2,132,0.0,,183.1590000000001,,68.01357837775606,0.18799875894947604,0.16308632568330875,0.024912433266167294
2020-06-10,183.395,183.395,183.395,183.395,400,0.0,,183.2230000000001,,73.09960706598463,0.20319278098071436,0.17110761674278988,0.032085164237924485
2020-06-11,183.33,183.33,183.33,183.33,100,0.0,,183.26400000000007,,69.1524522377715,0.20759615686290545,0.178405324766813,0.02919083209609244
2020-06-12,183.365,183.365,183.365,183.365,100,0.0,,183.2980000000001,,70.0890198500778,0.2114723498548301,0.18501872978441644,0.026453620070413658
2020-06-13,183.195,183.2,183.195,183.2,200,0.0,,183.2980000000001,,60.72828227265506,0.19893691872479735,0.18780236757249263,0.011134551152304717
2020-06-14,183.195,183.195,183.195,183.195,200,0.0,,183.29700000000008,,60.46475043423664,0.18644976420725357,0.18753184689944485,-0.0010820826921912885
2020-06-15,182.925,182.925,182.925,182.925,100,0.0,,183.20300000000006,,48.28064605913519,0.1530031358620647,0.18062610469196883,-0.027622968829904115
2020-06-16,182.965,183.09,182.965,183.09,510,0.0,,183.15500000000003,,54.3363770538664,0.1382172801971535,0.17214433979300575,-0.03392705959585224
2020-06-17,183.12,183.12,183.115,183.115,210,0.0,,183.10500000000008,,55.19243966552123,0.127052096639801,0.1631258911623648,-0.03607379452256382
2020-06-18,183.21,183.21,183.21,183.21,100,0.0,,183.10700000000006,,58.38509715349866,0.12443490614168695,0.15538769415822923,-0.030952788016542276
2020-06-19,183.23,183.23,183.23,183.23,400,0.0,,183.1140000000001,,59.04667547783019,0.12256178075267599,0.14882251147711859,-0.0262607307244426
2020-06-20,183.09,183.095,183.09,183.095,410,0.0,,183.14800000000008,,52.92990791910553,0.10892828615158123,0.14084366641201113,-0.03191538026042989
2020-06-21,183.205,183.205,183.205,183.205,300,0.0,,183.17100000000008,,56.85210771556795,0.10578035407206698,0.1338310039440223,-0.028050649871955324
2020-06-22,183.28,183.37,183.28,183.37,300,0.0,,183.22200000000007,,61.97099503355189,0.1152709445616722,0.13011899206755229,-0.014848047505880091
2020-06-23,183.365,183.445,183.365,183.445,320,0.0,,183.26900000000006,,64.0582577316957,0.12737586936617618,0.12957036752727707,-0.0021944981611008996
2020-06-24,183.53,183.6,183.53,183.6,200,0.0,,183.34300000000002,,67.97083465598567,0.14777288031712033,0.13321087008524574,0.01456201023187459
2020-06-25,183.535,183.545,183.535,183.545,205,0.0,,183.43300000000005,,65.25626103300273,0.1576819586368856,0.1381050877955737,0.019576870841311905
2020-06-26,183.525,183.525,183.475,183.475,513,0.0,,183.48700000000002,,61.86956574471674,0.15806449055540384,0.14209696834753974,0.0159675222078641
2020-06-27,183.49,183.56,183.49,183.55,511,0.0,,183.52300000000002,,64.02391328472369,0.1625457962971666,0.14618673393746512,0.01635906235970147
2020-06-28,183.52,183.56,183.52,183.52,900,0.0,,183.53800000000007,,62.50270903596471,0.16181125468403934,0.14931163808677997,0.012499616597259372
2020-06-29,183.57,183.57,183.445,183.455,700,0.0,,183.50900000000004,,59.219583794212895,0.15420657103067015,0.150290624675558,0.003915946355112138
2020-06-30,183.45,183.55,183.345,183.535,1201,0.0,,183.50700000000003,,61.87401226258936,0.1528729120882133,0.15080708215808908,0.002065829930124219
2020-07-01,183.525,183.525,183.45,183.45,509,0.0,,183.502,,57.58513715040157,0.14330525437446795,0.14930671660136485,-0.006001462226896903
2020-07-02,183.325,183.325,183.15,183.18,737,0.0,,183.42800000000003,,46.54781040047237,0.11263765640072165,0.14197290456123624,-0.029335248160514582
2020-07-03,182.115,182.115,182.115,182.115,110,0.0,,183.14700000000002,,25.65767325226561,0.002369451077697704,0.11405221386452853,-0.11168276278683083
2020-07-04,181.05,181.05,181.05,181.05,103,0.0,,182.666,,17.297567749137357,-0.16900728472896276,0.05744031414583028,-0.22644759887479304
2020-07-05,181.06,181.06,180.98,180.98,201,0.0,,182.155,,16.907616784035326,-0.30693484372588387,-0.015434717428512552,-0.2915001262973713
2020-07-06,180.495,180.495,180.495,180.495,100,0.0,,181.564,,14.473089774189816,-0.45018937178645047,-0.10238564830010015,-0.3478037234863503
2020-07-07,181.65,181.65,181.65,181.65,100,0.0,,181.25799999999998,,37.53882413507179,-0.4651587100471204,-0.17494026064950421,-0.2902184493976162
2020-07-08,181.19,181.19,181.19,181.19,100,0.0,,181.073,,33.646854010306896,-0.5082810268035303,-0.24160841388030946,-0.2666726129232208
2020-07-09,181.13,181.13,181.13,181.13,100,0.0,,181.089,,33.16387067284576,-0.541060266122031,-0.30149878432865374,-0.23956148179337722
2020-07-10,181.475,181.475,181.475,181.475,100,0.0,,181.18799999999996,,38.61979741046113,-0.533054709848841,-0.34780996943269116,-0.1852447404161498
2020-07-11,181.745,181.81,181.745,181.81,301,0.0,,181.45099999999996,,43.447284263915705,-0.4939842061037325,-0.37704481676689944,-0.11693938933683307
2020-07-12,181.87,181.87,181.87,181.87,173,0.0,,181.49499999999995,,44.2923658212283,-0.4529576381427205,-0.39222738104206367,-0.060730257100656826
2020-07-13,182.285,182.52,182.285,182.52,204,0.0,,181.76099999999997,,52.562519229413574,-0.3638005534081117,-0.38654201551527334,0.02274146210716166
2020-07-14,182.92,182.92,182.92,182.92,210,0.0,,182.11899999999997,,56.81162046120105,-0.25789342943190263,-0.36081229829859923,0.1029188688666966
2020-07-15,182.96,182.96,182.96,182.96,100,0.0,,182.41599999999997,,57.22424761219084,-0.16878792284731503,-0.32240742320834237,0.15361950036102734
2020-07-16,182.87,182.87,182.87,182.87,100,0.0,,182.628,,55.92945946372183,-0.1042318943511873,-0.27877231743691133,0.17454042308572404
2020-07-17,183.13,183.13,183.13,183.13,100,0.0,,182.88,,58.8277302275243,-0.03172524075048955,-0.22936290209962698,0.19763766134913743
2020-07-18,181.97,181.97,181.97,181.97,100,0.0,,182.76999999999998,,44.70259441110848,-0.06709210484396522,-0.19690874264849462,0.1298166378045294
2020-07-19,181.84,181.84,181.84,181.84,100,0.0,,182.55399999999997,,43.443649046005696,-0.10440697437763902,-0.1784083889943235,0.0740014146166845
2020-07-20,182.28,182.28,182.235,182.235,200,0.0,,182.40899999999996,,48.215756529146255,-0.10094247644104826,-0.16291520648366847,0.06197273004262022
2020-07-21,181.87,181.87,181.87,181.87,104,0.0,,182.209,,44.48082914634488,-0.12619459371080666,-0.1555710839290961,0.029376490218289447
2020-07-22,182.39,182.39,182.39,182.39,100,0.0,,182.06099999999998,,50.37822930298507,-0.10305941956360698,-0.14506875105599829,0.042009331492391305
2020-07-23,182.82,182.82,182.82,182.82,100,0.0,,182.231,,54.66654040141774,-0.04945711025095534,-0.1259464228949897,0.07648931264403436
2020-07-24,182.47,182.47,182.47,182.47,104,0.0,,182.357,,50.81701285880072,-0.034817613094304534,-0.10772066093485266,0.07290304784054813
2020-07-25,182.24,182.24,182.24,182.24,100,0.0,,182.358,,48.40478350422246,-0.041298718021806735,-0.09443627235224349,0.05313755433043675
2020-07-26,182.265,182.265,182.265,182.265,100,0.0,,182.437,,48.68989140688169,-0.04391156412714281,-0.08433133070722336,0.04041976658008055
2020-07-27,182.37,182.37,182.37,182.37,100,0.0,,182.43300000000002,,49.94105888966711,-0.03708218071534475,-0.07488150070884764,0.03779931999350289
2020-07-28,182.14,182.14,182.14,182.14,100,0.0,,182.29700000000003,182.57,47.22459475692258,-0.049656513589695805,-0.06983650328501728,0.020179989695321476
